,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-CENTRAL_homegame,NORTH-CAROLINA-CENTRAL_homegame2,NORTH-CAROLINA-CENTRAL_home,NORTH-CAROLINA-CENTRAL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-clemson,44.4,8,4.3,1,101.4,82.1,23,0.364,55,0.327,18,0.273,15,0.733,11,1,200,72.9,28.1,9,22,51,,7.1,5,0.327,18,0.222,4,53.3,32,0.41,24.5,20,37,0.37799999999999995,14,0.0,0,"November 9, 2018",78.3,18,18.9,7,72.9,71.9,23,0.56,50,0.46,23,0.42,21,0.7140000000000001,15,0,200,101.4,17.9,5,17,71,22.0,11.4,8,0.54,27,0.37,10,46.7,28,0.5920000000000001,15.7,11,23,0.565,13,1.0,2,"Littlejohn Coliseum, Clemson, South Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,69.6,Home,CLEMSON,Clemson,North Carolina Central,meac,0,False,False,False,Away,False,4,14,55,32,60,10,13,50,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-cincinnati,70.6,12,2.6,1,119.7,71.4,15,0.447,47,0.36200000000000004,17,0.255,12,0.75,9,2,200,83.6,28.6,8,18,51,,6.6,4,0.36200000000000004,17,0.47100000000000003,8,46.9,23,0.484,21.1,14,30,0.3,9,0.0,0,"November 13, 2018",61.3,19,26.7,8,83.6,71.4,20,0.632,53,0.585,31,0.226,12,0.5,6,1,200,119.7,28.6,6,13,73,,13.1,8,0.264,14,0.35700000000000004,5,53.1,26,0.622,15.9,11,39,0.667,26,0.5,1,"Fifth Third Arena, Cincinnati, Ohio",NORTH-CAROLINA-CENTRAL,North Carolina Central,61.2,Home,CINCINNATI,Cincinnati,North Carolina Central,meac,1,False,False,False,Away,False,8,9,47,23,49,5,26,53,0,1,4,14,55,0.36363636363636365,32,60,0.5333333333333333,10,13,50,0.56,0.0
2,2018-11-15-19-bowling-green-state,58.3,14,5.0,2,117.2,78.1,25,0.509,57,0.42100000000000004,24,0.12300000000000001,7,0.28600000000000003,2,3,200,93.8,28.6,10,19,60,,3.1,2,0.456,26,0.385,10,52.2,35,0.49700000000000005,18.9,14,31,0.452,14,0.0,0,"November 15, 2018",55.2,16,0.0,0,93.8,71.4,25,0.561,57,0.509,29,0.298,17,0.647,11,2,200,117.2,21.9,7,11,75,,10.9,7,0.298,17,0.353,6,47.8,32,0.5760000000000001,8.5,6,40,0.575,23,0.5,2,"Stroh Center, Bowling Green, Ohio",NORTH-CAROLINA-CENTRAL,North Carolina Central,64.2,Home,BOWLING-GREEN-STATE,Bowling Green State,North Carolina Central,meac,2,False,False,False,Away,False,10,14,57,35,67,6,23,57,0,1,12,23,102,0.4019607843137255,55,109,0.5045871559633027,15,39,103,0.5970873786407767,0.0
3,2018-11-18-14-north-carolina-central,63.6,14,4.8,2,148.2,46.4,13,0.429,63,0.349,22,0.19,12,0.25,3,0,200,68.7,18.2,8,19,57,,6.0,5,0.556,35,0.28600000000000003,10,29.2,21,0.415,24.4,22,28,0.429,12,0.0,0,"November 18, 2018",77.3,34,21.4,6,68.7,81.8,36,0.75,70,0.629,44,0.32899999999999996,23,0.7829999999999999,18,3,200,148.2,53.6,15,15,123,,18.1,15,0.4,28,0.607,17,70.8,51,0.76,18.3,18,42,0.643,27,0.25,1,"McLendon-McDougald Gym, Durham, North Carolina","Warren Wilson
			","Warren Wilson
			",83.3,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,3,True,False,True,Home,True,17,27,70,51,72,10,12,63,1,0,22,37,159,0.44025157232704404,90,176,0.5113636363636364,21,62,160,0.584375,0.0
4,2018-11-20-19-george-mason,43.5,10,7.1,2,116.4,79.2,19,0.544,45,0.511,23,0.489,22,0.636,14,4,200,94.0,13.6,3,20,63,,6.0,4,0.267,12,0.25,3,47.8,22,0.568,22.6,16,33,0.606,20,0.2,1,"November 20, 2018",69.2,18,6.1,2,94.0,86.4,19,0.578,51,0.51,26,0.51,26,0.731,19,3,200,116.4,20.8,5,20,78,,7.5,5,0.451,23,0.304,7,52.2,24,0.616,11.4,8,28,0.679,19,0.4,2,"EagleBank Arena, Fairfax, Virginia",NORTH-CAROLINA-CENTRAL,North Carolina Central,67.4,Home,GEORGE-MASON,George Mason,North Carolina Central,meac,4,False,False,False,Away,False,3,20,45,22,46,7,19,51,0,1,39,64,229,0.5349344978165939,141,248,0.5685483870967742,31,74,223,0.5403587443946188,0.25
5,2018-11-23-14-north-carolina-central,48.4,15,9.3,4,92.6,55.3,21,0.59,61,0.508,31,0.131,8,0.625,5,4,200,113.2,20.0,6,15,77,,10.3,7,0.41,25,0.4,10,39.7,27,0.594,12.2,9,36,0.583,21,0.429,3,"November 23, 2018",33.3,8,8.3,3,113.2,80.0,24,0.41700000000000004,60,0.4,24,0.38299999999999995,23,0.565,13,5,200,92.6,44.7,17,12,63,,2.9,2,0.28300000000000003,17,0.11800000000000001,2,60.3,41,0.444,17.6,15,43,0.512,22,0.16699999999999998,1,"The Arena, Niceville, Florida",NORTH-CAROLINA-CENTRAL,North Carolina Central,68.4,Away,NICHOLLS-STATE,Nicholls State,North Carolina Central,meac,5,False,True,True,Home,False,2,22,60,41,68,10,21,61,0,1,42,84,274,0.5364963503649635,163,294,0.5544217687074829,38,93,274,0.5474452554744526,0.2
6,2018-11-24-11-southern,38.5,10,4.9,2,109.2,61.5,16,0.5920000000000001,49,0.531,26,0.612,30,0.833,25,5,200,127.7,52.4,11,17,83,,9.2,6,0.28600000000000003,14,0.429,6,57.4,27,0.6559999999999999,17.3,13,35,0.5710000000000001,20,0.28600000000000003,2,"November 24, 2018",22.2,6,14.3,5,127.7,47.6,10,0.536,55,0.491,27,0.29100000000000004,16,0.75,12,6,200,109.2,38.5,10,21,71,,6.2,4,0.255,14,0.35700000000000004,5,42.6,20,0.5670000000000001,17.3,13,41,0.537,22,0.0,0,"The Arena, Niceville, Florida",SOUTHERN,Southern,65.4,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,6,False,False,False,Away,True,6,20,49,27,47,5,22,55,1,0,44,106,334,0.5149700598802395,204,362,0.56353591160221,48,114,335,0.5552238805970149,0.16666666666666666
7,2018-11-28-19-north-carolina-central,73.7,14,1.9,1,127.9,72.4,21,0.523,44,0.43200000000000005,19,0.22699999999999998,10,0.5,5,0,200,59.3,7.1,2,18,51,,3.5,3,0.43200000000000005,19,0.42100000000000004,8,40.4,23,0.523,43.3,37,25,0.44,11,0.0,0,"November 28, 2018",50.0,21,16.0,4,59.3,92.9,26,0.618,72,0.583,42,0.33299999999999996,24,0.875,21,5,200,127.9,27.6,8,18,110,,26.7,23,0.264,19,0.263,5,59.6,34,0.659,12.7,12,53,0.698,37,0.375,3,"McLendon-McDougald Gym, Durham, North Carolina","Christendom
			","Christendom
			",85.6,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,7,True,False,True,Home,True,5,37,72,34,57,8,11,44,1,0,50,126,383,0.5248041775456919,231,409,0.5647921760391198,53,136,390,0.5525641025641026,0.2857142857142857
8,2018-12-01-16-north-carolina-central,52.0,13,7.7,3,101.5,72.7,24,0.518,55,0.455,25,0.273,15,0.6,9,5,200,100.0,35.5,11,16,66,,1.5,1,0.273,15,0.467,7,54.7,35,0.531,16.3,12,40,0.45,18,0.28600000000000003,2,"December 1, 2018",44.0,11,7.5,3,100.0,64.5,20,0.45799999999999996,60,0.41700000000000004,25,0.25,15,0.8,12,5,200,101.5,27.3,9,18,67,,7.6,5,0.35,21,0.23800000000000002,5,45.3,29,0.499,13.1,10,39,0.513,20,0.444,4,"McLendon-McDougald Gym, Durham, North Carolina",MCNEESE-STATE,McNeese State,65.6,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,8,True,False,True,Home,True,5,20,60,29,64,7,18,55,1,0,55,163,455,0.5395604395604395,265,466,0.5686695278969958,61,147,434,0.5495391705069125,0.375
9,2018-12-08-14-appalachian-state,46.4,13,2.9,1,110.8,75.0,24,0.526,58,0.483,28,0.293,17,0.706,12,6,200,98.6,31.3,10,21,73,,10.8,8,0.345,20,0.25,5,53.1,34,0.552,20.6,17,38,0.605,23,0.4,4,"December 8, 2018",51.9,14,13.2,5,98.6,68.8,22,0.517,59,0.45799999999999996,27,0.424,25,0.84,21,5,200,110.8,25.0,8,12,82,,2.7,2,0.424,25,0.28,7,46.9,30,0.578,15.7,13,34,0.588,20,0.444,4,"Holmes Convocation Center, Boone, North Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,74.5,Home,APPALACHIAN-STATE,Appalachian State,North Carolina Central,meac,9,False,False,False,Away,False,5,23,58,34,64,7,20,59,0,1,60,183,515,0.5300970873786408,294,530,0.5547169811320755,68,165,489,0.5460122699386503,0.4444444444444444
