,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GRAND-CANYON_homegame,GRAND-CANYON_homegame2,GRAND-CANYON_home,GRAND-CANYON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-south-dakota-state,33.3,8,9.8,4,108.2,64.7,22,0.40700000000000003,70,0.34299999999999997,24,0.28600000000000003,20,0.85,17,1,200,101.4,26.7,12,21,74,,12.3,9,0.486,34,0.265,9,43.0,34,0.465,7.1,6,36,0.41700000000000004,15,0.0,0,"November 6, 2018",28.6,8,11.1,4,101.4,73.3,33,0.5429999999999999,58,0.483,28,0.44799999999999995,26,0.615,16,0,200,108.2,35.3,12,19,79,,4.1,3,0.293,17,0.41200000000000003,7,57.0,45,0.561,17.8,15,41,0.512,21,1.0,1,"Frost Arena, Brookings, South Dakota",GRAND-CANYON,Grand Canyon,73.4,Home,SOUTH-DAKOTA-STATE,South Dakota State,Grand Canyon,wac,0,False,False,False,Away,False,9,15,70,34,79,7,21,58,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-21-grand-canyon,40.0,6,0.0,0,112.7,56.7,17,0.35200000000000004,54,0.278,15,0.33299999999999996,18,0.5,9,2,200,59.5,9.8,4,24,47,,8.9,7,0.40700000000000003,22,0.364,8,29.6,21,0.376,24.4,20,32,0.21899999999999997,7,0.0,0,"November 10, 2018",47.2,17,18.8,6,59.5,90.2,37,0.565,69,0.522,36,0.304,21,0.524,11,1,200,112.7,43.3,13,16,89,,13.9,11,0.348,24,0.25,6,70.4,50,0.563,14.2,13,45,0.667,30,0.5,1,"Grand Canyon University Arena, Phoenix, Arizona",DELAWARE-STATE,Delaware State,78.8,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,1,True,False,True,Home,True,6,30,69,50,71,8,7,54,1,0,9,15,70,0.40714285714285714,34,79,0.43037974683544306,7,21,58,0.5431034482758621,0.0
2,2018-11-12-21-grand-canyon,61.9,13,13.3,6,107.0,51.4,19,0.435,54,0.389,21,0.37,20,0.6,12,3,200,83.1,16.7,6,20,59,,11.3,8,0.40700000000000003,22,0.22699999999999998,5,34.2,25,0.465,16.0,12,32,0.5,16,0.0,0,"November 12, 2018",51.9,14,3.1,1,83.1,83.3,30,0.45399999999999996,65,0.415,27,0.354,23,0.7390000000000001,17,1,200,107.0,48.6,18,20,76,,5.6,4,0.308,20,0.25,5,65.8,48,0.5,16.6,15,45,0.489,22,0.667,2,"Grand Canyon University Arena, Phoenix, Arizona",JACKSONVILLE,Jacksonville,71.2,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,2,True,False,True,Home,True,5,22,65,48,73,5,16,54,1,0,15,45,139,0.4856115107913669,84,150,0.56,15,28,112,0.45089285714285715,0.5
3,2018-11-16-21-grand-canyon,48.1,13,10.9,5,126.3,58.8,20,0.527,56,0.48200000000000004,27,0.35700000000000004,20,0.65,13,2,200,94.7,22.6,7,30,72,,9.2,7,0.268,15,0.33299999999999996,5,41.5,27,0.55,17.8,14,41,0.537,22,0.33299999999999996,1,"November 16, 2018",56.3,18,4.9,2,94.7,77.4,24,0.531,65,0.49200000000000005,32,0.508,33,0.818,27,1,200,126.3,41.2,14,19,96,,10.5,8,0.292,19,0.263,5,58.5,38,0.595,14.1,13,46,0.5870000000000001,27,0.75,3,"Grand Canyon University Arena, Phoenix, Arizona",ARKANSAS-STATE,Arkansas State,76.1,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,3,True,False,True,Home,True,5,27,65,38,65,5,22,56,1,0,20,67,204,0.47549019607843135,132,223,0.5919282511210763,20,44,166,0.4457831325301205,0.6666666666666666
4,2018-11-22-21-grand-canyon,53.6,15,11.5,3,108.7,83.3,25,0.6890000000000001,45,0.622,28,0.733,33,0.606,20,2,200,118.8,13.0,3,23,82,,10.1,7,0.267,12,0.5,6,52.8,28,0.6759999999999999,16.8,12,33,0.667,22,0.5,2,"November 22, 2018",72.0,18,9.1,3,118.8,87.0,20,0.545,56,0.446,25,0.28600000000000003,16,0.75,12,2,200,108.7,16.7,5,22,73,,2.9,2,0.536,30,0.36700000000000005,11,47.2,25,0.59,13.7,10,26,0.5379999999999999,14,0.6,3,"Titan Gym, Fullerton, California",GRAND-CANYON,Grand Canyon,69.1,Away,SETON-HALL,Seton Hall,Grand Canyon,wac,4,False,True,True,Home,False,11,14,56,25,53,6,22,45,0,1,25,94,269,0.4888475836431227,170,288,0.5902777777777778,25,66,222,0.46621621621621623,0.75
5,2018-11-23-21-utah,63.2,12,3.6,1,117.2,68.2,15,0.534,44,0.43200000000000005,19,0.591,26,0.731,19,3,200,103.1,25.9,7,21,66,,3.1,2,0.545,24,0.375,9,44.9,22,0.586,20.2,14,20,0.5,10,0.5,3,"November 23, 2018",50.0,12,10.0,2,103.1,74.1,20,0.583,48,0.5,24,0.45799999999999996,22,0.8640000000000001,19,2,200,117.2,31.8,7,21,75,,4.7,3,0.41700000000000004,20,0.4,8,55.1,27,0.642,18.4,13,28,0.5710000000000001,16,0.6,3,"Titan Gym, Fullerton, California",GRAND-CANYON,Grand Canyon,63.9,Home,UTAH,Utah,Grand Canyon,wac,5,False,False,False,Away,False,9,10,44,22,49,8,16,48,0,1,36,108,325,0.49846153846153846,195,341,0.5718475073313783,31,88,267,0.5037453183520599,0.6
6,2018-11-25-20-grand-canyon,42.9,9,2.8,1,103.8,80.0,20,0.341,69,0.304,21,0.406,28,0.821,23,7,200,88.6,31.1,14,29,70,,10.1,8,0.36200000000000004,25,0.2,5,48.6,34,0.425,11.9,11,44,0.364,16,0.0,0,"November 25, 2018",53.8,14,9.1,4,88.6,68.9,31,0.583,48,0.542,26,0.7709999999999999,37,0.703,26,3,200,103.8,20.0,5,26,82,,3.8,3,0.25,12,0.33299999999999996,4,51.4,36,0.625,21.9,18,36,0.611,22,0.5710000000000001,4,"Titan Gym, Fullerton, California",LA-SALLE,La Salle,78.9,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,6,True,False,True,Home,True,4,22,48,36,70,5,16,69,1,0,45,118,369,0.502710027100271,217,390,0.5564102564102564,39,104,315,0.5158730158730159,0.5
7,2018-12-01-21-grand-canyon,18.5,5,16.1,5,103.0,73.9,17,0.6,50,0.54,27,0.24,12,0.583,7,5,200,100.0,28.0,7,22,67,,11.9,8,0.3,15,0.4,6,50.0,24,0.601,22.4,16,35,0.6,21,0.28600000000000003,2,"December 1, 2018",38.5,10,8.6,3,100.0,72.0,18,0.546,54,0.48100000000000004,26,0.33299999999999996,18,0.556,10,3,200,103.0,26.1,6,17,69,,7.5,5,0.426,23,0.304,7,50.0,24,0.552,16.2,12,31,0.613,19,0.625,5,"Grand Canyon University Arena, Phoenix, Arizona",BOISE-STATE,Boise State,66.6,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,7,True,False,True,Home,True,7,19,54,24,48,6,21,50,1,0,49,140,417,0.511990407673861,253,460,0.55,44,120,384,0.484375,0.5714285714285714
8,2018-12-09-17-grand-canyon,50.0,11,5.0,2,93.0,75.7,28,0.49,51,0.431,22,0.569,29,0.828,24,0,200,104.2,20.0,6,13,74,6.0,9.9,7,0.431,22,0.273,6,50.7,34,0.5710000000000001,16.9,13,29,0.552,16,1.0,10,"December 9, 2018",60.0,15,3.4,1,104.2,80.0,24,0.49200000000000005,61,0.41,25,0.131,8,0.75,6,4,200,93.0,24.3,9,21,66,,7.0,5,0.344,21,0.47600000000000003,10,49.3,33,0.509,17.8,14,40,0.375,15,0.556,5,"Talking Stick Resort Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,70.8,Away,NEVADA,Nevada,Grand Canyon,wac,8,False,True,True,Home,False,10,15,61,33,67,6,16,51,0,1,56,159,471,0.5159235668789809,277,508,0.5452755905511811,50,141,434,0.4976958525345622,0.625
9,2018-12-15-18-texas,54.5,12,9.1,3,136.1,65.2,15,0.426,61,0.361,22,0.18,11,0.727,8,5,200,83.3,11.1,4,11,60,,2.8,2,0.44299999999999995,27,0.29600000000000004,8,32.2,19,0.45299999999999996,14.3,11,34,0.41200000000000003,14,0.5,5,"December 15, 2018",59.5,22,14.7,5,83.3,88.9,32,0.7140000000000001,63,0.5870000000000001,37,0.175,11,0.727,8,3,200,136.1,34.8,8,14,98,,6.9,5,0.47600000000000003,30,0.5329999999999999,16,67.8,40,0.718,14.0,11,33,0.636,21,0.7,7,"Frank Erwin Center, Austin, Texas",GRAND-CANYON,Grand Canyon,72.2,Home,TEXAS,Texas,Grand Canyon,wac,9,False,False,False,Away,False,8,14,61,19,59,16,21,63,0,1,66,174,532,0.5131578947368421,310,575,0.5391304347826087,56,157,485,0.49690721649484537,0.5555555555555556
