,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAINT-JOSEPHS_homegame,SAINT-JOSEPHS_homegame2,SAINT-JOSEPHS_home,SAINT-JOSEPHS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-17-saint-josephs,56.3,9,5.9,2,69.2,82.9,29,0.39399999999999996,47,0.34,16,0.128,6,0.833,5,6,200,64.6,0.0,0,8,42,,12.3,8,0.40399999999999997,19,0.263,5,45.3,29,0.42100000000000004,23.2,15,28,0.39299999999999996,11,0.5379999999999999,7,"December 22, 2018",26.3,5,21.4,6,64.6,100.0,29,0.371,58,0.32799999999999996,19,0.034,2,1.0,2,5,200,69.2,17.1,6,11,45,,7.7,5,0.414,24,0.20800000000000002,5,54.7,35,0.382,18.1,13,34,0.41200000000000003,14,0.545,6,"The Palestra, Philadelphia, Pennsylvania",LOYOLA-IL,Loyola (IL),65.4,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,10,True,False,True,Home,True,5,14,58,35,64,5,11,47,1,0,96,168,595,0.5243697478991597,321,645,0.49767441860465117,104,160,593,0.5328836424957841,0.5
11,2018-12-29-14-saint-josephs,59.1,13,3.6,1,93.7,88.0,22,0.451,61,0.361,22,0.066,4,0.5,2,6,200,90.5,30.6,11,15,57,,7.9,5,0.508,31,0.355,11,54.1,33,0.45299999999999996,13.7,10,30,0.36700000000000005,11,0.455,5,"December 29, 2018",45.0,9,16.7,5,90.5,69.4,25,0.49,48,0.41700000000000004,20,0.313,15,0.8,12,5,200,93.7,12.0,3,11,59,,7.9,5,0.41700000000000004,20,0.35,7,45.9,28,0.535,16.8,11,28,0.46399999999999997,13,0.583,7,"Hagan Arena, Philadelphia, Pennsylvania",WAGNER,Wagner,62.5,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,11,True,False,True,Home,True,7,13,48,28,61,11,11,61,1,0,101,182,653,0.5107197549770292,356,709,0.5021156558533145,109,171,640,0.52265625,0.5454545454545454
12,2019-01-03-19-saint-josephs,59.4,19,18.2,4,84.5,80.6,25,0.534,74,0.43200000000000005,32,0.10800000000000001,8,0.75,6,7,200,119.7,34.2,13,15,85,,9.9,7,0.37799999999999995,28,0.536,15,55.1,38,0.546,8.3,7,46,0.37,17,0.5,7,"January 3, 2019",50.0,9,19.6,9,119.7,65.8,25,0.413,52,0.34600000000000003,18,0.423,22,0.773,17,6,200,84.5,19.4,6,12,60,,2.8,2,0.5770000000000001,30,0.233,7,44.9,31,0.48,17.4,13,22,0.5,11,0.5379999999999999,7,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,70.6,Away,GEORGE-MASON,George Mason,Saint Joseph's,atlantic-10,12,False,True,True,Home,False,7,11,52,31,69,15,17,74,0,1,108,195,701,0.5092724679029957,384,770,0.4987012987012987,120,182,701,0.5164051355206848,0.5833333333333334
13,2019-01-06-14-saint-josephs,52.2,12,5.4,2,76.7,82.9,34,0.447,57,0.40399999999999997,23,0.386,22,0.8640000000000001,19,9,200,95.9,12.9,4,13,70,,6.8,5,0.386,22,0.22699999999999998,5,52.8,38,0.519,11.9,9,35,0.514,18,0.35700000000000004,5,"January 6, 2019",42.9,9,5.7,2,95.9,87.1,27,0.36200000000000004,65,0.32299999999999995,21,0.215,14,0.643,9,7,200,76.7,17.1,7,16,56,,9.6,7,0.431,28,0.179,5,47.2,34,0.391,10.1,8,37,0.43200000000000005,16,0.5,7,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,72.6,Away,GEORGE-WASHINGTON,George Washington,Saint Joseph's,atlantic-10,13,False,True,True,Home,False,5,16,65,34,72,5,18,57,0,1,115,206,753,0.50265604249668,415,839,0.49463647199046484,135,199,775,0.5180645161290323,0.5384615384615384
14,2019-01-09-19-st-bonaventure,50.0,8,8.6,3,115.9,72.2,13,0.336,55,0.29100000000000004,16,0.255,14,0.7140000000000001,10,8,200,74.6,24.4,10,14,47,,4.8,3,0.455,25,0.2,5,39.0,23,0.381,12.8,9,30,0.36700000000000005,11,0.467,7,"January 9, 2019",62.1,18,6.7,2,74.6,75.6,31,0.573,55,0.527,29,0.23600000000000002,13,0.769,10,10,200,115.9,27.8,5,14,73,,6.3,4,0.364,20,0.25,5,61.0,36,0.597,12.9,9,35,0.6859999999999999,24,0.33299999999999996,5,"Reilly Center, St. Bonaventure, New York",SAINT-JOSEPHS,St. Joseph's,62.9,Home,ST-BONAVENTURE,St. Bonaventure,Saint Joseph's,atlantic-10,14,False,False,False,Away,False,5,11,55,23,59,5,24,55,0,1,120,222,818,0.49144254278728605,449,911,0.49286498353457736,140,217,832,0.5132211538461539,0.5
15,2019-01-12-16-duquesne,50.0,15,23.3,7,111.8,79.4,27,0.5479999999999999,63,0.47600000000000003,30,0.28600000000000003,18,0.833,15,9,200,110.5,19.4,6,17,84,,10.5,8,0.381,24,0.375,9,50.8,33,0.5870000000000001,13.4,11,39,0.5379999999999999,21,0.43799999999999994,7,"January 12, 2019",48.3,14,12.8,5,110.5,80.6,25,0.602,59,0.49200000000000005,29,0.373,22,0.636,14,5,200,111.8,20.6,7,17,85,,9.2,7,0.49200000000000005,29,0.44799999999999995,13,49.2,32,0.612,15.9,13,30,0.5329999999999999,16,0.688,11,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,76.0,Home,DUQUESNE,Duquesne,Saint Joseph's,atlantic-10,15,False,False,False,Away,False,9,21,63,33,65,13,16,59,0,1,125,233,873,0.4816723940435281,472,970,0.4865979381443299,145,241,887,0.5169109357384442,0.4666666666666667
16,2019-01-15-21-saint-josephs,50.0,12,0.0,0,95.3,83.9,26,0.467,61,0.39299999999999996,24,0.115,7,0.429,3,5,200,93.8,25.7,9,15,60,,7.8,5,0.45899999999999996,28,0.321,9,53.0,35,0.466,12.3,9,33,0.455,15,0.706,12,"January 15, 2019",54.5,12,6.1,2,93.8,74.3,26,0.5,54,0.40700000000000003,22,0.16699999999999998,9,0.778,7,9,200,95.3,16.1,5,13,61,,6.3,4,0.5,27,0.37,10,47.0,31,0.523,14.7,10,27,0.444,12,0.47100000000000003,8,"Hagan Arena, Philadelphia, Pennsylvania",DAVIDSON,Davidson,63.8,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,16,True,False,True,Home,True,10,12,54,31,66,9,15,61,1,0,134,254,936,0.4861111111111111,505,1035,0.48792270531400966,158,257,946,0.5221987315010571,0.4375
17,2019-01-18-19-saint-louis,61.1,11,7.1,2,98.6,74.4,29,0.344,61,0.295,18,0.311,19,0.789,15,10,200,82.6,21.4,9,18,57,,11.6,8,0.49200000000000005,30,0.2,6,46.9,38,0.40700000000000003,11.5,9,31,0.387,12,0.444,8,"January 18, 2019",72.7,16,0.0,0,82.6,78.6,33,0.48200000000000004,57,0.386,22,0.40399999999999997,23,0.565,13,4,200,98.6,25.6,10,16,68,,7.2,5,0.509,29,0.379,11,53.1,43,0.501,14.1,11,28,0.39299999999999996,11,0.778,14,"Chaifetz Arena, St. Louis, Missouri",SAINT-JOSEPHS,St. Joseph's,69.5,Home,SAINT-LOUIS,Saint Louis,Saint Joseph's,atlantic-10,17,False,False,False,Away,False,6,12,61,38,81,11,11,57,0,1,144,266,990,0.4868686868686869,536,1101,0.4868301544050863,167,272,1007,0.5188679245283019,0.47058823529411764
18,2019-01-23-19-saint-josephs,63.0,17,10.0,3,110.4,60.7,17,0.508,59,0.45799999999999996,27,0.254,15,0.667,10,12,200,104.5,9.4,3,14,70,,10.4,7,0.373,22,0.273,6,33.3,20,0.529,5.7,4,37,0.568,21,0.368,7,"January 23, 2019",56.0,14,10.8,4,104.5,90.6,29,0.534,58,0.431,25,0.22399999999999998,13,0.9229999999999999,12,10,200,110.4,39.3,11,13,74,,3.0,2,0.483,28,0.429,12,66.7,40,0.5770000000000001,16.9,13,30,0.433,13,0.474,9,"Hagan Arena, Philadelphia, Pennsylvania",RICHMOND,Richmond,66.7,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,18,True,False,True,Home,True,12,13,58,40,60,6,21,59,1,0,150,278,1051,0.4785918173168411,574,1182,0.4856175972927242,178,283,1064,0.5169172932330827,0.4444444444444444
19,2019-01-26-19-pennsylvania,34.5,10,12.0,3,106.8,82.9,29,0.424,72,0.40299999999999997,29,0.20800000000000002,15,0.6,9,11,200,95.9,33.3,14,16,70,,1.4,1,0.33299999999999996,24,0.125,3,55.8,43,0.442,10.3,9,48,0.542,26,0.45,9,"January 26, 2019",70.4,19,6.3,3,95.9,66.7,28,0.54,63,0.429,27,0.23800000000000002,15,0.667,10,6,200,106.8,17.1,6,16,78,,8.2,6,0.603,38,0.368,14,44.2,34,0.556,9.1,7,25,0.52,13,0.667,12,"The Palestra, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,72.6,Home,PENNSYLVANIA,Penn,Saint Joseph's,atlantic-10,19,False,False,False,Away,False,3,26,72,43,77,14,13,63,0,1,162,291,1109,0.48151487826871053,614,1242,0.4943639291465378,184,304,1123,0.5164737310774711,0.47368421052631576
