,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FAIRFIELD_homegame,FAIRFIELD_homegame2,FAIRFIELD_home,FAIRFIELD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-purdue,36.4,8,0.0,0,130.4,61.9,13,0.433,60,0.36700000000000005,22,0.15,9,0.556,5,1,200,82.6,22.2,8,17,57,,7.2,5,0.36700000000000005,22,0.364,8,36.8,21,0.44299999999999995,14.7,11,38,0.368,14,0.0,0,"November 6, 2018",53.1,17,7.9,3,82.6,77.8,28,0.6609999999999999,59,0.542,32,0.254,15,0.8,12,0,200,130.4,38.1,8,17,90,24.0,5.8,4,0.508,30,0.467,14,63.2,36,0.6809999999999999,16.5,13,29,0.621,18,1.0,1,"Mackey Arena, West Lafayette, Indiana",FAIRFIELD,Fairfield,69.2,Home,PURDUE,Purdue,Fairfield,maac,0,False,False,False,Away,False,8,14,60,21,57,14,18,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-bucknell,20.0,4,8.1,3,89.2,54.3,19,0.469,49,0.408,20,0.34700000000000003,17,0.8240000000000001,14,1,200,92.3,20.7,6,23,60,,7.7,5,0.327,16,0.375,6,39.1,25,0.526,17.5,12,33,0.424,14,0.5,1,"November 10, 2018",70.0,14,27.3,9,92.3,79.3,23,0.38799999999999996,58,0.345,20,0.379,22,0.591,13,1,200,89.2,45.7,16,20,58,,4.6,3,0.36200000000000004,21,0.23800000000000002,5,60.9,39,0.424,17.1,14,37,0.405,15,0.5,1,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,64.8,Away,FAIRFIELD,Fairfield,Fairfield,maac,1,False,False,False,Away,True,6,14,49,25,64,5,15,58,1,0,8,14,60,0.43333333333333335,21,57,0.3684210526315789,14,18,59,0.6610169491525424,0.0
2,2018-11-13-19-fairfield,54.8,17,10.5,4,120.8,60.0,18,0.625,60,0.517,31,0.33299999999999996,20,0.7,14,0,200,123.6,19.4,6,14,89,,11.1,8,0.41700000000000004,25,0.52,13,39.3,24,0.64,11.6,9,35,0.514,18,1.0,3,"November 13, 2018",61.3,19,8.6,3,123.6,80.6,25,0.59,61,0.508,31,0.344,21,0.7140000000000001,15,2,200,120.8,40.0,12,19,87,,8.3,6,0.377,23,0.435,10,60.7,37,0.613,14.6,12,38,0.5529999999999999,21,0.33299999999999996,1,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,71.7,Away,LONG-ISLAND-UNIVERSITY,LIU,Fairfield,maac,2,False,True,True,Home,False,10,21,61,37,61,13,18,60,0,1,14,28,109,0.44954128440366975,46,121,0.38016528925619836,19,33,117,0.5256410256410257,0.5
3,2018-11-17-13-fairfield,26.7,8,24.2,8,100.0,87.9,29,0.516,62,0.484,30,0.355,22,0.682,15,2,200,108.2,44.4,16,18,79,,5.5,4,0.32299999999999995,20,0.2,4,65.2,45,0.545,18.2,16,42,0.619,26,0.5,2,"November 17, 2018",50.0,13,2.4,1,108.2,55.6,20,0.534,59,0.441,26,0.237,14,0.7140000000000001,10,3,200,100.0,12.1,4,20,73,,8.2,6,0.441,26,0.423,11,34.8,24,0.556,15.6,12,33,0.455,15,0.25,1,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,73.1,Away,WAGNER,Wagner,Fairfield,maac,3,False,True,True,Home,False,11,15,59,24,69,4,26,62,0,1,24,49,170,0.5,83,182,0.45604395604395603,32,51,177,0.559322033898305,0.3333333333333333
4,2018-11-23-18-longwood,50.0,12,4.5,1,103.1,63.2,12,0.474,58,0.414,24,0.24100000000000002,14,0.7140000000000001,10,4,200,100.0,21.2,7,16,65,,12.3,8,0.431,25,0.28,7,36.5,19,0.503,11.1,8,33,0.515,17,0.2,1,"November 23, 2018",43.5,10,9.1,3,100.0,78.8,26,0.5870000000000001,46,0.5,23,0.326,15,0.867,13,1,200,103.1,36.8,7,15,67,,4.6,3,0.522,24,0.33299999999999996,8,63.5,33,0.631,26.5,19,22,0.682,15,0.833,5,"Connolly Center, Seattle, Washington",FAIRFIELD,Fairfield,65.4,Home,LONGWOOD,Longwood,Fairfield,maac,4,False,False,False,Away,False,7,17,58,19,52,8,15,46,0,1,35,64,229,0.5087336244541485,107,251,0.4262948207171315,36,77,239,0.5481171548117155,0.25
5,2018-11-24-18-seattle,40.7,11,5.7,2,110.7,70.8,17,0.485,67,0.40299999999999997,27,0.299,20,0.75,15,5,200,106.7,14.6,6,33,80,,8.0,6,0.38799999999999996,26,0.423,11,35.4,23,0.523,7.3,6,41,0.39,16,0.16699999999999998,1,"November 24, 2018",54.2,13,9.8,4,106.7,85.4,35,0.6,45,0.5329999999999999,24,0.956,43,0.674,29,2,200,110.7,29.2,7,21,83,,1.3,1,0.222,10,0.6,6,64.6,42,0.634,19.0,15,35,0.514,18,0.7140000000000001,5,"Connolly Center, Seattle, Washington",FAIRFIELD,Fairfield,75.0,Home,SEATTLE,Seattle,Fairfield,maac,5,False,False,False,Away,False,11,16,67,23,65,6,18,45,0,1,42,81,287,0.5017421602787456,126,303,0.4158415841584158,44,92,285,0.5543859649122806,0.2
6,2018-11-25-15-fairfield,34.5,10,13.5,5,126.5,80.0,24,0.615,48,0.604,29,0.6459999999999999,31,0.8390000000000001,26,4,200,125.0,36.4,8,12,85,,8.8,6,0.188,9,0.111,1,61.5,32,0.6779999999999999,16.3,12,39,0.718,28,0.33299999999999996,2,"November 25, 2018",47.1,16,0.0,0,125.0,63.6,14,0.664,61,0.557,34,0.14800000000000002,9,0.556,5,5,200,126.5,20.0,6,23,86,,8.8,6,0.39299999999999996,24,0.542,13,38.5,20,0.659,13.3,10,37,0.568,21,0.28600000000000003,2,"Connolly Center, Seattle, Washington",DENVER,Denver,68.0,Home,FAIRFIELD,Fairfield,Fairfield,maac,6,True,False,True,Home,True,13,21,61,20,52,1,28,48,1,0,53,97,354,0.4985875706214689,149,368,0.4048913043478261,50,110,330,0.5606060606060606,0.16666666666666666
7,2018-12-01-13-army,50.0,10,5.7,2,85.1,74.4,29,0.42100000000000004,57,0.35100000000000003,20,0.263,15,0.8,12,6,200,81.1,25.0,8,20,60,,9.5,7,0.474,27,0.29600000000000004,8,52.1,37,0.46799999999999997,23.9,20,30,0.4,12,0.25,2,"December 1, 2018",60.0,12,6.7,2,81.1,75.0,24,0.41100000000000003,56,0.35700000000000004,20,0.48200000000000004,27,0.63,17,5,200,85.1,25.6,10,17,63,,13.5,10,0.375,21,0.28600000000000003,6,47.9,34,0.45799999999999996,17.1,14,35,0.4,14,0.444,4,"Christl Arena, West Point, New York",FAIRFIELD,Fairfield,74.5,Home,ARMY,Army,Fairfield,maac,7,False,False,False,Away,False,8,12,57,37,71,6,14,56,0,1,66,118,415,0.5228915662650603,169,420,0.4023809523809524,51,138,378,0.5674603174603174,0.2857142857142857
8,2018-12-06-19-fairfield,78.6,22,7.1,3,119.4,60.0,18,0.7020000000000001,47,0.596,28,0.511,24,0.875,21,5,200,120.8,28.6,6,18,87,,5.6,4,0.447,21,0.47600000000000003,10,47.1,24,0.745,24.8,19,26,0.6920000000000001,18,0.444,4,"December 6, 2018",53.1,17,0.0,0,120.8,71.4,15,0.57,64,0.5,32,0.281,18,0.722,13,7,200,119.4,40.0,12,23,86,,16.7,12,0.344,22,0.409,9,52.9,27,0.593,14.3,12,42,0.5479999999999999,23,0.222,2,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",FAIRFIELD,Fairfield,72.0,Away,OAKLAND,Oakland,Fairfield,maac,8,False,True,True,Home,False,9,23,64,27,51,10,18,47,0,1,74,130,472,0.510593220338983,206,491,0.4195519348268839,57,152,434,0.5472350230414746,0.25
9,2018-12-09-13-old-dominion,68.2,15,9.8,4,114.5,77.4,24,0.45899999999999996,61,0.361,22,0.24600000000000002,15,0.867,13,8,200,100.0,25.6,10,24,69,,5.8,4,0.557,34,0.353,12,48.6,34,0.506,11.7,9,27,0.37,10,0.2,2,"December 9, 2018",65.4,17,11.1,3,100.0,74.4,29,0.518,56,0.46399999999999997,26,0.536,30,0.7,21,3,200,114.5,22.6,7,15,79,,4.3,3,0.268,15,0.4,6,51.4,36,0.562,9.2,7,41,0.488,20,0.7,7,"Ted Constant Convocation Ctr., Norfolk, Virginia",FAIRFIELD,Fairfield,68.7,Home,OLD-DOMINION,Old Dominion,Fairfield,maac,9,False,False,False,Away,False,12,10,61,34,70,6,20,56,0,1,83,153,536,0.5177238805970149,233,542,0.42988929889298894,67,170,481,0.5623700623700624,0.2222222222222222
