,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FAIRLEIGH-DICKINSON_homegame,FAIRLEIGH-DICKINSON_homegame2,FAIRLEIGH-DICKINSON_home,FAIRLEIGH-DICKINSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-rutgers,43.5,10,8.9,4,118.4,54.5,18,0.397,63,0.365,23,0.20600000000000002,13,0.385,5,1,200,72.4,31.6,12,18,55,,13.2,10,0.254,16,0.25,4,42.3,30,0.39799999999999996,22.5,20,47,0.40399999999999997,19,0.0,0,"November 9, 2018",62.9,22,25.5,12,72.4,68.4,26,0.631,65,0.5379999999999999,35,0.262,17,0.47100000000000003,8,0,200,118.4,45.5,15,15,90,,7.9,6,0.308,20,0.6,12,57.7,41,0.616,19.0,17,45,0.511,23,1.0,1,"Louis Brown Athletic Center, New Brunswick, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,76.1,Home,RUTGERS,Rutgers,Fairleigh Dickinson,northeast,0,False,False,False,Away,False,4,19,63,30,71,12,23,65,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-14-19-fairleigh-dickinson,41.2,7,2.3,1,119.2,75.9,22,0.368,57,0.298,17,0.228,13,0.462,6,0,202,65.8,24.4,10,20,48,,4.1,3,0.491,28,0.28600000000000003,8,45.7,32,0.38,25.1,21,29,0.31,9,0.0,0,"November 14, 2018",54.5,18,0.0,0,65.8,75.6,31,0.623,57,0.579,33,0.42100000000000004,24,0.667,16,1,202,119.2,24.1,7,15,87,,12.3,9,0.24600000000000002,14,0.35700000000000004,5,54.3,38,0.636,12.9,10,43,0.6509999999999999,28,0.5,1,"Rothman Center, Teaneck, New Jersey","Queens (NY)
			","Queens (NY)
			",72.1,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,1,True,False,True,Home,True,5,28,57,38,70,8,9,57,1,0,4,19,63,0.3968253968253968,30,71,0.4225352112676056,12,23,65,0.6307692307692307,0.0
2,2018-11-16-19-fairleigh-dickinson,52.9,9,12.5,6,104.9,66.7,24,0.408,49,0.34700000000000003,17,0.531,26,0.654,17,0,200,70.4,20.6,7,25,57,,6.2,5,0.327,16,0.375,6,44.3,31,0.465,29.3,25,33,0.33299999999999996,11,0.0,0,"November 16, 2018",51.6,16,21.2,7,70.4,79.4,27,0.531,65,0.47700000000000004,31,0.462,30,0.5329999999999999,16,1,200,104.9,33.3,12,20,85,,13.6,11,0.262,17,0.41200000000000003,7,55.7,39,0.536,17.0,16,48,0.5,24,0.667,2,"Rothman Center, Teaneck, New Jersey","New York Tech
			","New York Tech
			",81.3,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,2,True,False,True,Home,True,7,24,65,39,70,6,11,49,1,0,9,47,120,0.5041666666666667,68,141,0.48226950354609927,20,32,122,0.5081967213114754,0.5
3,2018-11-21-19-princeton,40.0,10,12.5,4,95.7,81.3,26,0.585,53,0.47200000000000003,25,0.34,18,0.833,15,1,200,111.6,32.0,8,20,77,,11.6,8,0.528,28,0.429,12,59.6,34,0.626,19.8,15,25,0.52,13,0.75,3,"November 21, 2018",39.1,9,12.0,3,111.6,68.0,17,0.5,53,0.434,23,0.321,17,0.765,13,2,200,95.7,18.8,6,18,66,,14.5,10,0.396,21,0.33299999999999996,7,40.4,23,0.54,18.8,14,32,0.5,16,0.33299999999999996,1,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,68.8,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,3,False,False,False,Away,True,12,13,53,34,57,7,16,53,1,0,16,71,185,0.5135135135135135,107,211,0.5071090047393365,26,43,171,0.47953216374269003,0.6666666666666666
4,2018-11-25-15-fairleigh-dickinson,43.8,14,5.6,2,111.8,75.8,25,0.61,59,0.542,32,0.16899999999999998,10,0.8,8,3,200,117.6,18.5,5,12,80,,7.4,5,0.39,23,0.348,8,50.0,30,0.627,11.2,8,36,0.667,24,0.4,2,"November 25, 2018",51.7,15,11.1,4,117.6,81.5,22,0.565,62,0.46799999999999997,29,0.19399999999999998,12,0.5,6,2,200,111.8,24.2,8,13,76,,4.4,3,0.419,26,0.462,12,50.0,30,0.561,12.9,10,36,0.47200000000000003,17,0.6,3,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,68.2,Away,LAFAYETTE,Lafayette,Fairleigh Dickinson,northeast,4,False,True,True,Home,False,12,17,62,30,60,8,24,59,0,1,28,84,238,0.5294117647058824,141,268,0.5261194029850746,33,59,224,0.484375,0.75
5,2018-11-27-20-providence,34.8,8,5.4,2,103.0,75.9,22,0.519,53,0.434,23,0.18899999999999997,10,0.4,4,3,200,88.1,20.7,6,22,59,,11.9,8,0.45299999999999996,24,0.375,9,48.3,28,0.511,19.6,14,29,0.483,14,0.5,3,"November 27, 2018",44.0,11,13.8,4,88.1,79.3,23,0.53,50,0.5,25,0.52,26,0.615,16,2,200,103.0,24.1,7,13,69,,11.9,8,0.26,13,0.231,3,51.7,30,0.5529999999999999,17.5,13,37,0.595,22,0.7140000000000001,5,"Dunkin' Donuts Center, Providence, Rhode Island",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,67.1,Home,PROVIDENCE,Providence,Fairleigh Dickinson,northeast,5,False,False,False,Away,False,9,14,53,28,58,3,22,50,0,1,40,101,300,0.5366666666666666,171,328,0.5213414634146342,41,83,283,0.5106007067137809,0.6
6,2018-12-01-13-holy-cross,37.5,6,4.9,2,95.7,74.3,26,0.324,54,0.29600000000000004,16,0.389,21,0.667,14,4,200,70.0,33.3,13,15,49,,12.9,9,0.29600000000000004,16,0.188,3,52.7,39,0.38299999999999995,22.2,18,38,0.342,13,0.429,3,"December 1, 2018",61.5,16,18.4,7,70.0,66.7,26,0.45799999999999996,59,0.441,26,0.322,19,0.684,13,3,200,95.7,25.7,9,16,67,,11.4,8,0.305,18,0.111,2,47.3,35,0.49200000000000005,15.1,12,41,0.585,24,0.625,5,"Hart Recreation Center, Worcester, Massachusetts",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,70.0,Home,HOLY-CROSS,Holy Cross,Fairleigh Dickinson,northeast,6,False,False,False,Away,False,3,13,54,39,74,2,24,59,0,1,49,115,353,0.5339943342776204,199,386,0.5155440414507773,44,105,333,0.5135135135135135,0.5
7,2018-12-12-19-fairleigh-dickinson,61.3,19,3.1,1,116.3,67.7,21,0.5529999999999999,66,0.47,31,0.212,14,0.7859999999999999,11,7,200,105.0,22.9,8,21,84,,7.5,6,0.424,28,0.39299999999999996,11,43.9,29,0.578,19.1,17,38,0.526,20,0.41700000000000004,5,"December 12, 2018",61.3,19,23.7,9,105.0,77.1,27,0.627,59,0.525,31,0.49200000000000005,29,0.655,19,4,200,116.3,32.3,10,18,93,,15.0,12,0.45799999999999996,27,0.444,12,56.1,37,0.639,17.3,15,32,0.594,19,0.5,4,"Rothman Center, Teaneck, New Jersey",ARMY,Army,79.7,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,7,True,False,True,Home,True,12,19,59,37,66,11,20,66,1,0,52,128,407,0.5061425061425061,238,460,0.5173913043478261,46,129,392,0.5051020408163265,0.42857142857142855
8,2018-12-15-19-fairleigh-dickinson,48.0,12,5.7,2,114.3,83.3,25,0.59,50,0.5,25,0.7,35,0.8859999999999999,31,2,200,128.6,30.8,8,19,90,,7.1,5,0.38,19,0.474,9,58.9,33,0.675,14.4,11,31,0.516,16,0.846,11,"December 15, 2018",59.3,16,12.9,4,128.6,69.2,18,0.5429999999999999,58,0.466,27,0.379,22,0.773,17,5,200,114.3,16.7,5,23,80,,5.7,4,0.397,23,0.391,9,41.1,23,0.584,9.4,7,35,0.514,18,0.444,4,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,70.0,Away,NJIT,NJIT,Fairleigh Dickinson,northeast,8,False,True,True,Home,False,9,18,58,23,56,9,16,50,0,1,64,147,466,0.5214592274678111,275,526,0.5228136882129277,57,149,458,0.5120087336244541,0.5
9,2018-12-19-19-fairleigh-dickinson,30.8,8,6.9,2,115.3,70.0,14,0.5589999999999999,51,0.51,26,0.392,20,0.85,17,9,200,102.8,34.8,8,30,74,,6.9,5,0.314,16,0.313,5,51.2,22,0.612,25.1,20,35,0.6,21,0.182,2,"December 19, 2018",58.3,14,11.4,4,102.8,65.2,15,0.563,48,0.5,24,0.708,34,0.853,29,5,200,115.3,30.0,6,17,83,,18.1,13,0.396,19,0.316,6,48.8,21,0.647,18.2,14,29,0.621,18,0.5,5,"Rothman Center, Teaneck, New Jersey",SAINT-PETERS,St. Peter's,72.3,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,9,True,False,True,Home,True,6,18,48,21,43,5,21,51,1,0,73,165,524,0.523854961832061,298,582,0.5120274914089347,66,165,508,0.5196850393700787,0.4444444444444444
