,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EAST-TENNESSEE-STATE_homegame,EAST-TENNESSEE-STATE_homegame2,EAST-TENNESSEE-STATE_home,EAST-TENNESSEE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-georgia-state,46.2,12,12.1,4,104.2,60.0,21,0.37799999999999995,74,0.35100000000000003,26,0.243,18,0.667,12,1,200,95.8,48.9,23,24,68,,7.0,5,0.311,23,0.174,4,53.7,44,0.41200000000000003,13.7,13,51,0.431,22,0.0,0,"November 6, 2018",40.9,9,19.6,10,95.8,51.1,24,0.465,57,0.386,22,0.509,29,0.7240000000000001,21,0,200,104.2,40.0,14,18,74,,9.9,7,0.42100000000000004,24,0.375,9,46.3,38,0.523,15.7,13,33,0.39399999999999996,13,1.0,1,"GSU Sports Arena, Atlanta, Georgia",EAST-TENNESSEE-STATE,ETSU,71.2,Home,GEORGIA-STATE,Georgia State,East Tennessee State,southern,0,False,False,False,Away,False,4,22,74,44,82,9,13,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-19-east-tennessee-state,41.2,7,6.6,4,143.4,36.7,11,0.325,57,0.298,17,0.281,16,0.43799999999999994,7,0,200,57.9,14.0,6,16,44,,10.5,8,0.316,18,0.16699999999999998,3,23.3,17,0.341,22.9,19,39,0.359,14,0.0,0,"November 8, 2018",43.5,20,15.4,6,57.9,86.0,37,0.66,75,0.613,46,0.22699999999999998,17,0.588,10,1,200,143.4,63.3,19,15,109,,13.2,10,0.187,14,0.5,7,76.7,56,0.6559999999999999,11.8,11,61,0.639,39,0.5,1,"Freedom Hall Civic Center, Johnson City, Tennessee","Hiwassee
			","Hiwassee
			",76.3,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,1,True,False,True,Home,True,7,39,75,56,73,3,14,57,1,0,4,22,74,0.3783783783783784,44,82,0.5365853658536586,9,13,57,0.4649122807017544,0.0
2,2018-11-11-13-creighton,44.8,13,6.1,2,104.2,90.5,19,0.493,67,0.433,29,0.045,3,1.0,3,2,200,95.8,45.2,14,23,69,,12.5,9,0.38799999999999996,26,0.308,8,63.5,33,0.504,21.8,19,41,0.512,21,0.33299999999999996,1,"November 11, 2018",46.2,12,7.3,3,95.8,54.8,17,0.635,48,0.542,26,0.33299999999999996,16,0.875,14,0,200,104.2,9.5,2,11,75,,8.3,6,0.313,15,0.6,9,36.5,19,0.674,22.5,16,33,0.515,17,1.0,2,"CenturyLink Center, Omaha, Nebraska",EAST-TENNESSEE-STATE,ETSU,71.5,Home,CREIGHTON,Creighton,East Tennessee State,southern,2,False,False,False,Away,False,8,21,67,33,52,9,17,48,0,1,11,61,149,0.5201342281879194,100,155,0.6451612903225806,12,27,114,0.39473684210526316,0.5
3,2018-11-17-14-winthrop,65.5,19,9.1,3,98.7,88.5,23,0.507,67,0.433,29,0.239,16,0.5,8,2,200,101.3,42.4,14,22,76,,12.0,9,0.433,29,0.345,10,62.7,37,0.509,14.9,13,38,0.5,19,0.5,2,"November 17, 2018",46.2,12,21.1,8,101.3,57.6,19,0.5670000000000001,52,0.5,26,0.365,19,0.789,15,2,200,98.7,11.5,3,21,74,,4.0,3,0.365,19,0.368,7,37.3,22,0.606,23.9,19,33,0.5760000000000001,19,0.5,2,"Winthrop Coliseum, Rock Hill, South Carolina",WINTHROP,Winthrop,75.3,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,3,False,False,False,Away,True,10,19,67,37,59,7,19,52,1,0,19,82,216,0.5115740740740741,133,207,0.642512077294686,21,44,162,0.4660493827160494,0.3333333333333333
4,2018-11-19-19-east-tennessee-state,46.2,12,10.3,3,126.5,53.8,14,0.528,53,0.491,26,0.151,8,0.625,5,6,200,89.7,15.4,4,21,61,,7.4,5,0.28300000000000003,15,0.267,4,34.6,18,0.537,21.0,15,38,0.579,22,0.0,0,"November 19, 2018",60.7,17,10.5,4,89.7,84.6,22,0.589,56,0.5,28,0.41100000000000003,23,0.87,20,2,200,126.5,46.2,12,17,86,,10.3,7,0.48200000000000004,27,0.37,10,65.4,34,0.643,16.4,13,29,0.621,18,0.6,3,"Freedom Hall Civic Center, Johnson City, Tennessee",CHICAGO-STATE,Chicago State,67.9,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,4,True,False,True,Home,True,10,18,56,34,52,4,22,53,1,0,29,101,283,0.5106007067137809,170,266,0.6390977443609023,28,63,214,0.49065420560747663,0.5
5,2018-11-20-19-east-tennessee-state,65.2,15,0.0,0,124.2,72.7,24,0.519,53,0.434,23,0.17,9,0.889,8,4,200,101.6,13.8,4,19,63,,3.2,2,0.415,22,0.409,9,45.2,28,0.55,14.9,10,31,0.452,14,0.429,3,"November 20, 2018",53.8,14,16.1,5,101.6,86.2,25,0.585,53,0.491,26,0.396,21,0.7140000000000001,15,2,200,124.2,27.3,9,13,77,,6.5,4,0.434,23,0.435,10,54.8,34,0.611,10.1,7,30,0.5329999999999999,16,0.667,4,"Freedom Hall Civic Center, Johnson City, Tennessee",SAM-HOUSTON-STATE,Sam Houston State,62.1,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,5,True,False,True,Home,True,10,16,53,34,62,9,14,53,1,0,39,119,339,0.523598820058997,204,318,0.6415094339622641,32,85,267,0.49812734082397003,0.6
6,2018-11-24-16-east-tennessee-state,56.5,13,5.9,2,121.5,65.4,17,0.474,58,0.397,23,0.172,10,0.6,6,4,200,93.8,18.9,7,15,61,,10.8,7,0.569,33,0.273,9,38.1,24,0.486,15.0,11,25,0.56,14,0.33299999999999996,2,"November 24, 2018",50.0,16,8.0,2,93.8,81.1,30,0.6759999999999999,54,0.593,32,0.222,12,0.5,6,2,200,121.5,34.6,9,13,79,,6.2,4,0.37,20,0.45,9,61.9,39,0.662,18.0,13,34,0.6759999999999999,23,0.7140000000000001,5,"Freedom Hall Civic Center, Johnson City, Tennessee",NORTH-DAKOTA-STATE,North Dakota State,65.2,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,6,True,False,True,Home,True,9,23,54,39,63,9,14,58,1,0,49,135,392,0.5318877551020408,238,380,0.6263157894736842,41,99,320,0.5015625,0.6666666666666666
7,2018-11-27-19-georgia-southern,55.6,15,10.5,4,81.0,84.6,33,0.484,64,0.42200000000000004,27,0.203,13,0.5379999999999999,7,2,200,87.3,32.4,11,15,69,,12.7,10,0.375,24,0.33299999999999996,8,60.3,44,0.49200000000000005,23.1,21,40,0.475,19,0.75,6,"November 27, 2018",46.2,12,10.0,4,87.3,67.6,23,0.45299999999999996,64,0.406,26,0.156,10,0.6,6,1,200,81.0,15.4,6,12,64,,7.6,6,0.406,26,0.231,6,39.7,29,0.465,18.0,15,38,0.526,20,0.833,5,"Hanner Fieldhouse, Statesboro, Georgia",GEORGIA-SOUTHERN,Georgia Southern,79.0,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,7,False,False,False,Away,True,8,19,64,44,73,6,20,64,1,0,58,158,446,0.5493273542600897,277,443,0.6252821670428894,50,113,378,0.4973544973544973,0.7142857142857143
8,2018-12-01-19-wofford,52.4,11,9.7,3,116.2,60.0,15,0.46399999999999997,55,0.382,21,0.4,22,0.5,11,3,200,91.2,23.5,8,17,62,,8.8,6,0.364,20,0.45,9,39.0,23,0.474,12.2,9,35,0.34299999999999997,12,0.667,6,"December 1, 2018",59.3,16,11.4,4,91.2,76.5,26,0.575,53,0.509,27,0.434,23,0.7829999999999999,18,2,200,116.2,40.0,10,19,79,,10.3,7,0.415,22,0.318,7,61.0,36,0.618,19.2,15,31,0.645,20,0.75,6,"Richardson Indoor Stadium, Spartanburg, South Carolina",EAST-TENNESSEE-STATE,ETSU,67.7,Home,WOFFORD,Wofford,East Tennessee State,southern,8,False,False,False,Away,False,9,12,55,23,59,7,20,53,0,1,66,177,510,0.5411764705882353,321,516,0.622093023255814,56,133,442,0.49095022624434387,0.75
9,2018-12-03-19-east-tennessee-state,52.6,10,2.9,1,121.6,50.0,14,0.315,73,0.26,19,0.301,22,0.636,14,0,200,68.2,11.5,6,28,60,,12.5,11,0.466,34,0.235,8,25.0,20,0.359,13.6,13,39,0.282,11,0.0,0,"December 3, 2018",54.5,18,10.3,4,68.2,88.5,46,0.625,60,0.55,33,0.65,39,0.821,32,3,200,121.6,50.0,14,23,107,,8.0,7,0.41700000000000004,25,0.36,9,75.0,60,0.6809999999999999,22.2,22,35,0.6859999999999999,24,0.7,7,"Freedom Hall Civic Center, Johnson City, Tennessee","Reinhardt
			","Reinhardt
			",88.5,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,9,True,False,True,Home,True,9,24,60,60,80,8,11,73,1,0,75,189,565,0.5336283185840708,344,575,0.5982608695652174,63,153,495,0.5,0.6666666666666666
