,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CENTRAL-ARKANSAS_homegame,CENTRAL-ARKANSAS_homegame2,CENTRAL-ARKANSAS_home,CENTRAL-ARKANSAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-missouri,50.0,10,7.9,3,95.8,75.7,28,0.41,61,0.32799999999999996,20,0.131,8,0.625,5,1,200,77.5,15.8,6,16,55,,8.5,6,0.44299999999999995,27,0.37,10,45.3,34,0.424,16.8,13,34,0.294,10,0.0,0,"November 6, 2018",48.1,13,5.9,2,77.5,84.2,32,0.484,64,0.42200000000000004,27,0.203,13,0.462,6,0,200,95.8,24.3,9,15,68,,8.5,6,0.406,26,0.308,8,54.7,41,0.485,12.5,10,38,0.5,19,1.0,1,"Mizzou Arena, Columbia, Missouri",CENTRAL-ARKANSAS,Central Arkansas,71.5,Home,MISSOURI,Missouri,Central Arkansas,southland,0,False,False,False,Away,False,10,10,61,34,75,8,19,64,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-20-central-arkansas,61.9,13,0.0,0,122.2,44.1,15,0.455,55,0.382,21,0.655,36,0.639,23,0,200,90.1,21.1,8,29,73,,3.7,3,0.491,27,0.29600000000000004,8,31.9,23,0.506,19.4,17,28,0.46399999999999997,13,0.0,0,"November 8, 2018",40.6,13,7.1,2,90.1,78.9,30,0.515,66,0.485,32,0.606,40,0.775,31,1,200,122.2,55.9,19,27,99,,8.6,7,0.212,14,0.28600000000000003,4,68.1,49,0.5820000000000001,14.3,14,52,0.5379999999999999,28,0.5,1,"Jeff Farris Center, Conway, Arkansas","Hendrix
			","Hendrix
			",80.6,Home,CENTRAL-ARKANSAS,Central Arkansas,Central Arkansas,southland,1,True,False,True,Home,True,4,28,66,49,72,8,13,55,1,0,10,10,61,0.4098360655737705,34,75,0.4533333333333333,8,19,64,0.484375,0.0
2,2018-11-12-20-central-arkansas,57.1,12,0.0,0,113.4,72.2,13,0.35200000000000004,71,0.29600000000000004,21,0.085,6,0.33299999999999996,2,0,200,63.4,12.8,6,15,52,,12.2,10,0.43700000000000006,31,0.258,8,29.2,19,0.35200000000000004,16.9,15,40,0.325,13,0.0,0,"November 12, 2018",59.5,22,20.0,8,63.4,87.2,41,0.6779999999999999,59,0.627,37,0.28800000000000003,17,0.765,13,1,200,113.4,27.8,5,12,93,,11.0,9,0.22,13,0.462,6,70.8,46,0.693,23.1,20,46,0.674,31,0.667,2,"Jeff Farris Center, Conway, Arkansas","University of the Ozarks
			","University of the Ozarks
			",82.5,Home,CENTRAL-ARKANSAS,Central Arkansas,Central Arkansas,southland,2,True,False,True,Home,True,6,31,59,46,65,8,13,71,1,0,14,38,127,0.4645669291338583,83,147,0.564625850340136,16,32,119,0.47058823529411764,0.5
3,2018-11-15-19-pittsburgh,50.0,13,13.0,6,122.8,63.9,23,0.5539999999999999,56,0.46399999999999997,26,0.23199999999999998,13,0.6920000000000001,9,2,200,89.9,17.2,5,27,71,,6.3,5,0.375,21,0.47600000000000003,10,43.1,28,0.5710000000000001,27.1,23,35,0.457,16,0.5,2,"November 15, 2018",40.6,13,14.3,5,89.9,82.8,24,0.546,65,0.49200000000000005,32,0.5379999999999999,35,0.743,26,0,200,122.8,36.1,13,15,97,,8.9,7,0.292,19,0.368,7,56.9,37,0.594,11.1,10,46,0.5429999999999999,25,1.0,4,"Petersen Events Center, Pittsburgh, Pennsylvania",CENTRAL-ARKANSAS,Central Arkansas,79.4,Home,PITTSBURGH,Pitt,Central Arkansas,southland,3,False,False,False,Away,False,10,16,56,28,65,7,25,65,0,1,20,69,186,0.532258064516129,129,212,0.6084905660377359,24,45,190,0.4263157894736842,0.6666666666666666
4,2018-11-18-15-troy,57.1,16,0.0,0,110.8,72.0,18,0.54,62,0.452,28,0.242,15,0.667,10,3,200,104.1,20.0,6,19,77,,5.4,4,0.484,30,0.36700000000000005,11,43.6,24,0.557,14.9,12,32,0.531,17,0.4,2,"November 18, 2018",41.4,12,15.6,5,104.1,80.0,24,0.589,56,0.518,29,0.429,24,0.667,16,3,200,110.8,28.0,7,13,82,,4.1,3,0.33899999999999997,19,0.42100000000000004,8,56.4,31,0.608,15.3,12,37,0.568,21,0.4,2,"Trojan Arena, Troy, Alabama",CENTRAL-ARKANSAS,Central Arkansas,73.8,Home,TROY,Troy,Central Arkansas,southland,4,False,False,False,Away,False,11,17,62,24,55,8,21,56,0,1,30,85,242,0.5371900826446281,157,277,0.5667870036101083,31,70,255,0.4568627450980392,0.5
5,2018-11-24-16-saint-louis,50.0,10,8.3,3,100.0,59.4,19,0.429,56,0.35700000000000004,20,0.321,18,0.722,13,4,200,83.6,11.4,4,20,61,,6.8,5,0.446,25,0.32,8,34.3,23,0.473,16.9,13,31,0.387,12,0.33299999999999996,2,"November 24, 2018",72.7,16,16.1,5,83.6,88.6,31,0.49,52,0.423,22,0.615,32,0.688,22,1,200,100.0,40.6,13,19,73,,6.8,5,0.308,16,0.43799999999999994,7,65.7,44,0.5429999999999999,21.4,18,36,0.41700000000000004,15,0.833,5,"Chaifetz Arena, St. Louis, Missouri",CENTRAL-ARKANSAS,Central Arkansas,72.9,Home,SAINT-LOUIS,Saint Louis,Central Arkansas,southland,5,False,False,False,Away,False,8,12,56,23,67,7,15,52,0,1,41,102,304,0.537828947368421,181,332,0.5451807228915663,39,91,311,0.4807073954983923,0.4
6,2018-11-28-20-central-arkansas,51.9,14,6.1,2,101.3,86.2,25,0.462,66,0.409,27,0.318,21,0.19,4,4,200,84.4,30.4,14,20,65,,11.7,9,0.379,25,0.28,7,52.0,39,0.428,17.5,16,41,0.488,20,0.429,3,"November 28, 2018",63.0,17,4.9,2,84.4,69.6,32,0.604,53,0.509,27,0.358,19,0.737,14,4,200,101.3,13.8,4,20,78,,6.5,5,0.377,20,0.5,10,48.0,36,0.629,21.7,17,33,0.515,17,0.429,3,"Jeff Farris Center, Conway, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,76.5,Home,CENTRAL-ARKANSAS,Central Arkansas,Central Arkansas,southland,6,True,False,True,Home,True,10,17,53,36,75,7,20,66,1,0,49,114,360,0.5208333333333334,204,399,0.5112781954887218,46,106,363,0.4820936639118457,0.3333333333333333
7,2018-12-05-19-louisville,37.5,6,3.1,1,119.4,78.1,25,0.289,64,0.25,16,0.109,7,0.5710000000000001,4,5,200,56.9,21.6,11,21,41,,2.8,2,0.375,24,0.20800000000000002,5,43.4,36,0.304,18.3,15,40,0.275,11,0.375,3,"December 5, 2018",64.5,20,5.0,2,56.9,78.4,40,0.5920000000000001,60,0.517,31,0.36700000000000005,22,0.682,15,2,200,119.4,21.9,7,15,86,,6.9,5,0.467,28,0.321,9,56.6,47,0.61,11.4,9,32,0.688,22,0.75,6,"KFC Yum! Center, Louisville, Kentucky",CENTRAL-ARKANSAS,Central Arkansas,71.9,Home,LOUISVILLE,Louisville,Central Arkansas,southland,7,False,False,False,Away,False,5,11,64,36,83,9,22,60,0,1,59,131,413,0.5314769975786925,240,474,0.5063291139240507,53,126,429,0.479020979020979,0.42857142857142855
8,2018-12-08-18-arkansas-little-rock,48.4,15,2.8,1,115.5,76.5,13,0.569,65,0.47700000000000004,31,0.2,13,0.846,11,5,200,119.7,47.1,16,19,85,,7.0,5,0.49200000000000005,32,0.375,12,56.9,29,0.597,16.5,14,33,0.5760000000000001,19,0.444,4,"December 8, 2018",56.7,17,3.0,1,119.7,52.9,18,0.6809999999999999,47,0.638,30,0.447,21,0.857,18,6,200,115.5,23.5,4,15,82,,11.3,8,0.23399999999999999,11,0.364,4,43.1,22,0.72,25.3,19,36,0.722,26,0.4,4,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,70.6,Away,CENTRAL-ARKANSAS,Central Arkansas,Central Arkansas,southland,8,False,False,False,Away,True,12,19,65,29,51,4,26,47,1,0,64,142,477,0.4989517819706499,276,557,0.4955116696588869,62,148,489,0.49284253578732107,0.375
9,2018-12-16-16-new-mexico,53.6,15,13.3,4,107.9,60.5,23,0.43700000000000006,71,0.39399999999999996,28,0.183,13,0.615,8,6,200,92.1,26.2,11,18,70,,10.5,8,0.33799999999999997,24,0.25,6,42.5,34,0.45399999999999996,12.5,11,47,0.46799999999999997,22,0.4,4,"December 16, 2018",60.0,18,6.4,3,92.1,73.8,31,0.5379999999999999,66,0.455,30,0.258,17,0.647,11,4,200,107.9,39.5,15,15,82,,7.9,6,0.545,36,0.306,11,57.5,46,0.5529999999999999,17.0,15,30,0.633,19,0.556,5,"The Pit, Albuquerque, New Mexico",CENTRAL-ARKANSAS,Central Arkansas,75.6,Home,NEW-MEXICO,New Mexico,Central Arkansas,southland,9,False,False,False,Away,False,6,22,71,34,80,11,19,66,0,1,76,161,542,0.507380073800738,305,608,0.5016447368421053,66,174,536,0.5093283582089553,0.4444444444444444
