,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EASTERN-WASHINGTON_homegame,EASTERN-WASHINGTON_homegame2,EASTERN-WASHINGTON_home,EASTERN-WASHINGTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-syracuse,84.6,11,4.4,2,91.7,64.7,22,0.271,59,0.22,13,0.136,8,0.25,2,1,195,47.2,22.7,10,23,34,,5.6,4,0.593,35,0.171,6,41.0,32,0.271,23.3,19,24,0.292,7,0.0,0,"November 6, 2018",45.8,11,16.7,4,47.2,77.3,34,0.41100000000000003,62,0.387,24,0.452,28,0.536,15,0,195,91.7,35.3,12,17,66,16.0,13.9,10,0.27399999999999997,17,0.17600000000000002,3,59.0,46,0.43799999999999994,10.8,9,45,0.467,21,1.0,1,"Carrier Dome, Syracuse, New York",EASTERN-WASHINGTON,Eastern Washington,73.9,Home,SYRACUSE,Syracuse,Eastern Washington,big-sky,0,False,False,False,Away,False,6,7,59,32,78,3,21,62,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-21-oregon,86.7,13,5.6,2,122.7,63.6,21,0.331,65,0.231,15,0.092,6,0.667,4,2,200,71.2,17.4,8,20,47,,3.0,2,0.6920000000000001,45,0.289,13,36.7,29,0.34600000000000003,10.6,8,20,0.1,2,0.0,0,"November 9, 2018",60.0,18,30.0,6,71.2,82.6,38,0.574,61,0.49200000000000005,30,0.27899999999999997,17,0.647,11,0,200,122.7,36.4,12,6,81,14.0,6.1,4,0.41,25,0.4,10,63.3,50,0.586,9.3,7,36,0.556,20,1.0,2,"Matthew Knight Arena, Eugene, Oregon",EASTERN-WASHINGTON,Eastern Washington,66.0,Home,OREGON,Oregon,Eastern Washington,big-sky,1,False,False,False,Away,False,13,2,65,29,79,10,20,61,0,1,6,7,59,0.2711864406779661,32,78,0.41025641025641024,3,21,62,0.4112903225806452,0.0
2,2018-11-16-19-eastern-washington,41.4,12,12.5,4,89.7,97.3,36,0.485,68,0.426,29,0.456,31,0.516,16,2,225,94.3,13.6,6,16,82,,5.7,5,0.265,18,0.444,8,51.9,42,0.496,10.9,10,50,0.42,21,0.5,2,"November 16, 2018",51.7,15,8.0,4,94.3,86.4,38,0.53,67,0.433,29,0.16399999999999998,11,0.636,7,3,225,89.7,2.7,1,24,78,,3.4,3,0.522,35,0.371,13,48.1,39,0.54,18.2,16,32,0.5,16,0.0,0,"Reese Court, Cheney, Washington",EASTERN-WASHINGTON,Eastern Washington,77.3,Away,GREEN-BAY,Green Bay,Eastern Washington,big-sky,2,False,True,True,Home,False,13,16,67,39,81,8,21,68,0,1,19,9,124,0.3024193548387097,61,157,0.3885350318471338,13,41,123,0.491869918699187,0.0
3,2018-11-17-18-missouri-kansas-city,46.7,14,8.8,3,96.4,80.0,36,0.531,65,0.462,30,0.415,27,0.667,18,3,225,104.8,21.1,8,21,87,,7.2,6,0.369,24,0.375,9,53.0,44,0.5589999999999999,15.4,14,41,0.512,21,0.25,1,"November 17, 2018",48.0,12,7.3,3,104.8,78.9,30,0.47,66,0.379,25,0.364,24,0.75,18,5,225,96.4,20.0,9,24,80,,9.6,8,0.485,32,0.375,12,47.0,39,0.517,14.5,13,34,0.382,13,0.0,0,"Reese Court, Cheney, Washington",MISSOURI-KANSAS-CITY,UMKC,73.4,Away,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,3,False,False,False,Away,True,9,21,65,44,83,12,13,66,1,0,32,25,191,0.38219895287958117,100,238,0.42016806722689076,21,62,191,0.4895287958115183,0.0
4,2018-11-27-21-washington,63.2,12,3.8,1,113.7,64.5,20,0.379,66,0.28800000000000003,19,0.212,14,0.643,9,4,200,80.8,31.8,14,23,59,,9.6,7,0.515,34,0.353,12,45.3,34,0.406,17.2,15,32,0.21899999999999997,7,0.2,1,"November 27, 2018",50.0,14,34.4,11,80.8,68.2,30,0.63,54,0.519,28,0.5,27,0.556,15,2,200,113.7,35.5,11,14,83,,9.6,7,0.519,28,0.429,12,54.7,41,0.621,20.5,17,26,0.615,16,0.7140000000000001,5,"Alaska Airlines Arena, Seattle, Washington",EASTERN-WASHINGTON,Eastern Washington,73.2,Home,WASHINGTON,Washington,Eastern Washington,big-sky,4,False,False,False,Away,False,12,7,66,34,75,12,16,54,0,1,41,46,256,0.419921875,144,321,0.4485981308411215,33,75,257,0.48443579766536965,0.25
5,2018-12-01-20-seattle,34.6,9,2.2,1,120.5,82.4,28,0.491,58,0.44799999999999995,26,0.31,18,0.611,11,5,200,93.2,15.2,5,19,68,,2.7,2,0.483,28,0.179,5,49.3,33,0.511,14.3,11,30,0.7,21,0.16699999999999998,1,"December 1, 2018",54.3,19,6.7,2,93.2,84.8,28,0.59,67,0.522,35,0.254,17,0.529,9,2,200,120.5,17.6,6,16,88,,13.7,10,0.32799999999999996,22,0.409,9,50.7,34,0.586,6.3,5,45,0.578,26,0.8,8,"Connolly Center, Seattle, Washington",EASTERN-WASHINGTON,Eastern Washington,73.3,Home,SEATTLE,Seattle,Eastern Washington,big-sky,5,False,False,False,Away,False,5,21,58,33,67,9,26,67,0,1,53,53,322,0.4114906832298137,178,396,0.4494949494949495,45,91,311,0.5096463022508039,0.2
6,2018-12-08-20-north-dakota-state,59.3,16,4.8,1,110.4,79.3,23,0.484,64,0.42200000000000004,27,0.125,8,0.625,5,6,200,100.0,20.6,7,22,67,,9.0,6,0.469,30,0.267,8,47.6,30,0.494,10.6,8,34,0.5589999999999999,19,0.14300000000000002,1,"December 8, 2018",55.0,11,5.9,2,100.0,79.4,27,0.521,48,0.41700000000000004,20,0.563,27,0.889,24,7,200,110.4,20.7,6,10,74,,6.0,4,0.563,27,0.37,10,52.4,33,0.608,14.3,10,21,0.47600000000000003,10,0.3,3,"Scheels Center, Fargo, North Dakota",EASTERN-WASHINGTON,Eastern Washington,66.8,Home,NORTH-DAKOTA-STATE,North Dakota State,Eastern Washington,big-sky,6,False,False,False,Away,False,8,19,64,30,63,10,10,48,0,1,58,74,380,0.4236842105263158,211,463,0.4557235421166307,54,117,378,0.5238095238095238,0.16666666666666666
7,2018-12-13-22-san-francisco,28.0,7,2.9,1,125.0,66.7,22,0.475,60,0.41700000000000004,25,0.15,9,0.667,6,7,200,92.6,17.1,6,17,63,,4.4,3,0.38299999999999995,23,0.304,7,41.2,28,0.49,14.7,11,37,0.486,18,0.125,1,"December 13, 2018",61.3,19,10.8,4,92.6,82.9,29,0.608,60,0.517,31,0.28300000000000003,17,0.706,12,1,200,125.0,33.3,11,14,85,,11.8,8,0.41700000000000004,25,0.44,11,58.8,40,0.624,11.8,9,35,0.5710000000000001,20,0.9,9,"War Memorial Gymnasium, San Francisco, California",EASTERN-WASHINGTON,Eastern Washington,67.7,Home,SAN-FRANCISCO,San Francisco,Eastern Washington,big-sky,7,False,False,False,Away,False,7,18,60,28,68,11,20,60,0,1,66,93,444,0.43243243243243246,241,526,0.45817490494296575,64,127,426,0.5234741784037559,0.14285714285714285
8,2018-12-15-19-stanford,47.6,10,8.3,2,114.7,87.0,20,0.462,52,0.40399999999999997,21,0.385,20,0.7,14,8,200,91.2,7.1,2,21,62,,5.9,4,0.385,20,0.3,6,43.1,22,0.504,14.1,10,32,0.469,15,0.111,1,"December 15, 2018",60.7,17,3.1,1,91.2,92.9,26,0.653,49,0.5710000000000001,28,0.38799999999999996,19,0.737,14,4,200,114.7,13.0,3,21,78,,7.4,5,0.51,25,0.32,8,56.9,29,0.672,17.3,12,24,0.833,20,0.556,5,"Maples Pavilion, Stanford, California",EASTERN-WASHINGTON,Eastern Washington,68.3,Home,STANFORD,Stanford,Eastern Washington,big-sky,8,False,False,False,Away,False,6,15,52,22,51,8,20,49,0,1,73,111,504,0.4375,269,594,0.45286195286195285,75,147,486,0.5339506172839507,0.125
9,2018-12-18-21-eastern-washington,39.1,9,12.5,2,88.9,85.7,30,0.491,54,0.426,23,0.46299999999999997,25,0.84,21,4,200,102.8,15.2,5,18,74,,9.7,7,0.46299999999999997,25,0.28,7,51.5,35,0.562,15.6,12,29,0.552,16,0.7140000000000001,10,"December 18, 2018",71.4,15,3.4,1,102.8,84.8,28,0.509,54,0.389,21,0.24100000000000002,13,0.6920000000000001,9,9,200,88.9,14.3,5,21,64,,6.9,5,0.7040000000000001,38,0.342,13,48.5,33,0.532,20.1,15,16,0.5,8,0.1,1,"Reese Court, Cheney, Washington",EASTERN-WASHINGTON,Eastern Washington,71.5,Away,SOUTH-DAKOTA-STATE,South Dakota State,Eastern Washington,big-sky,9,False,True,True,Home,False,13,8,54,33,68,7,16,54,0,1,79,126,556,0.4397482014388489,291,645,0.4511627906976744,83,167,535,0.5448598130841121,0.1111111111111111
10,2018-12-21-17-eastern-washington,53.8,14,2.6,1,124.3,74.3,26,0.593,54,0.48100000000000004,26,0.278,15,0.6,9,0,200,98.6,25.0,7,13,73,,2.7,2,0.389,21,0.5710000000000001,12,52.4,33,0.597,25.7,21,33,0.424,14,0.0,0,"December 21, 2018",60.6,20,6.1,2,98.6,75.0,21,0.564,70,0.47100000000000003,33,0.214,15,0.867,13,9,200,124.3,25.7,9,15,92,,21.6,16,0.457,32,0.406,13,47.6,30,0.596,5.0,4,38,0.526,20,0.182,2,"Reese Court, Cheney, Washington","Corban
			","Corban
			",73.6,Home,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,10,True,False,True,Home,True,13,20,70,30,63,12,14,54,1,0,92,134,610,0.4459016393442623,324,713,0.4544179523141655,90,183,589,0.5398981324278438,0.1
11,2018-12-29-17-eastern-washington,51.6,16,12.2,6,98.6,80.0,32,0.603,58,0.534,31,0.31,18,0.778,14,5,200,115.1,14.3,4,17,84,,4.1,3,0.259,15,0.5329999999999999,8,52.9,36,0.631,13.2,10,43,0.535,23,0.583,7,"December 29, 2018",50.0,13,14.0,6,115.1,85.7,24,0.433,67,0.38799999999999996,26,0.254,17,0.8240000000000001,14,10,200,98.6,20.0,8,17,72,,8.2,6,0.26899999999999996,18,0.33299999999999996,6,47.1,32,0.48,7.5,6,49,0.408,20,0.16699999999999998,2,"Reese Court, Cheney, Washington",EASTERN-WASHINGTON,Eastern Washington,72.8,Away,WEBER-STATE,Weber State,Eastern Washington,big-sky,11,False,True,True,Home,False,6,20,67,32,68,8,23,58,0,1,105,154,680,0.45808823529411763,354,776,0.45618556701030927,102,197,643,0.5443234836702955,0.18181818181818182
12,2018-12-31-16-eastern-washington,45.5,10,9.8,4,100.0,78.6,22,0.491,53,0.415,22,0.113,6,0.5,3,6,200,84.6,24.1,7,13,55,,9.2,6,0.45299999999999996,24,0.33299999999999996,8,50.9,29,0.49200000000000005,22.3,16,29,0.483,14,0.455,5,"December 31, 2018",50.0,13,10.3,3,84.6,75.9,22,0.509,56,0.46399999999999997,26,0.161,9,0.889,8,10,200,100.0,21.4,6,13,65,,15.4,10,0.268,15,0.33299999999999996,5,49.1,28,0.539,14.3,10,41,0.512,21,0.231,3,"Reese Court, Cheney, Washington",IDAHO-STATE,Idaho State,64.6,Home,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,12,True,False,True,Home,True,5,21,56,28,57,8,14,53,1,0,111,174,747,0.45582329317269077,386,844,0.45734597156398105,110,220,701,0.5492154065620543,0.16666666666666666
13,2019-01-03-22-idaho,66.7,16,17.2,5,108.8,72.7,16,0.49200000000000005,59,0.40700000000000003,24,0.28800000000000003,17,0.765,13,11,200,104.4,24.1,7,23,71,,10.3,7,0.525,31,0.32299999999999995,10,45.1,23,0.529,14.2,11,28,0.5,14,0.214,3,"January 3, 2019",50.0,12,3.6,1,104.4,75.9,22,0.604,48,0.5,24,0.43799999999999994,21,0.762,16,10,200,108.8,27.3,6,19,74,,10.3,7,0.396,19,0.526,10,54.9,28,0.638,17.3,12,29,0.483,14,0.28600000000000003,4,"Cowan Spectrum, Moscow, Idaho",EASTERN-WASHINGTON,Eastern Washington,67.5,Home,IDAHO,Idaho,Eastern Washington,big-sky,13,False,False,False,Away,False,10,14,59,23,51,10,14,48,0,1,116,195,803,0.45952677459526775,414,901,0.4594894561598224,118,234,754,0.5450928381962865,0.23076923076923078
