,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LAFAYETTE_homegame,LAFAYETTE_homegame2,LAFAYETTE_home,LAFAYETTE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-saint-peters,42.9,12,0.0,0,117.7,63.2,24,0.53,66,0.424,28,0.28800000000000003,19,0.8420000000000001,16,1,225,108.9,27.0,10,25,86,,2.5,2,0.515,34,0.41200000000000003,14,45.3,34,0.573,16.8,15,32,0.43799999999999994,14,0.0,0,"November 7, 2018",40.6,13,12.5,4,108.9,73.0,27,0.535,71,0.451,32,0.31,22,0.773,17,0,225,117.7,36.8,14,20,93,,3.8,3,0.465,33,0.364,12,54.7,41,0.5710000000000001,11.0,10,38,0.526,20,1.0,1,"Yanitelli Center, Jersey City, New Jersey",LAFAYETTE,Lafayette,70.0,Home,SAINT-PETERS,St. Peter's,Lafayette,patriot,0,False,False,False,Away,False,14,14,66,34,75,12,20,71,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-15-la-salle,72.0,18,13.3,4,107.0,75.7,28,0.557,53,0.47200000000000003,25,0.434,23,0.7829999999999999,18,1,200,108.5,32.1,9,19,77,,4.2,3,0.377,20,0.45,9,56.9,37,0.602,21.2,17,33,0.485,16,0.5,1,"November 10, 2018",52.2,12,0.0,0,108.5,67.9,19,0.467,61,0.377,23,0.39299999999999996,24,0.792,19,2,200,107.0,24.3,9,22,76,,9.9,7,0.508,31,0.355,11,43.1,28,0.525,8.9,7,30,0.4,12,0.0,0,"Tom Gola Arena, Philadelphia, Pennsylvania",LA-SALLE,La Salle,71.2,Away,LAFAYETTE,Lafayette,Lafayette,patriot,1,False,False,False,Away,True,9,16,53,37,65,11,12,61,1,0,14,14,66,0.5303030303030303,34,75,0.4533333333333333,12,20,71,0.5352112676056338,0.0
2,2018-11-13-19-pennsylvania,38.5,10,9.4,3,130.0,82.6,19,0.5770000000000001,52,0.5,26,0.057999999999999996,3,0.33299999999999996,1,2,200,87.1,8.3,2,14,61,,4.3,3,0.385,20,0.4,8,44.7,21,0.5710000000000001,25.2,18,32,0.563,18,0.33299999999999996,1,"November 13, 2018",54.3,19,0.0,0,87.1,91.7,22,0.68,61,0.574,35,0.14800000000000002,9,0.889,8,0,200,130.0,17.4,4,12,91,,11.4,8,0.475,29,0.44799999999999995,13,55.3,26,0.6970000000000001,12.2,9,32,0.688,22,1.0,3,"The Palestra, Philadelphia, Pennsylvania",LAFAYETTE,Lafayette,69.9,Home,PENNSYLVANIA,Penn,Lafayette,patriot,2,False,False,False,Away,False,8,18,52,21,47,13,22,61,0,1,23,30,119,0.542016806722689,71,140,0.5071428571428571,23,32,132,0.5037878787878788,0.5
3,2018-11-18-14-lafayette,26.7,8,5.4,2,91.1,80.6,25,0.507,68,0.441,30,0.33799999999999997,23,0.652,15,2,200,106.3,29.3,12,19,84,,15.2,12,0.353,24,0.375,9,51.4,37,0.532,13.3,12,44,0.47700000000000004,21,0.5,2,"November 18, 2018",28.0,7,11.4,5,106.3,70.7,29,0.509,57,0.439,25,0.281,16,0.875,14,3,200,91.1,19.4,6,20,72,,6.3,5,0.35100000000000003,20,0.4,8,48.6,35,0.557,23.8,20,37,0.45899999999999996,17,0.25,1,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,78.8,Away,ST-FRANCIS-NY,St. Francis (NY),Lafayette,patriot,3,False,True,True,Home,False,8,17,57,35,72,9,21,68,0,1,31,48,171,0.5526315789473685,92,187,0.4919786096256685,36,54,193,0.5595854922279793,0.3333333333333333
4,2018-11-25-15-fairleigh-dickinson,43.8,14,5.6,2,111.8,75.8,25,0.61,59,0.542,32,0.16899999999999998,10,0.8,8,3,200,117.6,18.5,5,12,80,,7.4,5,0.39,23,0.348,8,50.0,30,0.627,11.2,8,36,0.667,24,0.4,2,"November 25, 2018",51.7,15,11.1,4,117.6,81.5,22,0.565,62,0.46799999999999997,29,0.19399999999999998,12,0.5,6,2,200,111.8,24.2,8,13,76,,4.4,3,0.419,26,0.462,12,50.0,30,0.561,12.9,10,36,0.47200000000000003,17,0.6,3,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,68.2,Away,LAFAYETTE,Lafayette,Lafayette,patriot,4,False,False,False,Away,True,8,24,59,30,60,12,17,62,1,0,39,65,228,0.5416666666666666,127,259,0.49034749034749037,45,75,261,0.5459770114942529,0.25
5,2018-11-28-19-lafayette,40.9,9,6.0,3,78.4,69.0,29,0.425,60,0.36700000000000005,22,0.35,21,0.5710000000000001,12,3,225,85.1,2.7,1,16,63,,4.1,3,0.4,24,0.292,7,38.0,30,0.45,8.0,6,36,0.41700000000000004,15,0.5710000000000001,4,"November 28, 2018",37.5,9,16.7,6,85.1,97.3,36,0.381,67,0.358,24,0.16399999999999998,11,0.636,7,4,225,78.4,31.0,13,18,58,,5.4,4,0.254,17,0.17600000000000002,3,62.0,49,0.402,15.3,13,50,0.42,21,0.33299999999999996,2,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,65.4,Away,CORNELL,Cornell,Lafayette,patriot,5,False,True,True,Home,False,3,21,67,49,79,7,15,60,0,1,47,89,287,0.5557491289198606,157,319,0.49216300940438873,57,92,323,0.5495356037151703,0.4
6,2018-12-02-14-lafayette,47.8,11,12.5,5,83.8,70.7,29,0.457,58,0.397,23,0.293,17,0.647,11,5,200,86.5,26.5,9,15,64,,8.1,6,0.36200000000000004,21,0.33299999999999996,7,50.7,38,0.484,19.6,16,37,0.43200000000000005,16,0.444,4,"December 2, 2018",50.0,12,18.9,7,86.5,73.5,25,0.38,71,0.33799999999999997,24,0.127,9,0.889,8,5,200,83.8,29.3,12,19,62,,9.5,7,0.43700000000000006,31,0.19399999999999998,6,49.3,37,0.41200000000000003,12.8,11,40,0.45,18,0.28600000000000003,2,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,73.7,Away,SACRED-HEART,Sacred Heart,Lafayette,patriot,6,False,True,True,Home,False,6,18,71,37,75,7,16,58,0,1,50,110,354,0.5225988700564972,206,398,0.5175879396984925,64,107,383,0.5300261096605744,0.3333333333333333
7,2018-12-05-18-connecticut,52.2,12,4.3,2,120.0,60.5,23,0.41100000000000003,62,0.371,23,0.226,14,0.857,12,6,200,84.0,25.0,8,15,63,,2.7,2,0.371,23,0.217,5,44.3,31,0.45899999999999996,19.0,16,39,0.462,18,0.25,2,"December 5, 2018",50.0,17,10.3,4,84.0,75.0,24,0.541,74,0.45899999999999996,34,0.17600000000000002,13,0.769,10,2,200,120.0,39.5,15,16,90,,10.7,8,0.37799999999999995,28,0.429,12,55.7,39,0.561,9.1,8,46,0.478,22,0.778,7,"Harry A. Gampel Pavilion, Storrs, Connecticut",LAFAYETTE,Lafayette,74.9,Home,CONNECTICUT,UConn,Lafayette,patriot,7,False,False,False,Away,False,5,18,62,31,70,12,22,74,0,1,56,128,425,0.4988235294117647,243,473,0.5137420718816068,71,123,441,0.5204081632653061,0.2857142857142857
8,2018-12-08-14-quinnipiac,40.0,12,4.8,1,125.7,65.4,17,0.5479999999999999,63,0.47600000000000003,30,0.27,17,0.47100000000000003,8,7,200,110.0,39.3,11,21,77,,4.3,3,0.28600000000000003,18,0.5,9,51.9,28,0.542,17.5,15,45,0.467,21,0.222,2,"December 8, 2018",48.1,13,2.2,1,110.0,60.7,17,0.67,50,0.54,27,0.6,30,0.7,21,4,200,125.7,34.6,9,18,88,,12.9,9,0.58,29,0.44799999999999995,13,48.1,26,0.685,12.5,9,21,0.667,14,0.5,4,"TD Bank Sports Center, Hamden, Connecticut",LAFAYETTE,Lafayette,69.7,Home,QUINNIPIAC,Quinnipiac,Lafayette,patriot,8,False,False,False,Away,False,9,21,63,28,54,13,14,50,0,1,61,146,487,0.48767967145790553,274,543,0.5046040515653776,83,145,515,0.5233009708737864,0.25
9,2018-12-19-19-lafayette,38.1,8,10.5,4,115.9,65.9,27,0.36700000000000005,64,0.32799999999999996,21,0.172,11,0.636,7,0,200,65.9,19.0,8,13,54,,11.0,9,0.297,19,0.263,5,42.2,35,0.39,22.5,20,45,0.35600000000000004,16,0.0,0,"December 19, 2018",66.7,24,6.7,3,65.9,81.0,34,0.5760000000000001,72,0.5,36,0.25,18,0.667,12,7,200,115.9,34.1,14,16,95,,14.6,12,0.47200000000000003,34,0.324,11,57.8,48,0.59,17.5,17,38,0.6579999999999999,25,0.3,3,"Kirby Sports Center, Easton, Pennsylvania","Rosemont
			","Rosemont
			",82.4,Home,LAFAYETTE,Lafayette,Lafayette,patriot,9,True,False,True,Home,True,11,25,72,48,83,5,16,64,1,0,70,167,550,0.49454545454545457,302,597,0.5058626465661642,96,159,565,0.536283185840708,0.2222222222222222
