,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COASTAL-CAROLINA_homegame,COASTAL-CAROLINA_homegame2,COASTAL-CAROLINA_home,COASTAL-CAROLINA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-coastal-carolina,64.7,11,0.0,0,128.2,65.5,19,0.431,51,0.33299999999999996,17,0.157,8,0.375,3,0,200,66.2,14.7,5,25,47,,4.2,3,0.647,33,0.303,10,38.1,24,0.429,25.8,19,18,0.389,7,0.0,0,"November 6, 2018",40.6,13,22.2,4,66.2,85.3,29,0.59,61,0.525,32,0.39299999999999996,24,0.792,19,0,200,128.2,34.5,10,14,91,,14.1,10,0.361,22,0.364,8,61.9,39,0.628,12.3,10,39,0.615,24,1.0,1,"The HTC Center, Conway, South Carolina","Ferrum
			","Ferrum
			",70.6,Home,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,0,True,False,True,Home,True,8,24,61,39,63,10,7,51,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-campbell,51.9,14,0.0,0,102.7,74.2,23,0.652,46,0.5870000000000001,27,0.7390000000000001,34,0.735,25,0,200,116.4,23.8,5,24,85,,6.8,5,0.348,16,0.375,6,53.8,28,0.684,19.7,15,30,0.7,21,1.0,2,"November 9, 2018",54.2,13,10.0,3,116.4,76.2,16,0.5,54,0.444,24,0.648,35,0.6,21,1,200,102.7,25.8,8,22,75,,11.0,8,0.519,28,0.214,6,46.2,24,0.531,13.7,11,26,0.6920000000000001,18,0.5,1,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",CAMPBELL,Campbell,72.9,Away,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,1,False,False,False,Away,True,6,21,46,28,52,6,18,54,1,0,8,24,61,0.5901639344262295,39,63,0.6190476190476191,10,7,51,0.43137254901960786,1.0
2,2018-11-13-20-tulane,46.2,12,10.7,3,105.2,74.2,23,0.469,65,0.4,26,0.4,26,0.5770000000000001,15,1,200,98.7,32.5,13,26,76,,11.7,9,0.446,29,0.31,9,50.7,36,0.491,14.5,13,36,0.47200000000000003,17,0.667,2,"November 13, 2018",75.0,18,8.3,3,98.7,67.5,27,0.5660000000000001,53,0.45299999999999996,24,0.604,32,0.6559999999999999,21,1,200,105.2,25.8,8,19,81,,6.5,5,0.47200000000000003,25,0.48,12,49.3,35,0.594,20.2,17,28,0.429,12,0.5,1,"Devlin Fieldhouse, New Orleans, Louisiana",COASTAL-CAROLINA,Coastal Carolina,77.3,Home,TULANE,Tulane,Coastal Carolina,sun-belt,2,False,False,False,Away,False,9,17,65,36,71,12,12,53,0,1,14,45,107,0.616822429906542,67,115,0.5826086956521739,16,25,105,0.4666666666666667,1.0
3,2018-11-16-16-manhattan,71.4,10,5.0,1,84.6,76.5,26,0.405,42,0.33299999999999996,14,0.81,34,0.5589999999999999,19,2,200,81.5,25.8,8,24,53,,12.3,8,0.381,16,0.375,6,52.3,34,0.456,20.8,15,26,0.308,8,0.5,2,"November 16, 2018",75.0,12,3.8,1,81.5,74.2,23,0.512,41,0.39,16,0.6829999999999999,28,0.46399999999999997,13,2,200,84.6,23.5,8,28,55,,12.3,8,0.512,21,0.47600000000000003,10,47.7,31,0.506,25.2,18,20,0.3,6,0.33299999999999996,1,"Bank of Kentucky Center, Highland Heights, Kentucky",COASTAL-CAROLINA,Coastal Carolina,64.7,Home,MANHATTAN,Manhattan,Coastal Carolina,sun-belt,3,False,False,False,Away,False,6,8,42,34,65,10,6,41,0,1,23,62,172,0.561046511627907,103,186,0.553763440860215,28,37,158,0.5,0.6666666666666666
4,2018-11-17-16-north-carolina-asheville,63.0,17,13.0,3,78.8,83.3,30,0.508,60,0.45,27,0.5,30,0.5670000000000001,17,2,200,118.2,51.5,17,17,78,,4.5,3,0.41700000000000004,25,0.28,7,68.1,47,0.525,13.1,11,35,0.5710000000000001,20,0.6,3,"November 17, 2018",62.5,10,8.6,3,118.2,48.5,16,0.375,52,0.308,16,0.34600000000000003,18,0.722,13,3,200,78.8,16.7,6,23,52,,9.1,6,0.5579999999999999,29,0.24100000000000002,7,31.9,22,0.429,14.3,10,23,0.391,9,0.25,1,"Bank of Kentucky Center, Highland Heights, Kentucky",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,66.4,Away,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,4,False,False,False,Away,True,7,20,60,47,69,7,9,52,1,0,29,70,214,0.530373831775701,137,251,0.545816733067729,38,43,199,0.5025125628140703,0.5
5,2018-11-18-18-northern-kentucky,69.2,18,12.5,3,125.4,69.7,23,0.61,50,0.52,26,0.52,26,0.846,22,3,200,116.9,20.8,5,27,83,,2.8,2,0.38,19,0.474,9,49.1,28,0.6659999999999999,19.6,15,31,0.5479999999999999,17,0.5,3,"November 18, 2018",76.0,19,12.9,4,116.9,79.2,19,0.545,55,0.455,25,0.745,41,0.7070000000000001,29,0,200,125.4,30.3,10,21,89,,12.7,9,0.564,31,0.32299999999999995,10,50.9,29,0.598,7.6,6,24,0.625,15,1.0,6,"Bank of Kentucky Center, Highland Heights, Kentucky",COASTAL-CAROLINA,Coastal Carolina,71.4,Home,NORTHERN-KENTUCKY,Northern Kentucky,Coastal Carolina,sun-belt,5,False,False,False,Away,False,9,17,50,28,57,10,15,55,0,1,36,90,274,0.5255474452554745,184,320,0.575,45,52,251,0.4760956175298805,0.6
6,2018-11-20-19-coastal-carolina,43.5,10,2.6,1,127.5,51.6,16,0.473,55,0.418,23,0.127,7,0.7140000000000001,5,0,196,82.6,19.4,6,22,57,,14.5,10,0.327,18,0.33299999999999996,6,35.5,22,0.489,21.6,16,37,0.45899999999999996,17,0.0,0,"November 20, 2018",52.9,18,10.8,4,82.6,80.6,25,0.642,60,0.5670000000000001,34,0.317,19,0.579,11,3,196,127.5,48.4,15,13,88,,11.6,8,0.36700000000000005,22,0.409,9,64.5,40,0.637,18.0,15,38,0.6579999999999999,25,0.5710000000000001,4,"The HTC Center, Conway, South Carolina","Methodist
			","Methodist
			",70.1,Home,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,6,True,False,True,Home,True,9,25,60,40,62,6,17,55,1,0,45,107,324,0.5385802469135802,212,377,0.5623342175066313,55,67,306,0.48856209150326796,0.5
7,2018-11-30-19-south-carolina,48.0,12,9.4,3,106.3,69.7,23,0.47700000000000004,64,0.391,25,0.359,23,0.7829999999999999,18,4,200,98.8,37.1,13,24,79,,8.8,7,0.359,23,0.478,11,52.9,36,0.527,19.5,18,41,0.341,14,0.5,4,"November 30, 2018",52.0,13,29.3,12,98.8,62.9,22,0.517,58,0.431,25,0.569,33,0.758,25,3,200,106.3,30.3,10,17,85,,11.3,9,0.44799999999999995,26,0.385,10,47.1,32,0.5770000000000001,18.1,16,32,0.469,15,0.5710000000000001,4,"The Colonial Life Arena, Columbia, South Carolina",COASTAL-CAROLINA,Coastal Carolina,79.8,Home,SOUTH-CAROLINA,South Carolina,Coastal Carolina,sun-belt,7,False,False,False,Away,False,11,14,64,36,68,10,15,58,0,1,54,132,384,0.5546875,252,439,0.5740318906605922,61,84,361,0.48614958448753465,0.5714285714285714
8,2018-12-05-19-coastal-carolina,41.7,10,2.9,1,108.7,66.7,20,0.384,73,0.32899999999999996,24,0.192,14,0.7140000000000001,10,6,200,95.7,36.0,18,22,66,,5.8,4,0.479,35,0.22899999999999998,8,47.5,38,0.414,9.2,8,38,0.42100000000000004,16,0.33299999999999996,3,"December 5, 2018",29.6,8,7.9,3,95.7,64.0,32,0.546,54,0.5,27,0.444,24,0.667,16,4,200,108.7,33.3,10,20,75,,4.3,3,0.35200000000000004,19,0.263,5,52.5,42,0.573,15.7,12,35,0.629,22,0.556,5,"The HTC Center, Conway, South Carolina",HAMPTON,Hampton,68.5,Home,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,8,True,False,True,Home,True,5,22,54,42,80,8,16,73,1,0,65,146,448,0.5435267857142857,288,507,0.5680473372781065,71,99,419,0.4904534606205251,0.5
9,2018-12-09-14-wofford,39.1,9,19.4,6,122.4,61.8,21,0.519,54,0.426,23,0.37,20,0.75,15,5,200,106.0,27.6,8,25,71,,3.0,2,0.35200000000000004,19,0.526,10,46.0,29,0.5589999999999999,14.9,11,35,0.371,13,0.5,5,"December 9, 2018",40.0,10,2.9,1,106.0,72.4,21,0.475,59,0.424,25,0.5760000000000001,34,0.765,26,3,200,122.4,38.2,13,18,82,,7.5,5,0.475,28,0.214,6,54.0,34,0.546,6.3,5,31,0.613,19,0.727,8,"Richardson Indoor Stadium, Spartanburg, South Carolina",COASTAL-CAROLINA,Coastal Carolina,66.8,Home,WOFFORD,Wofford,Coastal Carolina,sun-belt,9,False,False,False,Away,False,10,13,54,29,63,6,19,59,0,1,70,168,502,0.5438247011952191,330,587,0.5621805792163543,79,115,492,0.47459349593495936,0.5555555555555556
