,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CENTRAL-FLORIDA_homegame,CENTRAL-FLORIDA_homegame2,CENTRAL-FLORIDA_home,CENTRAL-FLORIDA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-18-central-florida,55.6,15,2.7,1,100.0,69.4,25,0.442,69,0.391,27,0.348,24,0.375,9,1,200,83.3,23.3,10,32,70,,7.1,6,0.24600000000000002,17,0.41200000000000003,7,44.3,35,0.435,17.6,17,52,0.385,20,0.0,0,"November 6, 2018",51.9,14,19.2,10,83.3,76.7,33,0.5,59,0.45799999999999996,27,0.763,45,0.556,25,0,200,100.0,30.6,11,22,84,,6.0,5,0.373,22,0.22699999999999998,5,55.7,44,0.523,12.2,11,37,0.595,22,1.0,1,"CFE Arena, Orlando, Florida",RIDER,Rider,83.9,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,0,True,False,True,Home,True,5,22,59,44,79,7,20,69,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-15-central-florida,50.0,14,2.8,1,109.7,70.0,21,0.507,67,0.418,28,0.26899999999999996,18,0.667,12,0,200,111.1,42.9,15,27,80,,8.3,6,0.507,34,0.353,12,55.4,36,0.529,14.8,13,33,0.485,16,1.0,2,"November 11, 2018",50.0,14,6.1,2,111.1,57.1,20,0.5539999999999999,56,0.5,28,0.46399999999999997,26,0.654,17,1,200,109.7,30.0,9,19,79,,6.9,5,0.35700000000000004,20,0.3,6,44.6,29,0.578,15.1,12,36,0.611,22,0.5,1,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,72.5,Away,FLORIDA-ATLANTIC,Florida Atlantic,Central Florida,aac,1,False,True,True,Home,False,6,22,56,29,65,12,16,67,0,1,5,22,59,0.5,44,79,0.5569620253164557,7,20,69,0.4420289855072464,1.0
2,2018-11-15-13-cal-state-fullerton,46.2,12,13.2,5,74.3,85.7,30,0.467,60,0.433,26,0.317,19,0.632,12,1,200,97.1,31.0,9,17,68,,10.0,7,0.25,15,0.267,4,60.9,39,0.493,12.8,10,45,0.489,22,0.667,2,"November 15, 2018",63.2,12,8.9,4,97.1,69.0,20,0.382,55,0.345,19,0.327,18,0.556,10,2,200,74.3,14.3,5,20,52,,8.6,6,0.309,17,0.235,4,39.1,25,0.409,16.0,12,38,0.395,15,0.33299999999999996,1,"The HTC Center, Conway, South Carolina",CAL-STATE-FULLERTON,Cal State Fullerton,70.3,Away,CENTRAL-FLORIDA,UCF,Central Florida,aac,2,False,False,False,Away,True,4,22,60,39,64,4,15,55,1,0,11,44,115,0.5260869565217391,73,144,0.5069444444444444,19,36,136,0.4742647058823529,0.5
3,2018-11-16-13-central-florida,57.1,12,8.1,3,122.2,62.5,15,0.46399999999999997,55,0.382,21,0.23600000000000002,13,0.462,6,1,200,90.5,23.5,8,9,57,,9.5,6,0.455,25,0.36,9,39.7,23,0.466,15.3,11,30,0.4,12,0.75,3,"November 16, 2018",43.8,14,13.3,4,90.5,76.5,26,0.638,58,0.552,32,0.069,4,0.75,3,1,200,122.2,37.5,9,13,77,,12.7,8,0.36200000000000004,21,0.47600000000000003,10,60.3,35,0.643,15.5,11,37,0.595,22,0.75,3,"The HTC Center, Conway, South Carolina",SAINT-JOSEPHS,St. Joseph's,63.0,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,3,True,False,True,Home,True,10,22,58,35,58,9,12,55,1,0,15,66,175,0.5057142857142857,112,208,0.5384615384615384,23,51,191,0.4476439790575916,0.6666666666666666
4,2018-11-18-18-western-kentucky,71.4,20,7.0,3,87.3,75.0,24,0.6,55,0.509,28,0.436,24,0.5,12,1,200,109.9,25.9,7,17,78,,9.9,7,0.364,20,0.5,10,52.5,31,0.5870000000000001,14.4,11,35,0.514,18,0.8,4,"November 18, 2018",68.2,15,11.4,4,109.9,74.1,20,0.436,55,0.4,22,0.382,21,0.667,14,2,200,87.3,25.0,8,24,62,,9.9,7,0.218,12,0.33299999999999996,4,47.5,28,0.47700000000000004,18.9,15,43,0.419,18,0.6,3,"The HTC Center, Conway, South Carolina",WESTERN-KENTUCKY,Western Kentucky,71.2,Away,CENTRAL-FLORIDA,UCF,Central Florida,aac,4,False,False,False,Away,True,10,18,55,31,59,4,18,55,1,0,25,88,233,0.5386266094420601,147,266,0.5526315789473685,32,63,246,0.45121951219512196,0.75
5,2018-11-24-18-central-florida,73.7,14,8.3,3,100.0,72.7,24,0.39,59,0.322,19,0.28800000000000003,17,0.41200000000000003,7,1,200,80.3,13.3,6,28,53,,3.0,2,0.525,31,0.258,8,38.5,30,0.395,7.0,5,28,0.39299999999999996,11,0.857,6,"November 24, 2018",63.6,14,17.9,5,80.3,86.7,39,0.49,50,0.44,22,0.72,36,0.47200000000000003,17,1,200,100.0,27.3,9,17,66,,1.5,1,0.28,14,0.35700000000000004,5,61.5,48,0.49200000000000005,10.8,8,36,0.47200000000000003,17,0.833,5,"CFE Arena, Orlando, Florida",NORTHERN-KENTUCKY,Northern Kentucky,66.1,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,5,True,False,True,Home,True,5,17,50,48,78,8,11,59,1,0,35,106,288,0.5503472222222222,178,325,0.5476923076923077,36,81,301,0.4485049833887043,0.8
6,2018-11-29-19-central-florida,56.0,14,16.7,5,101.4,88.5,23,0.41700000000000004,66,0.379,25,0.212,14,0.643,9,2,200,92.8,43.2,16,24,64,,4.3,3,0.364,24,0.20800000000000002,5,61.9,39,0.44,16.2,14,42,0.47600000000000003,20,0.7140000000000001,5,"November 29, 2018",57.1,12,14.3,6,92.8,56.8,21,0.522,45,0.467,21,0.8,36,0.639,23,1,200,101.4,11.5,3,14,70,,7.2,5,0.33299999999999996,15,0.33299999999999996,5,38.1,24,0.564,12.9,9,30,0.5329999999999999,16,0.857,6,"CFE Arena, Orlando, Florida",ALABAMA,Alabama,69.4,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,6,True,False,True,Home,True,5,16,45,24,63,5,20,66,1,0,40,123,338,0.5414201183431953,226,403,0.5607940446650124,44,92,360,0.4388888888888889,0.8333333333333334
7,2018-12-02-15-missouri,47.4,9,23.5,8,106.7,60.5,23,0.55,40,0.475,19,0.575,23,0.7829999999999999,18,2,225,103.3,31.8,7,18,62,,8.3,5,0.5,20,0.3,6,50.0,30,0.609,20.6,13,20,0.65,13,0.75,6,"December 2, 2018",30.4,7,0.0,0,103.3,68.2,15,0.46,63,0.365,23,0.175,11,0.545,6,3,225,106.7,39.5,15,21,64,,10.0,6,0.46,29,0.414,12,50.0,30,0.469,12.8,10,34,0.324,11,0.5710000000000001,4,"Mizzou Arena, Columbia, Missouri",CENTRAL-FLORIDA,UCF,53.4,Home,MISSOURI,Missouri,Central Florida,aac,7,False,False,False,Away,False,6,13,40,30,60,12,11,63,0,1,45,139,383,0.5391644908616188,250,466,0.5364806866952789,49,112,426,0.4354460093896714,0.8571428571428571
8,2018-12-08-13-central-florida,35.3,6,9.4,3,101.4,69.2,18,0.319,58,0.293,17,0.31,18,0.444,8,5,200,65.2,26.2,11,27,45,,7.2,5,0.276,16,0.188,3,42.6,29,0.33799999999999997,15.4,12,42,0.33299999999999996,14,0.444,4,"December 8, 2018",55.0,11,16.7,7,65.2,73.8,31,0.49,49,0.408,20,0.633,31,0.71,22,2,200,101.4,30.8,8,15,70,,8.7,6,0.34700000000000003,17,0.47100000000000003,8,57.4,39,0.5489999999999999,18.3,14,32,0.375,12,0.778,7,"CFE Arena, Orlando, Florida",GRAMBLING,Grambling,68.6,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,8,True,False,True,Home,True,8,12,49,39,68,3,14,58,1,0,51,152,423,0.5401891252955082,280,526,0.532319391634981,61,123,489,0.4386503067484663,0.75
9,2018-12-11-19-central-florida,45.9,17,7.7,3,120.3,70.0,21,0.596,68,0.544,37,0.17600000000000002,12,0.583,7,3,200,111.4,14.3,4,19,88,,8.9,7,0.235,16,0.43799999999999994,7,43.1,25,0.597,10.9,9,52,0.5770000000000001,30,0.667,6,"December 11, 2018",54.5,18,9.6,5,111.4,85.7,24,0.591,66,0.5,33,0.348,23,0.7390000000000001,17,2,200,120.3,30.0,9,14,95,,1.3,1,0.409,27,0.444,12,56.9,33,0.617,12.6,11,39,0.5379999999999999,21,0.8,8,"CFE Arena, Orlando, Florida",GEORGIA-SOUTHERN,Georgia Southern,78.8,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,9,True,False,True,Home,True,12,21,66,33,58,7,30,68,1,0,59,164,472,0.534957627118644,319,594,0.5370370370370371,64,137,547,0.4259597806215722,0.7777777777777778
