,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FURMAN_homegame,FURMAN_homegame2,FURMAN_home,FURMAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-11-19-furman,48.0,12,12.5,4,105.5,64.7,22,0.484,62,0.40299999999999997,25,0.19399999999999998,12,0.75,9,5,200,94.5,30.6,11,15,69,,11.0,8,0.355,22,0.455,10,47.1,33,0.51,20.2,17,40,0.375,15,0.444,4,"December 11, 2018",57.1,16,17.5,7,94.5,69.4,25,0.5760000000000001,59,0.475,28,0.254,15,0.6,9,0,200,105.5,35.3,12,14,77,23.0,15.1,11,0.45799999999999996,27,0.444,12,52.9,37,0.5820000000000001,21.5,18,32,0.5,16,1.0,11,"Timmons Arena, Greenville, South Carolina",CHARLESTON-SOUTHERN,Charleston Southern,72.9,Home,FURMAN,Furman,Furman,southern,10,True,False,True,Home,True,12,16,59,37,70,10,15,62,1,0,101,207,631,0.5681458003169572,355,672,0.5282738095238095,83,168,603,0.48507462686567165,1.0
11,2018-12-15-16-furman,52.4,11,3.3,1,132.9,63.9,23,0.36700000000000005,60,0.35,21,0.15,9,0.667,6,7,200,71.4,23.7,9,12,50,,2.9,2,0.217,13,0.154,2,43.2,32,0.389,19.0,15,47,0.40399999999999997,19,0.364,4,"December 15, 2018",66.7,24,14.9,7,71.4,76.3,29,0.586,76,0.474,36,0.066,5,0.8,4,0,200,132.9,36.1,13,10,93,23.0,15.7,11,0.605,46,0.37,17,56.8,42,0.593,6.0,5,30,0.633,19,1.0,12,"Timmons Arena, Greenville, South Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,70.3,Home,FURMAN,Furman,Furman,southern,11,True,False,True,Home,True,17,19,76,42,74,2,19,60,1,0,113,223,690,0.5688405797101449,392,742,0.5283018867924528,93,183,665,0.4849624060150376,1.0
12,2018-12-21-20-louisiana-state,38.1,8,4.7,2,108.7,52.0,13,0.455,56,0.375,21,0.161,9,0.667,6,1,200,82.6,20.0,7,16,57,24.0,14.5,10,0.5539999999999999,31,0.29,9,33.3,20,0.473,22.1,17,25,0.48,12,0.9229999999999999,12,"December 21, 2018",38.7,12,16.0,4,82.6,80.0,28,0.589,56,0.5539999999999999,31,0.268,15,0.6,9,3,200,108.7,48.0,12,15,75,,15.9,11,0.23199999999999998,13,0.308,4,66.7,40,0.594,21.4,17,43,0.628,27,0.75,9,"Maravich Assembly Center, Baton Rouge, Louisiana",FURMAN,Furman,69.2,Home,LOUISIANA-STATE,LSU,Furman,southern,12,False,False,False,Away,False,9,12,56,20,60,4,27,56,0,1,130,242,766,0.5704960835509139,434,816,0.5318627450980392,95,202,725,0.47517241379310343,1.0
13,2018-12-29-16-east-tennessee-state,45.0,9,11.8,4,125.4,70.6,12,0.41700000000000004,54,0.37,20,0.29600000000000004,16,0.688,11,2,200,88.9,18.8,6,11,56,,6.3,4,0.40700000000000003,22,0.22699999999999998,5,36.7,18,0.455,10.3,7,32,0.469,15,0.857,12,"December 29, 2018",60.0,18,15.6,5,88.9,81.3,26,0.67,50,0.6,30,0.3,15,0.8,12,4,200,125.4,29.4,5,15,79,,4.8,3,0.32,16,0.43799999999999994,7,63.3,31,0.691,16.3,11,34,0.6759999999999999,23,0.733,11,"Freedom Hall Civic Center, Johnson City, Tennessee",FURMAN,Furman,62.9,Home,EAST-TENNESSEE-STATE,ETSU,Furman,southern,13,False,False,False,Away,False,5,15,54,18,49,7,23,50,0,1,139,254,822,0.5626520681265207,454,876,0.5182648401826484,99,229,781,0.4833546734955186,0.9230769230769231
14,2019-01-03-19-furman,33.3,7,11.5,3,102.9,70.0,21,0.397,58,0.36200000000000004,21,0.36200000000000004,21,0.5710000000000001,12,9,200,84.1,30.6,11,18,58,,15.9,11,0.32799999999999996,19,0.21100000000000002,4,48.5,32,0.42700000000000005,16.2,13,39,0.436,17,0.35700000000000004,5,"January 3, 2019",64.0,16,7.7,3,84.1,69.4,25,0.556,54,0.46299999999999997,25,0.315,17,0.647,11,2,200,102.9,30.0,9,15,71,,11.6,8,0.519,28,0.35700000000000004,10,51.5,34,0.5720000000000001,19.6,15,26,0.5770000000000001,15,0.867,13,"Timmons Arena, Greenville, South Carolina",MERCER,Mercer,69.0,Home,FURMAN,Furman,Furman,southern,14,True,False,True,Home,True,10,15,54,34,66,4,17,58,1,0,144,269,876,0.5536529680365296,472,925,0.5102702702702703,106,252,831,0.49458483754512633,0.8571428571428571
15,2019-01-05-16-furman,50.0,16,9.8,4,121.7,54.8,23,0.565,69,0.46399999999999997,32,0.11599999999999999,8,0.875,7,5,200,102.4,8.6,3,18,85,,9.6,8,0.623,43,0.326,14,33.8,26,0.584,16.2,14,26,0.6920000000000001,18,0.643,9,"January 5, 2019",40.5,15,11.5,3,102.4,91.4,32,0.551,79,0.46799999999999997,37,0.266,21,0.667,14,2,200,121.7,45.2,19,12,101,,13.3,11,0.48100000000000004,38,0.342,13,66.2,51,0.568,12.8,13,41,0.585,24,0.875,14,"Timmons Arena, Greenville, South Carolina",CITADEL,Citadel,83.4,Home,FURMAN,Furman,Furman,southern,15,True,False,True,Home,True,13,24,79,51,77,14,18,69,1,0,154,284,930,0.553763440860215,506,991,0.5105953582240161,110,269,889,0.4881889763779528,0.8666666666666667
16,2019-01-10-19-virginia-military-institute,72.4,21,11.4,4,72.2,88.9,32,0.57,64,0.45299999999999996,29,0.266,17,0.941,16,2,200,112.7,12.1,4,14,89,,13.9,11,0.531,34,0.441,15,52.2,36,0.617,13.3,11,30,0.467,14,0.882,15,"January 10, 2019",47.6,10,6.7,2,112.7,87.9,29,0.41200000000000003,57,0.368,21,0.263,15,0.667,10,10,200,72.2,11.1,4,14,57,,7.6,6,0.386,22,0.22699999999999998,5,47.8,33,0.444,22.1,18,35,0.457,16,0.375,6,"Cameron Hall, Lexington, Virginia",VIRGINIA-MILITARY-INSTITUTE,VMI,78.6,Away,FURMAN,Furman,Furman,southern,16,False,False,False,Away,True,15,14,64,36,69,5,16,57,1,0,167,308,1009,0.5535183349851338,557,1068,0.5215355805243446,124,287,958,0.49373695198329853,0.875
17,2019-01-12-17-north-carolina-greensboro,40.7,11,2.6,1,125.4,53.6,15,0.627,51,0.529,27,0.33299999999999996,17,0.882,15,3,200,111.3,34.8,8,20,79,,11.3,8,0.353,18,0.556,10,45.1,23,0.669,25.5,20,33,0.515,17,0.833,15,"January 12, 2019",46.9,15,21.2,7,111.3,65.2,15,0.605,62,0.516,32,0.29,18,0.778,14,3,200,125.4,46.4,13,19,89,,14.1,10,0.387,24,0.45799999999999996,11,54.9,28,0.631,15.7,13,38,0.5529999999999999,21,0.833,15,"Greensboro Coliseum, Greensboro, North Carolina",FURMAN,Furman,70.8,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Furman,southern,17,False,False,False,Away,False,10,17,51,23,51,11,21,62,0,1,182,322,1073,0.554520037278658,593,1137,0.5215479331574319,129,303,1015,0.4891625615763547,0.8823529411764706
18,2019-01-19-19-wofford,60.0,12,10.3,3,95.2,63.3,19,0.41200000000000003,57,0.35100000000000003,20,0.175,10,0.7,7,4,200,87.1,30.3,10,16,54,,8.1,5,0.474,27,0.259,7,46.0,29,0.43700000000000006,14.0,10,30,0.433,13,0.789,15,"January 19, 2019",52.4,11,10.0,3,87.1,69.7,23,0.46299999999999997,54,0.389,21,0.315,17,0.529,9,4,200,95.2,36.7,11,15,59,,6.5,4,0.46299999999999997,25,0.32,8,54.0,34,0.475,16.3,12,29,0.44799999999999995,13,0.789,15,"Richardson Indoor Stadium, Spartanburg, South Carolina",FURMAN,Furman,62.4,Home,WOFFORD,Wofford,Furman,southern,18,False,False,False,Away,False,7,13,57,29,63,8,13,54,0,1,192,339,1124,0.5578291814946619,616,1188,0.5185185185185185,140,324,1077,0.4958217270194986,0.8333333333333334
19,2019-01-24-19-furman,45.5,10,10.3,3,119.7,73.9,17,0.445,55,0.4,22,0.182,10,0.9,9,11,200,95.1,36.4,12,11,58,,6.6,4,0.382,21,0.23800000000000002,5,51.8,29,0.485,19.1,14,34,0.5,17,0.47600000000000003,10,"January 24, 2019",58.6,17,8.8,3,95.1,63.6,21,0.639,54,0.537,29,0.09300000000000001,5,0.8,4,4,200,119.7,26.1,6,11,73,,19.7,12,0.46299999999999997,25,0.44,11,48.2,27,0.647,15.1,10,29,0.621,18,0.8,16,"Timmons Arena, Greenville, South Carolina",CHATTANOOGA,Chattanooga,61.1,Home,FURMAN,Furman,Furman,southern,19,True,False,True,Home,True,11,18,54,27,56,5,17,55,1,0,199,352,1181,0.5508044030482642,645,1251,0.5155875299760192,148,337,1131,0.4942528735632184,0.7894736842105263
