,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FURMAN_homegame,FURMAN_homegame2,FURMAN_home,FURMAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2019-01-26-16-furman,65.4,17,15.6,5,100.0,67.6,25,0.534,58,0.44799999999999995,26,0.276,16,0.813,13,9,200,102.7,20.7,6,16,75,,6.8,5,0.431,25,0.4,10,47.0,31,0.5720000000000001,16.7,13,33,0.485,16,0.591,13,"January 26, 2019",63.0,17,3.0,1,102.7,79.3,23,0.49200000000000005,63,0.429,27,0.222,14,0.7859999999999999,11,5,200,100.0,32.4,12,15,73,,11.0,8,0.49200000000000005,31,0.258,8,53.0,35,0.524,17.8,15,32,0.594,19,0.762,16,"Timmons Arena, Greenville, South Carolina",FURMAN,Furman,72.6,Away,SAMFORD,Samford,Furman,southern,20,False,True,True,Home,False,8,19,63,35,66,10,16,58,0,1,210,370,1235,0.5546558704453441,672,1307,0.5141545524100994,153,354,1186,0.4919898819561551,0.8
21,2019-01-31-19-citadel,76.0,19,15.2,5,85.9,76.9,20,0.573,55,0.455,25,0.23600000000000002,13,0.615,8,5,200,100.0,21.4,6,19,71,,15.5,11,0.727,40,0.325,13,48.1,26,0.58,18.7,14,15,0.8,12,0.773,17,"January 31, 2019",33.3,7,6.7,1,100.0,78.6,22,0.452,52,0.40399999999999997,21,0.34600000000000003,18,0.778,14,11,200,85.9,23.1,6,16,61,,12.7,9,0.365,19,0.263,5,51.9,28,0.504,24.1,19,33,0.485,16,0.47600000000000003,10,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,71.4,Away,FURMAN,Furman,Furman,southern,21,False,False,False,Away,True,13,12,55,26,54,5,16,52,1,0,218,389,1298,0.551617873651772,707,1373,0.5149308084486526,163,370,1244,0.49397106109324757,0.7619047619047619
22,2019-02-02-16-mercer,61.5,16,13.3,6,95.5,63.4,26,0.711,45,0.578,26,0.33299999999999996,15,0.667,10,5,200,112.1,14.3,3,20,74,,9.1,6,0.5329999999999999,24,0.5,12,46.8,29,0.71,21.3,14,21,0.667,14,0.7829999999999999,18,"February 2, 2019",50.0,12,0.0,0,112.1,85.7,18,0.384,69,0.348,24,0.188,13,0.769,10,15,200,95.5,36.6,15,17,63,,6.1,4,0.348,24,0.20800000000000002,5,53.2,33,0.419,10.8,9,45,0.42200000000000004,19,0.348,8,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,66.2,Away,FURMAN,Furman,Furman,southern,22,False,False,False,Away,True,12,14,45,29,62,5,19,69,1,0,231,401,1353,0.5524759793052476,733,1427,0.5136650315346881,168,386,1296,0.49228395061728397,0.7727272727272727
23,2019-02-07-19-western-carolina,52.2,12,21.9,7,65.2,71.9,23,0.465,57,0.40399999999999997,23,0.33299999999999996,19,0.579,11,5,200,92.8,25.7,9,16,64,,13.0,9,0.561,32,0.21899999999999997,7,47.8,32,0.485,16.6,13,25,0.64,16,0.792,19,"February 7, 2019",31.3,5,8.0,2,92.8,74.3,26,0.363,51,0.314,16,0.21600000000000003,11,0.727,8,19,200,65.2,28.1,9,19,45,,7.2,5,0.373,19,0.263,5,52.2,35,0.4,26.4,20,32,0.344,11,0.24,6,"Ramsey Center, Cullowhee, North Carolina",WESTERN-CAROLINA,Western Carolina,68.6,Away,FURMAN,Furman,Furman,southern,23,False,False,False,Away,True,7,16,57,32,67,5,11,51,1,0,243,415,1398,0.5575822603719599,762,1489,0.5117528542646071,173,405,1365,0.4868131868131868,0.782608695652174
24,2019-02-09-16-furman,29.2,7,6.3,2,140.0,73.7,14,0.49,51,0.47100000000000003,24,0.314,16,0.688,11,7,200,93.8,40.0,10,14,61,,10.8,7,0.275,14,0.14300000000000002,2,54.5,24,0.52,20.5,15,37,0.595,22,0.731,19,"February 9, 2019",46.9,15,5.4,2,93.8,60.0,15,0.76,50,0.64,32,0.36,18,0.833,15,5,200,140.0,26.3,5,11,91,,16.9,11,0.36,18,0.667,12,45.5,20,0.777,18.3,13,32,0.625,20,0.8,20,"Timmons Arena, Greenville, South Carolina",EAST-TENNESSEE-STATE,ETSU,65.1,Home,FURMAN,Furman,Furman,southern,24,True,False,True,Home,True,12,20,50,20,44,2,22,51,1,0,250,431,1455,0.5539518900343643,794,1556,0.5102827763496144,178,416,1416,0.4823446327683616,0.7916666666666666
25,2019-02-14-19-furman,50.0,11,20.0,7,95.7,68.8,22,0.40299999999999997,62,0.355,22,0.145,9,0.778,7,4,200,81.4,34.4,11,14,57,,12.9,9,0.371,23,0.261,6,51.6,33,0.43,20.5,17,39,0.41,16,0.846,22,"February 14, 2019",48.0,12,25.6,10,81.4,65.6,21,0.491,58,0.431,25,0.24100000000000002,14,0.7140000000000001,10,5,200,95.7,31.3,10,10,67,,18.6,13,0.397,23,0.304,7,48.4,31,0.518,16.8,13,35,0.514,18,0.8079999999999999,21,"Timmons Arena, Greenville, South Carolina",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,70.0,Home,FURMAN,Furman,Furman,southern,25,True,False,True,Home,True,7,18,58,31,64,6,16,62,1,0,262,451,1505,0.5607973421926911,814,1600,0.50875,180,438,1467,0.48261758691206547,0.8
26,2019-02-16-16-furman,50.0,10,3.2,1,129.7,69.7,23,0.408,60,0.33299999999999996,20,0.3,18,0.722,13,19,200,83.8,16.7,6,17,62,,14.9,11,0.45,27,0.33299999999999996,9,42.0,29,0.452,13.9,11,33,0.33299999999999996,11,0.26899999999999996,7,"February 16, 2019",62.5,20,27.3,9,83.8,83.3,30,0.625,60,0.5329999999999999,32,0.467,28,0.75,21,5,200,129.7,30.3,10,17,96,,9.5,7,0.483,29,0.379,11,58.0,40,0.655,13.2,11,31,0.677,21,0.815,22,"Timmons Arena, Greenville, South Carolina",VIRGINIA-MILITARY-INSTITUTE,VMI,73.9,Home,FURMAN,Furman,Furman,southern,26,True,False,True,Home,True,11,21,60,40,69,9,11,60,1,0,269,469,1563,0.5582213691618682,845,1664,0.5078125,186,454,1529,0.47939829954218444,0.8076923076923077
27,2019-02-23-16-furman,46.4,13,15.2,5,106.7,77.8,21,0.542,60,0.467,28,0.133,8,0.875,7,4,200,120.0,29.0,9,15,72,,8.3,5,0.5,30,0.3,9,51.7,30,0.564,8.6,6,30,0.633,19,0.857,24,"February 23, 2019",41.7,10,6.7,2,120.0,71.0,22,0.519,52,0.462,24,0.26899999999999996,14,0.7140000000000001,10,6,200,106.7,22.2,6,12,64,,5.0,3,0.365,19,0.316,6,48.3,28,0.546,10.7,7,33,0.545,18,0.7859999999999999,22,"Timmons Arena, Greenville, South Carolina",FURMAN,Furman,60.2,Away,WOFFORD,Wofford,Furman,southern,27,False,True,True,Home,False,6,18,52,28,58,9,19,60,0,1,280,490,1623,0.5606900800985829,885,1733,0.5106751298326602,195,465,1589,0.47671491504090624,0.8148148148148148
28,2019-02-28-19-samford,55.6,15,9.5,4,112.5,61.9,26,0.62,54,0.5,27,0.444,24,0.958,23,6,200,125.0,28.0,7,21,90,,11.1,8,0.519,28,0.46399999999999997,13,49.3,33,0.688,16.8,13,26,0.5379999999999999,14,0.7929999999999999,23,"February 28, 2019",29.6,8,26.9,7,125.0,72.0,18,0.46399999999999997,69,0.391,27,0.319,22,0.773,17,14,200,112.5,38.1,16,20,81,,13.9,10,0.391,27,0.37,10,50.7,34,0.51,10.3,9,42,0.405,17,0.5329999999999999,16,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,71.9,Away,FURMAN,Furman,Furman,southern,28,False,False,False,Away,True,13,14,54,33,67,10,17,69,1,0,286,508,1675,0.5594029850746268,913,1791,0.5097710776102736,204,484,1649,0.4790782292298363,0.7857142857142857
29,2019-03-02-14-chattanooga,48.3,14,8.3,3,76.9,77.5,31,0.5579999999999999,60,0.483,29,0.1,6,0.667,4,6,200,109.2,20.0,6,15,71,,10.8,7,0.467,28,0.321,9,52.9,37,0.565,12.6,9,32,0.625,20,0.8,24,"March 2, 2019",45.0,9,6.3,2,109.2,80.0,24,0.397,58,0.345,20,0.138,8,0.5,4,19,200,76.9,22.5,9,12,50,,9.2,6,0.379,22,0.273,6,47.1,33,0.405,16.3,12,36,0.389,14,0.387,12,"The McKenzie Arena, Chattanooga, Tennessee",CHATTANOOGA,Chattanooga,65.3,Away,FURMAN,Furman,Furman,southern,29,False,False,False,Away,True,9,20,60,37,70,6,14,58,1,0,299,522,1729,0.5613071139386929,946,1858,0.5091496232508074,214,501,1718,0.47846332945285214,0.7931034482758621
30,2019-03-09-20-furman,39.3,11,0.0,0,118.1,61.5,16,0.545,55,0.509,28,0.327,18,0.778,14,20,200,102.8,26.9,7,18,74,,13.9,10,0.29100000000000004,16,0.25,4,44.2,23,0.5820000000000001,19.3,15,39,0.615,24,0.355,11,"March 9, 2019",83.3,25,7.7,3,102.8,73.1,19,0.625,60,0.5,30,0.267,16,0.625,10,6,200,118.1,38.5,10,18,85,,11.1,8,0.633,38,0.395,15,55.8,29,0.629,17.3,14,22,0.682,15,0.8059999999999999,25,"U.S. Cellular Center, Asheville, North Carolina",MERCER,Mercer,71.6,Home,FURMAN,Furman,Furman,southern,30,True,False,True,Home,True,15,15,60,29,52,4,24,55,1,0,308,542,1789,0.5612073784237004,983,1928,0.5098547717842323,220,515,1776,0.4757882882882883,0.8
31,2019-03-10-18-north-carolina-greensboro,33.3,8,15.4,6,106.5,57.1,20,0.539,51,0.47100000000000003,24,0.17600000000000002,9,0.778,7,7,200,100.0,18.5,5,17,62,,11.3,7,0.41200000000000003,21,0.33299999999999996,7,40.3,25,0.561,17.9,12,30,0.5670000000000001,17,0.7809999999999999,25,"March 10, 2019",33.3,8,6.7,2,100.0,81.5,22,0.483,58,0.414,24,0.259,15,0.667,10,5,200,106.5,42.9,15,15,66,,12.9,8,0.32799999999999996,19,0.42100000000000004,8,59.7,37,0.507,14.6,11,39,0.41,16,0.848,28,"U.S. Cellular Center, Asheville, North Carolina",FURMAN,Furman,61.7,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Furman,southern,31,False,False,False,Away,False,7,17,51,25,62,8,16,58,0,1,323,557,1849,0.5632774472687939,1012,1980,0.5111111111111111,224,539,1831,0.4778809393773894,0.8064516129032258
32,2019-03-20-19-furman,38.7,12,8.6,3,101.4,85.3,29,0.54,62,0.5,31,0.226,14,0.643,9,14,200,110.1,40.6,13,14,76,,4.3,3,0.27399999999999997,17,0.294,5,63.6,42,0.5539999999999999,16.0,13,45,0.578,26,0.588,20,"March 20, 2019",53.8,14,4.4,2,110.1,59.4,19,0.484,62,0.419,26,0.19399999999999998,12,0.833,10,8,200,101.4,14.7,5,16,70,,11.6,8,0.435,27,0.29600000000000004,8,36.4,24,0.517,8.2,6,35,0.514,18,0.758,25,"Timmons Arena, Greenville, South Carolina",FURMAN,Furman,68.7,Away,WICHITA-STATE,Wichita State,Furman,southern,32,False,True,True,Home,False,8,18,62,24,66,5,26,62,0,1,330,574,1900,0.5626315789473684,1037,2042,0.5078354554358472,232,555,1889,0.47803070407623083,0.78125
