,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARIZONA_homegame,ARIZONA_homegame2,ARIZONA_home,ARIZONA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-21-arizona,36.4,8,0.0,0,118.4,62.5,20,0.355,69,0.319,22,0.391,27,0.40700000000000003,11,1,201,78.9,31.4,16,30,60,,6.6,5,0.319,22,0.22699999999999998,5,43.4,36,0.36700000000000005,12.9,12,47,0.36200000000000004,17,0.0,0,"November 7, 2018",46.4,13,6.4,3,78.9,68.6,35,0.544,57,0.491,28,0.632,36,0.778,28,0,201,118.4,37.5,12,20,90,,7.9,6,0.386,22,0.273,6,56.6,47,0.607,15.1,13,35,0.629,22,1.0,1,"McKale Center, Tucson, Arizona",HOUSTON-BAPTIST,Houston Baptist,76.1,Home,ARIZONA,Arizona,Arizona,pac-12,0,True,False,True,Home,True,6,22,57,47,83,5,17,69,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-17-arizona,39.1,9,0.0,0,110.8,64.7,22,0.467,60,0.38299999999999995,23,0.15,9,0.556,5,1,200,82.4,15.2,5,17,61,,2.7,2,0.41700000000000004,25,0.4,10,40.3,27,0.475,21.0,17,35,0.371,13,0.5,1,"November 11, 2018",50.0,16,0.0,0,82.4,84.8,28,0.521,70,0.457,32,0.2,14,0.643,9,0,200,110.8,35.3,12,17,82,,10.8,8,0.32899999999999996,23,0.391,9,59.7,40,0.535,8.4,7,47,0.489,23,1.0,2,"McKale Center, Tucson, Arizona",CAL-POLY,Cal Poly,74.0,Home,ARIZONA,Arizona,Arizona,pac-12,1,True,False,True,Home,True,9,23,70,40,67,10,13,60,1,0,6,22,57,0.543859649122807,47,83,0.5662650602409639,5,17,69,0.35507246376811596,1.0
2,2018-11-14-20-arizona,56.3,9,2.3,1,111.3,77.4,24,0.375,48,0.33299999999999996,16,0.33299999999999996,16,0.625,10,2,200,64.8,18.8,6,26,46,,5.6,4,0.271,13,0.308,4,47.6,30,0.414,27.6,21,35,0.34299999999999997,12,0.33299999999999996,1,"November 14, 2018",41.4,12,17.1,6,64.8,81.3,26,0.525,59,0.49200000000000005,29,0.49200000000000005,29,0.586,17,0,200,111.3,22.6,7,18,79,,11.3,8,0.271,16,0.25,4,52.4,33,0.5429999999999999,7.7,6,43,0.581,25,1.0,3,"McKale Center, Tucson, Arizona",TEXAS-EL-PASO,UTEP,71.2,Home,ARIZONA,Arizona,Arizona,pac-12,2,True,False,True,Home,True,4,25,59,33,63,4,12,48,1,0,15,45,127,0.531496062992126,87,150,0.58,15,30,129,0.4069767441860465,1.0
3,2018-11-19-21-iowa-state,41.7,10,5.3,2,93.0,71.1,27,0.475,59,0.40700000000000003,24,0.305,18,0.833,15,0,200,100.0,19.4,7,12,71,,11.3,8,0.475,28,0.28600000000000003,8,45.9,34,0.526,13.0,10,31,0.516,16,1.0,4,"November 19, 2018",46.2,12,12.9,4,100.0,80.6,29,0.452,62,0.419,26,0.21,13,0.769,10,1,200,93.0,28.9,11,16,66,,11.3,8,0.387,24,0.16699999999999998,4,54.1,40,0.484,17.1,14,38,0.579,22,0.75,3,"Lahaina Civic Center, Lahaina, Hawaii",IOWA-STATE,Iowa State,70.9,Away,ARIZONA,Arizona,Arizona,pac-12,3,False,False,False,Away,True,8,16,59,34,74,4,22,62,1,0,19,70,186,0.5295698924731183,120,213,0.5633802816901409,19,42,177,0.3983050847457627,1.0
4,2018-11-20-22-gonzaga,14.3,3,0.0,0,116.7,73.5,25,0.48,51,0.41200000000000003,21,0.588,30,0.833,25,1,200,94.9,10.0,3,19,74,,6.4,5,0.451,23,0.304,7,43.8,28,0.5670000000000001,20.0,16,28,0.5,14,0.8,4,"November 20, 2018",64.7,22,14.3,4,94.9,90.0,27,0.602,64,0.531,34,0.32799999999999996,21,0.667,14,0,200,116.7,26.5,9,22,91,3.0,10.3,8,0.45299999999999996,29,0.31,9,56.3,36,0.615,14.1,12,35,0.7140000000000001,25,1.0,5,"Lahaina Civic Center, Lahaina, Hawaii",ARIZONA,Arizona,77.6,Home,GONZAGA,Gonzaga,Arizona,pac-12,4,False,False,False,Away,False,7,14,51,28,64,9,25,64,0,1,27,86,245,0.5163265306122449,154,287,0.5365853658536586,23,64,239,0.4121338912133891,1.0
5,2018-11-21-23-arizona,37.0,10,9.1,2,89.1,80.0,20,0.63,50,0.54,27,0.3,15,0.667,10,1,200,114.1,33.3,8,19,73,8.0,6.3,4,0.52,26,0.34600000000000003,9,57.1,28,0.639,19.8,14,24,0.75,18,0.833,5,"November 21, 2018",45.0,9,0.0,0,114.1,66.7,16,0.532,47,0.426,20,0.191,9,0.778,7,2,200,89.1,20.0,5,22,57,,4.7,3,0.532,25,0.4,10,42.9,21,0.556,27.2,19,22,0.455,10,0.667,4,"Lahaina Civic Center, Lahaina, Hawaii",ARIZONA,Arizona,64.2,Away,AUBURN,Auburn,Arizona,pac-12,5,False,True,True,Home,False,10,10,47,21,49,9,18,50,0,1,34,100,296,0.5101351351351351,182,351,0.5185185185185185,32,89,303,0.4521452145214521,0.8
6,2018-11-29-21-arizona,36.0,9,7.1,3,125.0,72.7,24,0.414,64,0.391,25,0.359,23,0.7390000000000001,17,2,200,87.5,16.2,6,23,70,,3.8,3,0.281,18,0.16699999999999998,3,42.9,30,0.467,13.9,12,46,0.478,22,0.7140000000000001,5,"November 29, 2018",62.9,22,6.5,3,87.5,83.8,31,0.565,69,0.507,35,0.42,29,0.759,22,2,200,125.0,27.3,9,19,100,,6.3,5,0.391,27,0.29600000000000004,8,57.1,40,0.604,6.8,6,42,0.643,27,0.7140000000000001,5,"McKale Center, Tucson, Arizona",GEORGIA-SOUTHERN,Georgia Southern,80.4,Home,ARIZONA,Arizona,Arizona,pac-12,6,True,False,True,Home,True,8,27,69,40,70,3,22,64,1,0,44,110,343,0.5131195335276968,203,400,0.5075,41,107,353,0.4773371104815864,0.6666666666666666
7,2018-12-02-13-connecticut,44.4,12,11.8,4,96.0,78.6,22,0.483,59,0.45799999999999996,27,0.373,22,0.8640000000000001,19,2,200,101.3,27.6,8,15,76,,8.0,6,0.28800000000000003,17,0.17600000000000002,3,52.6,30,0.547,15.9,13,42,0.5710000000000001,24,0.75,6,"December 2, 2018",42.9,12,11.9,5,101.3,72.4,21,0.552,58,0.483,28,0.22399999999999998,13,0.615,8,2,200,96.0,21.4,6,21,72,,5.3,4,0.414,24,0.33299999999999996,8,47.4,27,0.561,22.0,18,34,0.588,20,0.75,6,"XL Center, Hartford, Connecticut",CONNECTICUT,UConn,75.3,Away,ARIZONA,Arizona,Arizona,pac-12,7,False,False,False,Away,True,3,24,59,30,57,8,20,58,1,0,52,137,412,0.5218446601941747,243,470,0.5170212765957447,44,129,417,0.4676258992805755,0.7142857142857143
8,2018-12-06-21-arizona,39.1,9,15.6,5,111.1,75.0,18,0.48100000000000004,54,0.426,23,0.444,24,0.708,17,4,200,95.8,21.2,7,17,69,,6.9,5,0.48100000000000004,26,0.231,6,43.9,25,0.528,16.8,13,28,0.607,17,0.6,6,"December 6, 2018",59.3,16,7.1,2,95.8,78.8,26,0.611,54,0.5,27,0.29600000000000004,16,0.875,14,2,200,111.1,25.0,6,24,80,,4.2,3,0.40700000000000003,22,0.545,12,56.1,32,0.649,20.8,16,32,0.469,15,0.778,7,"McKale Center, Tucson, Arizona",UTAH-VALLEY,Utah Valley,71.5,Home,ARIZONA,Arizona,Arizona,pac-12,8,True,False,True,Home,True,12,15,54,32,57,6,17,54,1,0,55,161,471,0.5169851380042463,273,527,0.5180265654648957,52,149,475,0.47789473684210526,0.75
9,2018-12-09-13-alabama,34.5,10,10.8,4,102.7,70.6,24,0.479,70,0.414,29,0.129,9,0.667,6,3,200,98.6,27.5,11,19,73,,8.1,6,0.34299999999999997,24,0.375,9,47.3,35,0.491,12.9,11,46,0.435,20,0.7,7,"December 9, 2018",42.3,11,8.7,4,98.6,72.5,29,0.536,56,0.46399999999999997,26,0.5,28,0.5710000000000001,16,3,200,102.7,29.4,10,14,76,,6.8,5,0.33899999999999997,19,0.42100000000000004,8,52.7,39,0.5479999999999999,18.0,15,37,0.486,18,0.667,6,"Coleman Coliseum , Tuscaloosa, Alabama",ARIZONA,Arizona,74.3,Home,ALABAMA,Alabama,Arizona,pac-12,9,False,False,False,Away,False,9,20,70,35,74,8,18,56,0,1,67,176,525,0.5266666666666666,305,584,0.5222602739726028,58,166,529,0.4782608695652174,0.7777777777777778
