,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA_homegame,GEORGIA_homegame2,GEORGIA_home,GEORGIA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-20-georgia,55.2,16,9.3,4,114.6,64.9,24,0.40299999999999997,93,0.312,29,0.032,3,0.33299999999999996,1,2,200,79.2,23.3,14,22,76,,6.3,6,0.613,57,0.298,17,39.2,38,0.402,16.0,18,36,0.33299999999999996,12,0.0,0,"November 9, 2018",70.0,28,25.0,9,79.2,76.7,46,0.65,70,0.5710000000000001,40,0.457,32,0.594,19,0,200,114.6,35.1,13,14,110,,8.3,8,0.386,27,0.40700000000000003,11,60.8,59,0.6459999999999999,20.7,22,43,0.674,29,1.0,1,"Stegeman Coliseum, Athens, Georgia",SAVANNAH-STATE,Savannah State,96.3,Home,GEORGIA,Georgia,Georgia,sec,0,True,False,True,Home,True,11,29,70,59,97,17,12,93,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-temple,53.6,15,8.2,4,98.8,79.4,27,0.545,55,0.509,28,0.4,22,0.773,17,1,200,93.9,13.6,3,17,77,,11.0,9,0.182,10,0.4,4,53.6,30,0.588,22.7,19,45,0.5329999999999999,24,0.5,1,"November 13, 2018",36.7,11,4.4,2,93.9,86.4,19,0.478,69,0.435,30,0.261,18,0.833,15,0,200,98.8,20.6,7,17,81,,15.9,13,0.29,20,0.3,6,46.4,26,0.522,12.5,11,49,0.49,24,1.0,3,"Liacouras Center, Philadelphia, Pennsylvania",GEORGIA,Georgia,81.5,Home,TEMPLE,Temple,Georgia,sec,1,False,False,False,Away,False,4,24,55,30,56,6,24,69,0,1,11,29,70,0.65,59,97,0.6082474226804123,17,12,93,0.4032258064516129,1.0
2,2018-11-16-19-georgia,40.0,10,3.7,1,111.9,64.5,20,0.447,66,0.379,25,0.106,7,0.7140000000000001,5,3,200,95.5,23.5,8,29,64,,3.0,2,0.409,27,0.33299999999999996,9,43.1,28,0.462,9.2,7,39,0.41,16,0.4,2,"November 16, 2018",52.4,11,20.5,8,95.5,76.5,26,0.469,49,0.429,21,0.7759999999999999,38,0.763,29,1,200,111.9,35.5,11,15,75,,7.5,5,0.449,22,0.182,4,56.9,37,0.5589999999999999,13.2,10,27,0.63,17,0.667,2,"Stegeman Coliseum, Athens, Georgia",SAM-HOUSTON-STATE,Sam Houston State,67.2,Home,GEORGIA,Georgia,Georgia,sec,2,True,False,True,Home,True,4,17,49,37,65,9,16,66,1,0,15,53,125,0.604,89,153,0.5816993464052288,23,36,162,0.4351851851851852,0.5
3,2018-11-19-13-illinois-state,57.1,16,10.8,4,94.4,63.9,23,0.517,58,0.483,28,0.431,25,0.8,20,1,200,111.1,40.0,12,19,80,,4.2,3,0.207,12,0.33299999999999996,4,53.0,35,0.5720000000000001,14.8,12,46,0.522,24,0.75,3,"November 19, 2018",45.8,11,15.2,7,111.1,60.0,18,0.445,64,0.375,24,0.297,19,0.579,11,2,200,94.4,36.1,13,22,68,,8.3,6,0.42200000000000004,27,0.33299999999999996,9,47.0,31,0.466,16.2,14,37,0.405,15,0.5,2,"John Gray Gymnasium, Grand Cayman",ILLINOIS-STATE,Illinois State,72.0,Away,GEORGIA,Georgia,Georgia,sec,3,False,False,False,Away,True,4,24,58,35,66,9,15,64,1,0,19,70,174,0.5660919540229885,126,218,0.5779816513761468,32,52,228,0.43859649122807015,0.6666666666666666
4,2018-11-20-13-clemson,42.1,8,16.3,7,92.8,72.2,26,0.43,50,0.38,19,0.24,12,0.5,6,2,200,71.0,8.6,3,13,49,,4.3,3,0.36,18,0.278,5,40.8,29,0.44,22.4,16,32,0.43799999999999994,14,0.6,3,"November 20, 2018",32.0,8,3.1,1,71.0,91.4,32,0.43700000000000006,63,0.397,25,0.19,12,0.75,9,0,200,92.8,27.8,10,11,64,16.0,13.0,9,0.317,20,0.25,5,59.2,42,0.466,12.8,10,43,0.465,20,1.0,5,"John Gray Gymnasium, Grand Cayman",GEORGIA,Georgia,68.7,Home,CLEMSON,Clemson,Georgia,sec,4,False,False,False,Away,False,5,14,50,29,71,5,20,63,0,1,23,94,232,0.5538793103448276,161,284,0.5669014084507042,41,67,292,0.4400684931506849,0.75
5,2018-11-21-17-georgia,55.9,19,5.7,2,94.4,69.2,18,0.672,61,0.557,34,0.262,16,0.563,9,2,200,128.2,14.3,4,16,91,,9.9,7,0.41,25,0.56,14,40.7,22,0.6629999999999999,10.5,8,36,0.556,20,0.667,4,"November 21, 2018",52.0,13,11.1,4,128.2,85.7,24,0.519,53,0.47200000000000003,25,0.321,17,0.706,12,3,200,94.4,30.8,8,14,67,,7.0,5,0.34,18,0.278,5,59.3,32,0.5489999999999999,21.9,17,35,0.5710000000000001,20,0.5,3,"John Gray Gymnasium, Grand Cayman",GEORGIA,Georgia,71.3,Away,GEORGIA-STATE,Georgia State,Georgia,sec,5,False,True,True,Home,False,5,20,53,32,54,14,20,61,0,1,28,108,282,0.5319148936170213,190,355,0.5352112676056338,46,87,355,0.4394366197183099,0.6
6,2018-11-27-19-georgia,36.8,7,4.3,2,110.5,57.1,20,0.287,68,0.27899999999999997,19,0.294,20,0.6,12,7,200,67.1,26.0,13,16,51,,6.6,5,0.221,15,0.067,1,38.8,33,0.32899999999999996,13.5,12,53,0.34,18,0.125,1,"November 27, 2018",57.1,20,13.2,7,67.1,74.0,37,0.575,67,0.522,35,0.22399999999999998,15,0.467,7,3,200,110.5,42.9,15,16,84,,10.5,8,0.299,20,0.35,7,61.2,52,0.5670000000000001,17.9,16,47,0.596,28,0.5710000000000001,4,"Stegeman Coliseum, Athens, Georgia",KENNESAW-STATE,Kennesaw State,75.8,Home,GEORGIA,Georgia,Georgia,sec,6,True,False,True,Home,True,7,28,67,52,85,1,18,68,1,0,33,128,335,0.5298507462686567,222,409,0.5427872860635696,60,107,416,0.4735576923076923,0.5
7,2018-12-03-19-georgia,52.0,13,4.5,2,119.5,58.8,20,0.42100000000000004,70,0.35700000000000004,25,0.34299999999999997,24,0.667,16,6,200,97.4,31.1,14,15,75,,13.0,10,0.47100000000000003,33,0.273,9,43.0,34,0.461,10.0,9,37,0.43200000000000005,16,0.33299999999999996,3,"December 3, 2018",56.3,18,16.2,6,97.4,68.9,31,0.568,66,0.485,32,0.33299999999999996,22,0.773,17,3,200,119.5,41.2,14,17,92,,6.5,5,0.33299999999999996,22,0.5,11,57.0,45,0.602,16.5,15,44,0.47700000000000004,21,0.625,5,"Stegeman Coliseum, Athens, Georgia",TEXAS-SOUTHERN,Texas Southern,76.9,Home,GEORGIA,Georgia,Georgia,sec,7,True,False,True,Home,True,11,21,66,45,79,9,16,70,1,0,40,156,402,0.5373134328358209,274,494,0.5546558704453441,61,125,484,0.44731404958677684,0.5714285714285714
8,2018-12-15-18-georgia,30.8,8,0.0,0,96.1,75.9,22,0.43799999999999994,64,0.406,26,0.42200000000000004,27,0.741,20,1,200,98.7,27.8,10,22,76,20.0,10.4,8,0.25,16,0.25,4,49.2,32,0.495,13.7,12,48,0.45799999999999996,22,0.889,8,"December 15, 2018",55.0,11,14.6,7,98.7,72.2,26,0.511,47,0.426,20,0.6809999999999999,32,0.813,26,4,200,96.1,24.1,7,21,74,,7.8,6,0.46799999999999997,22,0.364,8,50.8,33,0.595,23.7,19,25,0.48,12,0.556,5,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,76.5,Away,ARIZONA-STATE,Arizona State,Georgia,sec,8,False,True,True,Home,False,8,12,47,33,65,4,22,64,0,1,51,177,468,0.5416666666666666,319,573,0.5567190226876091,70,141,554,0.44404332129963897,0.625
9,2018-12-18-19-georgia,61.9,13,2.9,1,108.0,64.9,24,0.44799999999999995,58,0.36200000000000004,21,0.414,24,0.708,17,8,200,92.0,20.5,8,22,69,,9.3,7,0.466,27,0.37,10,42.1,32,0.49700000000000005,15.9,13,31,0.355,11,0.33299999999999996,4,"December 18, 2018",50.0,13,16.1,5,92.0,79.5,31,0.5,62,0.419,26,0.419,26,0.731,19,4,200,108.0,35.1,13,22,81,,5.3,4,0.452,28,0.35700000000000004,10,57.9,44,0.545,17.0,15,34,0.47100000000000003,16,0.6,6,"Stegeman Coliseum, Athens, Georgia",OAKLAND,Oakland,75.4,Home,GEORGIA,Georgia,Georgia,sec,9,True,False,True,Home,True,10,16,62,44,76,10,11,58,1,0,59,189,515,0.5388349514563107,352,638,0.5517241379310345,74,163,618,0.44336569579288027,0.5555555555555556
