,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA-SOUTHERN_homegame,GEORGIA-SOUTHERN_homegame2,GEORGIA-SOUTHERN_home,GEORGIA-SOUTHERN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-georgia-southern,52.6,10,1.4,1,152.7,50.0,17,0.344,61,0.311,19,0.262,16,0.563,9,0,200,56.0,11.6,5,23,51,,2.2,2,0.41,25,0.16,4,28.6,22,0.37200000000000005,28.4,27,36,0.41700000000000004,15,0.0,0,"November 7, 2018",32.8,19,16.7,6,56.0,88.4,38,0.7090000000000001,86,0.674,58,0.37200000000000005,32,0.531,17,0,200,152.7,50.0,17,15,139,,23.1,21,0.198,17,0.353,6,71.4,55,0.687,7.4,8,69,0.754,52,1.0,1,"Hanner Fieldhouse, Statesboro, Georgia","Carver College
			","Carver College
			",91.4,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,0,True,False,True,Home,True,6,52,86,55,77,4,15,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-georgia-southern,53.3,16,6.3,3,118.1,86.2,25,0.638,58,0.517,30,0.32799999999999996,19,0.789,15,3,200,107.2,25.9,7,33,89,,6.0,5,0.397,23,0.609,14,57.1,32,0.664,24.9,22,35,0.457,16,0.0,0,"November 13, 2018",18.2,6,20.0,7,107.2,74.1,20,0.607,56,0.589,33,0.857,48,0.625,30,0,200,118.1,13.8,4,18,98,,12.0,10,0.14300000000000002,8,0.25,2,42.9,24,0.622,10.5,9,48,0.6459999999999999,31,1.0,2,"Hanner Fieldhouse, Statesboro, Georgia",GEORGE-MASON,George Mason,82.9,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,1,True,False,True,Home,True,2,31,56,24,56,14,16,58,1,0,6,52,86,0.7093023255813954,55,77,0.7142857142857143,4,15,61,0.3442622950819672,1.0
2,2018-11-16-17-florida-atlantic,45.2,14,7.5,3,89.7,67.6,25,0.524,62,0.5,31,0.40299999999999997,25,0.6,15,0,200,102.6,31.3,10,20,80,,7.7,6,0.27399999999999997,17,0.17600000000000002,3,50.7,35,0.541,15.1,13,45,0.622,28,1.0,3,"November 16, 2018",50.0,12,6.7,3,102.6,68.8,22,0.41200000000000003,68,0.353,24,0.25,17,0.8240000000000001,14,1,200,89.7,32.4,12,24,70,,2.6,2,0.41200000000000003,28,0.28600000000000003,8,49.3,34,0.46,17.5,16,40,0.4,16,0.667,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",FLORIDA-ATLANTIC,Florida Atlantic,78.5,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,2,False,False,False,Away,True,3,28,62,35,69,8,16,68,1,0,8,83,142,0.6690140845070423,79,133,0.5939849624060151,18,31,119,0.48739495798319327,1.0
3,2018-11-17-20-pepperdine,43.3,13,2.6,1,96.3,74.4,29,0.657,51,0.588,30,0.608,31,0.677,21,0,200,108.6,18.2,4,19,88,,6.2,5,0.47100000000000003,24,0.292,7,54.1,33,0.669,22.7,19,27,0.852,23,1.0,4,"November 17, 2018",53.6,15,3.7,1,108.6,81.8,18,0.478,68,0.41200000000000003,28,0.25,17,0.765,13,2,200,96.3,25.6,10,23,78,,7.4,6,0.441,30,0.3,9,45.9,28,0.513,17.5,16,38,0.5,19,0.5,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",PEPPERDINE,Pepperdine,81.4,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,3,False,False,False,Away,True,7,23,51,33,61,9,19,68,1,0,11,111,204,0.625,114,202,0.5643564356435643,26,47,187,0.45989304812834225,1.0
4,2018-11-18-20-georgia-southern,44.8,13,10.5,4,106.7,72.0,18,0.578,58,0.5,29,0.259,15,0.667,10,1,200,102.7,24.1,7,23,77,,10.7,8,0.44799999999999995,26,0.34600000000000003,9,46.3,25,0.591,19.9,16,32,0.625,20,0.8,4,"November 18, 2018",39.3,11,6.3,2,102.7,75.9,22,0.565,54,0.519,28,0.426,23,0.826,19,0,200,106.7,28.0,7,15,80,,5.3,4,0.29600000000000004,16,0.313,5,53.7,29,0.616,21.9,18,38,0.605,23,1.0,5,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",MONTANA,Montana,75.0,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,4,True,False,True,Home,True,5,23,54,29,54,9,20,58,1,0,18,134,255,0.6313725490196078,147,263,0.55893536121673,35,66,255,0.4647058823529412,1.0
5,2018-11-27-19-georgia-southern,55.6,15,10.5,4,81.0,84.6,33,0.484,64,0.42200000000000004,27,0.203,13,0.5379999999999999,7,2,200,87.3,32.4,11,15,69,,12.7,10,0.375,24,0.33299999999999996,8,60.3,44,0.49200000000000005,23.1,21,40,0.475,19,0.75,6,"November 27, 2018",46.2,12,10.0,4,87.3,67.6,23,0.45299999999999996,64,0.406,26,0.156,10,0.6,6,1,200,81.0,15.4,6,12,64,,7.6,6,0.406,26,0.231,6,39.7,29,0.465,18.0,15,38,0.526,20,0.833,5,"Hanner Fieldhouse, Statesboro, Georgia",GEORGIA-SOUTHERN,Georgia Southern,79.0,Away,EAST-TENNESSEE-STATE,ETSU,Georgia Southern,sun-belt,5,False,True,True,Home,False,6,20,64,29,73,8,19,64,0,1,23,157,309,0.6197411003236246,176,317,0.555205047318612,44,86,313,0.48562300319488816,1.0
6,2018-11-29-21-arizona,36.0,9,7.1,3,125.0,72.7,24,0.414,64,0.391,25,0.359,23,0.7390000000000001,17,2,200,87.5,16.2,6,23,70,,3.8,3,0.281,18,0.16699999999999998,3,42.9,30,0.467,13.9,12,46,0.478,22,0.7140000000000001,5,"November 29, 2018",62.9,22,6.5,3,87.5,83.8,31,0.565,69,0.507,35,0.42,29,0.759,22,2,200,125.0,27.3,9,19,100,,6.3,5,0.391,27,0.29600000000000004,8,57.1,40,0.604,6.8,6,42,0.643,27,0.7140000000000001,5,"McKale Center, Tucson, Arizona",GEORGIA-SOUTHERN,Georgia Southern,80.4,Home,ARIZONA,Arizona,Georgia Southern,sun-belt,6,False,False,False,Away,False,3,22,64,30,70,8,27,69,0,1,29,177,373,0.5911528150134048,205,390,0.5256410256410257,52,105,377,0.4854111405835544,0.8333333333333334
7,2018-12-08-16-mercer,46.9,15,17.0,8,107.2,63.9,23,0.597,62,0.516,32,0.32299999999999995,20,0.75,15,2,200,129.0,48.4,15,16,89,,8.7,6,0.419,26,0.385,10,56.7,38,0.622,13.4,11,36,0.611,22,0.75,6,"December 8, 2018",56.7,17,2.8,1,129.0,51.6,16,0.5,66,0.455,30,0.212,14,0.5710000000000001,8,6,200,107.2,36.1,13,19,74,,5.8,4,0.28800000000000003,19,0.316,6,43.3,29,0.509,12.2,10,47,0.511,24,0.4,4,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,68.6,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,7,False,False,False,Away,True,10,22,62,38,67,6,24,66,1,0,32,199,437,0.5652173913043478,235,460,0.5108695652173914,60,132,446,0.4977578475336323,0.7142857142857143
8,2018-12-11-19-central-florida,45.9,17,7.7,3,120.3,70.0,21,0.596,68,0.544,37,0.17600000000000002,12,0.583,7,3,200,111.4,14.3,4,19,88,,8.9,7,0.235,16,0.43799999999999994,7,43.1,25,0.597,10.9,9,52,0.5770000000000001,30,0.667,6,"December 11, 2018",54.5,18,9.6,5,111.4,85.7,24,0.591,66,0.5,33,0.348,23,0.7390000000000001,17,2,200,120.3,30.0,9,14,95,,1.3,1,0.409,27,0.444,12,56.9,33,0.617,12.6,11,39,0.5379999999999999,21,0.8,8,"CFE Arena, Orlando, Florida",GEORGIA-SOUTHERN,Georgia Southern,78.8,Home,CENTRAL-FLORIDA,UCF,Georgia Southern,sun-belt,8,False,False,False,Away,False,7,30,68,25,58,12,21,66,0,1,42,221,499,0.5691382765531062,273,527,0.5180265654648957,66,156,512,0.498046875,0.75
9,2018-12-14-19-georgia-southern,32.1,9,9.5,4,117.4,63.2,24,0.435,69,0.406,28,0.07200000000000001,5,0.8,4,0,200,74.4,30.3,10,24,64,,1.2,1,0.29,20,0.2,4,47.9,34,0.44799999999999995,26.0,25,49,0.49,24,0.0,0,"December 14, 2018",51.4,18,18.4,9,74.4,69.7,23,0.534,73,0.479,35,0.493,36,0.639,23,3,200,117.4,36.8,14,12,101,,17.4,15,0.425,31,0.258,8,52.1,37,0.56,10.1,10,42,0.643,27,0.7,7,"Hanner Fieldhouse, Statesboro, Georgia","Brewton-Parker
			","Brewton-Parker
			",86.2,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,9,True,False,True,Home,True,8,27,73,37,71,4,24,69,1,0,49,251,567,0.572310405643739,298,585,0.5094017094017094,78,177,578,0.5086505190311419,0.6666666666666666
