,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEW-ORLEANS_homegame,NEW-ORLEANS_homegame2,NEW-ORLEANS_home,NEW-ORLEANS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-new-orleans,84.0,21,11.9,5,114.5,62.2,23,0.509,57,0.439,25,0.21100000000000002,12,0.667,8,0,200,79.5,26.7,8,23,66,,7.2,6,0.368,21,0.381,8,46.3,31,0.526,30.2,27,36,0.47200000000000003,17,0.0,0,"November 6, 2018",68.8,22,16.7,6,79.5,73.3,22,0.561,66,0.485,32,0.47,31,0.677,21,0,200,114.5,37.8,14,16,95,,16.9,14,0.364,24,0.41700000000000004,10,53.7,36,0.588,18.4,18,42,0.524,22,1.0,1,"Kiefer Lakefront Arena, New Orleans , Louisiana","Spring Hill
			","Spring Hill
			",83.2,Home,NEW-ORLEANS,New Orleans,New Orleans,southland,0,True,False,True,Home,True,10,22,66,36,67,8,17,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-20-northwestern,55.0,11,3.3,1,122.4,60.0,21,0.429,49,0.408,20,0.449,22,0.455,10,1,200,77.6,21.4,6,21,52,,6.0,4,0.204,10,0.2,2,42.9,27,0.43700000000000006,20.4,15,39,0.462,18,0.5,1,"November 8, 2018",64.0,16,15.4,6,77.6,78.6,22,0.508,60,0.41700000000000004,25,0.433,26,0.8079999999999999,21,0,200,122.4,40.0,14,18,82,,10.4,7,0.5,30,0.36700000000000005,11,57.1,36,0.5670000000000001,10.1,8,30,0.467,14,1.0,1,"Welsh-Ryan Arena, Evanston, Illinois",NEW-ORLEANS,New Orleans,67.4,Home,NORTHWESTERN,Northwestern,New Orleans,southland,1,False,False,False,Away,False,2,18,49,27,63,11,14,60,0,1,10,22,66,0.5606060606060606,36,67,0.5373134328358209,8,17,57,0.5087719298245614,1.0
2,2018-11-12-20-new-orleans,62.5,15,6.8,4,100.0,57.9,22,0.425,60,0.4,24,0.2,12,0.667,8,0,200,67.8,23.7,9,19,59,,10.3,9,0.233,14,0.214,3,40.8,31,0.449,30.8,29,46,0.457,21,0.0,0,"November 12, 2018",65.7,23,17.4,8,67.8,76.3,29,0.507,73,0.479,35,0.301,22,0.591,13,1,200,100.0,42.1,16,18,87,,18.4,16,0.192,14,0.28600000000000003,4,59.2,45,0.521,20.3,21,59,0.525,31,0.667,2,"Kiefer Lakefront Arena, New Orleans , Louisiana","Pensacola Christian
			","Pensacola Christian
			",87.1,Home,NEW-ORLEANS,New Orleans,New Orleans,southland,2,True,False,True,Home,True,4,31,73,45,76,3,21,60,1,0,12,40,115,0.5043478260869565,63,130,0.4846153846153846,19,31,117,0.5085470085470085,0.5
3,2018-11-14-20-alabama-birmingham,53.6,15,4.2,2,115.4,54.3,19,0.564,55,0.509,28,0.2,11,0.545,6,2,200,104.6,38.7,12,18,68,,10.8,7,0.23600000000000002,13,0.462,6,47.0,31,0.565,21.1,16,42,0.524,22,0.5,2,"November 14, 2018",44.8,13,2.4,1,104.6,61.3,19,0.49200000000000005,63,0.46,29,0.317,20,0.65,13,0,200,115.4,45.7,16,17,75,,13.8,9,0.23800000000000002,15,0.267,4,53.0,35,0.517,12.2,10,48,0.521,25,1.0,2,"Bartow Arena, Birmingham, Alabama",NEW-ORLEANS,New Orleans,65.4,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,New Orleans,southland,3,False,False,False,Away,False,6,22,55,31,66,4,25,63,0,1,16,71,188,0.5053191489361702,108,206,0.5242718446601942,22,52,177,0.480225988700565,0.6666666666666666
4,2018-11-24-13-new-orleans,52.6,10,5.4,3,116.9,65.4,17,0.379,58,0.32799999999999996,19,0.19,11,0.818,9,0,200,63.9,19.4,7,13,53,,6.0,5,0.414,24,0.25,6,38.7,24,0.419,30.1,27,34,0.382,13,0.0,0,"November 24, 2018",69.0,29,11.8,4,63.9,80.6,29,0.625,72,0.583,42,0.139,10,0.7,7,2,200,116.9,34.6,9,10,97,,21.7,18,0.222,16,0.375,6,61.3,38,0.632,16.4,15,56,0.643,36,0.6,3,"Kiefer Lakefront Arena, New Orleans , Louisiana","Governors State
			","Governors State
			",83.0,Home,NEW-ORLEANS,New Orleans,New Orleans,southland,4,True,False,True,Home,True,6,36,72,38,62,6,13,58,1,0,22,93,243,0.5185185185185185,139,272,0.5110294117647058,26,77,240,0.48333333333333334,0.5
5,2018-11-28-20-new-orleans,50.0,12,13.6,8,88.0,62.5,25,0.491,56,0.429,24,0.518,29,0.759,22,3,225,92.8,19.4,6,23,77,,8.4,7,0.35700000000000004,20,0.35,7,43.7,31,0.552,21.6,19,36,0.47200000000000003,17,0.5710000000000001,4,"November 28, 2018",53.8,14,22.2,8,92.8,80.6,25,0.36700000000000005,75,0.34700000000000003,26,0.307,23,0.7829999999999999,18,3,225,88.0,37.5,15,23,73,,12.0,10,0.213,16,0.188,3,56.3,40,0.425,13.2,13,59,0.39,23,0.5,3,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,74.1,Away,LOUISIANA-LAFAYETTE,Louisiana,New Orleans,southland,5,False,True,True,Home,False,3,23,75,40,71,7,17,56,0,1,28,129,315,0.5428571428571428,177,334,0.5299401197604791,32,90,298,0.46308724832214765,0.6
6,2018-12-05-20-new-orleans,28.6,6,13.3,6,106.0,62.1,18,0.452,52,0.40399999999999997,21,0.385,20,0.65,13,5,200,89.6,36.7,11,17,60,,13.4,9,0.385,20,0.25,5,49.2,29,0.488,21.9,17,32,0.5,16,0.444,4,"December 5, 2018",59.3,16,21.9,7,89.6,63.3,19,0.535,57,0.474,27,0.33299999999999996,19,0.526,10,3,200,106.0,37.9,11,18,71,,11.9,8,0.21100000000000002,12,0.583,7,50.8,30,0.5379999999999999,14.4,11,45,0.444,20,0.5710000000000001,4,"Kiefer Lakefront Arena, New Orleans , Louisiana",SOUTH-ALABAMA,South Alabama,66.8,Home,NEW-ORLEANS,New Orleans,New Orleans,southland,6,True,False,True,Home,True,7,20,57,30,59,5,16,52,1,0,31,152,390,0.5089743589743589,217,405,0.5358024691358024,39,107,354,0.4675141242937853,0.5
7,2018-12-13-20-tulsa,56.5,13,8.0,2,95.9,78.1,25,0.386,66,0.348,23,0.258,17,0.529,9,4,200,82.2,20.5,9,24,60,,12.3,9,0.318,21,0.23800000000000002,5,44.7,34,0.405,13.0,11,45,0.4,18,0.5,4,"December 13, 2018",58.3,14,4.4,2,82.2,79.5,35,0.62,46,0.522,24,0.7170000000000001,33,0.39399999999999996,13,3,200,95.9,21.9,7,18,70,,9.6,7,0.457,21,0.429,9,55.3,42,0.5670000000000001,19.9,15,25,0.6,15,0.727,8,"Donald W. Reynolds Center, Tulsa, Oklahoma",NEW-ORLEANS,New Orleans,72.9,Home,TULSA,Tulsa,New Orleans,southland,7,False,False,False,Away,False,5,18,66,34,76,9,15,46,0,1,38,172,447,0.5123042505592841,247,464,0.5323275862068966,44,123,406,0.46551724137931033,0.5714285714285714
8,2018-12-18-20-new-orleans,40.0,10,5.1,2,115.4,67.7,21,0.452,62,0.40299999999999997,25,0.145,9,0.667,6,0,200,79.5,37.8,14,14,62,,10.3,8,0.387,24,0.25,6,51.5,35,0.46799999999999997,28.3,26,38,0.5,19,0.0,0,"December 18, 2018",80.0,28,7.9,3,79.5,62.2,23,0.5920000000000001,65,0.5379999999999999,35,0.27699999999999997,18,0.722,13,4,200,115.4,32.3,10,11,90,,16.7,13,0.4,26,0.26899999999999996,7,48.5,33,0.612,17.1,15,39,0.718,28,0.556,5,"Kiefer Lakefront Arena, New Orleans , Louisiana","Williams Baptist
			","Williams Baptist
			",78.4,Home,NEW-ORLEANS,New Orleans,New Orleans,southland,8,True,False,True,Home,True,7,28,65,33,68,6,19,62,1,0,43,190,513,0.49610136452241715,281,540,0.5203703703703704,53,138,452,0.4811946902654867,0.5
9,2018-12-20-19-pittsburgh,60.9,14,7.1,3,135.6,40.0,12,0.47100000000000003,52,0.442,23,0.212,11,0.727,8,5,200,78.1,21.4,6,22,57,,15.1,11,0.327,17,0.17600000000000002,3,31.0,18,0.498,27.0,21,35,0.5710000000000001,20,0.5,5,"December 20, 2018",52.9,18,8.6,3,78.1,78.6,22,0.583,66,0.515,34,0.348,23,0.9570000000000001,22,3,200,135.6,60.0,18,14,99,,13.7,10,0.364,24,0.375,9,69.0,40,0.643,15.5,14,42,0.595,25,0.75,9,"Petersen Events Center, Pittsburgh, Pennsylvania",NEW-ORLEANS,New Orleans,72.6,Home,PITTSBURGH,Pitt,New Orleans,southland,9,False,False,False,Away,False,3,20,52,18,58,9,25,66,0,1,50,218,578,0.5069204152249135,314,608,0.5164473684210527,59,157,514,0.4776264591439689,0.5555555555555556
