,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BUCKNELL_homegame,BUCKNELL_homegame2,BUCKNELL_home,BUCKNELL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-st-bonaventure,42.9,12,2.4,1,106.3,77.4,24,0.56,58,0.483,28,0.621,36,0.639,23,0,225,110.0,29.0,9,21,88,,1.3,1,0.466,27,0.33299999999999996,9,53.2,33,0.586,15.9,14,31,0.613,19,1.0,1,"November 7, 2018",44.8,13,16.1,5,110.0,71.0,22,0.517,60,0.483,29,0.517,31,0.742,23,1,225,106.3,22.6,7,27,85,,10.0,8,0.317,19,0.21100000000000002,4,46.8,29,0.569,14.0,12,41,0.61,25,0.0,0,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,71.0,Away,BUCKNELL,Bucknell,Bucknell,patriot,0,False,False,False,Away,True,9,19,58,33,62,4,25,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-bucknell,20.0,4,8.1,3,89.2,54.3,19,0.469,49,0.408,20,0.34700000000000003,17,0.8240000000000001,14,1,200,92.3,20.7,6,23,60,,7.7,5,0.327,16,0.375,6,39.1,25,0.526,17.5,12,33,0.424,14,0.5,1,"November 10, 2018",70.0,14,27.3,9,92.3,79.3,23,0.38799999999999996,58,0.345,20,0.379,22,0.591,13,1,200,89.2,45.7,16,20,58,,4.6,3,0.36200000000000004,21,0.23800000000000002,5,60.9,39,0.424,17.1,14,37,0.405,15,0.5,1,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,64.8,Away,FAIRFIELD,Fairfield,Bucknell,patriot,1,False,True,True,Home,False,5,15,58,39,64,6,14,49,0,1,9,19,58,0.5603448275862069,33,62,0.532258064516129,4,25,60,0.5166666666666667,1.0
2,2018-11-13-19-bucknell,50.0,13,14.8,4,98.6,86.2,25,0.544,57,0.456,26,0.439,25,0.8,20,0,200,110.8,20.7,6,21,82,,10.8,8,0.386,22,0.455,10,53.4,31,0.595,15.0,12,35,0.457,16,1.0,1,"November 13, 2018",53.8,14,17.1,6,110.8,79.3,23,0.585,53,0.491,26,0.377,20,0.55,11,2,200,98.6,13.8,4,22,73,,5.4,4,0.491,26,0.385,10,46.6,27,0.584,19.5,15,27,0.593,16,0.33299999999999996,1,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,74.2,Away,CANISIUS,Canisius,Bucknell,patriot,2,False,True,True,Home,False,10,16,53,27,58,10,16,57,0,1,14,34,116,0.47413793103448276,72,126,0.5714285714285714,10,39,109,0.4954128440366973,0.5
3,2018-11-25-14-vermont,47.8,11,2.5,1,89.7,67.5,27,0.509,53,0.434,23,0.34,18,0.833,15,2,200,101.5,13.3,4,19,69,,5.9,4,0.434,23,0.348,8,44.3,31,0.561,12.9,9,30,0.5,15,0.5,2,"November 25, 2018",36.8,7,6.7,2,101.5,86.7,26,0.358,60,0.317,19,0.317,19,0.9470000000000001,18,3,200,89.7,32.5,13,22,61,,5.9,4,0.33299999999999996,20,0.25,5,55.7,39,0.442,17.0,14,40,0.35,14,0.5,3,"Roy L. Patrick Gymnasium, Burlington, Vermont",VERMONT,Vermont,68.3,Away,BUCKNELL,Bucknell,Bucknell,patriot,3,False,False,False,Away,True,8,15,53,31,70,5,14,60,1,0,24,50,169,0.5088757396449705,99,184,0.5380434782608695,20,55,166,0.5120481927710844,0.3333333333333333
4,2018-11-28-19-bucknell,66.7,24,10.7,3,111.4,87.9,29,0.677,62,0.581,36,0.226,14,0.857,12,4,200,137.1,22.7,5,17,96,,12.9,9,0.40299999999999997,25,0.48,12,61.8,34,0.6990000000000001,9.3,7,37,0.649,24,0.429,3,"November 28, 2018",61.5,16,5.4,2,137.1,77.3,17,0.594,53,0.491,26,0.415,22,0.682,15,3,200,111.4,12.1,4,15,78,,8.6,6,0.47200000000000003,25,0.44,11,38.2,21,0.615,13.8,10,28,0.536,15,0.4,2,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,70.1,Away,NORTHEASTERN,Northeastern,Bucknell,patriot,4,False,True,True,Home,False,11,15,53,21,55,12,24,62,0,1,32,65,222,0.509009009009009,130,254,0.5118110236220472,25,69,226,0.47123893805309736,0.5
5,2018-12-01-14-bucknell,70.6,12,21.1,4,95.6,87.5,28,0.35600000000000004,52,0.327,17,0.28800000000000003,15,0.4,6,9,200,63.2,22.2,8,18,43,,5.9,4,0.28800000000000003,15,0.2,3,52.9,36,0.364,22.5,17,37,0.37799999999999995,14,0.0,0,"December 1, 2018",66.7,14,10.8,4,63.2,77.8,28,0.5,53,0.396,21,0.34,18,0.667,12,3,200,95.6,12.5,4,15,65,,14.7,10,0.642,34,0.324,11,47.1,32,0.528,15.3,11,19,0.526,10,0.5,3,"Sojka Pavilion, Lewisburg, Pennsylvania",MONMOUTH,Monmouth,68.3,Home,BUCKNELL,Bucknell,Bucknell,patriot,5,True,False,True,Home,True,11,10,53,32,68,3,14,52,1,0,43,80,275,0.5254545454545455,151,309,0.4886731391585761,37,93,288,0.515625,0.4
6,2018-12-04-19-la-salle,72.4,21,11.6,5,95.2,64.9,24,0.6629999999999999,52,0.5579999999999999,29,0.615,32,0.7190000000000001,23,3,200,110.8,20.0,5,28,92,,9.6,8,0.462,24,0.45799999999999996,11,46.8,29,0.685,21.4,18,28,0.643,18,0.5710000000000001,4,"December 4, 2018",50.0,11,17.9,5,110.8,80.0,20,0.385,65,0.33799999999999997,22,0.5379999999999999,35,0.8290000000000001,29,9,200,95.2,35.1,13,28,79,,15.7,13,0.33799999999999997,22,0.273,6,53.2,33,0.484,18.3,18,43,0.37200000000000005,16,0.0,0,"Tom Gola Arena, Philadelphia, Pennsylvania",LA-SALLE,La Salle,83.4,Away,BUCKNELL,Bucknell,Bucknell,patriot,6,False,False,False,Away,True,11,18,52,29,62,6,16,65,1,0,54,90,328,0.5213414634146342,183,377,0.4854111405835544,40,107,340,0.49117647058823527,0.5
7,2018-12-15-12-ohio-state,56.5,13,2.4,1,107.4,71.9,23,0.527,55,0.418,23,0.327,18,0.722,13,4,200,104.4,14.3,5,20,71,,8.8,6,0.545,30,0.4,12,41.8,28,0.5589999999999999,11.3,8,25,0.44,11,0.5,4,"December 15, 2018",55.6,15,12.0,3,104.4,85.7,30,0.536,56,0.48200000000000004,27,0.321,18,0.722,13,1,200,107.4,28.1,9,14,73,15.0,2.9,2,0.268,15,0.4,6,58.2,39,0.565,16.9,13,41,0.512,21,0.9,9,"Value City Arena, Columbus, Ohio",BUCKNELL,Bucknell,67.6,Home,OHIO-STATE,Ohio State,Bucknell,patriot,7,False,False,False,Away,False,12,11,55,28,67,6,21,56,0,1,65,108,380,0.5407894736842105,212,439,0.48291571753986334,46,123,405,0.4740740740740741,0.5714285714285714
8,2018-12-19-22-saint-marys-ca,63.6,14,4.7,2,125.0,69.2,18,0.389,63,0.349,22,0.111,7,1.0,7,5,200,82.4,15.8,6,11,56,,4.4,3,0.397,25,0.2,5,37.5,24,0.42200000000000004,9.6,7,38,0.447,17,0.444,4,"December 19, 2018",51.4,18,2.6,1,82.4,84.2,32,0.625,64,0.547,35,0.078,5,1.0,5,5,200,125.0,30.8,8,14,85,,8.8,6,0.32799999999999996,21,0.47600000000000003,10,62.5,40,0.64,13.1,10,43,0.581,25,0.615,8,"McKeon Pavilion, Moraga, California",BUCKNELL,Bucknell,67.9,Home,SAINT-MARYS-CA,Saint Mary's,Bucknell,patriot,8,False,False,False,Away,False,5,17,63,24,64,10,25,64,0,1,77,119,435,0.539080459770115,240,506,0.4743083003952569,52,144,461,0.48156182212581344,0.5
9,2018-12-22-22-bucknell,25.8,8,8.6,3,106.3,84.6,22,0.5,70,0.44299999999999995,31,0.32899999999999996,23,0.522,12,4,200,103.8,23.7,9,21,82,,8.9,7,0.34299999999999997,24,0.33299999999999996,8,48.4,31,0.507,10.1,9,46,0.5,23,0.556,5,"December 22, 2018",46.4,13,0.0,0,103.8,76.3,29,0.591,55,0.509,28,0.473,26,0.731,19,5,200,106.3,15.4,4,17,84,,3.8,3,0.364,20,0.45,9,51.6,33,0.624,16.4,13,35,0.5429999999999999,19,0.5,5,"Stan Sheriff Center, Honolulu, Hawaii",RHODE-ISLAND,Rhode Island,78.6,Home,BUCKNELL,Bucknell,Bucknell,patriot,9,True,False,True,Home,True,9,19,55,33,64,8,23,70,1,0,82,136,498,0.5200803212851406,264,570,0.4631578947368421,62,169,525,0.4990476190476191,0.4444444444444444
