,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VILLANOVA_homegame,VILLANOVA_homegame2,VILLANOVA_home,VILLANOVA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-villanova,63.6,21,0.0,0,123.5,58.1,18,0.5,71,0.465,33,0.141,10,0.6,6,1,192,95.1,20.0,7,24,77,,12.3,10,0.19699999999999998,14,0.35700000000000004,5,37.9,25,0.508,14.7,13,57,0.491,28,0.0,0,"November 6, 2018",61.8,21,15.8,9,95.1,80.0,28,0.597,67,0.507,34,0.40299999999999997,27,0.741,20,0,192,123.5,41.9,13,13,100,9.0,6.2,5,0.552,37,0.324,12,62.1,41,0.626,15.1,14,30,0.733,22,1.0,1,"Finneran Pavilion, Villanova, Pennsylvania",MORGAN-STATE,Morgan State,84.7,Home,VILLANOVA,Villanova,Villanova,big-east,0,True,False,True,Home,True,12,22,67,41,66,5,28,71,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-20-villanova,36.8,7,11.1,4,124.6,48.6,18,0.384,56,0.33899999999999997,19,0.28600000000000003,16,0.625,10,1,200,76.8,18.8,6,17,53,,7.2,5,0.375,21,0.23800000000000002,5,34.8,24,0.41700000000000004,17.1,13,35,0.4,14,0.0,0,"November 10, 2018",62.5,20,22.9,8,76.8,81.3,26,0.5589999999999999,68,0.47100000000000003,32,0.235,16,0.625,10,0,200,124.6,51.4,19,18,86,9.0,7.2,5,0.47100000000000003,32,0.375,12,65.2,45,0.569,11.8,10,36,0.556,20,1.0,2,"Wells Fargo Center, Philadelphia, Pennsylvania",QUINNIPIAC,Quinnipiac,68.6,Home,VILLANOVA,Villanova,Villanova,big-east,1,True,False,True,Home,True,12,20,68,45,69,5,14,56,1,0,12,22,67,0.5970149253731343,41,66,0.6212121212121212,5,28,71,0.5,1.0
2,2018-11-14-18-villanova,46.4,13,20.7,6,70.8,74.1,20,0.555,55,0.509,28,0.345,19,0.632,12,0,200,112.3,26.9,7,20,73,18.0,16.9,11,0.309,17,0.294,5,50.9,27,0.57,9.9,7,38,0.605,23,1.0,3,"November 14, 2018",50.0,7,7.9,3,112.3,73.1,19,0.35200000000000004,44,0.318,14,0.47700000000000004,21,0.7140000000000001,15,1,200,70.8,25.9,7,20,46,8.0,1.5,1,0.341,15,0.2,3,49.1,26,0.426,26.3,19,29,0.379,11,0.667,2,"Finneran Pavilion, Villanova, Pennsylvania",VILLANOVA,Villanova,65.0,Away,MICHIGAN,Michigan,Villanova,big-east,2,False,True,True,Home,False,3,11,44,26,53,5,23,55,0,1,24,42,135,0.5777777777777777,86,135,0.6370370370370371,10,42,127,0.44881889763779526,1.0
3,2018-11-17-17-villanova,61.5,16,18.5,5,88.3,75.0,33,0.5,60,0.433,26,0.33299999999999996,20,0.8,16,0,225,98.7,18.8,6,18,76,,9.1,7,0.36700000000000005,22,0.364,8,51.3,39,0.547,16.9,14,38,0.474,18,1.0,5,"November 17, 2018",58.3,14,23.7,9,98.7,81.3,26,0.43700000000000006,71,0.33799999999999997,24,0.155,11,0.545,6,2,225,88.3,25.0,11,19,68,8.0,7.8,6,0.62,44,0.318,14,48.7,37,0.446,13.7,12,27,0.37,10,0.5,2,"Finneran Pavilion, Villanova, Pennsylvania",VILLANOVA,Villanova,68.8,Away,FURMAN,Furman,Villanova,big-east,3,False,True,True,Home,False,14,10,71,37,76,8,18,60,0,1,27,53,179,0.5223463687150838,112,188,0.5957446808510638,15,65,182,0.4807692307692308,0.6666666666666666
4,2018-11-22-13-canisius,41.4,12,9.4,3,81.2,83.8,31,0.5670000000000001,60,0.483,29,0.33299999999999996,20,0.75,15,2,200,120.3,58.6,17,20,83,,11.6,8,0.517,31,0.32299999999999995,10,72.7,48,0.597,16.9,14,29,0.655,19,0.6,3,"November 22, 2018",61.1,11,13.8,4,120.3,41.4,12,0.382,55,0.327,18,0.309,17,0.8240000000000001,14,3,200,81.2,16.2,6,18,56,,13.0,9,0.418,23,0.261,6,27.3,18,0.444,18.3,14,32,0.375,12,0.25,1,"HP Field House, Orlando, Florida",CANISIUS,Canisius,68.8,Away,VILLANOVA,Villanova,Villanova,big-east,4,False,False,False,Away,True,10,19,60,48,66,6,12,55,1,0,41,63,250,0.498,149,264,0.5643939393939394,23,83,242,0.4855371900826446,0.5
5,2018-11-23-11-oklahoma-state,72.0,18,0.0,0,93.5,80.0,24,0.6,55,0.455,25,0.273,15,0.733,11,2,200,124.2,44.4,12,11,77,,6.5,4,0.727,40,0.4,16,63.2,36,0.62,15.2,11,15,0.6,9,0.667,4,"November 23, 2018",54.5,12,0.0,0,124.2,55.6,15,0.48100000000000004,54,0.40700000000000003,22,0.204,11,0.545,6,2,200,93.5,20.0,6,17,58,,8.1,5,0.46299999999999997,25,0.32,8,36.8,21,0.49,14.5,10,29,0.483,14,0.6,3,"HP Field House, Orlando, Florida",OKLAHOMA-STATE,Oklahoma State,62.2,Away,VILLANOVA,Villanova,Villanova,big-east,5,False,False,False,Away,True,16,9,55,36,57,8,14,54,1,0,51,82,310,0.5112903225806451,197,330,0.5969696969696969,29,95,297,0.4663299663299663,0.6
6,2018-11-25-13-florida-state,26.1,6,5.1,2,96.8,58.6,17,0.57,43,0.535,23,0.5579999999999999,24,0.708,17,2,200,106.5,26.3,5,15,66,,12.9,8,0.326,14,0.214,3,45.8,22,0.607,18.3,12,29,0.69,20,0.7140000000000001,5,"November 25, 2018",31.8,7,6.9,2,106.5,73.7,14,0.461,51,0.431,22,0.33299999999999996,17,0.765,13,1,200,96.8,41.4,12,23,60,14.0,4.8,3,0.235,12,0.25,3,54.2,26,0.508,21.5,16,39,0.48700000000000004,19,0.833,5,"HP Field House, Orlando, Florida",FLORIDA-STATE,Florida State,62.2,Away,VILLANOVA,Villanova,Villanova,big-east,6,False,False,False,Away,True,3,20,43,22,48,3,19,51,1,0,67,91,365,0.5246575342465754,233,387,0.6020671834625323,37,109,351,0.4686609686609687,0.6666666666666666
7,2018-12-01-15-la-salle,63.0,17,7.4,2,118.2,77.8,14,0.6729999999999999,49,0.551,27,0.469,23,0.826,19,2,200,128.8,19.0,4,11,85,23.0,7.6,5,0.429,21,0.5710000000000001,12,46.2,18,0.7090000000000001,14.5,10,28,0.536,15,0.75,6,"December 1, 2018",65.5,19,10.7,3,128.8,81.0,17,0.7,50,0.58,29,0.18,9,0.889,8,8,200,118.2,22.2,4,20,78,,3.0,2,0.46,23,0.522,12,53.8,21,0.7190000000000001,21.8,15,27,0.63,17,0.0,0,"The Palestra, Philadelphia, Pennsylvania",LA-SALLE,La Salle,65.6,Away,VILLANOVA,Villanova,Villanova,big-east,7,False,False,False,Away,True,12,15,49,18,39,12,17,50,1,0,70,111,408,0.5294117647058824,255,435,0.5862068965517241,40,128,402,0.46766169154228854,0.7142857142857143
8,2018-12-05-20-villanova,30.4,7,0.0,0,115.0,66.7,20,0.49,51,0.451,23,0.235,12,0.75,9,2,200,98.3,17.2,5,20,59,,6.7,4,0.275,14,0.28600000000000003,4,42.4,25,0.52,13.8,9,37,0.514,19,0.778,7,"December 5, 2018",52.4,11,2.7,1,98.3,82.8,24,0.47100000000000003,52,0.40399999999999997,21,0.48100000000000004,25,0.8,20,2,200,115.0,33.3,10,12,69,21.0,5.0,3,0.40399999999999997,21,0.33299999999999996,7,57.6,34,0.54,8.7,6,31,0.452,14,0.778,7,"Finneran Pavilion, Villanova, Pennsylvania",TEMPLE,Temple,60.3,Home,VILLANOVA,Villanova,Villanova,big-east,8,True,False,True,Home,True,7,14,52,34,59,4,19,51,1,0,82,126,457,0.5448577680525164,273,474,0.5759493670886076,52,145,452,0.49336283185840707,0.75
9,2018-12-08-14-villanova,45.0,9,0.0,0,98.6,84.6,33,0.397,58,0.345,20,0.31,18,0.667,12,5,200,81.7,12.8,5,13,58,,7.0,5,0.466,27,0.222,6,48.7,38,0.436,12.0,9,31,0.452,14,0.5,5,"December 8, 2018",87.0,20,3.2,1,81.7,87.2,34,0.46799999999999997,63,0.365,23,0.23800000000000002,15,0.733,11,2,200,98.6,15.4,6,19,70,21.0,7.0,5,0.6829999999999999,43,0.302,13,51.3,40,0.499,9.1,7,20,0.5,10,0.8,8,"Finneran Pavilion, Villanova, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,70.8,Home,VILLANOVA,Villanova,Villanova,big-east,9,True,False,True,Home,True,13,10,63,40,78,6,14,58,1,0,89,140,509,0.537328094302554,307,533,0.575984990619137,56,164,503,0.49304174950298213,0.7777777777777778
