,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN_homegame,SOUTHERN_homegame2,SOUTHERN_home,SOUTHERN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-alabama,38.1,8,6.5,2,109.3,54.3,19,0.409,55,0.382,21,0.545,30,0.5670000000000001,17,1,200,82.7,21.2,7,28,62,,9.3,7,0.309,17,0.17600000000000002,3,38.2,26,0.44799999999999995,18.0,15,38,0.474,18,0.0,0,"November 6, 2018",63.0,17,15.8,6,82.7,78.8,26,0.573,55,0.491,27,0.509,28,0.679,19,0,200,109.3,45.7,16,24,82,,4.0,3,0.436,24,0.375,9,61.8,42,0.6,22.9,20,31,0.581,18,1.0,1,"Coleman Coliseum , Tuscaloosa, Alabama",SOUTHERN,Southern,74.8,Home,ALABAMA,Alabama,Southern,swac,0,False,False,False,Away,False,3,18,55,26,68,9,18,55,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-18-baylor,41.2,7,5.6,2,115.9,58.8,20,0.42200000000000004,45,0.37799999999999995,17,0.467,21,0.7140000000000001,15,2,200,76.8,14.3,4,22,53,,5.8,4,0.267,12,0.33299999999999996,4,38.7,24,0.48200000000000004,26.9,20,33,0.39399999999999996,13,0.0,0,"November 10, 2018",67.9,19,21.2,7,76.8,85.7,24,0.516,63,0.444,28,0.33299999999999996,21,0.7140000000000001,15,1,200,115.9,41.2,14,20,80,,11.6,8,0.429,27,0.33299999999999996,9,61.3,38,0.5479999999999999,11.1,9,36,0.528,19,0.5,1,"Ferrell Center, Waco, Texas",SOUTHERN,Southern,69.5,Home,BAYLOR,Baylor,Southern,swac,1,False,False,False,Away,False,4,13,45,24,62,9,19,63,0,1,3,18,55,0.4090909090909091,26,68,0.38235294117647056,9,18,55,0.5727272727272728,0.0
2,2018-11-13-19-louisville,33.3,6,0.0,0,144.4,50.0,14,0.424,46,0.391,18,0.522,24,0.625,15,3,200,75.0,25.8,8,39,54,,2.8,2,0.217,10,0.3,3,37.3,22,0.47,28.0,22,36,0.41700000000000004,15,0.0,0,"November 13, 2018",53.1,17,8.3,3,75.0,74.2,23,0.664,55,0.5820000000000001,32,0.7090000000000001,39,0.795,31,0,200,144.4,50.0,14,26,104,,6.9,5,0.455,25,0.36,9,62.7,37,0.7070000000000001,15.3,13,30,0.767,23,1.0,2,"KFC Yum! Center, Louisville, Kentucky",SOUTHERN,Southern,72.0,Home,LOUISVILLE,Louisville,Southern,swac,2,False,False,False,Away,False,3,15,46,22,59,9,23,55,0,1,7,31,100,0.415,50,130,0.38461538461538464,18,37,118,0.5423728813559322,0.0
3,2018-11-17-16-george-mason,25.9,7,9.7,3,98.6,74.1,20,0.461,64,0.42200000000000004,27,0.141,9,0.667,6,4,200,92.9,31.4,11,25,65,,10.0,7,0.266,17,0.294,5,50.0,31,0.47600000000000003,17.1,14,47,0.46799999999999997,22,0.0,0,"November 17, 2018",40.9,9,12.8,6,92.9,68.6,24,0.47100000000000003,51,0.431,22,0.51,26,0.8079999999999999,21,3,200,98.6,25.9,7,16,69,,4.3,3,0.392,20,0.2,4,50.0,31,0.545,17.2,13,31,0.581,18,0.25,1,"EagleBank Arena, Fairfax, Virginia",SOUTHERN,Southern,70.3,Home,GEORGE-MASON,George Mason,Southern,swac,3,False,False,False,Away,False,5,22,64,31,62,4,18,51,0,1,10,46,146,0.4178082191780822,72,189,0.38095238095238093,27,60,173,0.5809248554913294,0.0
4,2018-11-23-12-western-michigan,34.6,9,10.3,3,123.2,63.2,12,0.475,61,0.426,26,0.295,18,0.667,12,5,200,101.4,27.3,9,21,70,,14.5,10,0.344,21,0.28600000000000003,6,40.4,21,0.503,10.4,8,40,0.5,20,0.0,0,"November 23, 2018",41.4,12,10.0,4,101.4,72.7,24,0.667,51,0.569,29,0.47100000000000003,24,0.708,17,2,200,123.2,36.8,7,18,85,,2.9,2,0.431,22,0.455,10,59.6,31,0.6809999999999999,18.5,14,29,0.655,19,0.667,4,"The Arena, Niceville, Florida",SOUTHERN,Southern,69.0,Home,WESTERN-MICHIGAN,Western Michigan,Southern,swac,4,False,False,False,Away,False,6,20,61,21,52,10,19,51,0,1,15,68,210,0.430952380952381,103,251,0.4103585657370518,31,78,224,0.5558035714285714,0.0
5,2018-11-24-11-southern,38.5,10,4.9,2,109.2,61.5,16,0.5920000000000001,49,0.531,26,0.612,30,0.833,25,5,200,127.7,52.4,11,17,83,,9.2,6,0.28600000000000003,14,0.429,6,57.4,27,0.6559999999999999,17.3,13,35,0.5710000000000001,20,0.28600000000000003,2,"November 24, 2018",22.2,6,14.3,5,127.7,47.6,10,0.536,55,0.491,27,0.29100000000000004,16,0.75,12,6,200,109.2,38.5,10,21,71,,6.2,4,0.255,14,0.35700000000000004,5,42.6,20,0.5670000000000001,17.3,13,41,0.537,22,0.0,0,"The Arena, Niceville, Florida",SOUTHERN,Southern,65.4,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,Southern,swac,5,False,True,True,Home,False,5,22,55,20,47,6,20,49,0,1,21,88,271,0.44095940959409596,124,303,0.40924092409240925,41,97,275,0.5763636363636364,0.0
6,2018-11-27-19-southern,84.0,21,5.6,2,100.0,80.0,20,0.49200000000000005,63,0.397,25,0.095,6,0.5,3,0,200,87.8,28.6,10,15,65,,8.1,6,0.429,27,0.444,12,50.0,30,0.494,23.4,20,36,0.361,13,0.0,0,"November 27, 2018",71.4,20,19.4,7,87.8,71.4,25,0.615,52,0.5379999999999999,28,0.28800000000000003,15,0.667,10,6,200,100.0,20.0,5,14,74,,16.2,12,0.308,16,0.5,8,50.0,30,0.626,23.5,18,36,0.556,20,0.14300000000000002,1,"F. G. Clark Activity Center, Baton Rouge, Louisiana","Wiley
			","Wiley
			",74.0,Home,SOUTHERN,Southern,Southern,swac,6,True,False,True,Home,True,8,20,52,30,60,12,13,63,1,0,26,110,326,0.4570552147239264,144,350,0.4114285714285714,47,117,324,0.5787037037037037,0.0
7,2018-12-01-20-louisiana-lafayette,24.1,7,7.7,3,117.3,65.7,23,0.478,68,0.426,29,0.25,17,0.765,13,7,200,104.0,45.9,17,22,78,,6.7,5,0.324,22,0.318,7,55.6,40,0.513,17.5,16,46,0.478,22,0.125,1,"December 1, 2018",66.7,18,23.9,11,104.0,54.1,20,0.5539999999999999,56,0.48200000000000004,27,0.607,34,0.765,26,3,200,117.3,34.3,12,15,88,,10.7,8,0.304,17,0.47100000000000003,8,44.4,32,0.61,17.4,15,39,0.48700000000000004,19,0.625,5,"Cajundome, Lafayette, Louisiana",SOUTHERN,Southern,75.1,Home,LOUISIANA-LAFAYETTE,Louisiana,Southern,swac,7,False,False,False,Away,False,7,22,68,40,72,8,19,56,0,1,34,130,378,0.47883597883597884,174,410,0.424390243902439,59,130,387,0.5645994832041343,0.14285714285714285
8,2018-12-07-20-south-dakota-state,67.7,21,0.0,0,138.4,92.9,13,0.609,64,0.484,31,0.23399999999999999,15,0.9329999999999999,14,8,200,126.0,25.8,8,29,92,,11.0,8,0.5,32,0.5,16,46.7,21,0.647,11.3,9,32,0.469,15,0.111,1,"December 7, 2018",51.6,16,3.1,1,126.0,74.2,23,0.767,45,0.6890000000000001,31,0.8,36,0.889,32,3,200,138.4,7.1,1,14,101,,4.1,3,0.33299999999999996,15,0.467,7,53.3,24,0.813,16.5,12,30,0.8,24,0.727,8,"Frost Arena, Brookings, South Dakota",SOUTHERN,Southern,72.6,Home,SOUTH-DAKOTA-STATE,South Dakota State,Southern,swac,8,False,False,False,Away,False,16,15,64,21,45,7,24,45,0,1,41,152,446,0.4786995515695067,214,482,0.44398340248962653,67,149,443,0.5632054176072234,0.125
9,2018-12-09-18-iowa-state,45.8,11,0.0,0,138.4,89.5,17,0.474,58,0.414,24,0.293,17,0.588,10,9,200,89.0,19.4,7,16,65,,9.6,7,0.32799999999999996,19,0.368,7,43.6,24,0.49200000000000005,15.5,12,39,0.436,17,0.1,1,"December 9, 2018",70.0,28,17.9,7,89.0,80.6,29,0.807,57,0.7020000000000001,40,0.228,13,0.6920000000000001,9,2,200,138.4,10.5,2,16,101,,6.8,5,0.439,25,0.48,12,56.4,31,0.799,17.2,13,32,0.875,28,0.8,8,"James H. Hilton Coliseum , Ames, Iowa",SOUTHERN,Southern,72.6,Home,IOWA-STATE,Iowa State,Southern,swac,9,False,False,False,Away,False,7,17,58,24,55,12,28,57,0,1,57,167,510,0.4950980392156863,235,527,0.4459203036053131,74,173,488,0.5819672131147541,0.1111111111111111
