,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOUSTON_homegame,HOUSTON_homegame2,HOUSTON_home,HOUSTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-10-15-houston,50.0,11,3.2,1,144.3,60.0,12,0.47200000000000003,54,0.40700000000000003,22,0.111,6,0.5,3,2,201,77.1,7.4,2,14,54,,7.1,5,0.389,21,0.33299999999999996,7,29.8,14,0.475,20.9,15,33,0.455,15,0.0,0,"November 10, 2018",62.2,23,15.2,5,77.1,92.6,25,0.73,61,0.607,37,0.24600000000000002,15,0.8,12,0,201,144.3,40.0,8,11,101,,11.4,8,0.49200000000000005,30,0.5,15,70.2,33,0.741,14.0,11,31,0.71,22,1.0,1,"Health & Physical Education Arena, Houston, Texas",ALABAMA-AM,Alabama A&M,70.1,Home,HOUSTON,Houston,Houston,aac,0,True,False,True,Home,True,15,22,61,33,47,7,15,54,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-14-20-houston,52.0,13,7.7,3,121.5,63.6,21,0.565,54,0.46299999999999997,25,0.24100000000000002,13,0.5379999999999999,7,2,200,104.6,22.6,7,21,68,,3.1,2,0.5,27,0.40700000000000003,11,43.8,28,0.565,15.6,11,27,0.519,14,0.5,2,"November 14, 2018",57.7,15,3.7,1,104.6,77.4,24,0.517,59,0.441,26,0.424,25,0.72,18,0,200,121.5,36.4,12,18,79,,12.3,8,0.33899999999999997,20,0.45,9,56.3,36,0.557,9.1,7,39,0.436,17,1.0,2,"Health & Physical Education Arena, Houston, Texas",RICE,Rice,65.0,Home,HOUSTON,Houston,Houston,aac,1,True,False,True,Home,True,9,17,59,36,64,11,14,54,1,0,15,22,61,0.7295081967213115,33,47,0.7021276595744681,7,15,54,0.4722222222222222,1.0
2,2018-11-19-20-houston,30.0,6,16.1,5,132.3,51.4,18,0.44299999999999995,53,0.377,20,0.28300000000000003,15,0.5329999999999999,8,4,200,88.7,35.3,12,18,55,,3.2,2,0.45299999999999996,24,0.292,7,43.5,30,0.457,20.1,15,29,0.44799999999999995,13,0.2,1,"November 19, 2018",71.4,20,13.8,4,88.7,64.7,22,0.5489999999999999,61,0.45899999999999996,28,0.426,26,0.5770000000000001,15,0,200,132.3,48.6,17,15,82,,14.5,9,0.49200000000000005,30,0.36700000000000005,11,56.5,39,0.5589999999999999,5.2,4,31,0.5479999999999999,17,1.0,3,"Health & Physical Education Arena, Houston, Texas",NORTHWESTERN-STATE,Northwestern State,61.7,Home,HOUSTON,Houston,Houston,aac,2,True,False,True,Home,True,11,17,61,39,69,7,13,53,1,0,24,39,120,0.625,69,111,0.6216216216216216,18,29,108,0.5185185185185185,1.0
3,2018-11-24-18-brigham-young,70.0,21,7.7,2,100.0,74.2,23,0.602,59,0.508,30,0.102,6,0.833,5,0,200,122.6,32.0,8,19,76,,9.7,6,0.441,26,0.423,11,55.4,31,0.614,11.5,8,33,0.5760000000000001,19,1.0,4,"November 24, 2018",59.1,13,0.0,0,122.6,68.0,17,0.48100000000000004,54,0.40700000000000003,22,0.259,14,0.7140000000000001,10,2,200,100.0,25.8,8,11,62,,8.1,5,0.519,28,0.28600000000000003,8,44.6,25,0.511,13.0,9,26,0.5379999999999999,14,0.7140000000000001,5,"Marriott Center, Provo, Utah",BRIGHAM-YOUNG,BYU,61.8,Away,HOUSTON,Houston,Houston,aac,3,False,False,False,Away,True,11,19,59,31,56,8,14,54,1,0,35,56,181,0.5994475138121547,108,180,0.6,25,42,161,0.4937888198757764,1.0
4,2018-11-28-20-houston,42.9,9,9.7,3,89.2,70.3,26,0.369,61,0.344,21,0.213,13,0.615,8,4,200,81.5,35.0,14,18,53,,16.9,11,0.39299999999999996,24,0.125,3,51.9,40,0.39399999999999996,15.2,12,37,0.486,18,0.556,5,"November 28, 2018",52.4,11,18.9,7,81.5,65.0,26,0.444,54,0.389,21,0.315,17,0.588,10,0,200,89.2,29.7,11,15,58,,7.7,5,0.426,23,0.261,6,48.1,37,0.467,17.5,13,31,0.484,15,1.0,5,"Health & Physical Education Arena, Houston, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,64.6,Home,HOUSTON,Houston,Houston,aac,4,True,False,True,Home,True,6,15,54,37,77,3,18,61,1,0,46,75,240,0.6,139,236,0.5889830508474576,33,56,215,0.4906976744186046,1.0
5,2018-12-01-21-houston,57.1,12,13.6,3,94.2,69.4,25,0.45299999999999996,53,0.396,21,0.321,17,0.765,13,3,200,88.4,22.6,7,23,61,18.0,11.6,8,0.491,26,0.231,6,47.8,32,0.499,19.9,15,27,0.556,15,0.5710000000000001,4,"December 1, 2018",73.7,14,22.2,6,88.4,77.4,24,0.41200000000000003,57,0.33299999999999996,19,0.40399999999999997,23,0.7829999999999999,18,0,200,94.2,30.6,11,19,65,,10.1,7,0.614,35,0.257,9,52.2,35,0.478,15.2,12,22,0.455,10,1.0,6,"Hofheinz Pavilion, Houston, Texas",OREGON,Oregon,69.0,Home,HOUSTON,Houston,Houston,aac,5,True,False,True,Home,True,9,10,57,35,67,6,15,53,1,0,52,90,294,0.5714285714285714,176,313,0.5623003194888179,36,74,276,0.463768115942029,1.0
6,2018-12-04-20-houston,55.0,11,10.7,3,112.9,61.5,16,0.33299999999999996,66,0.303,20,0.379,25,0.48,12,5,200,80.0,40.0,20,16,56,,11.4,8,0.318,21,0.19,4,47.4,36,0.36,11.5,10,45,0.35600000000000004,16,0.444,4,"December 4, 2018",57.1,16,15.6,7,80.0,60.0,30,0.542,60,0.467,28,0.28300000000000003,17,0.8240000000000001,14,0,200,112.9,38.5,10,21,79,,4.3,3,0.5329999999999999,32,0.281,9,52.6,40,0.58,17.2,14,28,0.679,19,1.0,7,"Hofheinz Pavilion, Houston, Texas",LAMAR,Lamar,70.0,Home,HOUSTON,Houston,Houston,aac,6,True,False,True,Home,True,9,19,60,40,76,4,16,66,1,0,61,100,351,0.5455840455840456,211,380,0.5552631578947368,42,89,329,0.46200607902735563,1.0
7,2018-12-08-16-oklahoma-state,56.0,14,14.3,5,79.1,82.9,29,0.508,61,0.41,25,0.033,2,0.5,1,0,200,94.0,27.3,9,13,63,,11.9,8,0.557,34,0.353,12,55.9,38,0.508,18.5,14,27,0.48100000000000004,13,1.0,8,"December 8, 2018",85.0,17,11.1,3,94.0,72.7,24,0.41200000000000003,57,0.35100000000000003,20,0.175,10,0.6,6,5,200,79.1,17.1,6,9,53,,16.4,11,0.386,22,0.318,7,44.1,30,0.429,16.3,12,35,0.371,13,0.444,4,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,67.4,Away,HOUSTON,Houston,Houston,aac,7,False,False,False,Away,True,12,13,61,38,68,7,13,57,1,0,70,119,411,0.5450121654501217,251,456,0.5504385964912281,46,105,395,0.44050632911392407,1.0
8,2018-12-12-21-houston,47.6,10,9.5,4,102.5,56.4,22,0.41200000000000003,57,0.368,21,0.667,38,0.763,29,3,200,95.0,25.0,9,27,76,,11.3,9,0.456,26,0.192,5,41.3,31,0.506,17.8,16,31,0.516,16,0.7,7,"December 12, 2018",38.5,10,16.1,5,95.0,75.0,27,0.452,62,0.419,26,0.613,38,0.684,26,0,200,102.5,43.6,17,24,82,24.0,10.0,8,0.32299999999999995,20,0.2,4,58.7,44,0.512,16.0,15,42,0.524,22,1.0,9,"Hofheinz Pavilion, Houston, Texas",LOUISIANA-STATE,LSU,80.1,Home,HOUSTON,Houston,Houston,aac,8,True,False,True,Home,True,4,22,62,44,75,5,16,57,1,0,82,132,472,0.5402542372881356,289,524,0.5515267175572519,53,118,452,0.43694690265486724,1.0
9,2018-12-16-15-houston,27.3,6,10.0,3,103.0,68.8,22,0.41700000000000004,60,0.36700000000000005,22,0.38299999999999995,23,0.609,14,3,200,97.0,28.6,12,20,64,,10.6,7,0.317,19,0.316,6,45.9,34,0.451,10.2,8,41,0.39,16,0.7,7,"December 16, 2018",45.5,10,12.2,5,97.0,71.4,30,0.5,50,0.44,22,0.5,25,0.72,18,0,200,103.0,31.3,10,22,68,24.0,9.1,6,0.4,20,0.3,6,54.1,40,0.5489999999999999,18.7,14,30,0.5329999999999999,16,1.0,10,"Hofheinz Pavilion, Houston, Texas",SAINT-LOUIS,Saint Louis,66.4,Home,HOUSTON,Houston,Houston,aac,9,True,False,True,Home,True,6,16,50,40,74,6,16,60,1,0,86,154,534,0.5299625468164794,333,599,0.5559265442404007,58,134,509,0.43418467583497056,1.0
