,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CAMPBELL_homegame,CAMPBELL_homegame2,CAMPBELL_home,CAMPBELL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-campbell,62.1,18,5.1,2,116.9,78.0,32,0.579,63,0.46,29,0.429,27,0.741,20,1,225,112.0,33.3,10,20,93,,3.6,3,0.46,29,0.517,15,59.2,42,0.613,19.4,18,34,0.41200000000000003,14,0.0,0,"November 6, 2018",63.6,21,8.8,3,112.0,66.7,20,0.5489999999999999,72,0.45799999999999996,33,0.33299999999999996,24,0.75,18,0,225,116.9,22.0,9,17,97,,13.3,11,0.45799999999999996,33,0.39399999999999996,13,40.8,29,0.5820000000000001,7.8,7,39,0.513,20,1.0,1,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,73.4,Home,CAMPBELL,Campbell,Campbell,big-south,0,True,False,True,Home,True,13,20,72,29,71,15,14,63,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-campbell,51.9,14,0.0,0,102.7,74.2,23,0.652,46,0.5870000000000001,27,0.7390000000000001,34,0.735,25,0,200,116.4,23.8,5,24,85,,6.8,5,0.348,16,0.375,6,53.8,28,0.684,19.7,15,30,0.7,21,1.0,2,"November 9, 2018",54.2,13,10.0,3,116.4,76.2,16,0.5,54,0.444,24,0.648,35,0.6,21,1,200,102.7,25.8,8,22,75,,11.0,8,0.519,28,0.214,6,46.2,24,0.531,13.7,11,26,0.6920000000000001,18,0.5,1,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",CAMPBELL,Campbell,72.9,Away,COASTAL-CAROLINA,Coastal Carolina,Campbell,big-south,1,False,True,True,Home,False,6,18,54,24,52,6,21,46,0,1,13,20,72,0.5486111111111112,29,71,0.4084507042253521,15,14,63,0.5793650793650794,1.0
2,2018-11-12-19-ohio,54.2,13,2.9,1,114.1,68.8,22,0.527,55,0.436,24,0.418,23,0.652,15,2,200,102.8,20.0,7,24,73,,11.3,8,0.527,29,0.345,10,43.3,29,0.5539999999999999,15.6,12,26,0.5379999999999999,14,0.33299999999999996,1,"November 12, 2018",65.4,17,23.1,6,102.8,80.0,28,0.557,53,0.491,26,0.623,33,0.667,22,0,200,114.1,31.3,10,15,81,,7.0,5,0.34,18,0.389,7,56.7,38,0.59,15.1,12,35,0.5429999999999999,19,1.0,2,"Convocation Center, Athens, Ohio",CAMPBELL,Campbell,70.8,Home,OHIO,Ohio,Campbell,big-south,2,False,False,False,Away,False,10,14,55,29,67,7,19,53,0,1,19,38,126,0.5277777777777778,53,123,0.43089430894308944,21,35,109,0.6100917431192661,0.5
3,2018-11-16-14-campbell,75.0,15,0.0,0,103.1,78.1,25,0.491,54,0.37,20,0.222,12,0.5,6,1,200,92.2,35.3,12,23,59,,9.4,6,0.389,21,0.619,13,56.1,37,0.494,19.1,14,33,0.212,7,0.667,2,"November 16, 2018",58.3,14,12.1,4,92.2,64.7,22,0.539,51,0.47100000000000003,24,0.431,22,0.5,11,2,200,103.1,21.9,7,15,66,,12.5,8,0.431,22,0.318,7,43.9,29,0.537,15.3,11,29,0.586,17,0.5,2,"Montego Bay Convention Centre, Montego Bay",FLORIDA-AM,Florida A&M,63.6,Home,CAMPBELL,Campbell,Campbell,big-south,3,True,False,True,Home,True,7,17,51,29,66,13,7,54,1,0,29,52,181,0.5276243093922652,82,190,0.43157894736842106,28,54,162,0.5925925925925926,0.3333333333333333
4,2018-11-18-14-campbell,44.8,13,19.4,6,111.4,81.5,22,0.561,57,0.509,29,0.14,8,1.0,8,3,200,102.9,33.3,9,15,72,,12.9,9,0.368,21,0.28600000000000003,6,57.4,31,0.5920000000000001,21.9,17,36,0.639,23,0.4,2,"November 18, 2018",60.7,17,2.8,1,102.9,66.7,18,0.618,55,0.509,28,0.273,15,0.667,10,2,200,111.4,18.5,5,12,78,,11.4,8,0.436,24,0.5,12,42.6,23,0.628,19.6,15,31,0.516,16,0.6,3,"Montego Bay Convention Centre, Montego Bay",AUSTIN-PEAY,Austin Peay,70.5,Home,CAMPBELL,Campbell,Campbell,big-south,4,True,False,True,Home,True,12,16,55,23,54,6,23,57,1,0,36,69,232,0.5301724137931034,111,256,0.43359375,41,61,216,0.5671296296296297,0.5
5,2018-11-24-12-georgetown,50.0,16,4.4,2,119.2,74.3,26,0.598,66,0.485,32,0.182,12,0.5,6,3,200,109.0,13.9,5,21,85,,10.3,8,0.606,40,0.375,15,43.7,31,0.593,13.4,11,26,0.654,17,0.5,3,"November 24, 2018",66.7,22,3.8,1,109.0,86.1,31,0.545,67,0.493,33,0.358,24,0.833,20,1,200,119.2,25.7,9,14,93,,6.4,5,0.32799999999999996,22,0.318,7,56.3,40,0.593,9.4,8,45,0.578,26,0.833,5,"Capital One Arena, Washington, District of Columbia",CAMPBELL,Campbell,77.6,Home,GEORGETOWN,Georgetown,Campbell,big-south,5,False,False,False,Away,False,15,17,66,31,71,7,26,67,0,1,48,85,287,0.5470383275261324,134,310,0.432258064516129,47,84,273,0.5659340659340659,0.6
6,2018-11-29-19-campbell,41.7,5,8.8,3,116.2,78.6,22,0.26,52,0.231,12,0.057999999999999996,3,0.667,2,0,200,42.6,10.0,4,14,29,,5.9,4,0.462,24,0.125,3,38.2,26,0.271,25.2,18,28,0.321,9,0.0,0,"November 29, 2018",62.1,18,10.7,3,42.6,90.0,36,0.557,61,0.475,29,0.18,11,1.0,11,3,200,116.2,21.4,6,8,79,,19.1,13,0.44299999999999995,27,0.37,10,61.8,42,0.596,12.0,9,34,0.5589999999999999,19,0.5710000000000001,4,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina","Trinity Baptist
			","Trinity Baptist
			",68.3,Home,CAMPBELL,Campbell,Campbell,big-south,6,True,False,True,Home,True,10,19,61,42,68,3,9,52,1,0,63,102,353,0.556657223796034,165,381,0.4330708661417323,54,110,340,0.5617647058823529,0.5
7,2018-12-04-20-abilene-christian,27.3,6,5.9,2,120.3,87.5,21,0.522,45,0.489,22,0.622,28,0.75,21,4,200,98.6,37.5,9,19,68,,5.8,4,0.311,14,0.214,3,62.5,30,0.583,27.7,22,31,0.613,19,0.5,4,"December 4, 2018",40.7,11,0.0,0,98.6,62.5,15,0.635,48,0.563,27,0.542,26,0.846,22,1,200,120.3,12.5,3,23,83,,20.3,14,0.292,14,0.5,7,37.5,18,0.688,14.4,10,34,0.588,20,0.889,8,"Moody Coliseum , Abilene, Texas",CAMPBELL,Campbell,69.3,Home,ABILENE-CHRISTIAN,Abilene Christian,Campbell,big-south,7,False,False,False,Away,False,3,19,45,30,48,7,20,48,0,1,73,121,414,0.5567632850241546,207,449,0.4610244988864143,57,119,392,0.5216836734693877,0.5714285714285714
8,2018-12-13-19-campbell,72.2,13,5.6,2,126.6,75.0,21,0.373,55,0.327,18,0.327,18,0.667,12,0,200,67.1,11.4,4,20,53,,10.1,8,0.364,20,0.25,5,39.7,25,0.41700000000000004,25.0,21,35,0.371,13,0.0,0,"December 13, 2018",63.9,23,22.9,8,67.1,88.6,31,0.6920000000000001,60,0.6,36,0.4,24,0.708,17,4,200,126.6,25.0,7,16,100,,15.2,12,0.4,24,0.45799999999999996,11,60.3,38,0.7,15.6,13,36,0.6940000000000001,25,0.556,5,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina","Central Pennsylvania College
			","Central Pennsylvania College
			",79.0,Home,CAMPBELL,Campbell,Campbell,big-south,8,True,False,True,Home,True,11,25,60,38,63,5,13,55,1,0,76,140,459,0.5533769063180828,237,497,0.4768611670020121,64,139,440,0.5340909090909091,0.5
9,2018-12-18-19-campbell,53.8,14,3.7,1,100.0,85.0,34,0.527,56,0.46399999999999997,26,0.5539999999999999,31,0.742,23,2,200,107.9,28.1,9,14,82,,9.2,7,0.536,30,0.233,7,59.7,43,0.58,17.7,15,26,0.731,19,0.818,9,"December 18, 2018",57.1,16,11.5,3,107.9,71.9,23,0.507,67,0.418,28,0.16399999999999998,11,0.727,8,5,200,100.0,15.0,6,24,76,,7.9,6,0.597,40,0.3,12,40.3,29,0.526,12.2,10,27,0.593,16,0.5,5,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",CAMPBELL,Campbell,76.5,Away,CITADEL,Citadel,Campbell,big-south,9,False,True,True,Home,False,12,16,67,29,72,7,19,56,0,1,87,165,519,0.569364161849711,275,560,0.49107142857142855,69,152,495,0.5161616161616162,0.5555555555555556
