,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OREGON_homegame,OREGON_homegame2,OREGON_home,OREGON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-18-oregon,50.0,12,3.3,1,106.0,54.8,17,0.51,52,0.462,24,0.308,16,0.688,11,10,200,95.5,12.5,3,18,64,,10.4,7,0.25,13,0.385,5,36.4,20,0.537,14.5,10,39,0.48700000000000004,19,0.231,3,"December 18, 2018",60.0,15,12.8,5,95.5,87.5,21,0.518,55,0.455,25,0.4,22,0.636,14,3,200,106.0,45.2,14,15,71,,10.4,7,0.455,25,0.28,7,63.6,35,0.542,18.8,15,30,0.6,18,0.727,8,"Matthew Knight Arena, Eugene, Oregon",FLORIDA-AM,Florida A&M,66.5,Home,OREGON,Oregon,Oregon,pac-12,10,True,False,True,Home,True,7,18,55,35,55,5,19,52,1,0,70,188,547,0.5356489945155393,352,643,0.5474339035769828,86,124,584,0.4332191780821918,0.7
11,2018-12-21-19-baylor,66.7,12,13.8,4,96.6,55.0,11,0.489,44,0.409,18,0.136,6,0.667,4,4,200,79.7,16.0,4,16,47,,10.2,6,0.409,18,0.389,7,33.3,15,0.502,25.5,16,26,0.423,11,0.667,8,"December 21, 2018",66.7,14,7.7,2,79.7,84.0,21,0.523,44,0.47700000000000004,21,0.409,18,0.611,11,4,200,96.6,45.0,9,14,57,,11.9,7,0.341,15,0.267,4,66.7,30,0.542,23.6,16,29,0.586,17,0.636,7,"Ferrell Center, Waco, Texas",OREGON,Oregon,59.2,Home,BAYLOR,Baylor,Oregon,pac-12,11,False,False,False,Away,False,7,11,44,15,45,4,17,44,0,1,77,206,602,0.5340531561461794,387,698,0.5544412607449857,91,143,636,0.43946540880503143,0.7272727272727273
12,2018-12-29-19-boise-state,39.1,9,0.0,0,76.9,77.4,24,0.442,60,0.38299999999999995,23,0.183,11,0.818,9,4,200,95.4,17.2,5,18,62,,21.5,14,0.4,24,0.292,7,48.3,29,0.475,9.7,7,36,0.444,16,0.6920000000000001,9,"December 29, 2018",40.0,6,8.3,3,95.4,82.8,24,0.429,42,0.35700000000000004,15,0.47600000000000003,20,0.7,14,8,200,76.9,22.6,7,16,50,,6.2,4,0.5,21,0.28600000000000003,6,51.7,31,0.485,27.2,19,21,0.429,9,0.385,5,"Taco Bell Arena, Boise, Idaho",BOISE-STATE,Boise State,65.4,Away,OREGON,Oregon,Oregon,pac-12,12,False,False,False,Away,True,7,16,60,29,60,6,9,42,1,0,84,217,646,0.5309597523219814,402,743,0.5410497981157469,95,160,680,0.44485294117647056,0.6666666666666666
13,2019-01-05-20-oregon,65.4,17,11.9,5,96.0,75.0,30,0.569,51,0.51,26,0.41200000000000003,21,0.905,19,4,200,102.7,21.7,5,16,77,,5.3,4,0.373,19,0.316,6,55.6,35,0.631,23.0,18,32,0.625,20,0.6920000000000001,9,"January 5, 2019",42.3,11,6.3,2,102.7,78.3,18,0.442,69,0.377,26,0.23199999999999998,16,0.688,11,5,200,96.0,25.0,10,22,72,,14.7,11,0.391,27,0.33299999999999996,9,44.4,28,0.47,11.6,10,42,0.405,17,0.643,9,"Matthew Knight Arena, Eugene, Oregon",OREGON,Oregon,75.3,Away,OREGON-STATE,Oregon State,Oregon,pac-12,13,False,True,True,Home,False,9,17,69,28,63,6,20,51,0,1,91,233,706,0.523371104815864,431,803,0.5367372353673724,101,169,722,0.4439058171745152,0.6923076923076923
14,2019-01-10-21-oregon,41.9,13,8.9,4,100.0,68.1,32,0.583,60,0.517,31,0.5,30,0.5670000000000001,17,6,225,103.6,42.4,14,21,87,,8.3,7,0.4,24,0.33299999999999996,8,57.5,46,0.586,23.9,23,36,0.639,23,0.625,10,"January 10, 2019",58.1,18,5.6,2,103.6,57.6,19,0.455,77,0.40299999999999997,31,0.312,24,0.583,14,6,225,100.0,31.9,15,24,84,,15.5,13,0.41600000000000004,32,0.25,8,42.5,34,0.475,12.1,12,45,0.511,23,0.6,9,"Matthew Knight Arena, Eugene, Oregon",OREGON,Oregon,75.0,Away,UCLA,UCLA,Oregon,pac-12,14,False,True,True,Home,False,8,23,77,34,80,8,23,60,0,1,100,250,775,0.5161290322580645,459,866,0.5300230946882217,107,189,773,0.4521345407503234,0.6428571428571429
15,2019-01-13-20-oregon,52.2,12,10.7,3,122.7,70.8,17,0.47200000000000003,54,0.426,23,0.259,14,0.643,9,8,200,90.9,17.2,5,15,60,,6.1,4,0.33299999999999996,18,0.278,5,41.5,22,0.495,15.5,11,36,0.5,18,0.529,9,"January 13, 2019",55.2,16,8.3,3,90.9,82.8,24,0.6829999999999999,52,0.5579999999999999,29,0.308,16,0.625,10,6,200,122.7,29.2,7,20,81,,7.6,5,0.462,24,0.542,13,58.5,31,0.68,16.9,12,28,0.5710000000000001,16,0.625,10,"Matthew Knight Arena, Eugene, Oregon",SOUTHERN-CALIFORNIA,USC,65.6,Home,OREGON,Oregon,Oregon,pac-12,15,True,False,True,Home,True,13,16,52,31,53,5,18,54,1,0,108,273,852,0.5105633802816901,493,946,0.5211416490486258,115,212,833,0.4615846338535414,0.6
16,2019-01-17-21-arizona,50.0,11,20.0,6,83.1,75.8,25,0.447,57,0.386,22,0.228,13,0.615,8,6,200,90.8,20.0,7,15,59,,10.8,7,0.298,17,0.41200000000000003,7,47.1,32,0.467,11.3,8,40,0.375,15,0.647,11,"January 17, 2019",47.4,9,2.5,1,90.8,80.0,28,0.423,52,0.365,19,0.28800000000000003,15,0.667,10,5,200,83.1,24.2,8,16,54,,7.7,5,0.423,22,0.273,6,52.9,36,0.457,19.3,14,30,0.433,13,0.722,13,"McKale Center, Tucson, Arizona",ARIZONA,Arizona,64.7,Away,OREGON,Oregon,Oregon,pac-12,16,False,False,False,Away,True,7,15,57,32,68,6,13,52,1,0,121,289,904,0.5204646017699115,524,999,0.5245245245245245,120,230,887,0.46223224351747466,0.625
17,2019-01-19-21-arizona-state,52.4,11,4.8,1,113.0,72.7,16,0.413,63,0.33299999999999996,21,0.20600000000000002,13,0.9229999999999999,12,7,200,92.8,41.2,14,22,64,,7.2,5,0.49200000000000005,31,0.32299999999999995,10,53.6,30,0.46299999999999997,17.9,15,32,0.344,11,0.611,11,"January 19, 2019",68.0,17,9.4,3,92.8,58.8,20,0.622,49,0.51,25,0.429,21,0.81,17,5,200,113.0,27.3,6,15,78,,8.7,6,0.5710000000000001,28,0.39299999999999996,11,46.4,26,0.6609999999999999,20.5,15,21,0.667,14,0.722,13,"Wells Fargo Arena, Tempe, Arizona",OREGON,Oregon,69.1,Home,ARIZONA-STATE,Arizona State,Oregon,pac-12,17,False,False,False,Away,False,10,11,63,30,56,11,14,49,0,1,128,304,961,0.5161290322580645,556,1067,0.521087160262418,126,243,939,0.46006389776357826,0.6470588235294118
18,2019-01-24-21-oregon,81.8,18,6.9,2,88.9,75.0,15,0.65,40,0.55,22,0.275,11,0.818,9,4,200,96.8,16.7,3,14,61,,15.9,10,0.5,20,0.4,8,47.4,18,0.674,29.8,19,20,0.7,14,0.789,15,"January 24, 2019",52.4,11,5.0,1,96.8,83.3,15,0.5329999999999999,45,0.467,21,0.267,12,0.667,8,8,200,88.9,25.0,5,14,56,,15.9,10,0.35600000000000004,16,0.375,6,52.6,20,0.552,27.4,19,29,0.517,15,0.579,11,"Matthew Knight Arena, Eugene, Oregon",OREGON,Oregon,63.0,Away,WASHINGTON,Washington,Oregon,pac-12,18,False,True,True,Home,False,6,15,45,20,38,8,14,40,0,1,138,315,1024,0.509765625,586,1123,0.5218165627782725,137,257,988,0.4681174089068826,0.6111111111111112
19,2019-01-27-20-oregon,64.0,16,3.4,1,130.0,76.0,19,0.609,46,0.5429999999999999,25,0.087,4,0.5,2,12,200,96.7,21.7,5,13,58,,3.3,2,0.37,17,0.353,6,50.0,24,0.605,25.1,16,29,0.655,19,0.4,8,"January 27, 2019",70.0,21,13.8,4,96.7,78.3,18,0.636,55,0.545,30,0.182,10,0.8,8,8,200,130.0,24.0,6,8,78,,16.7,10,0.473,26,0.385,10,50.0,24,0.653,10.5,7,29,0.69,20,0.6,12,"Matthew Knight Arena, Eugene, Oregon",WASHINGTON-STATE,Washington State,59.8,Home,OREGON,Oregon,Oregon,pac-12,19,True,False,True,Home,True,10,20,55,24,48,6,19,46,1,0,144,330,1069,0.510757717492984,606,1161,0.5219638242894057,145,271,1028,0.47519455252918286,0.5789473684210527
20,2019-01-31-21-utah,35.7,10,38.1,8,105.9,65.6,21,0.517,59,0.475,28,0.35600000000000004,21,0.81,17,8,200,114.7,32.3,10,22,78,,16.2,11,0.35600000000000004,21,0.23800000000000002,5,49.2,31,0.565,11.7,9,38,0.605,23,0.619,13,"January 31, 2019",45.8,11,7.9,3,114.7,67.7,21,0.5670000000000001,52,0.462,24,0.442,23,0.565,13,9,200,105.9,34.4,11,20,72,,5.9,4,0.596,31,0.355,11,50.8,32,0.5720000000000001,20.5,16,21,0.619,13,0.55,11,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,68.0,Away,OREGON,Oregon,Oregon,pac-12,20,False,False,False,Away,True,5,23,59,31,63,11,13,52,1,0,154,350,1124,0.5169039145907474,630,1209,0.5210918114143921,151,290,1074,0.48091247672253257,0.6
21,2019-02-02-21-colorado,33.3,6,18.2,6,100.0,77.8,21,0.345,58,0.31,18,0.31,18,0.611,11,9,199,69.9,10.8,4,23,51,,11.0,8,0.431,25,0.16,4,39.1,25,0.38299999999999995,14.3,11,33,0.424,14,0.591,13,"February 2, 2019",30.4,7,12.1,4,69.9,89.2,33,0.462,53,0.434,23,0.528,28,0.857,24,9,199,100.0,22.2,6,16,73,,8.2,6,0.377,20,0.15,3,60.9,39,0.551,15.5,12,33,0.606,20,0.5710000000000001,12,"Coors Events/Conference Center, Boulder, Colorado",OREGON,Oregon,73.3,Home,COLORADO,Colorado,Oregon,pac-12,21,False,False,False,Away,False,4,14,58,25,64,3,20,53,0,1,159,373,1183,0.5169061707523246,661,1272,0.5196540880503144,162,303,1126,0.4849023090586146,0.6190476190476191
22,2019-02-06-21-oregon,50.0,10,0.0,0,112.3,75.0,18,0.451,51,0.392,20,0.373,19,0.8420000000000001,16,17,200,95.4,11.1,3,11,62,,12.3,8,0.373,19,0.316,6,41.2,21,0.516,13.2,9,32,0.43799999999999994,14,0.22699999999999998,5,"February 6, 2019",62.1,18,12.5,4,95.4,88.9,24,0.6509999999999999,53,0.547,29,0.094,5,0.8,4,9,200,112.3,25.0,6,15,73,,9.2,6,0.547,29,0.379,11,58.8,30,0.659,21.4,15,24,0.75,18,0.609,14,"Matthew Knight Arena, Eugene, Oregon",CALIFORNIA,California,65.2,Home,OREGON,Oregon,Oregon,pac-12,22,True,False,True,Home,True,11,18,53,30,51,6,14,51,1,0,163,387,1241,0.5088638195004029,686,1336,0.5134730538922155,165,323,1179,0.48388464800678543,0.5909090909090909
23,2019-02-10-20-oregon,20.0,3,7.1,3,101.5,71.4,20,0.3,55,0.273,15,0.4,22,0.591,13,11,200,67.6,27.5,11,13,46,,1.5,1,0.327,18,0.16699999999999998,3,45.6,31,0.35100000000000003,16.7,13,37,0.324,12,0.522,12,"February 10, 2019",42.3,11,21.6,8,67.6,72.5,29,0.5,59,0.441,26,0.28800000000000003,17,0.588,10,9,200,101.5,28.6,8,21,69,,13.2,9,0.28800000000000003,17,0.41200000000000003,7,54.4,37,0.514,11.9,9,42,0.452,19,0.625,15,"Matthew Knight Arena, Eugene, Oregon",STANFORD,Stanford,67.8,Home,OREGON,Oregon,Oregon,pac-12,23,True,False,True,Home,True,7,19,59,37,68,3,12,55,1,0,174,405,1294,0.5146831530139103,716,1387,0.5162220620043259,171,337,1230,0.48252032520325205,0.6086956521739131
24,2019-02-16-22-oregon-state,75.0,15,11.1,3,112.5,86.2,25,0.544,45,0.444,20,0.33299999999999996,15,0.5329999999999999,8,10,200,89.1,17.9,5,18,57,,6.3,4,0.511,23,0.391,9,52.6,30,0.547,22.5,15,22,0.5,11,0.6,15,"February 16, 2019",64.0,16,22.7,5,89.1,82.1,23,0.569,51,0.49,25,0.451,23,0.609,14,8,200,112.5,13.8,4,15,72,,7.8,5,0.47100000000000003,24,0.33299999999999996,8,47.4,27,0.581,11.6,8,27,0.63,17,0.667,16,"Gill Coliseum, Corvallis, Oregon",OREGON,Oregon,64.0,Home,OREGON-STATE,Oregon State,Oregon,pac-12,24,False,False,False,Away,False,9,11,45,30,57,8,17,51,0,1,181,424,1353,0.5140428677014043,753,1455,0.5175257731958763,174,349,1285,0.47470817120622566,0.625
25,2019-02-21-21-southern-california,55.6,10,3.3,1,108.2,72.0,18,0.37,54,0.33299999999999996,18,0.204,11,0.818,9,11,200,80.3,23.5,8,12,49,,9.8,6,0.389,21,0.19,4,44.1,26,0.414,13.3,9,33,0.424,14,0.5770000000000001,15,"February 21, 2019",74.1,20,6.1,2,80.3,76.5,26,0.583,54,0.5,27,0.09300000000000001,5,0.6,3,12,200,108.2,28.0,7,10,66,,8.2,5,0.444,24,0.375,9,55.9,33,0.585,18.8,13,30,0.6,18,0.556,15,"Galen Center, Los Angeles, California",OREGON,Oregon,61.3,Home,SOUTHERN-CALIFORNIA,USC,Oregon,pac-12,25,False,False,False,Away,False,4,14,54,26,59,9,18,54,0,1,190,435,1398,0.5150214592274678,783,1512,0.5178571428571429,182,366,1336,0.4782934131736527,0.6
26,2019-02-23-22-ucla,69.0,20,17.1,6,142.9,58.6,17,0.595,58,0.5,29,0.32799999999999996,19,0.737,14,12,200,131.7,37.5,12,22,83,,3.2,2,0.517,30,0.36700000000000005,11,47.5,29,0.619,8.3,6,28,0.643,18,0.556,15,"February 23, 2019",62.1,18,3.6,1,131.7,62.5,20,0.632,57,0.509,29,0.509,29,0.621,18,13,200,142.9,41.4,12,16,90,,6.3,4,0.386,22,0.636,14,52.5,32,0.636,7.9,6,35,0.429,15,0.536,15,"Pauley Pavilion, Los Angeles, California",OREGON,Oregon,62.9,Home,UCLA,UCLA,Oregon,pac-12,26,False,False,False,Away,False,11,18,58,29,61,14,15,57,0,1,194,449,1452,0.509641873278237,809,1571,0.5149586250795671,191,384,1390,0.48237410071942444,0.5769230769230769
27,2019-02-28-23-oregon,41.2,7,11.1,4,109.7,60.0,15,0.349,53,0.321,17,0.491,26,0.5379999999999999,14,9,200,70.8,21.6,8,16,51,,6.9,5,0.45299999999999996,24,0.125,3,37.1,23,0.39,17.8,14,29,0.483,14,0.679,19,"February 28, 2019",46.7,14,3.4,1,70.8,78.4,29,0.5660000000000001,61,0.49200000000000005,30,0.262,16,0.625,10,12,200,109.7,40.0,10,22,79,,12.5,9,0.41,25,0.36,9,62.9,39,0.5760000000000001,18.1,15,36,0.583,21,0.5710000000000001,16,"Matthew Knight Arena, Eugene, Oregon",ARIZONA-STATE,Arizona State,72.5,Home,OREGON,Oregon,Oregon,pac-12,27,True,False,True,Home,True,9,21,61,39,62,3,14,53,1,0,205,467,1510,0.5129139072847683,838,1632,0.5134803921568627,205,399,1447,0.48825155494125777,0.5555555555555556
