,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MIDDLE-TENNESSEE_homegame,MIDDLE-TENNESSEE_homegame2,MIDDLE-TENNESSEE_home,MIDDLE-TENNESSEE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-19-toledo,50.0,13,2.9,1,116.7,77.1,27,0.45899999999999996,61,0.426,26,0.24600000000000002,15,0.4,6,8,200,86.1,27.0,10,17,62,,6.9,5,0.27899999999999997,17,0.235,4,51.4,37,0.455,17.2,14,44,0.5,22,0.273,3,"December 15, 2018",78.6,22,11.4,5,86.1,73.0,27,0.5489999999999999,61,0.45899999999999996,28,0.344,21,0.81,17,1,200,116.7,22.9,8,15,84,,9.7,7,0.426,26,0.423,11,48.6,35,0.5920000000000001,10.2,8,35,0.486,17,0.909,10,"John F. Savage Hall, Toledo, Ohio",MIDDLE-TENNESSEE,Middle Tennessee,71.6,Home,TOLEDO,Toledo,Middle Tennessee,cusa,10,False,False,False,Away,False,4,22,61,37,72,11,17,61,0,1,45,197,578,0.45761245674740486,358,674,0.5311572700296736,90,172,605,0.5074380165289256,0.3
11,2018-12-21-20-middle-tennessee,44.8,13,9.5,4,78.9,74.3,26,0.569,58,0.5,29,0.24100000000000002,14,0.5710000000000001,8,2,200,104.2,37.9,11,16,74,,12.7,9,0.379,22,0.364,8,57.8,37,0.5720000000000001,20.0,16,36,0.583,21,0.818,9,"December 21, 2018",36.8,7,5.6,2,104.2,62.1,18,0.384,56,0.33899999999999997,19,0.33899999999999997,19,0.684,13,9,200,78.9,25.7,9,15,56,,11.3,8,0.25,14,0.35700000000000004,5,42.2,27,0.431,20.9,17,42,0.33299999999999996,14,0.25,3,"Bridgestone Arena, Nashville, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,71.3,Away,MISSISSIPPI,Ole Miss,Middle Tennessee,cusa,11,False,True,True,Home,False,5,14,56,27,64,8,21,58,0,1,49,219,639,0.45774647887323944,395,746,0.5294906166219839,101,189,666,0.5112612612612613,0.2727272727272727
12,2018-12-30-17-rhode-island,39.1,9,15.2,5,102.9,64.5,20,0.45799999999999996,60,0.38299999999999995,23,0.183,11,0.455,5,10,200,85.7,32.4,11,16,60,,12.9,9,0.35,21,0.429,9,47.7,31,0.46,19.8,16,39,0.359,14,0.231,3,"December 30, 2018",66.7,16,12.8,5,85.7,67.6,23,0.491,57,0.42100000000000004,24,0.33299999999999996,19,0.8420000000000001,16,5,200,102.9,35.5,11,14,72,,14.3,10,0.42100000000000004,24,0.33299999999999996,8,52.3,34,0.545,17.6,14,33,0.485,16,0.583,7,"Ryan Center, Kingston, Rhode Island",MIDDLE-TENNESSEE,Middle Tennessee,69.6,Home,RHODE-ISLAND,Rhode Island,Middle Tennessee,cusa,12,False,False,False,Away,False,9,14,60,31,65,8,16,57,0,1,54,233,695,0.45179856115107914,422,810,0.5209876543209877,109,210,724,0.5158839779005525,0.25
13,2019-01-03-19-middle-tennessee,45.2,14,11.4,5,95.0,61.5,24,0.544,68,0.456,31,0.162,11,0.818,9,4,200,103.8,5.4,2,18,83,,8.8,7,0.47100000000000003,32,0.375,12,34.2,26,0.5670000000000001,12.1,10,36,0.528,19,0.7140000000000001,10,"January 3, 2019",33.3,9,8.3,3,103.8,94.6,35,0.469,64,0.42200000000000004,27,0.359,23,0.696,16,11,200,95.0,38.5,15,18,76,,10.0,8,0.313,20,0.3,6,65.8,50,0.507,19.5,18,44,0.47700000000000004,21,0.214,3,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,79.6,Away,FLORIDA-INTERNATIONAL,Florida International,Middle Tennessee,cusa,13,False,True,True,Home,False,6,21,64,50,76,12,19,68,0,1,63,247,755,0.452317880794702,453,875,0.5177142857142857,117,226,781,0.5140845070422535,0.23076923076923078
14,2019-01-05-18-middle-tennessee,22.7,5,0.0,0,78.9,89.7,26,0.364,66,0.33299999999999996,22,0.28800000000000003,19,0.789,15,5,200,88.7,26.7,12,11,63,,11.3,8,0.348,23,0.174,4,51.4,38,0.42,9.7,8,43,0.419,18,0.667,10,"January 5, 2019",43.5,10,2.3,1,88.7,73.3,33,0.5,51,0.451,23,0.17600000000000002,9,0.556,5,12,200,78.9,10.3,3,17,56,,2.8,2,0.33299999999999996,17,0.294,5,48.6,36,0.507,25.7,19,34,0.529,18,0.2,3,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,71.2,Away,FLORIDA-ATLANTIC,Florida Atlantic,Middle Tennessee,cusa,14,False,True,True,Home,False,5,18,51,36,74,4,18,66,0,1,69,268,819,0.4536019536019536,503,951,0.5289169295478444,129,245,849,0.516489988221437,0.21428571428571427
15,2019-01-10-20-southern-mississippi,50.0,12,0.0,0,111.6,74.2,23,0.5379999999999999,53,0.45299999999999996,24,0.34,18,0.722,13,13,200,101.4,14.3,4,16,70,,14.5,10,0.434,23,0.391,9,45.8,27,0.569,16.5,12,30,0.5,15,0.188,3,"January 10, 2019",75.0,21,3.3,1,101.4,85.7,24,0.561,57,0.491,28,0.298,17,0.765,13,7,200,111.6,25.8,8,13,77,,7.2,5,0.281,16,0.5,8,54.2,32,0.5920000000000001,15.7,12,41,0.488,20,0.562,9,"Reed Green Coliseum, Hattiesburg, Mississippi",MIDDLE-TENNESSEE,Middle Tennessee,69.3,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Middle Tennessee,cusa,15,False,False,False,Away,False,9,15,53,27,59,8,20,57,0,1,74,286,870,0.45632183908045976,539,1025,0.5258536585365854,133,263,915,0.505464480874317,0.2
16,2019-01-12-17-louisiana-tech,47.8,11,5.9,2,112.3,74.1,20,0.46399999999999997,56,0.41100000000000003,23,0.179,10,0.4,4,14,200,86.2,41.2,14,21,56,,7.7,5,0.39299999999999996,22,0.273,6,55.7,34,0.461,22.0,17,34,0.5,17,0.17600000000000002,3,"January 12, 2019",73.1,19,5.9,2,86.2,58.8,20,0.5770000000000001,52,0.5,26,0.40399999999999997,21,0.619,13,5,200,112.3,25.9,7,14,73,,6.2,4,0.34600000000000003,18,0.444,8,44.3,27,0.589,16.4,12,34,0.529,18,0.722,13,"Thomas Assembly Center, Ruston, Louisiana",MIDDLE-TENNESSEE,Middle Tennessee,65.4,Home,LOUISIANA-TECH,Louisiana Tech,Middle Tennessee,cusa,16,False,False,False,Away,False,6,17,56,34,61,8,18,52,0,1,83,301,923,0.4609967497291441,566,1084,0.522140221402214,141,283,972,0.5087448559670782,0.1875
17,2019-01-17-19-middle-tennessee,41.2,14,3.8,1,112.7,88.5,23,0.513,80,0.425,34,0.08800000000000001,7,0.5710000000000001,4,8,200,108.9,34.0,16,23,86,,11.4,9,0.46299999999999997,37,0.37799999999999995,14,53.4,39,0.516,11.7,11,43,0.465,20,0.556,10,"January 17, 2019",55.6,15,7.0,3,108.9,66.0,31,0.609,55,0.491,27,0.509,28,0.7859999999999999,22,14,200,112.7,11.5,3,14,89,,1.3,1,0.527,29,0.44799999999999995,13,46.6,34,0.652,18.2,15,26,0.5379999999999999,14,0.222,4,"Murphy Athletic Center, Murfreesboro, Tennessee",TEXAS-SAN-ANTONIO,UTSA,79.3,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,17,True,False,True,Home,True,13,14,55,34,73,14,20,80,1,0,89,318,979,0.4611848825331971,600,1145,0.5240174672489083,149,301,1024,0.51220703125,0.17647058823529413
18,2019-01-19-18-middle-tennessee,34.6,9,8.6,3,105.6,64.9,24,0.5589999999999999,51,0.51,26,0.353,18,0.833,15,11,200,101.4,26.9,7,26,72,,5.6,4,0.353,18,0.278,5,49.2,31,0.605,24.4,19,33,0.636,21,0.353,6,"January 19, 2019",72.0,18,6.1,2,101.4,73.1,19,0.509,57,0.439,25,0.526,30,0.5670000000000001,17,14,200,105.6,35.1,13,21,75,,9.9,7,0.386,22,0.364,8,50.8,32,0.526,14.6,12,35,0.486,17,0.263,5,"Murphy Athletic Center, Murfreesboro, Tennessee",TEXAS-EL-PASO,UTEP,70.9,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,18,True,False,True,Home,True,8,17,57,32,63,5,21,51,1,0,102,332,1034,0.4690522243713733,634,1218,0.5205254515599343,163,321,1104,0.5122282608695652,0.2222222222222222
19,2019-01-24-20-rice,42.3,11,12.5,4,111.3,72.7,24,0.45399999999999996,65,0.4,26,0.215,14,0.643,9,15,200,95.8,30.0,12,22,68,,4.2,3,0.354,23,0.304,7,49.3,36,0.475,15.4,13,42,0.452,19,0.25,5,"January 24, 2019",52.0,13,14.3,6,95.8,70.0,28,0.537,54,0.46299999999999997,25,0.593,32,0.6559999999999999,21,12,200,111.3,27.3,9,17,79,,11.3,8,0.40700000000000003,22,0.364,8,50.7,37,0.5710000000000001,11.7,9,32,0.531,17,0.4,8,"Tudor Fieldhouse, Houston, Texas",MIDDLE-TENNESSEE,Middle Tennessee,70.9,Home,RICE,Rice,Middle Tennessee,cusa,19,False,False,False,Away,False,7,19,65,36,73,8,17,54,0,1,110,349,1091,0.4711274060494959,666,1281,0.5199063231850117,168,342,1155,0.5142857142857142,0.2631578947368421
20,2019-01-26-18-north-texas,62.5,10,2.9,1,95.9,61.5,24,0.373,51,0.314,16,0.431,22,0.682,15,16,200,72.6,22.6,7,21,53,,9.6,7,0.41200000000000003,21,0.28600000000000003,6,44.3,31,0.431,24.8,20,30,0.33299999999999996,10,0.23800000000000002,5,"January 26, 2019",44.0,11,6.7,2,72.6,77.4,24,0.43700000000000006,63,0.397,25,0.365,23,0.652,15,3,200,95.9,38.5,15,15,70,,11.0,8,0.46,29,0.172,5,55.7,39,0.473,15.1,13,34,0.588,20,0.857,18,"UNT Coliseum, Denton, Texas",MIDDLE-TENNESSEE,Middle Tennessee,73.2,Home,NORTH-TEXAS,North Texas,Middle Tennessee,cusa,20,False,False,False,Away,False,6,10,51,31,70,5,20,63,0,1,117,368,1156,0.47015570934256057,702,1354,0.518463810930576,176,359,1209,0.5153019023986766,0.25
21,2019-01-30-19-middle-tennessee,30.4,7,6.3,2,95.9,78.8,26,0.446,56,0.41100000000000003,23,0.39299999999999996,22,0.682,15,8,200,87.8,12.5,4,14,65,,14.9,11,0.33899999999999997,19,0.21100000000000002,4,46.2,30,0.489,14.3,11,37,0.514,19,0.636,14,"January 30, 2019",52.0,13,2.7,1,87.8,87.5,28,0.526,57,0.439,25,0.316,18,0.611,11,16,200,95.9,21.2,7,16,71,,4.1,3,0.439,25,0.4,10,53.8,35,0.542,19.8,16,32,0.469,15,0.273,6,"Murphy Athletic Center, Murfreesboro, Tennessee",ALABAMA-BIRMINGHAM,Alabama-Birmingham,74.0,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,21,True,False,True,Home,True,10,15,57,35,65,4,19,56,1,0,123,378,1207,0.4660314830157415,733,1424,0.514747191011236,181,379,1272,0.5113993710691824,0.23809523809523808
22,2019-02-02-20-alabama-birmingham,40.7,11,5.1,2,120.0,80.0,24,0.593,54,0.5,27,0.35200000000000004,19,0.789,15,16,200,121.5,35.7,10,17,79,,6.2,4,0.37,20,0.5,10,58.6,34,0.627,17.3,13,34,0.5,17,0.304,7,"February 2, 2019",42.9,12,2.9,1,121.5,64.3,18,0.591,55,0.509,28,0.364,20,0.65,13,9,200,120.0,20.0,6,13,78,,9.2,6,0.29100000000000004,16,0.563,9,41.4,24,0.605,7.3,5,39,0.48700000000000004,19,0.609,14,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,64.8,Away,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,22,False,False,False,Away,True,10,17,54,34,58,9,19,55,1,0,133,393,1264,0.46875,768,1489,0.5157824042981867,185,398,1328,0.5086596385542169,0.2727272727272727
23,2019-02-07-19-middle-tennessee,70.0,14,0.0,0,110.9,78.6,22,0.461,51,0.392,20,0.157,8,0.75,6,18,200,82.8,17.2,5,12,53,,4.7,3,0.373,19,0.368,7,47.4,27,0.484,19.3,13,32,0.406,13,0.217,5,"February 7, 2019",70.4,19,6.3,2,82.8,82.8,24,0.6,55,0.491,27,0.145,8,0.625,5,16,200,110.9,21.4,6,12,71,,14.1,9,0.509,28,0.429,12,52.6,30,0.604,17.0,12,27,0.556,15,0.33299999999999996,8,"Murphy Athletic Center, Murfreesboro, Tennessee",CHARLOTTE,Charlotte,63.8,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,23,True,False,True,Home,True,12,15,55,30,57,7,13,51,1,0,143,410,1318,0.47382397572078905,802,1547,0.5184227537168714,194,417,1383,0.5119305856832972,0.30434782608695654
24,2019-02-09-19-middle-tennessee,42.1,8,15.6,5,83.3,68.3,28,0.425,53,0.358,19,0.264,14,0.7140000000000001,10,6,200,91.7,30.3,10,11,55,,5.0,3,0.377,20,0.35,7,51.4,38,0.461,15.7,11,33,0.364,12,0.769,20,"February 9, 2019",26.3,5,6.1,2,91.7,69.7,23,0.36700000000000005,60,0.317,19,0.133,8,0.75,6,17,200,83.3,31.7,13,13,50,,13.3,8,0.467,28,0.214,6,48.6,36,0.392,12.4,9,32,0.406,13,0.32,8,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,60.2,Away,OLD-DOMINION,Old Dominion,Middle Tennessee,cusa,24,False,True,True,Home,False,6,13,60,36,74,7,12,53,0,1,155,425,1373,0.4788783685360524,832,1604,0.5187032418952618,201,430,1434,0.5101115760111576,0.3333333333333333
25,2019-02-14-20-western-kentucky,40.9,9,5.9,2,106.0,81.8,27,0.406,64,0.344,22,0.203,13,0.846,11,18,200,94.0,38.5,15,13,63,,4.5,3,0.42200000000000004,27,0.29600000000000004,8,58.3,42,0.449,16.7,14,37,0.37799999999999995,14,0.308,8,"February 14, 2019",59.3,16,16.2,6,94.0,61.5,24,0.561,57,0.474,27,0.193,11,0.636,7,10,200,106.0,18.2,6,9,71,,11.9,8,0.40399999999999997,23,0.435,10,41.7,30,0.5710000000000001,12.7,9,34,0.5,17,0.615,16,"E.A. Diddle Arena, Bowling Green, Kentucky",MIDDLE-TENNESSEE,Middle Tennessee,67.2,Home,WESTERN-KENTUCKY,Western Kentucky,Middle Tennessee,cusa,25,False,False,False,Away,False,8,14,64,42,72,10,17,57,0,1,161,438,1433,0.47418004187020235,868,1678,0.5172824791418356,208,442,1487,0.5070611970410221,0.32
