,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MICHIGAN-STATE_homegame,MICHIGAN-STATE_homegame2,MICHIGAN-STATE_home,MICHIGAN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-kansas,73.1,19,15.2,7,105.7,74.4,32,0.542,59,0.441,26,0.593,35,0.657,23,1,202,100.0,16.1,5,25,87,10.0,5.7,5,0.39,23,0.522,12,50.0,37,0.575,19.5,18,36,0.389,14,0.0,0,"November 6, 2018",67.7,21,19.4,7,100.0,83.9,26,0.522,69,0.449,31,0.478,33,0.606,20,0,202,105.7,25.6,11,28,92,1.0,11.5,10,0.33299999999999996,23,0.435,10,50.0,37,0.5429999999999999,11.6,11,46,0.457,21,1.0,1,"Bankers Life Fieldhouse, Indianapolis, Indiana",MICHIGAN-STATE,Michigan State,85.8,Home,KANSAS,Kansas,Michigan State,big-ten,0,False,False,False,Away,False,12,14,59,37,74,10,21,69,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-18-michigan-state,78.6,22,5.6,3,127.7,47.2,17,0.516,62,0.452,28,0.435,27,0.667,18,2,200,98.8,17.1,6,17,82,,12.0,10,0.306,19,0.42100000000000004,8,32.4,23,0.5479999999999999,15.9,14,43,0.465,20,0.33299999999999996,1,"November 11, 2018",80.5,33,14.0,6,98.8,82.9,29,0.584,77,0.532,41,0.299,23,0.696,16,1,200,127.7,52.8,19,22,106,10.0,12.0,10,0.299,23,0.348,8,67.6,48,0.603,14.7,15,54,0.611,33,0.5,1,"Breslin Events Center, East Lansing, Michigan",FLORIDA-GULF-COAST,Florida Gulf Coast,83.4,Home,MICHIGAN-STATE,Michigan State,Michigan State,big-ten,1,True,False,True,Home,True,8,33,77,48,71,8,20,62,1,0,12,14,59,0.5423728813559322,37,74,0.5,10,21,69,0.5217391304347826,0.0
2,2018-11-14-19-michigan-state,33.3,6,0.0,0,111.1,64.3,27,0.34700000000000003,59,0.305,18,0.424,25,0.72,18,2,200,81.9,19.5,8,19,59,,6.9,5,0.322,19,0.263,5,42.2,35,0.41600000000000004,10.3,8,40,0.325,13,0.5,2,"November 14, 2018",46.4,13,17.5,7,81.9,80.5,33,0.44299999999999995,70,0.4,28,0.314,22,0.818,18,1,200,111.1,35.7,15,18,80,11.0,9.7,7,0.414,29,0.207,6,57.8,48,0.49700000000000005,8.1,7,41,0.537,22,0.667,2,"Breslin Events Center, East Lansing, Michigan",LOUISIANA-MONROE,Louisiana-Monroe,71.7,Home,MICHIGAN-STATE,Michigan State,Michigan State,big-ten,2,True,False,True,Home,True,6,22,70,48,83,5,13,59,1,0,20,47,136,0.5661764705882353,85,145,0.5862068965517241,18,41,131,0.5190839694656488,0.5
3,2018-11-18-18-michigan-state,53.3,8,5.9,2,142.3,59.3,16,0.304,51,0.294,15,0.17600000000000002,9,0.222,2,5,200,46.5,12.9,4,22,33,,8.5,6,0.196,10,0.1,1,34.5,20,0.299,24.7,18,41,0.341,14,0.0,0,"November 18, 2018",67.6,25,12.2,5,46.5,87.1,27,0.657,67,0.552,37,0.26899999999999996,18,0.722,13,1,200,142.3,40.7,11,12,101,11.0,11.3,8,0.493,33,0.424,14,65.5,38,0.6679999999999999,9.6,8,34,0.6759999999999999,23,0.75,3,"Breslin Events Center, East Lansing, Michigan",TENNESSEE-TECH,Tennessee Tech,70.9,Home,MICHIGAN-STATE,Michigan State,Michigan State,big-ten,3,True,False,True,Home,True,14,23,67,38,58,1,14,51,1,0,26,69,206,0.5242718446601942,133,228,0.5833333333333334,23,54,190,0.46578947368421053,0.6666666666666666
4,2018-11-22-22-ucla,62.5,20,11.9,5,90.5,80.0,28,0.621,62,0.516,32,0.29,18,0.556,10,1,200,117.6,25.8,8,23,87,11.0,1.4,1,0.387,24,0.542,13,54.5,36,0.617,14.6,12,38,0.5,19,0.8,4,"November 22, 2018",38.1,8,15.8,6,117.6,74.2,23,0.39799999999999996,59,0.35600000000000004,21,0.475,28,0.7140000000000001,20,1,200,90.5,20.0,7,21,67,17.0,6.8,5,0.28800000000000003,17,0.294,5,45.5,30,0.46299999999999997,11.2,9,42,0.381,16,0.8,4,"Orleans Arena, Paradise, Nevada",UCLA,UCLA,74.4,Away,MICHIGAN-STATE,Michigan State,Michigan State,big-ten,4,False,False,False,Away,True,13,19,62,36,66,5,16,59,1,0,40,92,273,0.5567765567765568,171,286,0.5979020979020979,24,68,241,0.4315352697095436,0.75
5,2018-11-23-18-michigan-state,50.0,11,19.4,6,106.8,56.5,13,0.414,64,0.344,22,0.297,19,0.789,15,1,200,93.2,20.6,7,19,68,,16.4,12,0.531,34,0.265,9,35.1,20,0.466,10.0,8,30,0.433,13,0.833,5,"November 23, 2018",65.4,17,10.0,3,93.2,79.4,27,0.627,51,0.51,26,0.353,18,0.778,14,1,200,106.8,43.5,10,18,78,11.0,5.5,4,0.392,20,0.6,12,64.9,37,0.655,27.2,22,31,0.452,14,0.833,5,"Orleans Arena, Paradise, Nevada",TEXAS,Texas,72.8,Home,MICHIGAN-STATE,Michigan State,Michigan State,big-ten,5,True,False,True,Home,True,12,14,51,37,57,9,13,64,1,0,53,111,335,0.5686567164179105,207,352,0.5880681818181818,29,84,300,0.425,0.8
6,2018-11-27-19-louisville,50.0,14,12.5,3,103.8,94.7,36,0.542,59,0.475,28,0.39,23,0.609,14,2,225,98.7,25.7,9,29,78,9.0,6.3,5,0.33899999999999997,20,0.4,8,61.6,45,0.5579999999999999,18.8,16,39,0.513,20,0.7140000000000001,5,"November 27, 2018",42.9,9,10.3,4,98.7,74.3,26,0.491,53,0.396,21,0.774,41,0.732,30,2,225,103.8,5.3,2,21,82,,7.6,6,0.547,29,0.345,10,38.4,28,0.5660000000000001,12.3,10,24,0.45799999999999996,11,0.667,4,"KFC Yum! Center, Louisville, Kentucky",MICHIGAN-STATE,Michigan State,70.0,Home,LOUISVILLE,Louisville,Michigan State,big-ten,6,False,False,False,Away,False,8,20,59,45,73,10,11,53,0,1,65,125,386,0.5764248704663213,244,409,0.5965770171149144,38,97,364,0.4230769230769231,0.8333333333333334
7,2018-11-30-18-rutgers,40.7,11,7.7,3,101.5,67.6,25,0.509,58,0.466,27,0.431,25,0.76,19,2,200,118.2,37.5,12,16,78,9.0,7.6,5,0.276,16,0.313,5,53.6,37,0.5579999999999999,9.2,7,42,0.524,22,0.75,6,"November 30, 2018",25.0,6,4.8,2,118.2,62.5,20,0.431,65,0.369,24,0.24600000000000002,16,0.688,11,2,200,101.5,32.4,12,19,67,,4.5,3,0.4,26,0.308,8,46.4,32,0.461,8.9,7,39,0.41,16,0.7140000000000001,5,"Louis Brown Athletic Center, New Brunswick, New Jersey",RUTGERS,Rutgers,66.2,Away,MICHIGAN-STATE,Michigan State,Michigan State,big-ten,7,False,False,False,Away,True,5,22,58,37,69,8,16,65,1,0,73,145,445,0.5719101123595506,289,482,0.5995850622406639,48,108,417,0.4316546762589928,0.7142857142857143
8,2018-12-03-18-michigan-state,61.9,13,6.3,3,125.0,55.2,16,0.375,64,0.32799999999999996,21,0.469,30,0.667,20,2,200,94.4,35.0,14,23,68,18.0,9.7,7,0.344,22,0.273,6,43.5,30,0.435,11.5,10,42,0.35700000000000004,15,0.75,6,"December 3, 2018",90.3,28,14.3,6,94.4,65.0,26,0.542,60,0.517,31,0.5329999999999999,32,0.7809999999999999,25,2,200,125.0,44.8,13,25,90,10.0,9.7,7,0.2,12,0.25,3,56.5,39,0.598,9.7,8,48,0.583,28,0.778,7,"Breslin Events Center, East Lansing, Michigan",IOWA,Iowa,72.2,Home,MICHIGAN-STATE,Michigan State,Michigan State,big-ten,8,True,False,True,Home,True,3,28,60,39,69,6,15,64,1,0,78,167,503,0.5646123260437376,326,551,0.5916515426497277,56,124,482,0.4315352697095436,0.75
9,2018-12-08-12-florida,53.8,14,7.7,3,95.2,63.2,24,0.5489999999999999,51,0.51,26,0.157,8,0.875,7,2,200,101.6,34.8,8,11,63,10.0,8.1,5,0.294,15,0.267,4,52.5,32,0.575,19.3,13,36,0.611,22,0.8,8,"December 8, 2018",30.4,7,8.3,3,101.6,65.2,15,0.413,63,0.365,23,0.19,12,0.583,7,4,200,95.2,36.8,14,12,59,,11.3,7,0.381,24,0.25,6,47.5,29,0.429,11.6,9,39,0.436,17,0.556,5,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,61.8,Away,MICHIGAN-STATE,Michigan State,Michigan State,big-ten,9,False,False,False,Away,True,4,22,51,32,61,6,17,63,1,0,81,195,563,0.5621669626998224,365,620,0.5887096774193549,62,139,546,0.4249084249084249,0.7777777777777778
