,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-AM_homegame,FLORIDA-AM_homegame2,FLORIDA-AM_home,FLORIDA-AM_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-jacksonville,30.8,8,11.4,4,68.5,66.7,22,0.547,53,0.491,26,0.17,9,0.778,7,0,194,89.0,30.4,7,20,65,,19.2,14,0.245,13,0.462,6,51.8,29,0.5670000000000001,27.9,22,40,0.5,20,1.0,1,"November 6, 2018",46.7,7,15.0,6,89.0,69.6,16,0.298,52,0.28800000000000003,15,0.423,22,0.8640000000000001,19,1,194,68.5,33.3,11,16,50,,16.4,12,0.327,17,0.059000000000000004,1,48.2,27,0.4,27.2,23,35,0.4,14,0.0,0,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,75.6,Away,FLORIDA-AM,Florida A&M,Florida A&M,meac,0,False,False,False,Away,True,6,20,53,29,56,1,14,52,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-13-florida-am,42.1,8,0.0,0,106.9,71.4,20,0.5,43,0.442,19,0.419,18,0.667,12,0,200,94.8,21.7,5,16,55,,5.2,3,0.442,19,0.263,5,49.0,25,0.5329999999999999,20.3,13,24,0.583,14,0.0,0,"November 10, 2018",37.5,9,0.0,0,94.8,78.3,18,0.519,52,0.462,24,0.231,12,0.667,8,0,200,106.9,28.6,8,13,62,,12.1,7,0.25,13,0.462,6,51.0,26,0.537,10.9,7,39,0.462,18,1.0,2,"Al Lawson Center, Tallahassee, Florida","Tuskegee
			","Tuskegee
			",58.1,Home,FLORIDA-AM,Florida A&M,Florida A&M,meac,1,True,False,True,Home,True,6,18,52,26,51,5,14,43,1,0,6,20,53,0.5471698113207547,29,56,0.5178571428571429,1,14,52,0.2980769230769231,1.0
2,2018-11-16-14-campbell,75.0,15,0.0,0,103.1,78.1,25,0.491,54,0.37,20,0.222,12,0.5,6,1,200,92.2,35.3,12,23,59,,9.4,6,0.389,21,0.619,13,56.1,37,0.494,19.1,14,33,0.212,7,0.667,2,"November 16, 2018",58.3,14,12.1,4,92.2,64.7,22,0.539,51,0.47100000000000003,24,0.431,22,0.5,11,2,200,103.1,21.9,7,15,66,,12.5,8,0.431,22,0.318,7,43.9,29,0.537,15.3,11,29,0.586,17,0.5,2,"Montego Bay Convention Centre, Montego Bay",FLORIDA-AM,Florida A&M,63.6,Home,CAMPBELL,Campbell,Florida A&M,meac,2,False,False,False,Away,False,13,7,54,37,66,7,17,51,0,1,12,38,105,0.5333333333333333,55,107,0.514018691588785,6,28,95,0.3894736842105263,1.0
3,2018-11-18-21-central-connecticut-state,59.1,13,3.6,1,118.7,73.3,11,0.40299999999999997,62,0.355,22,0.565,35,0.7140000000000001,25,2,200,100.0,31.7,13,25,75,,18.7,14,0.419,26,0.231,6,42.9,24,0.47700000000000004,10.4,9,36,0.444,16,0.5,2,"November 18, 2018",46.4,13,13.9,5,100.0,68.3,28,0.738,42,0.667,28,0.762,32,0.8440000000000001,27,2,200,118.7,26.7,4,25,89,,4.0,3,0.33299999999999996,14,0.429,6,57.1,32,0.778,28.2,22,28,0.7859999999999999,22,0.6,3,"Montego Bay Convention Centre, Montego Bay",FLORIDA-AM,Florida A&M,74.9,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Florida A&M,meac,3,False,False,False,Away,False,6,16,62,24,56,6,22,42,0,1,25,45,159,0.5188679245283019,92,173,0.5317919075144508,13,45,146,0.4417808219178082,0.6666666666666666
4,2018-11-21-19-south-florida,60.9,14,19.0,8,104.5,61.1,22,0.591,44,0.523,23,0.386,17,0.41200000000000003,7,3,200,89.4,15.4,4,23,59,,6.1,4,0.386,17,0.353,6,41.9,26,0.5660000000000001,21.4,14,27,0.63,17,0.4,2,"November 21, 2018",73.9,17,7.4,2,89.4,84.6,22,0.424,59,0.39,23,0.508,30,0.633,19,1,200,104.5,38.9,14,18,69,,10.6,7,0.28800000000000003,17,0.235,4,58.1,36,0.47100000000000003,12.2,10,42,0.452,19,0.8,4,"Sun Dome, Tampa, Florida",FLORIDA-AM,Florida A&M,65.7,Home,SOUTH-FLORIDA,South Florida,Florida A&M,meac,4,False,False,False,Away,False,6,17,44,26,62,4,19,59,0,1,31,61,221,0.48642533936651583,116,229,0.5065502183406113,19,67,188,0.5079787234042553,0.5
5,2018-11-24-22-loyola-marymount,73.9,17,9.7,3,114.5,60.9,14,0.55,50,0.46,23,0.22,11,0.727,8,4,200,101.6,20.0,5,20,63,,9.7,6,0.38,19,0.474,9,39.6,19,0.57,16.7,11,31,0.452,14,0.33299999999999996,2,"November 24, 2018",69.6,16,12.9,4,101.6,80.0,20,0.5539999999999999,46,0.5,23,0.522,24,0.833,20,0,200,114.5,39.1,9,15,71,,6.5,4,0.326,15,0.33299999999999996,5,60.4,29,0.618,21.0,15,31,0.581,18,1.0,7,"Albert Gersten Pavilion, Los Angeles, California",FLORIDA-AM,Florida A&M,62.3,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Florida A&M,meac,5,False,False,False,Away,False,9,14,50,19,48,5,18,46,0,1,37,78,265,0.5037735849056604,142,291,0.4879725085910653,23,86,247,0.48785425101214575,0.4
6,2018-11-29-20-north-florida,46.4,13,2.7,1,106.6,66.7,22,0.40700000000000003,70,0.4,28,0.14300000000000002,10,0.5,5,5,200,81.6,21.6,8,13,62,,14.5,11,0.14300000000000002,10,0.1,1,42.9,30,0.415,10.8,9,60,0.45,27,0.28600000000000003,2,"November 29, 2018",66.7,20,8.3,5,81.6,78.4,29,0.523,64,0.469,30,0.313,20,0.7,14,5,200,106.6,33.3,11,16,81,,10.5,8,0.42200000000000004,27,0.259,7,57.1,40,0.551,15.2,13,37,0.622,23,0.375,3,"UNF Arena , Jacksonville, Florida",FLORIDA-AM,Florida A&M,75.6,Home,NORTH-FLORIDA,North Florida,Florida A&M,meac,6,False,False,False,Away,False,1,27,70,30,70,7,23,64,0,1,46,92,315,0.5111111111111111,161,339,0.4749262536873156,28,104,293,0.49829351535836175,0.3333333333333333
7,2018-12-01-20-south-alabama,36.4,8,13.3,4,94.3,61.9,13,0.395,57,0.386,22,0.456,26,0.462,12,6,200,81.4,35.0,14,20,57,,10.0,7,0.193,11,0.091,1,44.3,27,0.41100000000000003,18.9,16,46,0.457,21,0.25,2,"December 1, 2018",76.2,16,8.7,4,81.4,65.0,26,0.5329999999999999,45,0.467,21,0.556,25,0.72,18,4,200,94.3,38.1,8,22,66,,5.7,4,0.33299999999999996,15,0.4,6,55.7,34,0.58,25.3,19,30,0.5,15,0.5,4,"Mitchell Center, Mobile, Alabama",FLORIDA-AM,Florida A&M,69.6,Home,SOUTH-ALABAMA,South Alabama,Florida A&M,meac,7,False,False,False,Away,False,1,21,57,27,61,6,15,45,0,1,47,119,385,0.4922077922077922,191,409,0.4669926650366748,35,127,357,0.5028011204481793,0.2857142857142857
8,2018-12-03-20-depaul,58.8,10,5.9,2,98.5,65.7,23,0.456,45,0.37799999999999995,17,0.33299999999999996,15,0.6,9,7,200,75.8,11.1,3,23,50,,7.6,5,0.289,13,0.5379999999999999,7,41.9,26,0.48,22.5,15,32,0.313,10,0.222,2,"December 3, 2018",55.0,11,9.4,3,75.8,88.9,24,0.4,55,0.364,20,0.509,28,0.75,21,1,200,98.5,34.3,12,19,65,,7.6,5,0.382,21,0.19,4,58.1,36,0.47600000000000003,14.0,11,34,0.47100000000000003,16,0.833,5,"Wintrust Arena, Chicago, Illinois",FLORIDA-AM,Florida A&M,65.7,Home,DEPAUL,DePaul,Florida A&M,meac,8,False,False,False,Away,False,7,10,45,26,62,4,16,55,0,1,48,140,442,0.4796380090497738,218,470,0.46382978723404256,41,142,402,0.5062189054726368,0.25
9,2018-12-06-19-florida-am,33.3,7,0.0,0,112.7,74.2,23,0.462,52,0.40399999999999997,21,0.308,16,0.625,10,0,200,81.7,26.7,8,18,58,,8.5,6,0.308,16,0.375,6,50.8,31,0.48700000000000004,25.3,20,36,0.41700000000000004,15,0.0,0,"December 6, 2018",40.7,11,5.6,2,81.7,73.3,22,0.516,63,0.429,27,0.254,16,0.938,15,7,200,112.7,25.8,8,14,80,,15.5,11,0.444,28,0.39299999999999996,11,49.2,30,0.5670000000000001,10.3,8,35,0.457,16,0.3,3,"Al Lawson Center, Tallahassee, Florida","Fort Valley State
			","Fort Valley State
			",71.1,Home,FLORIDA-AM,Florida A&M,Florida A&M,meac,9,True,False,True,Home,True,11,16,63,30,61,6,15,52,1,0,55,150,487,0.47741273100616016,244,532,0.45864661654135336,45,158,457,0.4934354485776805,0.2222222222222222
