,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOLY-CROSS_homegame,HOLY-CROSS_homegame2,HOLY-CROSS_home,HOLY-CROSS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-holy-cross,35.5,11,10.5,4,131.0,70.8,17,0.75,46,0.674,31,0.391,18,0.667,12,1,200,114.1,31.3,5,17,81,,5.6,4,0.37,17,0.41200000000000003,7,55.0,22,0.742,27.1,20,29,0.828,24,0.0,0,"November 6, 2018",71.4,25,0.0,0,114.1,68.8,11,0.643,63,0.556,35,0.27,17,0.706,12,0,200,131.0,29.2,7,19,93,,8.5,6,0.397,25,0.44,11,45.0,18,0.654,11.3,9,38,0.632,24,1.0,1,"Hart Recreation Center, Worcester, Massachusetts",SACRED-HEART,Sacred Heart,71.3,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,0,True,False,True,Home,True,11,24,63,18,40,7,24,46,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-michigan,62.5,10,3.2,1,90.3,79.3,23,0.34600000000000003,52,0.308,16,0.057999999999999996,3,0.33299999999999996,1,1,200,59.7,11.1,4,17,37,,1.6,1,0.26899999999999996,14,0.28600000000000003,4,41.5,27,0.34600000000000003,18.4,12,38,0.316,12,0.5,1,"November 10, 2018",72.2,13,23.7,9,59.7,88.9,32,0.39,50,0.36,18,0.42,21,0.81,17,0,200,90.3,20.7,6,8,56,19.0,9.7,6,0.38,19,0.158,3,58.5,38,0.467,13.2,9,31,0.484,15,1.0,2,"Crisler Arena, Ann Arbor, Michigan",HOLY-CROSS,Holy Cross,62.2,Home,MICHIGAN,Michigan,Holy Cross,patriot,1,False,False,False,Away,False,4,12,52,27,65,3,15,50,0,1,11,24,63,0.6428571428571429,18,40,0.45,7,24,46,0.75,1.0
2,2018-11-13-19-providence,63.6,14,2.4,1,101.4,69.4,25,0.418,61,0.361,22,0.18,11,0.909,10,2,200,88.4,25.6,10,18,61,,13.0,9,0.295,18,0.389,7,46.7,35,0.461,15.4,12,43,0.349,15,0.33299999999999996,1,"November 13, 2018",44.4,12,9.3,4,88.4,74.4,29,0.508,59,0.45799999999999996,27,0.305,18,0.556,10,1,200,101.4,30.6,11,12,70,,13.0,9,0.28800000000000003,17,0.353,6,53.3,40,0.518,16.3,13,42,0.5,21,0.667,2,"Dunkin' Donuts Center, Providence, Rhode Island",HOLY-CROSS,Holy Cross,68.9,Home,PROVIDENCE,Providence,Holy Cross,patriot,2,False,False,False,Away,False,7,15,61,35,75,6,21,59,0,1,15,36,115,0.508695652173913,45,105,0.42857142857142855,10,39,96,0.5625,0.5
3,2018-11-16-18-stony-brook,86.7,26,25.7,9,106.1,63.3,19,0.583,60,0.5,30,0.267,16,0.875,14,2,200,127.3,26.7,8,16,84,,7.6,5,0.433,26,0.385,10,45.0,27,0.621,5.6,4,34,0.588,20,0.5,2,"November 16, 2018",36.4,8,14.7,5,127.3,73.3,22,0.446,56,0.39299999999999996,22,0.429,24,0.833,20,1,200,106.1,36.7,11,17,70,,3.0,2,0.375,21,0.28600000000000003,6,55.0,33,0.519,15.3,12,35,0.457,16,0.667,2,"Mohegan Sun Arena, Uncasville, Connecticut",STONY-BROOK,Stony Brook,66.0,Away,HOLY-CROSS,Holy Cross,Holy Cross,patriot,3,False,False,False,Away,True,10,20,60,27,60,6,16,56,1,0,22,51,176,0.4772727272727273,80,180,0.4444444444444444,16,60,155,0.5419354838709678,0.3333333333333333
4,2018-11-18-11-holy-cross,30.0,6,10.7,3,111.8,76.0,19,0.45,50,0.4,20,0.04,2,0.0,0,2,200,88.2,29.6,8,9,45,,7.8,4,0.48,24,0.20800000000000002,5,51.9,27,0.442,12.1,7,26,0.5770000000000001,15,0.5,2,"November 18, 2018",70.8,17,23.1,6,88.2,70.4,19,0.5379999999999999,53,0.45299999999999996,24,0.019,1,0.0,0,2,200,111.8,24.0,6,9,57,,11.8,6,0.47200000000000003,25,0.36,9,48.1,25,0.5329999999999999,8.6,5,28,0.536,15,0.6,3,"Mohegan Sun Arena, Uncasville, Connecticut",SIENA,Siena,51.2,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,4,True,False,True,Home,True,9,15,53,25,52,5,15,50,1,0,32,71,236,0.5042372881355932,107,240,0.44583333333333336,22,76,211,0.5165876777251185,0.5
5,2018-11-20-19-albany-ny,69.2,18,20.0,7,94.2,61.1,22,0.509,56,0.46399999999999997,26,0.35700000000000004,20,0.6,12,2,225,100.0,20.6,7,12,69,,8.7,6,0.304,17,0.294,5,41.4,29,0.527,12.2,9,39,0.5379999999999999,21,0.667,4,"November 20, 2018",69.6,16,2.6,1,100.0,79.4,27,0.444,63,0.365,23,0.222,14,0.643,9,3,225,94.2,38.9,14,22,65,,7.2,5,0.444,28,0.35700000000000004,10,58.6,41,0.467,17.8,15,35,0.371,13,0.4,2,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),61.4,Away,HOLY-CROSS,Holy Cross,Holy Cross,patriot,5,False,False,False,Away,True,5,21,56,29,70,10,13,63,1,0,41,86,289,0.5103806228373703,132,292,0.4520547945205479,27,91,261,0.5038314176245211,0.6
6,2018-11-28-19-harvard,72.7,16,6.1,2,105.8,65.5,19,0.529,51,0.431,22,0.255,13,0.615,8,3,200,89.9,3.4,1,17,62,,14.5,10,0.451,23,0.435,10,34.5,20,0.542,18.6,13,28,0.429,12,0.5710000000000001,4,"November 28, 2018",50.0,14,14.3,4,89.9,96.6,28,0.613,53,0.528,28,0.264,14,0.5710000000000001,8,3,200,105.8,34.5,10,11,73,,10.1,7,0.377,20,0.45,9,65.5,38,0.612,24.3,19,33,0.5760000000000001,19,0.5710000000000001,4,"Lavietes Pavilion, Boston, Massachusetts",HOLY-CROSS,Holy Cross,68.9,Home,HARVARD,Harvard,Holy Cross,patriot,6,False,False,False,Away,False,10,12,51,20,58,9,19,53,0,1,46,107,345,0.5101449275362319,161,362,0.4447513812154696,37,104,324,0.49228395061728397,0.6666666666666666
7,2018-12-01-13-holy-cross,37.5,6,4.9,2,95.7,74.3,26,0.324,54,0.29600000000000004,16,0.389,21,0.667,14,4,200,70.0,33.3,13,15,49,,12.9,9,0.29600000000000004,16,0.188,3,52.7,39,0.38299999999999995,22.2,18,38,0.342,13,0.429,3,"December 1, 2018",61.5,16,18.4,7,70.0,66.7,26,0.45799999999999996,59,0.441,26,0.322,19,0.684,13,3,200,95.7,25.7,9,16,67,,11.4,8,0.305,18,0.111,2,47.3,35,0.49200000000000005,15.1,12,41,0.585,24,0.625,5,"Hart Recreation Center, Worcester, Massachusetts",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,70.0,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,7,True,False,True,Home,True,2,24,59,35,74,3,13,54,1,0,56,119,396,0.5126262626262627,181,420,0.430952380952381,46,123,377,0.5092838196286472,0.5714285714285714
8,2018-12-04-19-massachusetts,77.4,24,8.6,3,108.3,71.4,20,0.614,57,0.544,31,0.298,17,0.706,12,3,200,113.9,20.7,6,18,82,,9.7,7,0.33299999999999996,19,0.42100000000000004,8,45.6,26,0.63,12.2,9,38,0.605,23,0.667,6,"December 4, 2018",75.0,18,10.5,4,113.9,79.3,23,0.5,58,0.414,24,0.44799999999999995,26,0.769,20,4,200,108.3,28.6,8,19,78,,5.6,4,0.397,23,0.435,10,54.4,31,0.5539999999999999,16.8,14,35,0.4,14,0.556,5,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,72.2,Away,HOLY-CROSS,Holy Cross,Holy Cross,patriot,8,False,False,False,Away,True,8,23,57,26,57,10,14,58,1,0,58,143,455,0.5054945054945055,216,494,0.43724696356275305,49,136,431,0.48607888631090485,0.625
9,2018-12-08-13-holy-cross,34.6,9,18.2,6,91.3,92.9,26,0.519,53,0.491,26,0.509,27,0.889,24,3,200,114.5,48.0,12,14,79,,10.1,7,0.34,18,0.16699999999999998,3,71.7,38,0.6,20.8,17,35,0.657,23,0.5710000000000001,4,"December 8, 2018",78.3,18,5.7,2,114.5,52.0,13,0.51,52,0.442,23,0.231,12,0.833,10,4,200,91.3,7.1,2,18,63,,13.0,9,0.365,19,0.368,7,28.3,15,0.546,16.1,11,33,0.485,16,0.6,6,"DCU Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.8,Away,RHODE-ISLAND,Rhode Island,Holy Cross,patriot,9,False,True,True,Home,False,7,16,52,15,53,3,23,53,0,1,66,166,512,0.517578125,242,551,0.43920145190562615,59,150,489,0.48773006134969327,0.6666666666666666
