,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CITADEL_homegame,CITADEL_homegame2,CITADEL_home,CITADEL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-clemson,26.9,7,0.0,0,125.0,77.8,21,0.534,58,0.44799999999999995,26,0.431,25,0.72,18,1,200,100.0,6.1,2,19,80,,8.8,7,0.466,27,0.37,10,38.3,23,0.5720000000000001,16.9,14,31,0.516,16,0.0,0,"November 6, 2018",58.8,20,12.9,4,100.0,93.9,31,0.648,61,0.557,34,0.41,25,0.84,21,0,200,125.0,22.2,6,20,100,22.0,10.0,8,0.426,26,0.423,11,61.7,37,0.6859999999999999,14.3,12,35,0.657,23,1.0,1,"Littlejohn Coliseum, Clemson, South Carolina",CITADEL,Citadel,80.4,Home,CLEMSON,Clemson,The Citadel,southern,0,False,False,False,Away,False,10,16,58,23,60,11,23,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-19-citadel,73.3,22,8.5,4,157.4,53.3,24,0.40700000000000003,86,0.349,30,0.151,13,0.385,5,0,200,79.8,33.3,18,17,75,,5.3,5,0.395,34,0.294,10,42.4,42,0.40700000000000003,17.2,19,52,0.385,20,0.0,0,"November 12, 2018",64.9,37,13.5,7,79.8,66.7,36,0.6990000000000001,98,0.5820000000000001,57,0.214,21,0.524,11,1,200,157.4,46.7,21,12,148,,13.8,13,0.52,51,0.451,23,57.6,57,0.685,6.1,7,47,0.723,34,0.5,1,"McAlister Field House, Charleston, South Carolina","Mid-Atlantic Christian
			","Mid-Atlantic Christian
			",93.6,Home,CITADEL,Citadel,The Citadel,southern,1,True,False,True,Home,True,23,34,98,57,99,10,20,86,1,0,10,16,58,0.5344827586206896,23,60,0.38333333333333336,11,23,61,0.6475409836065574,0.0
2,2018-11-14-19-citadel,65.0,13,8.1,3,135.6,54.1,20,0.289,76,0.263,20,0.342,26,0.615,16,0,200,59.4,17.0,9,23,60,,9.9,10,0.237,18,0.222,4,32.2,29,0.34,21.5,24,58,0.276,16,0.0,0,"November 14, 2018",59.6,28,24.1,14,59.4,83.0,44,0.659,85,0.5529999999999999,47,0.341,29,0.862,25,1,200,135.6,45.9,17,20,137,,15.8,16,0.565,48,0.375,18,67.8,61,0.693,14.8,17,37,0.784,29,0.667,2,"McAlister Field House, Charleston, South Carolina","Johnson University
			","Johnson University
			",101.1,Home,CITADEL,Citadel,The Citadel,southern,2,True,False,True,Home,True,18,29,85,61,90,4,16,76,1,0,33,50,156,0.6378205128205128,80,159,0.5031446540880503,21,43,147,0.5068027210884354,0.5
3,2018-11-16-20-texas,34.6,9,5.1,2,119.8,50.0,21,0.49200000000000005,62,0.419,26,0.21,13,0.615,8,2,200,85.2,17.6,6,22,69,,1.2,1,0.516,32,0.281,9,35.5,27,0.506,22.8,20,30,0.5670000000000001,17,0.5,2,"November 16, 2018",54.5,18,16.7,5,85.2,82.4,28,0.48100000000000004,81,0.40700000000000003,33,0.34600000000000003,28,0.679,19,0,200,119.8,50.0,21,13,97,,16.0,13,0.519,42,0.28600000000000003,12,64.5,49,0.514,7.0,7,39,0.5379999999999999,21,1.0,4,"Frank Erwin Center, Austin, Texas",CITADEL,Citadel,81.2,Home,TEXAS,Texas,The Citadel,southern,3,False,False,False,Away,False,9,17,62,27,76,12,21,81,0,1,51,79,241,0.6452282157676349,141,249,0.5662650602409639,25,59,223,0.4327354260089686,0.6666666666666666
4,2018-11-20-19-james-madison,46.7,14,5.1,2,101.2,60.0,27,0.479,72,0.41700000000000004,30,0.375,27,0.815,22,2,225,112.3,18.6,8,19,91,,9.9,8,0.389,28,0.321,9,39.8,35,0.536,6.7,6,44,0.47700000000000004,21,0.6,3,"November 20, 2018",60.7,17,9.1,4,112.3,81.4,35,0.47100000000000003,69,0.406,28,0.348,24,0.708,17,1,225,101.2,40.0,18,24,82,,3.7,3,0.435,30,0.3,9,60.2,53,0.51,16.7,16,39,0.48700000000000004,19,0.8,4,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,71.7,Away,CITADEL,Citadel,The Citadel,southern,4,False,False,False,Away,True,9,21,72,35,88,9,19,69,1,0,60,96,303,0.6138613861386139,168,325,0.5169230769230769,37,80,304,0.4457236842105263,0.5
5,2018-11-24-14-south-florida,53.3,16,0.0,0,109.5,62.5,20,0.623,61,0.49200000000000005,30,0.16399999999999998,10,0.8,8,2,200,113.5,23.1,6,21,84,,8.1,6,0.59,36,0.444,16,44.8,26,0.639,18.7,15,25,0.56,14,0.667,4,"November 24, 2018",57.1,16,8.0,2,113.5,76.9,20,0.508,62,0.452,28,0.371,23,0.7829999999999999,18,2,200,109.5,37.5,12,13,81,,8.1,6,0.419,26,0.26899999999999996,7,55.2,32,0.555,15.3,13,36,0.583,21,0.667,4,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,74.3,Away,CITADEL,Citadel,The Citadel,southern,5,False,False,False,Away,True,16,14,61,26,58,7,21,62,1,0,69,117,375,0.588,203,413,0.4915254237288136,46,99,373,0.450402144772118,0.6
6,2018-11-27-19-citadel,61.8,21,14.3,3,141.8,78.3,18,0.444,81,0.42,34,0.259,21,0.7140000000000001,15,4,200,110.1,48.9,22,17,87,,11.4,9,0.34600000000000003,28,0.14300000000000002,4,58.8,40,0.478,11.7,12,53,0.5660000000000001,30,0.429,3,"November 27, 2018",71.1,27,15.1,8,110.1,51.1,23,0.8109999999999999,61,0.623,38,0.27899999999999997,17,0.765,13,2,200,141.8,21.7,5,17,112,,7.6,6,0.6559999999999999,40,0.575,23,41.2,28,0.8109999999999999,16.0,13,21,0.7140000000000001,15,0.7140000000000001,5,"McAlister Field House, Charleston, South Carolina",HIGH-POINT,High Point,79.0,Home,CITADEL,Citadel,The Citadel,southern,6,True,False,True,Home,True,23,15,61,28,68,4,30,81,1,0,85,131,436,0.5928899082568807,229,471,0.4861995753715499,53,120,435,0.4586206896551724,0.6666666666666666
7,2018-12-01-13-citadel,44.0,11,3.6,1,106.8,73.5,25,0.413,69,0.36200000000000004,25,0.24600000000000002,17,0.706,12,4,200,93.2,35.6,16,18,69,,8.1,6,0.507,35,0.2,7,51.9,41,0.44799999999999995,13.6,12,34,0.529,18,0.5,4,"December 1, 2018",53.8,14,8.8,3,93.2,64.4,29,0.525,61,0.426,26,0.361,22,0.682,15,2,200,106.8,26.5,9,19,79,,13.5,10,0.541,33,0.364,12,48.1,38,0.5529999999999999,14.5,12,28,0.5,14,0.75,6,"McAlister Field House, Charleston, South Carolina",MERCER,Mercer,73.8,Home,CITADEL,Citadel,The Citadel,southern,7,True,False,True,Home,True,12,14,61,38,79,7,18,69,1,0,108,146,497,0.6197183098591549,257,539,0.47680890538033394,57,150,516,0.4563953488372093,0.7142857142857143
8,2018-12-05-19-citadel,65.7,23,9.3,4,138.0,58.5,24,0.603,73,0.479,35,0.13699999999999998,10,0.5,5,0,200,101.1,21.1,8,19,93,,7.6,7,0.466,34,0.529,18,40.5,32,0.598,21.3,21,39,0.436,17,0.0,0,"December 5, 2018",58.7,27,10.3,4,101.1,78.9,30,0.619,88,0.523,46,0.284,25,0.72,18,2,200,138.0,41.5,17,14,127,,10.9,10,0.511,45,0.37799999999999995,17,59.5,47,0.636,9.2,10,43,0.674,29,0.778,7,"McAlister Field House, Charleston, South Carolina","Johnson &amp; Wales (NC)
			","Johnson &amp; Wales (NC)
			",91.8,Home,CITADEL,Citadel,The Citadel,southern,8,True,False,True,Home,True,17,29,88,47,79,18,17,73,1,0,120,160,558,0.6093189964157706,295,618,0.4773462783171521,64,168,585,0.4512820512820513,0.75
9,2018-12-15-13-citadel,55.2,16,19.4,6,110.3,81.6,31,0.53,66,0.439,29,0.16699999999999998,11,0.364,4,6,200,94.9,20.0,8,19,74,,3.8,3,0.515,34,0.353,12,50.0,39,0.519,16.5,14,32,0.531,17,0.455,5,"December 15, 2018",53.3,16,15.6,5,94.9,80.0,32,0.53,67,0.44799999999999995,30,0.299,20,0.75,15,2,200,110.3,18.4,7,11,86,,6.4,5,0.537,36,0.306,11,50.0,39,0.562,10.6,9,31,0.613,19,0.8,8,"McAlister Field House, Charleston, South Carolina",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,77.9,Home,CITADEL,Citadel,The Citadel,southern,9,True,False,True,Home,True,11,19,67,39,78,12,17,66,1,0,137,189,646,0.6106811145510835,342,697,0.49067431850789095,82,185,658,0.46808510638297873,0.7777777777777778
