,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MISSOURI_homegame,MISSOURI_homegame2,MISSOURI_home,MISSOURI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-missouri,50.0,10,7.9,3,95.8,75.7,28,0.41,61,0.32799999999999996,20,0.131,8,0.625,5,1,200,77.5,15.8,6,16,55,,8.5,6,0.44299999999999995,27,0.37,10,45.3,34,0.424,16.8,13,34,0.294,10,0.0,0,"November 6, 2018",48.1,13,5.9,2,77.5,84.2,32,0.484,64,0.42200000000000004,27,0.203,13,0.462,6,0,200,95.8,24.3,9,15,68,,8.5,6,0.406,26,0.308,8,54.7,41,0.485,12.5,10,38,0.5,19,1.0,1,"Mizzou Arena, Columbia, Missouri",CENTRAL-ARKANSAS,Central Arkansas,71.5,Home,MISSOURI,Missouri,Missouri,sec,0,True,False,True,Home,True,8,19,64,41,75,10,10,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-iowa-state,63.2,12,3.8,1,107.0,85.3,29,0.534,44,0.43200000000000005,19,0.386,17,0.706,12,1,200,83.1,21.7,5,26,59,,2.8,2,0.591,26,0.34600000000000003,9,59.6,34,0.5660000000000001,32.7,25,18,0.556,10,0.5,1,"November 9, 2018",45.5,10,16.7,3,83.1,78.3,18,0.51,51,0.431,22,0.6859999999999999,35,0.6859999999999999,24,0,200,107.0,14.7,5,17,76,,12.7,9,0.49,25,0.32,8,40.4,23,0.562,9.5,7,26,0.5379999999999999,14,1.0,2,"James H. Hilton Coliseum , Ames, Iowa",MISSOURI,Missouri,70.9,Home,IOWA-STATE,Iowa State,Missouri,sec,1,False,False,False,Away,False,9,10,44,34,57,8,14,51,0,1,8,19,64,0.484375,41,75,0.5466666666666666,10,10,61,0.4098360655737705,1.0
2,2018-11-16-15-missouri,47.4,9,8.3,3,83.3,70.3,26,0.41200000000000003,51,0.373,19,0.353,18,0.556,10,3,200,78.8,25.7,9,18,52,,9.1,6,0.157,8,0.5,4,48.6,35,0.43700000000000006,22.4,17,43,0.349,15,0.25,1,"November 16, 2018",52.6,10,4.7,2,78.8,74.3,26,0.387,53,0.358,19,0.377,20,0.7,14,1,200,83.3,29.7,11,17,55,,15.2,10,0.321,17,0.17600000000000002,3,51.4,37,0.44,16.3,12,36,0.444,16,0.667,2,"Virgin Islands Sport & Fitness Center , St. Thomas",KENNESAW-STATE,Kennesaw State,65.5,Home,MISSOURI,Missouri,Missouri,sec,2,True,False,True,Home,True,3,16,53,37,72,4,15,51,1,0,17,29,108,0.5046296296296297,75,132,0.5681818181818182,18,24,112,0.45535714285714285,0.5
3,2018-11-18-17-missouri,45.8,11,7.9,3,101.5,71.9,23,0.45,60,0.4,24,0.233,14,0.643,9,1,200,92.6,41.9,13,24,63,,7.4,5,0.4,24,0.25,6,57.1,36,0.473,18.5,15,36,0.5,18,0.75,3,"November 18, 2018",47.6,10,8.3,3,92.6,58.1,18,0.42700000000000005,55,0.382,21,0.509,28,0.7859999999999999,22,1,200,101.5,28.1,9,22,69,,7.4,5,0.309,17,0.294,5,42.9,27,0.505,10.6,8,38,0.42100000000000004,16,0.75,3,"Virgin Islands Sport & Fitness Center , St. Thomas",OREGON-STATE,Oregon State,68.0,Home,MISSOURI,Missouri,Missouri,sec,3,True,False,True,Home,True,5,16,55,27,63,6,18,60,1,0,20,45,161,0.4658385093167702,112,204,0.5490196078431373,22,39,163,0.44171779141104295,0.6666666666666666
4,2018-11-19-19-kansas-state,52.2,12,0.0,0,126.2,75.0,18,0.573,48,0.479,23,0.396,19,0.632,12,2,200,103.1,26.9,7,19,67,,4.6,3,0.313,15,0.6,9,50.0,25,0.5870000000000001,19.9,14,33,0.424,14,0.6,3,"November 19, 2018",56.7,17,6.1,2,103.1,73.1,19,0.643,56,0.536,30,0.23199999999999998,13,0.769,10,0,200,126.2,25.0,6,20,82,12.0,7.7,5,0.429,24,0.5,12,50.0,25,0.659,12.7,9,32,0.563,18,1.0,5,"Virgin Islands Sport & Fitness Center , St. Thomas",MISSOURI,Missouri,64.6,Home,KANSAS-STATE,Kansas State,Missouri,sec,4,False,False,False,Away,False,9,14,48,25,50,12,18,56,0,1,25,61,216,0.45601851851851855,139,267,0.5205992509363296,28,57,223,0.4439461883408072,0.75
5,2018-11-27-21-missouri,54.5,18,0.0,0,118.5,59.3,16,0.586,64,0.516,33,0.125,8,0.5,4,1,200,121.5,18.8,6,17,79,,12.3,8,0.406,26,0.34600000000000003,9,37.3,22,0.583,6.9,5,38,0.632,24,0.857,6,"November 27, 2018",42.3,11,2.6,1,121.5,81.3,26,0.63,50,0.52,26,0.4,20,0.7,14,3,200,118.5,40.7,11,14,77,,3.1,2,0.38,19,0.579,11,62.7,37,0.647,20.3,15,31,0.484,15,0.5,3,"Mizzou Arena, Columbia, Missouri",MISSOURI,Missouri,65.2,Away,TEMPLE,Temple,Missouri,sec,5,False,True,True,Home,False,11,15,50,37,59,9,24,64,0,1,34,75,264,0.4772727272727273,164,317,0.5173501577287066,40,75,279,0.4838709677419355,0.6
6,2018-12-02-15-missouri,47.4,9,23.5,8,106.7,60.5,23,0.55,40,0.475,19,0.575,23,0.7829999999999999,18,2,225,103.3,31.8,7,18,62,,8.3,5,0.5,20,0.3,6,50.0,30,0.609,20.6,13,20,0.65,13,0.75,6,"December 2, 2018",30.4,7,0.0,0,103.3,68.2,15,0.46,63,0.365,23,0.175,11,0.545,6,3,225,106.7,39.5,15,21,64,,10.0,6,0.46,29,0.414,12,50.0,30,0.469,12.8,10,34,0.324,11,0.5710000000000001,4,"Mizzou Arena, Columbia, Missouri",CENTRAL-FLORIDA,UCF,53.4,Home,MISSOURI,Missouri,Missouri,sec,6,True,False,True,Home,True,12,11,63,30,60,6,13,40,1,0,45,90,314,0.5015923566878981,201,376,0.5345744680851063,49,99,343,0.5029154518950437,0.5
7,2018-12-04-20-missouri,61.1,11,7.4,2,100.0,66.7,18,0.446,46,0.391,18,0.239,11,0.364,4,6,200,69.2,22.6,7,13,45,,9.2,6,0.391,18,0.278,5,43.1,25,0.439,29.2,21,28,0.46399999999999997,13,0.33299999999999996,3,"December 4, 2018",43.5,10,10.7,3,69.2,77.4,24,0.529,52,0.442,23,0.308,16,0.625,10,3,200,100.0,33.3,9,13,65,,12.3,8,0.48100000000000004,25,0.36,9,56.9,33,0.545,19.2,14,27,0.519,14,0.625,5,"Mizzou Arena, Columbia, Missouri",TEXAS-ARLINGTON,Texas-Arlington,64.9,Home,MISSOURI,Missouri,Missouri,sec,7,True,False,True,Home,True,9,14,52,33,58,5,13,46,1,0,57,101,377,0.4946949602122016,231,436,0.5298165137614679,55,112,383,0.5078328981723238,0.5714285714285714
8,2018-12-07-19-missouri,48.0,12,7.1,2,117.6,75.0,24,0.452,63,0.397,25,0.20600000000000002,13,0.5379999999999999,7,9,200,94.1,37.8,14,23,64,,2.9,2,0.33299999999999996,21,0.33299999999999996,7,55.1,38,0.46299999999999997,15.9,13,42,0.429,18,0.25,3,"December 7, 2018",38.5,10,7.1,3,94.1,62.2,23,0.593,54,0.48100000000000004,26,0.444,24,0.667,16,3,200,117.6,25.0,8,16,80,,4.4,3,0.48100000000000004,26,0.462,12,44.9,31,0.612,13.4,10,28,0.5,14,0.667,6,"Mizzou Arena, Columbia, Missouri",ORAL-ROBERTS,Oral Roberts,67.8,Home,MISSOURI,Missouri,Missouri,sec,8,True,False,True,Home,True,12,14,54,31,69,7,18,63,1,0,66,115,429,0.4988344988344988,264,494,0.5344129554655871,60,125,429,0.5011655011655012,0.625
9,2018-12-18-19-missouri,63.2,12,2.9,1,104.4,65.6,21,0.449,49,0.38799999999999996,19,0.429,21,0.5710000000000001,12,5,200,82.4,21.2,7,16,56,,7.4,5,0.38799999999999996,19,0.316,6,43.1,28,0.475,22.6,17,30,0.433,13,0.583,7,"December 18, 2018",46.2,12,10.0,3,82.4,78.8,26,0.517,58,0.44799999999999995,26,0.259,15,0.733,11,3,200,104.4,34.4,11,19,71,,13.2,9,0.397,23,0.348,8,56.9,37,0.545,16.8,13,35,0.514,18,0.7,7,"Mizzou Arena, Columbia, Missouri",XAVIER,Xavier,68.1,Home,MISSOURI,Missouri,Missouri,sec,9,True,False,True,Home,True,8,18,58,37,65,6,13,49,1,0,78,129,483,0.5093167701863354,295,563,0.5239786856127886,67,143,492,0.4949186991869919,0.6666666666666666
