,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MURRAY-STATE_homegame,MURRAY-STATE_homegame2,MURRAY-STATE_home,MURRAY-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-29-20-murray-state,43.3,13,9.3,4,126.4,79.4,27,0.485,67,0.44799999999999995,30,0.358,24,0.708,17,0,200,94.3,26.3,10,22,82,,6.9,6,0.284,19,0.263,5,51.4,37,0.523,18.8,18,48,0.521,25,0.0,0,"December 29, 2018",71.8,28,10.4,5,94.3,73.7,28,0.627,71,0.5489999999999999,39,0.423,30,0.7,21,2,200,126.4,20.6,7,20,110,,13.8,12,0.39399999999999996,28,0.39299999999999996,11,48.6,35,0.645,9.7,9,43,0.6509999999999999,28,0.818,9,"CFSB Center, Murray, Kentucky","Bethel (TN)
			","Bethel (TN)
			",86.8,Home,MURRAY-STATE,Murray State,Murray State,ovc,10,True,False,True,Home,True,11,28,71,35,72,5,25,67,1,0,81,198,580,0.5508620689655173,360,663,0.5429864253393665,46,165,556,0.420863309352518,0.8
11,2019-01-03-20-murray-state,45.8,11,0.0,0,126.8,58.1,18,0.517,58,0.414,24,0.345,20,0.45,9,10,200,97.2,29.3,12,12,69,,15.5,11,0.5,29,0.414,12,41.7,30,0.511,16.3,13,29,0.414,12,0.28600000000000003,4,"January 3, 2019",65.8,25,17.2,5,97.2,70.7,29,0.612,67,0.5670000000000001,38,0.16399999999999998,11,0.727,8,2,200,126.8,41.9,13,17,90,,12.7,9,0.22399999999999998,15,0.4,6,58.3,42,0.623,16.3,14,52,0.615,32,0.833,10,"CFSB Center, Murray, Kentucky",MOREHEAD-STATE,Morehead State,70.9,Home,MURRAY-STATE,Murray State,Murray State,ovc,11,True,False,True,Home,True,6,32,67,42,72,12,12,58,1,0,92,226,651,0.5591397849462365,395,735,0.5374149659863946,51,190,623,0.42776886035313,0.8181818181818182
12,2019-01-05-20-murray-state,33.3,10,4.2,2,112.8,61.8,21,0.493,67,0.44799999999999995,30,0.34299999999999997,23,0.826,19,8,200,98.8,25.7,9,22,85,,14.0,12,0.373,25,0.24,6,43.5,30,0.545,18.9,18,42,0.5710000000000001,24,0.467,7,"January 5, 2019",54.1,20,16.7,7,98.8,74.3,26,0.5870000000000001,69,0.536,37,0.348,24,0.667,16,2,200,112.8,38.2,13,18,97,,16.3,14,0.304,21,0.33299999999999996,7,56.5,39,0.603,18.5,18,48,0.625,30,0.846,11,"CFSB Center, Murray, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,86.2,Home,MURRAY-STATE,Murray State,Murray State,ovc,12,True,False,True,Home,True,7,30,69,39,69,6,24,67,1,0,98,258,718,0.564066852367688,437,807,0.5415117719950434,63,202,681,0.4353891336270191,0.8333333333333334
13,2019-01-10-20-tennessee-martin,66.7,24,14.0,6,102.7,61.8,21,0.63,69,0.522,36,0.203,14,0.7859999999999999,11,2,200,130.7,27.3,9,17,98,,12.0,9,0.449,31,0.484,15,44.8,30,0.648,9.6,8,38,0.5529999999999999,21,0.857,12,"January 10, 2019",65.5,19,15.8,6,130.7,72.7,24,0.49200000000000005,65,0.446,29,0.27699999999999997,18,0.722,13,9,200,102.7,38.2,13,15,77,,8.0,6,0.33799999999999997,22,0.273,6,55.2,37,0.523,17.1,15,43,0.535,23,0.35700000000000004,5,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-MARTIN,UT-Martin,75.1,Away,MURRAY-STATE,Murray State,Murray State,ovc,13,False,False,False,Away,True,15,21,69,30,67,6,23,65,1,0,105,288,787,0.5660736975857688,476,876,0.54337899543379,69,226,748,0.4405080213903743,0.8461538461538461
14,2019-01-12-17-southeast-missouri-state,63.6,21,3.0,1,100.0,82.8,24,0.595,63,0.524,33,0.23800000000000002,15,0.667,10,2,200,126.9,40.0,10,14,85,,6.0,4,0.429,27,0.33299999999999996,9,63.0,34,0.606,9.1,7,36,0.667,24,0.867,13,"January 12, 2019",37.5,9,5.6,2,126.9,60.0,15,0.5,55,0.436,24,0.273,15,0.8,12,11,200,100.0,17.2,5,17,67,,9.0,6,0.4,22,0.318,7,37.0,20,0.539,12.7,9,33,0.515,17,0.353,6,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,66.6,Away,MURRAY-STATE,Murray State,Murray State,ovc,14,False,False,False,Away,True,9,24,63,34,54,7,17,55,1,0,120,309,856,0.5712616822429907,506,943,0.5365853658536586,75,249,813,0.4446494464944649,0.8571428571428571
15,2019-01-17-20-eastern-illinois,50.0,17,14.3,6,83.6,76.7,33,0.5920000000000001,65,0.523,34,0.154,10,0.6,6,2,200,113.7,33.3,10,13,83,,11.0,8,0.32299999999999995,21,0.429,9,58.9,43,0.595,15.8,13,44,0.568,25,0.875,14,"January 17, 2019",58.3,14,11.4,5,113.7,66.7,20,0.424,66,0.364,24,0.19699999999999998,13,0.385,5,8,200,83.6,23.3,10,13,61,,9.6,7,0.364,24,0.33299999999999996,8,41.1,30,0.423,13.3,11,42,0.381,16,0.556,10,"Lantz Arena, Charleston, Illinois",EASTERN-ILLINOIS,Eastern Illinois,73.0,Away,MURRAY-STATE,Murray State,Murray State,ovc,15,False,False,False,Away,True,9,25,65,43,73,8,16,66,1,0,129,333,919,0.5729053318824809,540,997,0.5416248746238717,82,266,868,0.44815668202764974,0.8666666666666667
16,2019-01-19-20-southern-illinois-edwardsville,72.0,18,0.0,0,97.3,71.0,22,0.598,46,0.5429999999999999,25,0.674,31,0.871,27,2,200,110.8,13.6,3,18,82,,13.5,10,0.37,17,0.294,5,47.2,25,0.675,20.1,15,29,0.69,20,0.882,15,"January 19, 2019",34.6,9,3.4,1,110.8,86.4,19,0.444,63,0.413,26,0.254,16,1.0,16,13,200,97.3,29.0,9,24,72,,5.4,4,0.302,19,0.21100000000000002,4,52.8,28,0.51,16.7,14,44,0.5,22,0.278,5,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,74.2,Away,MURRAY-STATE,Murray State,Murray State,ovc,16,False,False,False,Away,True,5,20,46,25,53,4,22,63,1,0,138,358,984,0.5741869918699187,583,1070,0.5448598130841121,90,282,934,0.4464668094218415,0.875
17,2019-01-24-21-murray-state,60.6,20,14.7,5,93.0,69.6,32,0.589,62,0.532,33,0.161,10,0.6,6,4,200,111.3,12.1,4,19,79,,5.6,4,0.355,22,0.318,7,45.6,36,0.5920000000000001,10.8,8,40,0.65,26,0.778,14,"January 24, 2019",65.0,13,10.0,4,111.3,87.9,29,0.387,62,0.32299999999999995,20,0.452,28,0.643,18,3,200,93.0,30.4,14,14,66,,7.0,5,0.452,28,0.28600000000000003,8,54.4,43,0.43799999999999994,11.9,10,34,0.353,12,0.833,15,"CFSB Center, Murray, Kentucky",MURRAY-STATE,Murray State,71.0,Away,BELMONT,Belmont,Murray State,ovc,17,False,True,True,Home,False,8,12,62,43,79,7,26,62,0,1,143,378,1030,0.5752427184466019,608,1123,0.5414069456812111,94,304,997,0.4463390170511535,0.8823529411764706
18,2019-01-26-20-murray-state,38.1,8,5.3,2,144.9,53.6,15,0.418,55,0.382,21,0.4,22,0.727,16,15,200,89.9,37.8,14,29,62,,2.9,2,0.327,18,0.222,4,44.6,29,0.474,20.8,17,37,0.45899999999999996,17,0.25,5,"January 26, 2019",50.0,16,5.4,2,89.9,62.2,23,0.6,60,0.5329999999999999,32,0.6,36,0.778,28,3,200,144.9,46.4,13,21,100,,13.0,9,0.36700000000000005,22,0.364,8,55.4,36,0.649,6.2,5,38,0.632,24,0.8420000000000001,16,"CFSB Center, Murray, Kentucky",TENNESSEE-STATE,Tennessee State,68.8,Home,MURRAY-STATE,Murray State,Murray State,ovc,18,True,False,True,Home,True,8,24,60,36,65,4,17,55,1,0,151,390,1092,0.5645604395604396,651,1202,0.5415973377703827,101,330,1059,0.4546742209631728,0.8333333333333334
19,2019-01-31-20-jacksonville-state,50.0,12,4.3,2,122.2,70.4,19,0.45799999999999996,60,0.4,24,0.33299999999999996,20,0.65,13,4,200,94.4,22.9,8,17,68,,9.7,7,0.45,27,0.259,7,43.5,27,0.489,13.8,11,33,0.515,17,0.8,16,"January 31, 2019",38.9,14,12.1,4,94.4,77.1,27,0.621,62,0.581,36,0.258,16,0.688,11,6,200,122.2,29.6,8,16,88,,8.3,6,0.242,15,0.33299999999999996,5,56.5,35,0.632,12.7,10,47,0.66,31,0.727,16,"Pete Mathews Coliseum, Jacksonville, Alabama",MURRAY-STATE,Murray State,72.1,Home,JACKSONVILLE-STATE,Jacksonville State,Murray State,ovc,19,False,False,False,Away,False,7,17,60,27,62,5,31,62,0,1,159,414,1152,0.56640625,687,1267,0.5422257300710339,105,347,1114,0.4528725314183124,0.8421052631578947
20,2019-02-02-20-tennessee-tech,62.5,15,10.0,4,86.3,70.6,24,0.5,53,0.45299999999999996,24,0.396,21,0.667,14,4,200,91.8,25.0,8,17,67,,9.6,7,0.28300000000000003,15,0.33299999999999996,5,48.5,32,0.532,21.5,17,38,0.5,19,0.81,17,"February 2, 2019",52.4,11,10.5,4,91.8,75.0,24,0.41200000000000003,57,0.368,21,0.368,21,0.762,16,16,200,86.3,29.4,10,19,63,,8.2,6,0.298,17,0.294,5,51.5,34,0.47,20.4,17,40,0.4,16,0.304,7,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,73.0,Away,MURRAY-STATE,Murray State,Murray State,ovc,20,False,False,False,Away,True,5,19,53,32,66,5,16,57,1,0,166,431,1212,0.5610561056105611,714,1329,0.5372460496613995,110,378,1176,0.461734693877551,0.8
21,2019-02-07-20-murray-state,53.6,15,17.9,7,117.8,72.2,26,0.5479999999999999,62,0.452,28,0.145,9,0.778,7,11,200,102.7,22.9,8,20,75,,9.6,7,0.46799999999999997,29,0.414,12,47.9,34,0.5660000000000001,16.5,13,33,0.485,16,0.542,13,"February 7, 2019",58.6,17,12.1,4,102.7,77.1,27,0.515,65,0.446,29,0.369,24,0.792,19,4,200,117.8,27.8,10,10,86,,11.0,8,0.4,26,0.34600000000000003,9,52.1,37,0.563,9.6,8,39,0.513,20,0.818,18,"CFSB Center, Murray, Kentucky",EASTERN-ILLINOIS,Eastern Illinois,72.8,Home,MURRAY-STATE,Murray State,Murray State,ovc,21,True,False,True,Home,True,9,20,65,37,71,12,16,62,1,0,171,450,1265,0.558498023715415,746,1395,0.5347670250896057,115,394,1233,0.45944849959448497,0.8095238095238095
22,2019-02-09-20-murray-state,55.6,10,8.3,4,119.4,58.8,20,0.387,53,0.34,18,0.264,14,1.0,14,16,200,76.4,19.4,6,18,55,,8.3,6,0.377,20,0.25,5,40.0,26,0.461,22.3,17,33,0.39399999999999996,13,0.33299999999999996,8,"February 9, 2019",50.0,18,15.2,5,76.4,80.6,25,0.5660000000000001,68,0.529,36,0.235,16,0.563,9,4,200,119.4,41.2,14,12,86,,15.3,11,0.294,20,0.25,5,60.0,39,0.569,12.8,11,48,0.6459999999999999,31,0.826,19,"CFSB Center, Murray, Kentucky",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,71.6,Home,MURRAY-STATE,Murray State,Murray State,ovc,22,True,False,True,Home,True,5,31,68,39,65,5,13,53,1,0,180,470,1330,0.556390977443609,783,1466,0.534106412005457,127,410,1295,0.4637065637065637,0.8181818181818182
23,2019-02-14-21-austin-peay,39.3,11,14.3,6,109.2,71.4,25,0.534,58,0.483,28,0.24100000000000002,14,0.7859999999999999,11,4,200,112.3,30.0,9,14,73,,4.6,3,0.345,20,0.3,6,52.3,34,0.565,12.3,9,38,0.579,22,0.833,20,"February 14, 2019",25.9,7,5.3,2,112.3,70.0,21,0.484,63,0.429,27,0.222,14,0.7140000000000001,10,8,200,109.2,28.6,10,11,71,,4.6,3,0.33299999999999996,21,0.33299999999999996,7,47.7,31,0.51,6.7,5,42,0.47600000000000003,20,0.6920000000000001,18,"Winfield Dunn Center, Clarksville, Tennessee",AUSTIN-PEAY,Austin Peay,64.7,Away,MURRAY-STATE,Murray State,Murray State,ovc,23,False,False,False,Away,True,6,22,58,34,65,7,20,63,1,0,185,501,1398,0.5568669527896996,822,1531,0.5369039843239712,132,423,1348,0.4606824925816024,0.8260869565217391
24,2019-02-16-19-eastern-kentucky,51.4,19,6.7,3,87.5,65.0,26,0.6890000000000001,61,0.607,37,0.377,23,0.7829999999999999,18,4,200,127.5,34.8,8,15,102,,12.5,10,0.377,23,0.435,10,54.0,34,0.7090000000000001,19.3,17,38,0.711,27,0.84,21,"February 16, 2019",50.0,12,5.3,2,127.5,65.2,15,0.40399999999999997,68,0.353,24,0.221,15,1.0,15,16,200,87.5,35.0,14,19,70,,6.3,5,0.33799999999999997,23,0.304,7,46.0,29,0.466,18.6,17,45,0.37799999999999995,17,0.40700000000000003,11,"McBrayer Arena, Richmond, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,79.5,Away,MURRAY-STATE,Murray State,Murray State,ovc,24,False,False,False,Away,True,10,27,61,34,63,7,17,68,1,0,191,523,1456,0.5559752747252747,856,1596,0.5363408521303258,139,443,1411,0.4617292700212615,0.8333333333333334
25,2019-02-21-20-murray-state,50.0,14,0.0,0,123.2,76.7,23,0.5,63,0.444,28,0.222,14,0.857,12,16,200,108.7,30.3,10,19,75,,4.3,3,0.365,23,0.304,7,52.4,33,0.5379999999999999,11.5,9,40,0.525,21,0.385,10,"February 21, 2019",56.7,17,10.0,4,108.7,69.7,23,0.551,59,0.508,30,0.441,26,0.769,20,4,200,123.2,23.3,7,13,85,,8.7,6,0.373,22,0.22699999999999998,5,47.6,30,0.596,6.6,5,37,0.6759999999999999,25,0.846,22,"CFSB Center, Murray, Kentucky",TENNESSEE-MARTIN,UT-Martin,69.0,Home,MURRAY-STATE,Murray State,Murray State,ovc,25,True,False,True,Home,True,5,25,59,30,63,7,21,63,1,0,201,550,1517,0.561305207646671,890,1659,0.5364677516576251,146,460,1479,0.45909398242055444,0.84
26,2019-02-23-20-murray-state,52.2,12,6.1,3,143.1,60.7,17,0.483,58,0.397,23,0.22399999999999998,13,0.846,11,20,200,93.1,25.0,8,16,67,,6.9,5,0.397,23,0.435,10,41.7,25,0.522,19.1,15,35,0.371,13,0.31,9,"February 23, 2019",68.3,28,11.4,4,93.1,75.0,24,0.639,72,0.569,41,0.16699999999999998,12,0.917,11,4,200,143.1,39.3,11,14,103,,12.5,9,0.319,23,0.435,10,58.3,35,0.6629999999999999,7.2,6,49,0.633,31,0.852,23,"CFSB Center, Murray, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,71.9,Home,MURRAY-STATE,Murray State,Murray State,ovc,26,True,False,True,Home,True,10,31,72,35,60,10,13,58,1,0,206,575,1576,0.5609137055837563,920,1722,0.5342624854819977,153,481,1542,0.4607652399481193,0.8461538461538461
