,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DETROIT-MERCY_homegame,DETROIT-MERCY_homegame2,DETROIT-MERCY_home,DETROIT-MERCY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-western-michigan,40.0,10,2.4,1,117.1,46.3,19,0.436,70,0.35700000000000004,25,0.386,27,0.556,15,1,200,100.0,28.9,13,22,76,,9.2,7,0.47100000000000003,33,0.33299999999999996,11,37.2,32,0.45899999999999996,9.9,9,37,0.37799999999999995,14,0.0,0,"November 6, 2018",64.5,20,13.5,5,100.0,71.1,32,0.53,66,0.47,31,0.424,28,0.679,19,0,200,117.1,53.7,22,21,89,,3.9,3,0.364,24,0.33299999999999996,8,62.8,54,0.561,16.1,15,42,0.5479999999999999,23,1.0,1,"University Arena, Kalamazoo, Michigan",DETROIT-MERCY,Detroit,75.6,Home,WESTERN-MICHIGAN,Western Michigan,Detroit Mercy,horizon,0,False,False,False,Away,False,11,14,70,32,86,8,23,66,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-temple,48.0,12,5.7,2,115.3,51.7,15,0.5670000000000001,52,0.48100000000000004,25,0.25,13,0.615,8,2,200,93.1,23.1,6,16,67,,11.1,8,0.48100000000000004,25,0.36,9,38.2,21,0.5760000000000001,24.8,19,27,0.593,16,0.0,0,"November 9, 2018",62.1,18,7.4,2,93.1,76.9,20,0.556,62,0.46799999999999997,29,0.32299999999999995,20,0.7,14,0,200,115.3,48.3,14,18,83,,15.3,11,0.435,27,0.40700000000000003,11,61.8,34,0.58,18.4,16,35,0.514,18,1.0,2,"Liacouras Center, Philadelphia, Pennsylvania",DETROIT-MERCY,Detroit,72.3,Home,TEMPLE,Temple,Detroit Mercy,horizon,1,False,False,False,Away,False,9,16,52,21,55,11,18,62,0,1,11,14,70,0.4357142857142857,32,86,0.37209302325581395,8,23,66,0.5303030303030303,0.0
2,2018-11-12-18-butler,26.1,6,0.0,0,113.5,82.1,23,0.5,52,0.442,23,0.385,20,0.55,11,3,200,85.1,20.0,6,20,63,,10.8,8,0.308,16,0.375,6,50.0,29,0.512,22.8,18,36,0.47200000000000003,17,0.0,0,"November 12, 2018",62.1,18,5.6,2,85.1,80.0,24,0.58,56,0.518,29,0.41100000000000003,23,0.826,19,0,200,113.5,17.9,5,22,84,,6.8,5,0.46399999999999997,26,0.26899999999999996,7,50.0,29,0.628,16.4,13,30,0.733,22,1.0,2,"Hinkle Fieldhouse, Indianapolis, Indiana",DETROIT-MERCY,Detroit,74.2,Home,BUTLER,Butler,Detroit Mercy,horizon,2,False,False,False,Away,False,6,17,52,29,58,7,22,56,0,1,20,30,122,0.4918032786885246,53,141,0.375886524822695,19,41,128,0.54296875,0.0
3,2018-11-19-19-detroit-mercy,91.7,22,5.7,2,130.0,64.5,20,0.42700000000000005,62,0.387,24,0.21,13,0.769,10,4,200,90.0,28.6,10,18,63,,8.6,6,0.40299999999999997,25,0.2,5,45.5,30,0.462,17.1,14,37,0.514,19,0.2,1,"November 19, 2018",51.5,17,13.5,5,90.0,71.4,25,0.659,63,0.524,33,0.19,12,0.667,8,3,200,130.0,35.5,11,14,91,,10.0,7,0.444,28,0.607,17,54.5,36,0.662,12.8,10,35,0.457,16,0.25,1,"Calihan Hall, Detroit, Michigan",LOYOLA-MD,Loyola (MD),69.9,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,3,True,False,True,Home,True,17,16,63,36,66,5,19,62,1,0,26,47,174,0.4942528735632184,82,199,0.4120603015075377,26,63,184,0.5543478260869565,0.0
4,2018-11-20-19-detroit-mercy,48.1,13,17.9,5,110.8,90.3,28,0.39899999999999997,74,0.365,27,0.135,10,0.8,8,3,200,90.5,34.9,15,18,67,,2.7,2,0.311,23,0.217,5,58.1,43,0.425,12.3,11,51,0.431,22,0.5,3,"November 20, 2018",44.0,11,15.7,8,90.5,65.1,28,0.591,55,0.455,25,0.436,24,0.708,17,3,200,110.8,9.7,3,12,82,,9.5,7,0.491,27,0.556,15,41.9,31,0.617,12.1,9,28,0.35700000000000004,10,0.4,2,"Calihan Hall, Detroit, Michigan",BOWLING-GREEN-STATE,Bowling Green State,73.6,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,4,True,False,True,Home,True,15,10,55,31,74,5,22,74,1,0,43,63,237,0.5379746835443038,118,265,0.44528301886792454,31,82,246,0.5223577235772358,0.25
5,2018-11-24-14-eastern-michigan,73.1,19,7.5,3,110.4,48.7,19,0.54,62,0.419,26,0.226,14,0.7859999999999999,11,3,200,116.4,28.1,9,18,78,,9.0,6,0.484,30,0.5,15,39.4,28,0.568,9.3,7,32,0.344,11,0.5,3,"November 24, 2018",64.3,18,12.5,4,116.4,71.9,23,0.46299999999999997,67,0.418,28,0.32799999999999996,22,0.545,12,3,200,110.4,51.3,20,16,74,,6.0,4,0.40299999999999997,27,0.222,6,60.6,43,0.478,11.5,10,40,0.55,22,0.5710000000000001,4,"Convocation Center, Ypsilanti, Michigan",EASTERN-MICHIGAN,Eastern Michigan,67.1,Away,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,5,False,False,False,Away,True,15,11,62,28,71,6,22,67,1,0,58,73,292,0.547945205479452,149,339,0.43952802359882004,36,104,320,0.49375,0.4
6,2018-11-28-19-detroit-mercy,69.6,16,2.5,1,102.9,61.1,22,0.452,62,0.371,23,0.387,24,0.833,20,1,200,108.6,48.5,16,16,76,,10.0,7,0.5,31,0.32299999999999995,10,55.1,38,0.518,16.2,14,31,0.419,13,0.857,6,"November 28, 2018",34.6,9,9.7,3,108.6,51.5,17,0.45299999999999996,64,0.406,26,0.281,18,0.778,14,4,200,102.9,38.9,14,17,72,,15.7,11,0.375,24,0.25,6,44.9,31,0.496,12.2,10,40,0.5,20,0.429,3,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,70.0,Away,KENT-STATE,Kent State,Detroit Mercy,horizon,6,False,True,True,Home,False,6,20,64,31,69,10,13,62,0,1,73,84,354,0.5466101694915254,177,410,0.4317073170731707,42,126,387,0.4883720930232558,0.5
7,2018-12-01-17-akron,20.0,4,9.4,3,101.4,75.0,24,0.371,66,0.303,20,0.212,14,0.7140000000000001,10,5,200,84.3,25.6,11,22,59,,10.0,7,0.53,35,0.257,9,46.7,35,0.406,8.8,7,31,0.355,11,0.375,3,"December 1, 2018",75.0,18,19.4,6,84.3,74.4,32,0.5,56,0.429,24,0.39299999999999996,22,0.682,15,2,200,101.4,25.0,8,16,71,,2.9,2,0.429,24,0.33299999999999996,8,53.3,40,0.534,16.5,13,32,0.5,16,0.75,6,"James A. Rhodes Arena, Akron, Ohio",DETROIT-MERCY,Detroit,70.1,Home,AKRON,Akron,Detroit Mercy,horizon,7,False,False,False,Away,False,9,11,66,35,75,8,16,56,0,1,79,104,418,0.5322966507177034,208,479,0.4342379958246347,52,139,449,0.48329621380846327,0.42857142857142855
8,2018-12-04-19-dayton,56.5,13,2.8,1,134.2,72.2,13,0.415,65,0.354,23,0.138,9,0.556,5,6,200,80.8,20.0,8,20,59,,12.3,9,0.49200000000000005,32,0.25,8,36.2,21,0.426,13.8,11,33,0.455,15,0.33299999999999996,3,"December 4, 2018",81.1,30,6.1,2,80.8,80.0,32,0.769,54,0.685,37,0.40700000000000003,22,0.682,15,3,200,134.2,27.8,5,9,98,,8.2,6,0.33299999999999996,18,0.5,9,63.8,37,0.76,19.1,15,36,0.778,28,0.625,5,"University of Dayton Arena, Dayton, Ohio",DETROIT-MERCY,Detroit,73.4,Home,DAYTON,Dayton,Detroit Mercy,horizon,8,False,False,False,Away,False,8,15,65,21,58,9,28,54,0,1,88,115,484,0.5103305785123967,243,554,0.43862815884476536,60,155,505,0.48514851485148514,0.375
9,2018-12-05-19-toledo,40.9,9,22.6,7,138.4,56.0,14,0.377,69,0.319,22,0.159,11,0.455,5,7,200,78.1,18.8,9,19,57,,5.5,4,0.304,21,0.381,8,31.5,23,0.384,8.7,7,48,0.292,14,0.3,3,"December 5, 2018",81.8,27,10.4,5,78.1,81.3,39,0.625,64,0.516,33,0.359,23,0.9129999999999999,21,1,200,138.4,44.0,11,12,101,,2.7,2,0.516,33,0.424,14,68.5,50,0.674,10.8,9,31,0.613,19,0.889,8,"John F. Savage Hall, Toledo, Ohio",DETROIT-MERCY,Detroit,72.6,Home,TOLEDO,Toledo,Detroit Mercy,horizon,9,False,False,False,Away,False,8,14,69,23,73,14,19,64,0,1,96,130,549,0.4990892531876138,264,612,0.43137254901960786,69,183,559,0.5125223613595706,0.3333333333333333
