,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NOTRE-DAME_homegame,NOTRE-DAME_homegame2,NOTRE-DAME_home,NOTRE-DAME_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-notre-dame,37.5,9,0.0,0,107.7,57.1,24,0.42200000000000004,64,0.375,24,0.313,20,0.65,13,1,201,85.9,21.4,9,28,67,,12.8,10,0.45299999999999996,29,0.207,6,39.3,33,0.456,15.2,13,35,0.514,18,0.0,0,"November 6, 2018",45.5,10,20.0,7,85.9,78.6,33,0.387,62,0.355,22,0.613,38,0.9470000000000001,36,0,201,107.7,42.9,18,21,84,,5.1,4,0.355,22,0.182,4,60.7,51,0.525,16.9,16,40,0.45,18,1.0,1,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",ILLINOIS-CHICAGO,UIC,77.4,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,0,True,False,True,Home,True,4,18,62,51,84,6,18,64,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-19-notre-dame,55.0,11,0.0,0,132.8,57.5,23,0.46799999999999997,47,0.426,20,0.489,23,0.7829999999999999,18,2,200,92.5,17.9,5,20,62,,4.5,3,0.298,14,0.28600000000000003,4,41.2,28,0.535,17.4,12,33,0.485,16,0.0,0,"November 8, 2018",58.1,18,9.1,3,92.5,82.1,23,0.528,71,0.43700000000000006,31,0.268,19,0.737,14,0,200,132.8,42.5,17,18,89,,7.5,5,0.563,40,0.325,13,58.8,40,0.556,7.0,6,31,0.581,18,1.0,2,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",CHICAGO-STATE,Chicago State,67.0,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,1,True,False,True,Home,True,13,18,71,40,68,4,16,47,1,0,4,18,62,0.3870967741935484,51,84,0.6071428571428571,6,18,64,0.421875,1.0
2,2018-11-14-19-notre-dame,33.3,8,6.3,2,98.4,76.9,30,0.5,57,0.42100000000000004,24,0.12300000000000001,7,0.857,6,0,200,103.3,27.6,8,11,63,,4.9,3,0.42100000000000004,24,0.375,9,55.9,38,0.522,13.0,9,33,0.455,15,1.0,3,"November 14, 2018",40.9,9,18.2,6,103.3,72.4,21,0.434,61,0.361,22,0.16399999999999998,10,0.7,7,1,200,98.4,23.1,9,10,60,,8.2,5,0.475,29,0.31,9,44.1,30,0.456,5.8,4,32,0.406,13,0.667,2,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,61.0,Away,RADFORD,Radford,Notre Dame,acc,2,False,True,True,Home,False,9,13,61,30,68,9,15,57,0,1,17,36,133,0.462406015037594,91,152,0.5986842105263158,10,34,111,0.44144144144144143,1.0
3,2018-11-17-12-notre-dame,72.7,16,2.3,1,107.4,65.8,25,0.552,48,0.45799999999999996,22,0.271,13,0.846,11,3,200,94.1,7.7,2,20,64,,7.4,5,0.542,26,0.34600000000000003,9,42.2,27,0.591,22.9,16,22,0.591,13,0.25,1,"November 17, 2018",38.5,10,13.6,3,94.1,92.3,24,0.452,63,0.413,26,0.365,23,0.696,16,1,200,107.4,34.2,13,13,73,,14.7,10,0.317,20,0.25,5,57.8,37,0.494,8.7,7,43,0.488,21,0.75,3,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",WILLIAM-MARY,William & Mary,68.1,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,3,True,False,True,Home,True,5,21,63,37,64,9,13,48,1,0,26,49,194,0.4536082474226804,121,220,0.55,19,49,168,0.46130952380952384,0.6666666666666666
4,2018-11-20-19-notre-dame,52.4,11,8.6,3,104.7,51.5,17,0.4,60,0.35,21,0.16699999999999998,10,0.8,8,1,200,87.5,36.4,12,20,56,,4.7,3,0.45,27,0.222,6,43.9,29,0.43200000000000005,18.9,15,33,0.455,15,0.75,3,"November 20, 2018",68.2,15,30.3,10,87.5,63.6,21,0.43200000000000005,59,0.373,22,0.35600000000000004,21,0.762,16,1,200,104.7,48.5,16,12,67,,9.4,6,0.40700000000000003,24,0.292,7,56.1,37,0.486,10.5,8,35,0.429,15,0.8,4,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",DUQUESNE,Duquesne,64.4,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,4,True,False,True,Home,True,7,15,59,37,66,6,15,60,1,0,31,70,257,0.45330739299610895,158,284,0.5563380281690141,28,62,216,0.48148148148148145,0.75
5,2018-11-24-12-notre-dame,46.2,12,3.0,1,126.7,75.9,22,0.484,61,0.426,26,0.27899999999999997,17,0.647,11,1,200,93.3,20.5,8,19,70,,8.0,6,0.377,23,0.304,7,44.1,30,0.507,16.0,13,38,0.5,19,0.75,3,"November 24, 2018",42.4,14,5.3,2,93.3,79.5,31,0.6579999999999999,60,0.55,33,0.35,21,0.762,16,1,200,126.7,24.1,7,19,95,,6.7,5,0.45,27,0.48100000000000004,13,55.9,38,0.679,14.8,12,33,0.606,20,0.833,5,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",DEPAUL,DePaul,74.5,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,5,True,False,True,Home,True,13,20,60,38,68,7,19,61,1,0,38,85,316,0.44936708860759494,195,350,0.5571428571428572,34,77,276,0.463768115942029,0.8
6,2018-11-27-19-notre-dame,65.4,17,6.5,2,105.6,71.9,23,0.47700000000000004,64,0.406,26,0.23399999999999999,15,0.867,13,5,200,102.8,36.8,14,26,74,,11.1,8,0.375,24,0.375,9,52.9,37,0.52,15.6,13,40,0.425,17,0.28600000000000003,2,"November 27, 2018",47.8,11,25.0,10,102.8,63.2,24,0.52,50,0.46,23,0.78,39,0.615,24,1,200,105.6,28.1,9,18,76,,11.1,8,0.38,19,0.316,6,47.1,33,0.555,17.2,14,31,0.5479999999999999,17,0.857,6,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",ILLINOIS,Illinois,71.8,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,6,True,False,True,Home,True,6,17,50,33,70,9,17,64,1,0,51,105,376,0.48271276595744683,233,418,0.5574162679425837,41,96,337,0.46735905044510384,0.8333333333333334
7,2018-12-04-19-notre-dame,59.4,19,8.2,4,106.7,72.7,32,0.581,68,0.47100000000000003,32,0.11800000000000001,8,0.75,6,1,200,113.3,19.4,7,18,85,,4.0,3,0.426,29,0.517,15,48.8,39,0.5920000000000001,13.3,11,39,0.436,17,0.875,7,"December 4, 2018",41.9,13,7.7,3,113.3,80.6,29,0.466,74,0.419,31,0.257,19,0.579,11,2,200,106.7,27.3,12,13,80,,9.3,7,0.33799999999999997,25,0.28,7,51.3,41,0.48200000000000004,3.5,3,49,0.49,24,0.75,6,"Madison Square Garden (IV), New York, New York",NOTRE-DAME,Notre Dame,74.9,Away,OKLAHOMA,Oklahoma,Notre Dame,acc,7,False,True,True,Home,False,7,24,74,41,80,15,17,68,0,1,57,122,426,0.48708920187793425,266,488,0.5450819672131147,50,113,401,0.4688279301745636,0.8571428571428571
8,2018-12-08-22-ucla,66.7,16,13.3,6,90.3,65.9,29,0.424,66,0.364,24,0.106,7,0.857,6,3,200,86.1,20.0,8,13,62,,9.7,7,0.379,25,0.32,8,44.0,37,0.447,11.5,9,41,0.39,16,0.667,6,"December 8, 2018",70.8,17,12.2,5,86.1,80.0,32,0.40700000000000003,70,0.34299999999999997,24,0.214,15,0.5329999999999999,8,2,200,90.3,34.1,15,12,65,,4.2,3,0.35700000000000004,25,0.36,9,56.0,47,0.42100000000000004,13.5,12,45,0.33299999999999996,15,0.778,7,"Pauley Pavilion, Los Angeles, California",NOTRE-DAME,Notre Dame,72.2,Home,UCLA,UCLA,Notre Dame,acc,8,False,False,False,Away,False,8,16,66,37,84,9,15,70,0,1,64,146,500,0.484,307,568,0.5404929577464789,65,130,469,0.48507462686567165,0.75
9,2018-12-15-13-purdue,76.9,20,9.8,4,111.1,70.0,28,0.63,50,0.52,26,0.58,29,0.862,25,3,200,122.2,3.8,1,15,88,,8.3,6,0.42,21,0.524,11,43.9,29,0.69,11.3,8,29,0.517,15,0.7,7,"December 15, 2018",56.7,17,6.9,2,122.2,96.2,25,0.493,70,0.429,30,0.257,18,0.611,11,5,200,111.1,30.0,12,21,80,,6.9,5,0.414,29,0.31,9,56.1,37,0.509,8.2,7,41,0.512,21,0.545,6,"Bankers Life Fieldhouse, Indianapolis, Indiana",PURDUE,Purdue,72.2,Away,NOTRE-DAME,Notre Dame,Notre Dame,acc,9,False,False,False,Away,True,11,15,50,29,66,9,21,70,1,0,72,162,566,0.47703180212014135,344,652,0.5276073619631901,74,145,539,0.4749536178107607,0.6666666666666666
