,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WISCONSIN_homegame,WISCONSIN_homegame2,WISCONSIN_home,WISCONSIN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-wisconsin,42.9,9,10.3,3,121.4,67.6,23,0.449,59,0.35600000000000004,21,0.271,16,0.625,10,1,194,90.0,21.9,7,26,63,,4.3,3,0.49200000000000005,29,0.379,11,45.5,30,0.473,17.5,14,30,0.33299999999999996,10,0.0,0,"November 6, 2018",68.0,17,26.7,8,90.0,78.1,25,0.508,61,0.41,25,0.426,26,0.885,23,0,194,121.4,32.4,11,15,85,,5.7,4,0.525,32,0.375,12,54.5,36,0.579,6.5,5,29,0.44799999999999995,13,1.0,1,"Kohl Center, Madison, Wisconsin",COPPIN-STATE,Coppin State,72.7,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,0,True,False,True,Home,True,12,13,61,36,66,11,10,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-18-xavier,45.2,14,11.4,4,103.0,77.1,27,0.573,62,0.5,31,0.21,13,0.462,6,0,200,116.7,35.3,12,15,77,,6.1,4,0.258,16,0.563,9,56.5,39,0.565,9.4,7,46,0.478,22,1.0,2,"November 13, 2018",37.0,10,8.7,4,116.7,64.7,22,0.5,59,0.45799999999999996,27,0.271,16,0.563,9,1,200,103.0,22.9,8,17,68,,4.5,3,0.40700000000000003,24,0.20800000000000002,5,43.5,30,0.511,13.2,10,35,0.629,22,0.667,2,"Cintas Center, Cincinnati, Ohio",XAVIER,Xavier,65.9,Away,WISCONSIN,Wisconsin,Wisconsin,big-ten,1,False,False,False,Away,True,9,22,62,39,69,5,22,59,1,0,12,13,61,0.5081967213114754,36,66,0.5454545454545454,11,10,59,0.4491525423728814,1.0
2,2018-11-17-20-wisconsin,31.8,7,2.5,1,129.7,73.9,17,0.447,57,0.386,22,0.21100000000000002,12,0.667,8,2,200,79.7,12.9,4,25,59,,5.4,4,0.386,22,0.318,7,38.9,21,0.47,19.4,15,35,0.429,15,0.33299999999999996,1,"November 17, 2018",51.4,18,11.4,4,79.7,87.1,27,0.664,58,0.603,35,0.431,25,0.76,19,0,200,129.7,26.1,6,14,96,,8.1,6,0.31,18,0.389,7,61.1,33,0.687,12.7,10,40,0.7,28,1.0,3,"Kohl Center, Madison, Wisconsin",HOUSTON-BAPTIST,Houston Baptist,73.8,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,2,True,False,True,Home,True,7,28,58,33,54,7,15,57,1,0,21,35,123,0.540650406504065,75,135,0.5555555555555556,16,32,118,0.4745762711864407,1.0
3,2018-11-21-14-wisconsin,56.3,9,13.0,6,88.6,81.3,26,0.28800000000000003,59,0.271,16,0.322,19,0.632,12,2,200,65.7,18.6,8,21,46,,4.3,3,0.305,18,0.111,2,45.3,34,0.33799999999999997,14.0,11,41,0.341,14,0.5,2,"November 21, 2018",8.7,2,26.8,11,65.7,81.4,35,0.435,54,0.426,23,0.35200000000000004,19,0.789,15,0,200,88.6,18.8,6,16,62,25.0,7.1,5,0.14800000000000002,8,0.125,1,54.7,41,0.49200000000000005,15.0,11,46,0.478,22,1.0,4,"Imperial Arena at Atlantis Resort, Paradise Island",STANFORD,Stanford,69.5,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,3,True,False,True,Home,True,1,22,54,41,75,2,14,59,1,0,28,63,181,0.580110497237569,108,189,0.5714285714285714,23,47,175,0.4657142857142857,1.0
4,2018-11-22-13-oklahoma,57.1,16,7.9,3,90.6,72.4,21,0.593,59,0.475,28,0.18600000000000003,11,0.727,8,0,200,121.9,28.0,7,12,78,25.0,12.5,8,0.373,22,0.636,14,51.9,28,0.607,9.9,7,37,0.37799999999999995,14,1.0,5,"November 22, 2018",29.2,7,18.9,7,121.9,72.0,18,0.52,51,0.47100000000000003,24,0.21600000000000003,11,0.455,5,1,200,90.6,27.6,8,14,58,,7.8,5,0.255,13,0.385,5,48.1,26,0.516,21.2,15,38,0.5,19,0.8,4,"Imperial Arena at Atlantis Resort, Paradise Island",OKLAHOMA,Oklahoma,63.7,Away,WISCONSIN,Wisconsin,Wisconsin,big-ten,4,False,False,False,Away,True,14,14,59,28,54,5,19,51,1,0,29,85,235,0.5468085106382978,149,264,0.5643939393939394,25,61,234,0.42094017094017094,1.0
5,2018-11-23-14-wisconsin,50.0,10,5.4,2,79.3,84.6,22,0.40700000000000003,54,0.37,20,0.222,12,0.75,9,0,200,91.4,18.2,6,9,53,4.0,15.5,9,0.315,17,0.235,4,47.5,28,0.444,7.8,5,37,0.43200000000000005,16,1.0,6,"November 23, 2018",61.9,13,13.5,5,91.4,81.8,27,0.45799999999999996,48,0.43799999999999994,21,0.063,3,0.667,2,1,200,79.3,15.4,4,11,46,25.0,6.9,4,0.22899999999999998,11,0.182,2,52.5,31,0.465,18.2,11,37,0.514,19,0.833,5,"Imperial Arena at Atlantis Resort, Paradise Island",WISCONSIN,Wisconsin,57.6,Away,VIRGINIA,Virginia,Wisconsin,big-ten,5,False,True,True,Home,False,2,19,48,31,59,4,16,54,0,1,43,99,294,0.5561224489795918,177,318,0.5566037735849056,30,80,285,0.43859649122807015,1.0
6,2018-11-27-21-wisconsin,29.0,9,5.6,2,111.3,78.1,25,0.523,66,0.47,31,0.121,8,0.75,6,1,200,105.6,29.0,9,24,75,,7.0,5,0.273,18,0.389,7,54.0,34,0.537,13.7,11,48,0.5,24,0.857,6,"November 27, 2018",57.1,16,8.3,4,105.6,71.0,22,0.588,57,0.491,28,0.35100000000000003,20,0.6,12,1,200,111.3,21.9,7,12,79,22.0,4.2,3,0.368,21,0.524,11,46.0,29,0.594,13.2,10,36,0.47200000000000003,17,0.857,6,"Kohl Center, Madison, Wisconsin",NORTH-CAROLINA-STATE,NC State,70.7,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,6,True,False,True,Home,True,11,17,57,29,63,7,24,66,1,0,45,118,342,0.5423976608187134,208,377,0.5517241379310345,34,96,339,0.4336283185840708,0.8333333333333334
7,2018-11-30-20-iowa,48.1,13,2.9,1,97.1,71.1,27,0.5539999999999999,56,0.48200000000000004,27,0.25,14,0.7140000000000001,10,1,200,105.9,12.9,4,24,72,22.0,7.4,5,0.429,24,0.33299999999999996,8,44.9,31,0.575,12.6,9,32,0.594,19,0.875,7,"November 30, 2018",39.1,9,12.5,4,105.9,87.1,27,0.441,59,0.39,23,0.322,19,0.737,14,1,200,97.1,28.9,11,16,66,14.0,2.9,2,0.40700000000000003,24,0.25,6,55.1,38,0.485,14.0,11,35,0.486,17,0.857,6,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA,Iowa,67.8,Away,WISCONSIN,Wisconsin,Wisconsin,big-ten,7,False,False,False,Away,True,8,19,56,31,69,6,17,59,1,0,56,135,399,0.5488721804511278,237,440,0.5386363636363637,41,120,405,0.44814814814814813,0.8571428571428571
8,2018-12-03-20-wisconsin,37.0,10,5.0,2,109.5,84.0,21,0.509,58,0.466,27,0.10300000000000001,6,0.833,5,3,200,101.6,16.0,4,19,64,,4.8,3,0.276,16,0.313,5,50.0,25,0.526,11.7,8,42,0.524,22,0.625,5,"December 3, 2018",24.1,7,2.4,1,101.6,84.0,21,0.583,54,0.537,29,0.24100000000000002,13,0.462,6,1,200,109.5,16.0,4,11,69,12.0,6.3,4,0.259,14,0.35700000000000004,5,50.0,25,0.573,7.7,5,40,0.6,24,0.889,8,"Kohl Center, Madison, Wisconsin",RUTGERS,Rutgers,63.0,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,8,True,False,True,Home,True,5,24,54,25,50,5,22,58,1,0,64,154,455,0.5494505494505495,268,509,0.5265225933202358,47,137,464,0.44719827586206895,0.875
9,2018-12-08-17-marquette,55.6,15,4.3,2,97.4,72.7,32,0.546,54,0.5,27,0.389,21,0.47600000000000003,10,2,225,90.8,7.1,2,21,69,12.0,5.3,4,0.444,24,0.20800000000000002,5,47.2,34,0.539,15.9,12,30,0.733,22,0.8,8,"December 8, 2018",47.8,11,13.3,4,90.8,92.9,26,0.4,65,0.354,23,0.523,34,0.647,22,2,225,97.4,27.3,12,18,74,,6.6,5,0.27699999999999997,18,0.33299999999999996,6,52.8,38,0.456,9.1,8,47,0.36200000000000004,17,0.8,8,"Fiserv Forum, Milwaukee, Wisconsin",WISCONSIN,Wisconsin,67.2,Home,MARQUETTE,Marquette,Wisconsin,big-ten,9,False,False,False,Away,False,5,22,54,34,72,6,17,65,0,1,69,178,509,0.5530451866404715,293,559,0.5241502683363148,52,159,522,0.4540229885057471,0.8888888888888888
10,2018-12-13-20-wisconsin,66.7,16,6.3,2,144.3,56.7,17,0.49200000000000005,60,0.4,24,0.033,2,0.5,1,9,200,85.7,9.1,3,15,60,,7.1,5,0.65,39,0.282,11,31.7,20,0.49200000000000005,17.6,13,21,0.619,13,0.25,3,"December 13, 2018",75.7,28,9.5,2,85.7,90.9,30,0.682,66,0.561,37,0.212,14,0.7859999999999999,11,2,200,144.3,43.3,13,5,101,16.0,14.3,10,0.515,34,0.47100000000000003,16,68.3,43,0.695,12.2,10,32,0.6559999999999999,21,0.818,9,"Kohl Center, Madison, Wisconsin",SAVANNAH-STATE,Savannah State,70.3,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,10,True,False,True,Home,True,16,21,66,43,63,11,13,60,1,0,74,200,563,0.5523978685612788,327,631,0.5182250396196514,58,176,587,0.44804088586030666,0.8
11,2018-12-22-12-wisconsin,52.6,10,5.6,2,120.0,71.4,20,0.46,50,0.38,19,0.3,15,0.467,7,7,200,75.7,15.6,5,21,53,,5.7,4,0.34,17,0.47100000000000003,8,41.7,25,0.46399999999999997,22.0,16,33,0.33299999999999996,11,0.462,6,"December 22, 2018",60.7,17,12.1,4,75.7,84.4,27,0.561,57,0.491,28,0.456,26,0.769,20,2,200,120.0,28.6,8,16,84,16.0,11.4,8,0.368,21,0.381,8,58.3,35,0.606,12.7,10,36,0.556,20,0.833,10,"Kohl Center, Madison, Wisconsin",GRAMBLING,Grambling,69.7,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,11,True,False,True,Home,True,8,20,57,35,60,8,11,50,1,0,90,221,629,0.5659777424483307,370,694,0.5331412103746398,69,189,647,0.4520865533230294,0.8181818181818182
