,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,STETSON_homegame,STETSON_homegame2,STETSON_home,STETSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-stetson,52.2,12,2.9,2,126.1,45.5,20,0.408,65,0.354,23,0.308,20,0.65,13,0,200,71.7,7.1,3,24,66,,9.8,9,0.369,24,0.292,7,26.7,23,0.44299999999999995,20.5,19,41,0.39,16,0.0,0,"November 7, 2018",60.5,26,17.1,7,71.7,92.9,39,0.534,87,0.494,43,0.33299999999999996,29,0.7929999999999999,23,0,200,126.1,54.5,24,20,116,,10.9,10,0.218,19,0.368,7,73.3,63,0.5760000000000001,13.8,16,68,0.529,36,1.0,1,"Edmunds Center, DeLand, Florida","Johnson University
			","Johnson University
			",91.6,Home,STETSON,Stetson,Stetson,atlantic-sun,0,True,False,True,Home,True,7,36,87,63,86,7,16,65,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-16-missouri-state,46.2,12,12.5,5,100.0,66.7,22,0.405,74,0.35100000000000003,26,0.17600000000000002,13,0.769,10,1,200,84.3,35.1,13,30,70,,14.5,12,0.419,31,0.258,8,50.0,35,0.43700000000000006,18.4,18,43,0.419,18,0.5,1,"November 11, 2018",48.1,13,16.3,7,84.3,64.9,24,0.536,56,0.48200000000000004,27,0.679,38,0.605,23,0,200,100.0,33.3,11,16,83,,12.0,10,0.28600000000000003,16,0.375,6,50.0,35,0.56,18.9,17,40,0.525,21,1.0,3,"JQH Arena, Springfield, Missouri",STETSON,Stetson,82.6,Home,MISSOURI-STATE,Missouri State,Stetson,atlantic-sun,1,False,False,False,Away,False,8,18,74,35,70,6,21,56,0,1,7,36,87,0.5344827586206896,63,86,0.7325581395348837,7,16,65,0.4076923076923077,1.0
2,2018-11-14-22-southern-california,50.0,12,4.9,2,118.8,75.9,22,0.33799999999999997,77,0.312,24,0.14300000000000002,11,0.636,7,2,200,73.8,27.1,13,18,59,,8.8,7,0.28600000000000003,22,0.182,4,45.5,35,0.359,11.8,11,55,0.364,20,0.33299999999999996,1,"November 14, 2018",52.8,19,9.1,5,73.8,72.9,35,0.617,64,0.563,36,0.313,20,0.8,16,1,200,118.8,24.1,7,11,95,,7.5,6,0.359,23,0.304,7,54.5,42,0.6459999999999999,15.2,13,41,0.7070000000000001,29,0.667,2,"Galen Center, Los Angeles, California",STETSON,Stetson,79.9,Home,SOUTHERN-CALIFORNIA,USC,Stetson,atlantic-sun,2,False,False,False,Away,False,4,20,77,35,77,7,29,64,0,1,15,54,161,0.4751552795031056,98,156,0.6282051282051282,13,37,121,0.4669421487603306,0.5
3,2018-11-17-17-southeastern-louisiana,31.6,6,0.0,0,100.0,61.3,19,0.44799999999999995,48,0.396,19,0.542,26,0.5379999999999999,14,3,200,82.6,25.7,9,26,57,,7.2,5,0.292,14,0.35700000000000004,5,42.4,28,0.47200000000000003,24.2,19,34,0.41200000000000003,14,0.25,1,"November 17, 2018",59.1,13,5.9,2,82.6,74.3,26,0.469,49,0.449,22,0.612,30,0.767,23,3,200,100.0,38.7,12,21,69,,5.8,4,0.306,15,0.133,2,57.6,38,0.545,20.5,16,34,0.588,20,0.4,2,"University Center, Hammond, Louisiana",STETSON,Stetson,68.8,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Stetson,atlantic-sun,3,False,False,False,Away,False,5,14,48,28,66,2,20,49,0,1,19,74,238,0.43067226890756305,133,233,0.5708154506437768,20,66,185,0.518918918918919,0.3333333333333333
4,2018-11-19-19-stetson,50.0,13,2.6,1,102.9,58.6,17,0.6459999999999999,48,0.542,26,0.5,24,0.792,19,2,200,115.7,29.2,7,15,81,,10.0,7,0.45799999999999996,22,0.455,10,45.3,24,0.682,21.5,16,26,0.615,16,0.6,3,"November 19, 2018",56.7,17,3.8,1,115.7,70.8,17,0.524,63,0.47600000000000003,30,0.127,8,0.75,6,4,200,102.9,41.4,12,25,72,,8.6,6,0.381,24,0.25,6,54.7,29,0.539,20.4,17,39,0.615,24,0.2,1,"Edmunds Center, DeLand, Florida",STETSON,Stetson,70.1,Away,ROBERT-MORRIS,Robert Morris,Stetson,atlantic-sun,4,False,True,True,Home,False,6,24,63,29,53,10,16,48,0,1,24,88,286,0.43356643356643354,161,299,0.5384615384615384,22,86,234,0.5085470085470085,0.25
5,2018-11-23-13-stetson,63.3,19,6.0,3,95.2,75.6,31,0.514,70,0.429,30,0.32899999999999996,23,0.652,15,2,225,104.8,30.8,12,23,87,,7.2,6,0.486,34,0.353,12,53.8,43,0.5379999999999999,14.9,14,36,0.5,18,0.7140000000000001,5,"November 23, 2018",46.4,13,13.9,5,104.8,69.2,27,0.42100000000000004,70,0.4,28,0.35700000000000004,25,0.8,20,5,225,95.2,24.4,10,21,79,,9.6,8,0.28600000000000003,20,0.15,3,46.3,37,0.48200000000000004,12.9,12,50,0.5,25,0.16699999999999998,1,"Edmunds Center, DeLand, Florida",STETSON,Stetson,74.1,Away,VIRGINIA-MILITARY-INSTITUTE,VMI,Stetson,atlantic-sun,5,False,True,True,Home,False,3,25,70,37,80,12,18,70,0,1,30,112,349,0.4498567335243553,190,352,0.5397727272727273,32,102,282,0.5319148936170213,0.2
6,2018-11-26-19-bethune-cookman,63.3,19,1.9,1,106.3,55.3,21,0.466,74,0.405,30,0.135,10,0.5,5,6,200,93.7,23.3,10,18,74,,7.6,6,0.392,29,0.31,9,38.3,31,0.47,14.2,13,45,0.467,21,0.14300000000000002,1,"November 26, 2018",63.6,21,13.3,6,93.7,76.7,33,0.529,70,0.47100000000000003,33,0.271,19,0.526,10,4,200,106.3,44.7,17,15,84,,8.9,7,0.257,18,0.444,8,61.7,50,0.531,15.2,14,52,0.48100000000000004,25,0.429,3,"Moore Gymnasium, Daytona Beach, Florida",STETSON,Stetson,78.9,Home,BETHUNE-COOKMAN,Bethune-Cookman,Stetson,atlantic-sun,6,False,False,False,Away,False,9,21,74,31,81,8,25,70,0,1,33,137,419,0.4451073985680191,227,432,0.5254629629629629,44,120,352,0.5284090909090909,0.16666666666666666
7,2018-11-28-19-south-florida,75.0,21,21.1,8,107.1,54.5,18,0.5529999999999999,57,0.491,28,0.24600000000000002,14,0.5710000000000001,8,7,200,101.4,25.8,8,26,71,,10.0,7,0.35100000000000003,20,0.35,7,40.6,26,0.5579999999999999,18.1,14,37,0.568,21,0.125,1,"November 28, 2018",70.8,17,13.5,5,101.4,74.2,23,0.48200000000000004,56,0.429,24,0.589,33,0.636,21,2,200,107.1,45.5,15,14,75,,12.9,9,0.321,18,0.33299999999999996,6,59.4,38,0.523,15.6,13,38,0.474,18,0.7140000000000001,5,"Sun Dome, Tampa, Florida",STETSON,Stetson,69.7,Home,SOUTH-FLORIDA,South Florida,Stetson,atlantic-sun,7,False,False,False,Away,False,7,21,57,26,64,6,18,56,0,1,42,158,493,0.4482758620689655,258,513,0.5029239766081871,52,145,422,0.5284360189573459,0.14285714285714285
8,2018-12-01-19-duke,55.0,11,9.1,4,136.1,45.7,16,0.33899999999999997,62,0.32299999999999995,20,0.21,13,0.5379999999999999,7,8,200,59.0,27.3,12,14,49,,7.2,6,0.371,23,0.087,2,35.4,28,0.359,27.7,26,39,0.462,18,0.111,1,"December 1, 2018",64.4,29,12.8,5,59.0,72.7,32,0.654,78,0.5770000000000001,45,0.231,18,0.611,11,1,200,136.1,54.3,19,14,113,3.0,22.9,19,0.436,34,0.353,12,64.6,51,0.653,16.5,17,44,0.75,33,0.875,7,"Cameron Indoor Stadium, Durham, North Carolina",STETSON,Stetson,83.4,Home,DUKE,Duke,Stetson,atlantic-sun,8,False,False,False,Away,False,2,18,62,28,79,12,33,78,0,1,49,179,550,0.4590909090909091,284,577,0.49220103986135183,58,163,478,0.5230125523012552,0.125
9,2018-12-05-19-stetson,46.2,12,15.9,7,101.5,68.4,26,0.475,61,0.426,26,0.115,7,0.857,6,5,200,95.5,30.6,11,17,64,,4.5,3,0.32799999999999996,20,0.3,6,50.0,37,0.49700000000000005,17.9,14,41,0.488,20,0.444,4,"December 5, 2018",50.0,12,9.8,4,95.5,69.4,25,0.444,62,0.387,24,0.306,19,0.684,13,8,200,101.5,31.6,12,10,68,,10.4,7,0.29,18,0.389,7,50.0,37,0.479,10.2,8,44,0.386,17,0.2,2,"Edmunds Center, DeLand, Florida",WESTERN-ILLINOIS,Western Illinois,67.2,Home,STETSON,Stetson,Stetson,atlantic-sun,9,True,False,True,Home,True,7,17,62,37,74,6,20,61,1,0,51,197,612,0.44689542483660133,312,656,0.47560975609756095,70,196,556,0.5413669064748201,0.1111111111111111
