,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-EL-PASO_homegame,TEXAS-EL-PASO_homegame2,TEXAS-EL-PASO_home,TEXAS-EL-PASO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-texas-el-paso,28.6,6,3.6,1,115.4,73.3,22,0.326,69,0.304,21,0.391,27,0.667,18,0,200,80.8,36.2,17,36,63,,9.0,7,0.217,15,0.2,3,50.6,39,0.385,13.8,13,54,0.33299999999999996,18,0.0,0,"November 6, 2018",70.4,19,11.1,6,80.8,63.8,30,0.637,51,0.529,27,0.8240000000000001,42,0.595,25,0,200,115.4,26.7,8,22,90,,1.3,1,0.451,23,0.478,11,49.4,38,0.634,17.8,15,28,0.5710000000000001,16,1.0,1,"Don Haskins Center, El Paso, Texas","Texas-Permian Basin
			","Texas-Permian Basin
			",77.9,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa,0,True,False,True,Home,True,11,16,51,38,77,3,18,69,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-21-new-mexico-state,24.0,6,2.4,1,124.7,67.6,25,0.5,58,0.431,25,0.32799999999999996,19,0.579,11,1,200,89.6,9.4,3,24,69,,2.6,2,0.31,18,0.444,8,40.6,28,0.515,16.4,13,40,0.425,17,0.5,1,"November 9, 2018",47.2,17,2.5,1,89.6,90.6,29,0.575,73,0.493,36,0.26,19,0.632,12,0,200,124.7,32.4,12,21,96,,6.5,5,0.43799999999999994,32,0.375,12,59.4,41,0.585,7.9,7,41,0.585,24,1.0,2,"Pan American Center, Las Cruces, New Mexico",TEXAS-EL-PASO,UTEP,77.0,Home,NEW-MEXICO-STATE,New Mexico State,UTEP,cusa,1,False,False,False,Away,False,8,17,58,28,69,12,24,73,0,1,11,16,51,0.6372549019607843,38,77,0.4935064935064935,3,18,69,0.32608695652173914,1.0
2,2018-11-14-20-arizona,56.3,9,2.3,1,111.3,77.4,24,0.375,48,0.33299999999999996,16,0.33299999999999996,16,0.625,10,2,200,64.8,18.8,6,26,46,,5.6,4,0.271,13,0.308,4,47.6,30,0.414,27.6,21,35,0.34299999999999997,12,0.33299999999999996,1,"November 14, 2018",41.4,12,17.1,6,64.8,81.3,26,0.525,59,0.49200000000000005,29,0.49200000000000005,29,0.586,17,0,200,111.3,22.6,7,18,79,,11.3,8,0.271,16,0.25,4,52.4,33,0.5429999999999999,7.7,6,43,0.581,25,1.0,3,"McKale Center, Tucson, Arizona",TEXAS-EL-PASO,UTEP,71.2,Home,ARIZONA,Arizona,UTEP,cusa,2,False,False,False,Away,False,4,12,48,30,63,4,25,59,0,1,19,33,109,0.5642201834862385,66,146,0.4520547945205479,15,42,142,0.45422535211267606,0.5
3,2018-11-19-21-texas-el-paso,22.7,5,2.6,1,89.2,58.5,24,0.433,60,0.36700000000000005,22,0.217,13,0.5379999999999999,7,0,200,79.7,20.5,8,25,59,,14.9,11,0.45,27,0.29600000000000004,8,40.0,32,0.446,20.6,17,33,0.424,14,0.0,0,"November 19, 2018",52.0,13,3.0,1,79.7,79.5,31,0.45799999999999996,59,0.424,25,0.39,23,0.522,12,2,200,89.2,41.5,17,16,66,,8.1,6,0.33899999999999997,20,0.2,4,60.0,48,0.47200000000000003,21.6,19,39,0.5379999999999999,21,0.5,2,"Don Haskins Center, El Paso, Texas","Eastern New Mexico
			","Eastern New Mexico
			",73.6,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa,3,True,False,True,Home,True,4,21,59,48,80,8,14,60,1,0,23,45,157,0.5063694267515924,96,209,0.45933014354066987,19,67,201,0.47512437810945274,0.3333333333333333
4,2018-11-24-19-new-mexico,42.9,12,17.5,7,113.5,65.5,19,0.552,58,0.483,28,0.36200000000000004,21,0.667,14,3,200,105.4,40.7,11,26,78,,9.5,7,0.32799999999999996,19,0.42100000000000004,8,53.6,30,0.574,19.2,16,39,0.513,20,0.4,2,"November 24, 2018",61.5,16,17.9,7,105.4,59.3,16,0.5429999999999999,58,0.44799999999999995,26,0.483,28,0.75,21,1,200,113.5,34.5,10,20,84,,9.5,7,0.31,18,0.611,11,46.4,26,0.589,16.6,14,40,0.375,15,0.75,3,"The Pit, Albuquerque, New Mexico",TEXAS-EL-PASO,UTEP,74.1,Home,NEW-MEXICO,New Mexico,UTEP,cusa,4,False,False,False,Away,False,8,20,58,30,56,11,15,58,0,1,27,66,216,0.4930555555555556,144,289,0.4982698961937716,27,81,261,0.46551724137931033,0.5
5,2018-11-28-21-texas-el-paso,54.5,12,5.9,2,89.2,66.7,18,0.51,50,0.44,22,0.28,14,0.7859999999999999,11,1,200,95.4,24.1,7,22,62,,6.2,4,0.46,23,0.304,7,44.6,25,0.547,22.2,16,27,0.556,15,0.833,5,"November 28, 2018",39.1,9,3.7,1,95.4,75.9,22,0.531,48,0.479,23,0.292,14,0.5,7,4,200,89.2,33.3,9,20,58,,7.7,5,0.292,14,0.35700000000000004,5,55.4,31,0.531,26.0,19,34,0.529,18,0.33299999999999996,2,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,65.2,Away,NEW-MEXICO-STATE,New Mexico State,UTEP,cusa,5,False,True,True,Home,False,5,18,48,31,56,7,15,50,0,1,35,86,274,0.5054744525547445,174,345,0.5043478260869565,38,96,319,0.47962382445141066,0.4
6,2018-12-01-21-texas-el-paso,25.0,4,0.0,0,104.1,75.8,25,0.38,46,0.348,16,0.478,22,0.545,12,6,200,63.5,14.3,5,23,47,,8.1,6,0.37,17,0.17600000000000002,3,44.1,30,0.41600000000000004,28.3,22,29,0.44799999999999995,13,0.25,2,"December 1, 2018",55.6,15,17.2,5,63.5,85.7,30,0.583,54,0.5,27,0.5,27,0.519,14,4,200,104.1,24.2,8,19,77,,8.1,6,0.389,21,0.429,9,55.9,38,0.5760000000000001,18.5,15,33,0.545,18,0.429,3,"Don Haskins Center, El Paso, Texas",NORTHWESTERN-STATE,Northwestern State,73.6,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa,6,True,False,True,Home,True,9,18,54,38,68,3,13,46,1,0,40,104,322,0.5093167701863354,205,401,0.5112219451371571,45,111,369,0.483739837398374,0.3333333333333333
7,2018-12-04-20-marquette,44.0,11,0.0,0,101.3,76.5,26,0.475,59,0.424,25,0.322,19,0.684,13,5,200,92.0,18.9,7,22,69,,10.7,8,0.33899999999999997,20,0.3,6,46.5,33,0.507,18.2,15,39,0.48700000000000004,19,0.375,3,"December 4, 2018",55.2,16,7.7,3,92.0,81.1,30,0.525,59,0.49200000000000005,29,0.35600000000000004,21,0.667,14,2,200,101.3,23.5,8,20,76,,9.3,7,0.373,22,0.182,4,53.5,38,0.551,16.0,13,37,0.6759999999999999,25,0.778,7,"Fiserv Forum, Milwaukee, Wisconsin",TEXAS-EL-PASO,UTEP,75.0,Home,MARQUETTE,Marquette,UTEP,cusa,7,False,False,False,Away,False,6,19,59,33,71,4,25,59,0,1,49,122,376,0.5199468085106383,243,469,0.5181236673773987,48,124,415,0.472289156626506,0.42857142857142855
8,2018-12-16-15-texas-el-paso,68.4,13,0.0,0,100.0,79.3,23,0.511,47,0.40399999999999997,19,0.298,14,0.5710000000000001,8,8,200,82.4,17.9,5,23,56,,5.9,4,0.46799999999999997,22,0.455,10,49.1,28,0.522,26.3,19,25,0.36,9,0.273,3,"December 16, 2018",76.2,16,0.0,0,82.4,82.1,23,0.489,47,0.447,21,0.6809999999999999,32,0.688,22,5,200,100.0,20.7,6,13,68,,13.2,9,0.34,16,0.25,4,50.9,29,0.547,17.5,13,31,0.5479999999999999,17,0.444,4,"Don Haskins Center, El Paso, Texas",CALIFORNIA-RIVERSIDE,UC-Riverside,68.4,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa,8,True,False,True,Home,True,4,17,47,29,57,10,9,47,1,0,55,141,435,0.5137931034482759,276,540,0.5111111111111111,52,149,474,0.47890295358649787,0.375
9,2018-12-21-21-texas-el-paso,45.8,11,30.8,8,88.6,61.3,19,0.615,48,0.5,24,0.521,25,0.64,16,8,200,107.1,10.0,3,33,75,,8.6,6,0.5,24,0.45799999999999996,11,36.1,22,0.626,19.2,14,24,0.542,13,0.385,5,"December 21, 2018",47.1,8,4.2,1,107.1,90.0,27,0.41100000000000003,45,0.37799999999999995,17,0.9109999999999999,41,0.61,25,6,200,88.6,38.7,12,21,62,,2.9,2,0.42200000000000004,19,0.158,3,63.9,39,0.48100000000000004,20.2,16,26,0.5379999999999999,14,0.4,4,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,69.7,Away,NORFOLK-STATE,Norfolk State,UTEP,cusa,9,False,True,True,Home,False,3,14,45,39,61,11,13,48,0,1,59,158,482,0.5114107883817427,305,597,0.5108877721943048,62,158,521,0.4817658349328215,0.4444444444444444
