,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-EL-PASO_homegame,TEXAS-EL-PASO_homegame2,TEXAS-EL-PASO_home,TEXAS-EL-PASO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-19-texas-el-paso,42.1,8,11.5,3,105.6,79.3,23,0.43,50,0.38,19,0.52,26,0.846,22,9,200,90.3,19.2,5,19,65,,11.1,8,0.28,14,0.35700000000000004,5,50.9,28,0.521,21.7,17,36,0.389,14,0.25,3,"December 22, 2018",72.0,18,8.3,3,90.3,80.8,21,0.585,53,0.47200000000000003,25,0.34,18,0.778,14,6,200,105.6,20.7,6,19,76,,9.7,7,0.509,27,0.444,12,49.1,27,0.617,18.7,14,26,0.5,13,0.455,5,"Don Haskins Center, El Paso, Texas",WYOMING,Wyoming,72.0,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa,10,True,False,True,Home,True,12,13,53,27,55,5,14,50,1,0,62,172,527,0.5028462998102466,344,658,0.5227963525835866,73,171,569,0.4929701230228471,0.4
11,2019-01-03-20-texas-san-antonio,35.3,6,8.0,4,98.7,74.4,29,0.36,50,0.34,17,0.58,29,0.828,24,7,200,78.9,22.9,8,19,60,,2.6,2,0.34,17,0.11800000000000001,2,50.0,37,0.47,22.3,18,33,0.455,15,0.41700000000000004,5,"January 3, 2019",34.5,10,21.2,7,78.9,77.1,27,0.451,71,0.408,29,0.239,17,0.647,11,7,200,98.7,25.6,10,24,75,,9.2,7,0.29600000000000004,21,0.28600000000000003,6,50.0,37,0.474,11.3,10,50,0.46,23,0.5,7,"Convocation Center, San Antonio, Texas",TEXAS-EL-PASO,UTEP,76.4,Home,TEXAS-SAN-ANTONIO,UTSA,UTEP,cusa,11,False,False,False,Away,False,2,15,50,37,74,6,23,71,0,1,74,185,580,0.5103448275862069,371,713,0.520336605890603,78,185,619,0.4878836833602585,0.45454545454545453
12,2019-01-05-21-texas-el-paso,44.0,11,6.7,2,86.3,81.1,30,0.43200000000000005,66,0.379,25,0.182,12,0.833,10,7,200,91.8,23.8,10,13,67,,11.0,8,0.33299999999999996,22,0.318,7,50.6,40,0.467,14.4,12,44,0.409,18,0.5329999999999999,8,"January 5, 2019",50.0,11,6.8,3,91.8,76.2,32,0.48200000000000004,56,0.39299999999999996,22,0.25,14,0.643,9,8,200,86.3,18.9,7,16,63,,4.1,3,0.46399999999999997,26,0.385,10,49.4,39,0.503,20.5,16,30,0.4,12,0.385,5,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,72.7,Away,TEXAS-SAN-ANTONIO,UTSA,UTEP,cusa,12,False,True,True,Home,False,10,12,56,39,79,7,18,66,0,1,76,200,630,0.4984126984126984,408,787,0.5184243964421855,84,208,690,0.48405797101449277,0.4166666666666667
13,2019-01-10-21-texas-el-paso,30.4,7,10.5,4,75.0,82.9,29,0.46399999999999997,56,0.41100000000000003,23,0.161,9,0.667,6,1,200,85.3,34.4,11,15,58,,8.8,6,0.268,15,0.4,6,59.7,40,0.48100000000000004,24.1,19,41,0.415,17,0.941,16,"January 10, 2019",55.0,11,19.5,8,85.3,65.6,21,0.418,55,0.364,20,0.127,7,0.7140000000000001,5,9,200,75.0,17.1,6,13,51,,7.4,5,0.309,17,0.353,6,40.3,27,0.43700000000000006,20.5,15,38,0.368,14,0.35700000000000004,5,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,67.8,Away,NORTH-TEXAS,North Texas,UTEP,cusa,13,False,True,True,Home,False,6,14,55,27,67,6,17,56,0,1,86,212,686,0.4970845481049563,447,866,0.5161662817551963,91,226,756,0.4794973544973545,0.38461538461538464
14,2019-01-12-21-texas-el-paso,50.0,11,8.1,3,95.6,81.8,27,0.475,60,0.36700000000000005,22,0.217,13,0.5379999999999999,7,11,200,94.1,30.8,12,19,64,,8.8,6,0.517,31,0.419,13,54.2,39,0.484,16.5,13,29,0.31,9,0.389,7,"January 12, 2019",48.0,12,10.3,3,94.1,69.2,27,0.518,56,0.446,25,0.23199999999999998,13,0.5379999999999999,7,9,200,95.6,18.2,6,17,65,,5.9,4,0.33899999999999997,19,0.42100000000000004,8,45.8,33,0.523,17.4,13,37,0.45899999999999996,17,0.4,6,"Don Haskins Center, El Paso, Texas",RICE,Rice,68.2,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa,14,True,False,True,Home,True,8,17,56,33,72,13,9,60,1,0,92,226,741,0.49122807017543857,474,933,0.5080385852090032,97,243,812,0.47844827586206895,0.35714285714285715
15,2019-01-17-20-alabama-birmingham,55.0,11,2.4,1,122.6,65.4,17,0.49,51,0.392,20,0.353,18,0.722,13,10,200,101.6,25.8,8,15,63,,6.5,4,0.49,25,0.4,10,43.9,25,0.529,15.7,11,26,0.385,10,0.375,6,"January 17, 2019",44.8,13,3.8,1,101.6,74.2,23,0.591,55,0.527,29,0.255,14,0.7859999999999999,11,7,200,122.6,34.6,9,16,76,,8.1,5,0.23600000000000002,13,0.5379999999999999,7,56.1,32,0.616,12.8,9,42,0.524,22,0.611,11,"Bartow Arena, Birmingham, Alabama",TEXAS-EL-PASO,UTEP,62.1,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,UTEP,cusa,15,False,False,False,Away,False,10,10,51,25,57,7,22,55,0,1,100,243,797,0.493099121706399,507,1005,0.5044776119402985,110,252,872,0.4782110091743119,0.4
16,2019-01-19-18-middle-tennessee,34.6,9,8.6,3,105.6,64.9,24,0.5589999999999999,51,0.51,26,0.353,18,0.833,15,11,200,101.4,26.9,7,26,72,,5.6,4,0.353,18,0.278,5,49.2,31,0.605,24.4,19,33,0.636,21,0.353,6,"January 19, 2019",72.0,18,6.1,2,101.4,73.1,19,0.509,57,0.439,25,0.526,30,0.5670000000000001,17,14,200,105.6,35.1,13,21,75,,9.9,7,0.386,22,0.364,8,50.8,32,0.526,14.6,12,35,0.486,17,0.263,5,"Murphy Athletic Center, Murfreesboro, Tennessee",TEXAS-EL-PASO,UTEP,70.9,Home,MIDDLE-TENNESSEE,Middle Tennessee,UTEP,cusa,16,False,False,False,Away,False,5,21,51,31,63,8,17,57,0,1,110,253,848,0.49292452830188677,532,1062,0.5009416195856874,117,274,927,0.4848975188781014,0.375
17,2019-01-24-21-texas-el-paso,50.0,10,14.3,5,68.6,68.2,30,0.354,65,0.308,20,0.12300000000000001,8,0.5,4,5,200,71.4,31.8,14,17,50,,11.4,8,0.308,20,0.3,6,50.0,44,0.363,18.9,16,45,0.311,14,0.762,16,"January 24, 2019",66.7,10,8.9,4,71.4,68.2,30,0.319,58,0.259,15,0.293,17,0.647,11,12,200,68.6,31.8,14,11,48,,8.6,6,0.397,23,0.304,7,50.0,44,0.363,20.6,17,35,0.22899999999999998,8,0.33299999999999996,6,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,69.9,Away,OLD-DOMINION,Old Dominion,UTEP,cusa,17,False,True,True,Home,False,7,8,58,44,88,6,14,65,0,1,115,274,899,0.4966629588431591,563,1125,0.5004444444444445,125,291,984,0.48628048780487804,0.35294117647058826
18,2019-01-26-21-texas-el-paso,45.0,9,10.0,2,83.8,77.8,21,0.442,52,0.385,20,0.25,13,0.5379999999999999,7,15,200,77.9,16.1,5,26,53,,5.9,4,0.48100000000000004,25,0.24,6,44.8,26,0.456,19.5,14,27,0.519,14,0.25,5,"January 26, 2019",56.3,9,11.1,3,77.9,83.9,26,0.43200000000000005,44,0.364,16,0.614,27,0.7040000000000001,19,12,200,83.8,22.2,6,19,57,,4.4,3,0.545,24,0.25,6,55.2,32,0.502,23.3,17,20,0.5,10,0.368,7,"Don Haskins Center, El Paso, Texas",CHARLOTTE,Charlotte,67.5,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa,18,True,False,True,Home,True,6,10,44,32,58,6,14,52,1,0,122,282,957,0.48589341692789967,607,1213,0.5004122011541632,131,305,1049,0.4780743565300286,0.3333333333333333
19,2019-01-31-19-marshall,21.9,7,7.9,3,108.3,80.0,28,0.486,72,0.444,32,0.23600000000000002,17,0.941,16,13,200,102.4,41.2,14,16,86,,8.3,7,0.306,22,0.273,6,60.9,42,0.537,20.1,20,50,0.52,26,0.35,7,"January 31, 2019",41.9,13,22.0,11,102.4,58.8,20,0.545,67,0.46299999999999997,31,0.313,21,0.857,18,9,200,108.3,20.0,7,13,91,,16.7,14,0.433,29,0.379,11,39.1,27,0.591,13.6,12,38,0.526,20,0.591,13,"Henderson Center, Huntington, West Virginia",TEXAS-EL-PASO,UTEP,84.0,Home,MARSHALL,Marshall,UTEP,cusa,19,False,False,False,Away,False,6,26,72,42,69,11,20,67,0,1,128,292,1001,0.4835164835164835,639,1271,0.5027537372147916,137,319,1101,0.47638510445049953,0.3684210526315789
20,2019-02-02-19-western-kentucky,45.5,10,11.4,5,108.6,67.7,21,0.41,61,0.361,22,0.18,11,0.818,9,14,200,84.3,18.2,6,21,59,,1.4,1,0.377,23,0.261,6,42.2,27,0.445,13.2,10,38,0.42100000000000004,16,0.33299999999999996,7,"February 2, 2019",44.4,12,7.9,3,84.3,81.8,27,0.5,57,0.474,27,0.509,29,0.655,19,10,200,108.6,32.3,10,10,76,,4.3,3,0.228,13,0.231,3,57.8,37,0.537,11.4,9,44,0.545,24,0.565,13,"E.A. Diddle Arena, Bowling Green, Kentucky",TEXAS-EL-PASO,UTEP,70.0,Home,WESTERN-KENTUCKY,Western Kentucky,UTEP,cusa,20,False,False,False,Away,False,6,16,61,27,64,3,24,57,0,1,134,318,1073,0.483690587138863,681,1340,0.5082089552238805,148,339,1168,0.4803082191780822,0.35
21,2019-02-07-21-texas-el-paso,65.2,15,7.7,2,70.6,81.1,30,0.509,58,0.397,23,0.052000000000000005,3,0.667,2,10,200,89.7,12.9,4,18,61,,7.4,5,0.44799999999999995,26,0.5,13,50.0,34,0.513,16.8,12,32,0.313,10,0.583,14,"February 7, 2019",40.0,6,12.5,4,89.7,87.1,27,0.33,53,0.28300000000000003,15,0.34,18,0.722,13,15,200,70.6,18.9,7,12,48,,4.4,3,0.509,27,0.185,5,50.0,34,0.39,19.8,15,26,0.385,10,0.318,7,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,68.5,Away,FLORIDA-ATLANTIC,Florida Atlantic,UTEP,cusa,21,False,True,True,Home,False,5,10,53,34,68,13,10,58,0,1,140,334,1134,0.47971781305114636,708,1404,0.5042735042735043,151,363,1225,0.48122448979591836,0.3333333333333333
22,2019-02-09-21-texas-el-paso,44.0,11,5.3,2,101.2,60.7,17,0.431,65,0.385,25,0.415,27,0.7040000000000001,19,11,200,89.3,22.0,9,31,75,,11.9,10,0.32299999999999995,21,0.28600000000000003,6,37.7,26,0.48200000000000004,18.1,17,44,0.43200000000000005,19,0.56,14,"February 9, 2019",42.9,12,6.8,3,89.3,78.0,32,0.5710000000000001,56,0.5,28,0.5,28,0.75,21,15,200,101.2,39.3,11,24,85,,6.0,5,0.321,18,0.444,8,62.3,43,0.613,26.0,24,38,0.526,20,0.348,8,"Don Haskins Center, El Paso, Texas",FLORIDA-INTERNATIONAL,Florida International,84.1,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa,22,True,False,True,Home,True,8,20,56,43,69,6,19,65,1,0,145,344,1187,0.4730412805391744,742,1472,0.5040760869565217,164,373,1283,0.48246297739672644,0.3181818181818182
23,2019-02-14-19-louisiana-tech,66.7,14,3.3,1,97.3,96.4,27,0.391,64,0.32799999999999996,21,0.141,9,0.778,7,16,200,78.1,20.0,8,19,57,,8.2,6,0.406,26,0.308,8,51.5,35,0.41700000000000004,15.0,12,38,0.342,13,0.33299999999999996,8,"February 14, 2019",46.2,12,21.1,8,78.1,80.0,32,0.578,51,0.51,26,0.451,23,0.522,12,10,200,97.3,3.6,1,15,71,,5.5,4,0.41200000000000003,21,0.33299999999999996,7,48.5,33,0.573,16.4,12,30,0.633,19,0.615,16,"Thomas Assembly Center, Ruston, Louisiana",TEXAS-EL-PASO,UTEP,72.6,Home,LOUISIANA-TECH,Louisiana Tech,UTEP,cusa,23,False,False,False,Away,False,8,13,64,35,68,7,19,51,0,1,153,364,1243,0.4774738535800483,785,1541,0.509409474367294,170,392,1348,0.47997032640949555,0.34782608695652173
24,2019-02-16-15-southern-mississippi,35.3,6,3.0,1,120.3,75.9,22,0.377,53,0.321,17,0.28300000000000003,15,0.467,7,17,200,73.4,35.0,14,11,47,,6.3,4,0.434,23,0.261,6,52.2,36,0.391,23.2,18,30,0.36700000000000005,11,0.32,8,"February 16, 2019",65.5,19,13.3,4,73.4,65.0,26,0.625,56,0.518,29,0.196,11,0.636,7,9,200,120.3,24.1,7,16,77,,20.3,13,0.41100000000000003,23,0.522,12,47.8,33,0.629,14.1,10,33,0.515,17,0.654,17,"Reed Green Coliseum, Hattiesburg, Mississippi",TEXAS-EL-PASO,UTEP,64.2,Home,SOUTHERN-MISSISSIPPI,Southern Miss,UTEP,cusa,24,False,False,False,Away,False,6,11,53,36,69,12,17,56,0,1,161,377,1307,0.473221117061974,820,1609,0.509633312616532,177,411,1399,0.48355968548963546,0.3333333333333333
25,2019-02-23-21-texas-el-paso,57.7,15,17.6,6,91.0,88.6,39,0.47,66,0.39399999999999996,26,0.591,39,0.59,23,17,250,95.5,17.4,8,20,85,,11.2,10,0.33299999999999996,22,0.455,10,52.2,47,0.503,12.6,12,44,0.364,16,0.39299999999999996,11,"February 23, 2019",42.3,11,11.4,5,95.5,82.6,38,0.49200000000000005,66,0.39399999999999996,26,0.39399999999999996,26,0.615,16,18,250,91.0,11.4,5,27,81,,2.2,2,0.485,32,0.406,13,47.8,43,0.517,17.1,16,34,0.382,13,0.308,8,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,71.2,Away,RICE,Rice,UTEP,cusa,25,False,True,True,Home,False,13,13,66,43,90,10,16,66,0,1,167,388,1360,0.46948529411764706,856,1678,0.5101311084624554,189,428,1455,0.4890034364261168,0.32
26,2019-03-03-13-charlotte,43.5,10,7.1,2,103.0,84.0,21,0.539,51,0.451,23,0.078,4,0.75,3,19,200,87.9,16.0,4,21,58,,9.1,6,0.41200000000000003,21,0.429,9,50.0,25,0.5479999999999999,23.3,16,30,0.467,14,0.29600000000000004,8,"March 3, 2019",65.2,15,10.0,3,87.9,84.0,21,0.52,50,0.46,23,0.34,17,0.941,16,20,200,103.0,16.0,4,11,68,,7.6,5,0.44,22,0.273,6,50.0,25,0.585,18.4,13,28,0.607,17,0.259,7,"Dale F. Halton Arena, Charlotte, North Carolina",TEXAS-EL-PASO,UTEP,66.0,Home,CHARLOTTE,Charlotte,UTEP,cusa,26,False,False,False,Away,False,9,14,51,25,50,6,17,50,0,1,180,401,1426,0.47054698457223,899,1768,0.5084841628959276,199,444,1521,0.4881656804733728,0.3076923076923077
