,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA-STATE_homegame,GEORGIA-STATE_homegame2,GEORGIA-STATE_home,GEORGIA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-georgia-state,46.2,12,12.1,4,104.2,60.0,21,0.37799999999999995,74,0.35100000000000003,26,0.243,18,0.667,12,1,200,95.8,48.9,23,24,68,,7.0,5,0.311,23,0.174,4,53.7,44,0.41200000000000003,13.7,13,51,0.431,22,0.0,0,"November 6, 2018",40.9,9,19.6,10,95.8,51.1,24,0.465,57,0.386,22,0.509,29,0.7240000000000001,21,0,200,104.2,40.0,14,18,74,,9.9,7,0.42100000000000004,24,0.375,9,46.3,38,0.523,15.7,13,33,0.39399999999999996,13,1.0,1,"GSU Sports Arena, Atlanta, Georgia",EAST-TENNESSEE-STATE,ETSU,71.2,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,0,True,False,True,Home,True,9,13,57,38,82,4,22,74,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-21-montana,28.6,8,16.7,5,102.5,75.0,24,0.431,72,0.389,28,0.33299999999999996,24,0.5,12,1,200,93.7,40.0,18,31,74,,13.9,11,0.264,19,0.316,6,54.5,42,0.444,12.7,12,53,0.415,22,0.5,1,"November 9, 2018",54.2,13,9.4,5,93.7,60.0,27,0.48200000000000004,55,0.436,24,0.782,43,0.6509999999999999,28,0,200,102.5,25.0,8,20,81,,7.6,6,0.455,25,0.2,5,45.5,35,0.537,15.9,14,30,0.633,19,1.0,1,"Adams Center/Dahlberg Arena, Missoula, Montana",GEORGIA-STATE,Georgia State,79.4,Home,MONTANA,Montana,Georgia State,sun-belt,1,False,False,False,Away,False,6,22,72,42,77,5,19,55,0,1,9,13,57,0.4649122807017544,38,82,0.4634146341463415,4,22,74,0.3783783783783784,1.0
2,2018-11-13-19-georgia-state,60.9,14,5.3,1,93.9,81.3,26,0.457,58,0.397,23,0.172,10,0.7,7,2,200,90.9,29.0,9,14,60,,4.5,3,0.44799999999999995,26,0.26899999999999996,7,55.6,35,0.478,17.2,13,32,0.5,16,0.33299999999999996,1,"November 13, 2018",56.5,13,15.6,5,90.9,71.0,22,0.565,54,0.426,23,0.111,6,0.16699999999999998,1,1,200,93.9,18.8,6,15,62,,10.6,7,0.648,35,0.429,15,44.4,28,0.545,19.8,14,19,0.42100000000000004,8,0.667,2,"GSU Sports Arena, Atlanta, Georgia",MERCER,Mercer,65.8,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,2,True,False,True,Home,True,15,8,54,28,63,7,16,58,1,0,15,35,129,0.44573643410852715,80,159,0.5031446540880503,9,41,129,0.42248062015503873,0.5
3,2018-11-19-17-georgia-state,52.4,11,11.9,5,107.1,72.4,21,0.466,58,0.36200000000000004,21,0.31,18,0.611,11,3,200,92.9,32.4,12,14,65,,5.7,4,0.466,27,0.444,12,50.0,33,0.488,20.5,17,31,0.29,9,0.25,1,"November 19, 2018",50.0,15,22.6,7,92.9,67.6,25,0.5589999999999999,59,0.508,30,0.203,12,0.75,9,1,200,107.1,27.6,8,16,75,,18.6,13,0.28800000000000003,17,0.353,6,50.0,33,0.58,15.7,12,42,0.5710000000000001,24,0.75,3,"John Gray Gymnasium, Grand Cayman",ST-BONAVENTURE,St. Bonaventure,70.1,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,3,True,False,True,Home,True,6,24,59,33,66,12,9,58,1,0,30,43,183,0.4808743169398907,108,222,0.4864864864864865,16,57,187,0.43315508021390375,0.6666666666666666
4,2018-11-20-19-creighton,33.3,8,8.8,3,117.7,71.9,23,0.426,61,0.39299999999999996,24,0.44299999999999995,27,0.593,16,2,200,86.1,29.7,11,16,68,,7.6,6,0.311,19,0.21100000000000002,4,49.3,34,0.461,18.9,17,42,0.47600000000000003,20,0.6,3,"November 20, 2018",61.1,22,14.3,6,86.1,70.3,26,0.652,66,0.545,36,0.19699999999999998,13,0.5379999999999999,7,1,200,117.7,28.1,9,21,93,,7.6,6,0.485,32,0.43799999999999994,14,50.7,35,0.644,16.3,14,34,0.647,22,0.8,4,"John Gray Gymnasium, Grand Cayman",GEORGIA-STATE,Georgia State,78.5,Home,CREIGHTON,Creighton,Georgia State,sun-belt,4,False,False,False,Away,False,4,20,61,34,69,14,22,66,0,1,36,67,242,0.5,141,288,0.4895833333333333,28,66,245,0.44081632653061226,0.75
5,2018-11-21-17-georgia,55.9,19,5.7,2,94.4,69.2,18,0.672,61,0.557,34,0.262,16,0.563,9,2,200,128.2,14.3,4,16,91,,9.9,7,0.41,25,0.56,14,40.7,22,0.6629999999999999,10.5,8,36,0.556,20,0.667,4,"November 21, 2018",52.0,13,11.1,4,128.2,85.7,24,0.519,53,0.47200000000000003,25,0.321,17,0.706,12,3,200,94.4,30.8,8,14,67,,7.0,5,0.34,18,0.278,5,59.3,32,0.5489999999999999,21.9,17,35,0.5710000000000001,20,0.5,3,"John Gray Gymnasium, Grand Cayman",GEORGIA,Georgia,71.3,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,5,False,False,False,Away,True,14,20,61,22,54,5,20,53,1,0,40,87,303,0.48514851485148514,175,357,0.49019607843137253,42,88,311,0.4855305466237942,0.6
6,2018-11-28-13-tulane,48.1,13,24.2,8,105.6,76.9,20,0.569,58,0.466,27,0.379,22,0.636,14,2,200,111.1,32.1,9,15,80,,11.1,8,0.483,28,0.429,12,53.7,29,0.584,14.0,11,30,0.5,15,0.7140000000000001,5,"November 28, 2018",64.3,18,10.0,3,111.1,67.9,19,0.569,58,0.483,28,0.22399999999999998,13,0.769,10,4,200,105.6,23.1,6,20,76,,5.6,4,0.431,25,0.4,10,46.3,25,0.5920000000000001,19.1,15,33,0.545,18,0.33299999999999996,2,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,71.8,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,6,False,False,False,Away,True,12,15,58,29,54,10,18,58,1,0,54,107,364,0.5164835164835165,197,411,0.4793187347931874,47,108,364,0.49038461538461536,0.6666666666666666
7,2018-12-01-18-liberty,35.0,7,11.1,3,121.9,59.1,13,0.42,50,0.4,20,0.38,19,0.526,10,3,200,81.3,18.2,6,15,52,,14.1,9,0.32,16,0.125,2,34.5,19,0.44,14.6,10,34,0.529,18,0.625,5,"December 1, 2018",63.0,17,2.9,1,81.3,81.8,27,0.644,52,0.519,27,0.26899999999999996,14,0.7859999999999999,11,1,200,121.9,40.9,9,16,78,,9.4,6,0.48100000000000004,25,0.52,13,65.5,36,0.665,20.5,15,27,0.519,14,0.875,7,"Vines Center, Lynchburg, Virginia",GEORGIA-STATE,Georgia State,63.8,Home,LIBERTY,Liberty,Georgia State,sun-belt,7,False,False,False,Away,False,2,18,50,19,55,13,14,52,0,1,66,122,422,0.523696682464455,226,465,0.4860215053763441,57,126,422,0.5011848341232228,0.7142857142857143
8,2018-12-04-20-alabama,33.3,10,3.6,1,103.9,75.8,25,0.515,66,0.455,30,0.303,20,0.75,15,3,200,107.8,11.1,4,23,83,,7.8,6,0.348,23,0.348,8,42.0,29,0.55,10.7,9,43,0.512,22,0.667,6,"December 4, 2018",38.5,10,18.6,8,107.8,88.9,32,0.5539999999999999,56,0.46399999999999997,26,0.5539999999999999,31,0.581,18,3,200,103.9,24.2,8,18,80,,6.5,5,0.5,28,0.35700000000000004,10,58.0,40,0.5660000000000001,12.6,10,28,0.5710000000000001,16,0.625,5,"Coleman Coliseum , Tuscaloosa, Alabama",ALABAMA,Alabama,76.6,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,8,False,False,False,Away,True,8,22,66,29,69,10,16,56,1,0,68,140,472,0.5127118644067796,245,520,0.47115384615384615,70,140,474,0.5168776371308017,0.625
9,2018-12-12-19-georgia-state,54.8,17,3.4,1,123.4,80.8,21,0.564,70,0.44299999999999995,31,0.2,14,0.643,9,6,200,114.3,29.7,11,24,88,,2.6,2,0.629,44,0.386,17,50.8,32,0.574,15.5,14,26,0.5379999999999999,14,0.455,5,"December 12, 2018",56.7,17,19.2,5,114.3,70.3,26,0.6729999999999999,52,0.5770000000000001,30,0.6729999999999999,35,0.7140000000000001,25,3,200,123.4,19.2,5,21,95,,7.8,6,0.442,23,0.435,10,49.2,31,0.6920000000000001,12.9,10,29,0.69,20,0.7,7,"GSU Sports Arena, Atlanta, Georgia",CHATTANOOGA,Chattanooga,76.6,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,9,True,False,True,Home,True,10,20,52,31,63,17,14,70,1,0,76,162,538,0.5130111524163569,274,589,0.46519524617996605,80,156,530,0.5207547169811321,0.6666666666666666
