,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COPPIN-STATE_homegame,COPPIN-STATE_homegame2,COPPIN-STATE_home,COPPIN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-wisconsin,42.9,9,10.3,3,121.4,67.6,23,0.449,59,0.35600000000000004,21,0.271,16,0.625,10,1,194,90.0,21.9,7,26,63,,4.3,3,0.49200000000000005,29,0.379,11,45.5,30,0.473,17.5,14,30,0.33299999999999996,10,0.0,0,"November 6, 2018",68.0,17,26.7,8,90.0,78.1,25,0.508,61,0.41,25,0.426,26,0.885,23,0,194,121.4,32.4,11,15,85,,5.7,4,0.525,32,0.375,12,54.5,36,0.579,6.5,5,29,0.44799999999999995,13,1.0,1,"Kohl Center, Madison, Wisconsin",COPPIN-STATE,Coppin State,72.7,Home,WISCONSIN,Wisconsin,Coppin State,meac,0,False,False,False,Away,False,11,10,59,30,66,12,13,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-dayton,25.0,4,2.6,1,101.3,80.0,24,0.324,54,0.29600000000000004,16,0.278,15,0.733,11,2,200,61.3,18.4,7,16,46,,2.7,2,0.444,24,0.125,3,45.6,31,0.376,25.7,21,30,0.433,13,0.0,0,"November 10, 2018",46.7,14,10.0,3,61.3,81.6,31,0.525,61,0.49200000000000005,30,0.295,18,0.667,12,0,200,101.3,20.0,6,16,76,,8.0,6,0.361,22,0.182,4,54.4,37,0.546,13.8,11,39,0.667,26,1.0,2,"University of Dayton Arena, Dayton, Ohio",COPPIN-STATE,Coppin State,74.8,Home,DAYTON,Dayton,Coppin State,meac,1,False,False,False,Away,False,3,13,54,31,68,4,26,61,0,1,11,10,59,0.4491525423728814,30,66,0.45454545454545453,12,13,61,0.5081967213114754,0.0
2,2018-11-14-19-navy,45.0,9,18.4,7,111.6,65.8,25,0.42,56,0.35700000000000004,20,0.268,15,0.733,11,3,200,84.1,25.7,9,20,58,,8.7,6,0.48200000000000004,27,0.259,7,46.6,34,0.45899999999999996,18.3,14,29,0.44799999999999995,13,0.0,0,"November 14, 2018",59.3,16,0.0,0,84.1,74.3,26,0.49200000000000005,63,0.429,27,0.302,19,0.789,15,2,200,111.6,34.2,13,16,77,,7.2,5,0.397,25,0.32,8,53.4,39,0.535,12.3,10,38,0.5,19,0.33299999999999996,1,"Alumni Hall, Annapolis, Maryland",COPPIN-STATE,Coppin State,68.6,Home,NAVY,Navy,Coppin State,meac,2,False,False,False,Away,False,7,13,56,34,73,8,19,63,0,1,14,23,113,0.3893805309734513,61,134,0.4552238805970149,16,39,122,0.5163934426229508,0.0
3,2018-11-16-19-virginia,58.8,10,0.0,0,154.0,79.2,19,0.385,52,0.327,17,0.0,0,,0,4,201,63.5,12.1,4,19,40,,0.0,0,0.462,24,0.25,6,40.4,23,0.385,21.2,14,28,0.39299999999999996,11,0.0,0,"November 16, 2018",68.6,24,17.9,5,63.5,87.9,29,0.733,58,0.603,35,0.259,15,0.8,12,0,201,154.0,20.8,5,8,97,4.0,12.7,8,0.431,25,0.6,15,59.6,34,0.745,5.8,4,33,0.606,20,1.0,3,"John Paul Jones Arena, Charlottesville, Virginia",COPPIN-STATE,Coppin State,62.7,Home,VIRGINIA,Virginia,Coppin State,meac,3,False,False,False,Away,False,6,11,52,23,57,15,20,58,0,1,21,36,169,0.3994082840236686,95,207,0.45893719806763283,24,58,185,0.5081081081081081,0.0
4,2018-11-19-19-rider,56.5,13,6.5,3,110.1,68.4,26,0.466,59,0.39,23,0.33899999999999997,20,0.6,12,5,200,84.8,21.1,8,23,67,,7.6,6,0.5589999999999999,33,0.273,9,44.7,34,0.489,21.0,18,26,0.5379999999999999,14,0.0,0,"November 19, 2018",63.3,19,11.5,3,84.8,78.9,30,0.507,68,0.441,30,0.41200000000000003,28,0.643,18,1,200,110.1,31.6,12,19,87,,11.4,9,0.324,22,0.409,9,55.3,42,0.535,12.0,11,46,0.457,21,0.5,1,"Alumni Gymnasium, Lawrenceville, New Jersey",COPPIN-STATE,Coppin State,79.4,Home,RIDER,Rider,Coppin State,meac,4,False,False,False,Away,False,9,14,59,34,76,9,21,68,0,1,27,47,221,0.39592760180995473,118,264,0.44696969696969696,39,78,243,0.5617283950617284,0.0
5,2018-11-21-19-wofford,47.8,11,4.8,2,128.6,71.4,25,0.43200000000000005,59,0.39,23,0.35600000000000004,21,0.667,14,6,200,84.4,8.1,3,12,65,,7.8,6,0.424,25,0.2,5,38.9,28,0.47100000000000003,12.8,10,34,0.529,18,0.0,0,"November 21, 2018",63.9,23,2.9,1,84.4,91.9,34,0.623,69,0.522,36,0.23199999999999998,16,0.813,13,2,200,128.6,28.6,10,14,99,,7.8,6,0.391,27,0.519,14,61.1,44,0.6459999999999999,12.6,11,42,0.524,22,0.6,3,"Richardson Indoor Stadium, Spartanburg, South Carolina",COPPIN-STATE,Coppin State,76.8,Home,WOFFORD,Wofford,Coppin State,meac,5,False,False,False,Away,False,5,18,59,28,72,14,22,69,0,1,36,61,280,0.4107142857142857,152,340,0.4470588235294118,48,99,311,0.5498392282958199,0.0
6,2018-11-23-15-charleston-southern,50.0,11,13.9,5,127.4,54.5,18,0.48100000000000004,53,0.415,22,0.45299999999999996,24,0.667,16,7,200,91.8,20.0,6,25,67,,8.2,6,0.45299999999999996,24,0.292,7,38.1,24,0.52,19.1,15,29,0.517,15,0.0,0,"November 23, 2018",59.4,19,13.8,4,91.8,80.0,24,0.6,65,0.49200000000000005,32,0.33799999999999997,22,0.682,15,2,200,127.4,45.5,15,24,93,,6.8,5,0.446,29,0.483,14,61.9,39,0.616,14.8,13,36,0.5,18,0.667,4,"Richardson Indoor Stadium, Spartanburg, South Carolina",COPPIN-STATE,Coppin State,73.4,Home,CHARLESTON-SOUTHERN,Charleston Southern,Coppin State,meac,6,False,False,False,Away,False,7,15,53,24,63,14,18,65,0,1,41,79,339,0.4144542772861357,180,412,0.4368932038834951,62,121,380,0.5631578947368421,0.0
7,2018-11-29-19-james-madison,40.7,11,12.2,5,100.0,66.7,18,0.444,72,0.375,27,0.18100000000000002,13,0.5379999999999999,7,8,225,87.7,38.5,15,23,71,,7.4,6,0.40299999999999997,29,0.345,10,50.0,33,0.45399999999999996,20.5,20,43,0.395,17,0.0,0,"November 29, 2018",34.6,9,16.3,7,87.7,61.5,24,0.5,56,0.46399999999999997,26,0.625,35,0.7140000000000001,25,3,225,100.0,33.3,9,17,81,,17.3,14,0.268,15,0.267,4,50.0,33,0.5579999999999999,17.4,15,41,0.537,22,0.667,6,"JMU Convocation Center, Harrisonburg, Virginia",COPPIN-STATE,Coppin State,71.9,Home,JAMES-MADISON,James Madison,Coppin State,meac,7,False,False,False,Away,False,10,17,72,33,66,4,22,56,0,1,48,94,392,0.42346938775510207,204,475,0.42947368421052634,76,139,445,0.5685393258426966,0.0
8,2018-12-03-19-coppin-state,64.0,16,4.5,1,89.6,70.3,26,0.575,53,0.47200000000000003,25,0.226,12,0.833,10,4,200,106.0,4.0,1,20,71,,10.4,7,0.585,31,0.355,11,43.5,27,0.605,14.6,10,22,0.636,14,0.556,5,"December 3, 2018",38.9,7,4.5,1,106.0,96.0,24,0.439,49,0.36700000000000005,18,0.5920000000000001,29,0.586,17,9,200,89.6,29.7,11,16,60,,7.5,5,0.551,27,0.259,7,56.5,35,0.478,19.5,15,22,0.5,11,0.0,0,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,67.2,Away,MARYLAND-BALTIMORE-COUNTY,UMBC,Coppin State,meac,8,False,True,True,Home,False,7,11,49,35,62,11,14,53,0,1,58,111,464,0.4267241379310345,237,541,0.43807763401109057,80,161,501,0.5608782435129741,0.0
9,2018-12-05-19-richmond,44.4,8,9.4,3,120.6,75.0,24,0.358,53,0.34,18,0.28300000000000003,15,0.6,9,10,200,69.1,23.7,9,15,47,,11.8,8,0.302,16,0.125,2,47.1,33,0.391,20.1,15,37,0.43200000000000005,16,0.0,0,"December 5, 2018",63.3,19,8.1,3,69.1,76.3,29,0.608,60,0.5,30,0.233,14,0.643,9,5,200,120.6,25.0,8,16,82,,14.7,10,0.467,28,0.46399999999999997,13,52.9,37,0.615,14.3,11,32,0.531,17,0.444,4,"Robins Center, Richmond, Virginia",COPPIN-STATE,Coppin State,67.9,Home,RICHMOND,Richmond,Coppin State,meac,9,False,False,False,Away,False,2,16,53,33,70,13,17,60,0,1,65,122,513,0.42787524366471735,272,603,0.45107794361525705,91,175,554,0.5622743682310469,0.0
