,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DUKE_homegame,DUKE_homegame2,DUKE_home,DUKE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-kentucky,51.2,22,7.1,3,101.2,73.5,25,0.62,79,0.544,43,0.36700000000000005,29,0.69,20,0,199,142.2,35.1,13,26,118,4.0,12.0,10,0.32899999999999996,26,0.462,12,53.5,38,0.636,4.2,4,53,0.585,31,1.0,1,"November 6, 2018",65.4,17,9.4,5,142.2,64.9,24,0.475,59,0.441,26,0.644,38,0.737,28,1,199,101.2,26.5,9,25,84,2.0,1.2,1,0.28800000000000003,17,0.235,4,46.5,33,0.545,16.5,15,42,0.524,22,0.0,0,"Bankers Life Fieldhouse, Indianapolis, Indiana",KENTUCKY,Kentucky,83.8,Away,DUKE,Duke,Duke,acc,0,False,False,False,Away,True,12,31,79,38,71,4,22,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-13-duke,78.6,22,2.8,1,117.5,69.2,27,0.436,78,0.359,28,0.09,7,0.5710000000000001,4,1,200,90.0,18.6,8,17,72,,5.0,4,0.397,31,0.387,12,42.7,35,0.44299999999999995,11.0,10,47,0.34,16,0.5,1,"November 11, 2018",68.6,24,19.1,9,90.0,81.4,35,0.59,72,0.486,35,0.18100000000000002,13,0.6920000000000001,9,0,200,117.5,30.8,12,11,94,4.0,10.0,8,0.5,36,0.41700000000000004,15,57.3,47,0.601,12.4,11,36,0.556,20,1.0,2,"Cameron Indoor Stadium, Durham, North Carolina",ARMY,Army,80.3,Home,DUKE,Duke,Duke,acc,1,True,False,True,Home,True,15,20,72,47,82,12,16,78,1,0,12,31,79,0.620253164556962,38,71,0.5352112676056338,4,22,59,0.4745762711864407,1.0
2,2018-11-14-19-duke,42.9,9,9.4,5,113.5,50.0,21,0.331,68,0.309,21,0.044000000000000004,3,0.33299999999999996,1,1,200,62.2,31.1,14,16,46,,13.5,10,0.265,18,0.16699999999999998,3,40.2,35,0.331,19.7,17,50,0.36,18,0.75,3,"November 14, 2018",63.9,23,22.0,11,62.2,68.9,31,0.5,77,0.46799999999999997,36,0.20800000000000002,16,0.43799999999999994,7,0,200,113.5,50.0,21,8,84,1.0,18.9,14,0.312,24,0.20800000000000002,5,59.8,52,0.496,11.6,11,53,0.585,31,1.0,3,"Cameron Indoor Stadium, Durham, North Carolina",EASTERN-MICHIGAN,Eastern Michigan,73.5,Home,DUKE,Duke,Duke,acc,2,True,False,True,Home,True,5,31,77,52,87,3,18,68,1,0,27,51,151,0.6059602649006622,85,153,0.5555555555555556,16,38,137,0.45255474452554745,1.0
3,2018-11-19-16-san-diego-state,41.4,12,12.5,4,86.5,82.4,28,0.596,57,0.509,29,0.596,34,0.647,22,0,200,121.6,37.1,13,25,90,1.0,9.5,7,0.439,25,0.4,10,59.4,41,0.615,17.2,15,32,0.594,19,1.0,4,"November 19, 2018",42.1,8,9.4,3,121.6,62.9,22,0.415,53,0.358,19,0.509,27,0.741,20,1,200,86.5,17.6,6,23,64,,9.5,7,0.396,21,0.28600000000000003,6,40.6,28,0.486,16.7,13,32,0.406,13,0.667,2,"Lahaina Civic Center, Lahaina, Hawaii",SAN-DIEGO-STATE,San Diego State,74.0,Away,DUKE,Duke,Duke,acc,3,False,False,False,Away,True,10,19,57,41,69,6,13,53,1,0,32,82,228,0.5701754385964912,137,240,0.5708333333333333,19,56,205,0.4121951219512195,1.0
4,2018-11-20-20-duke,50.0,14,6.9,2,109.9,62.9,22,0.435,77,0.364,28,0.11699999999999999,9,0.556,5,1,200,101.4,35.4,17,24,72,8.0,11.3,8,0.41600000000000004,32,0.344,11,47.0,39,0.44299999999999995,10.0,9,45,0.37799999999999995,17,0.8,4,"November 20, 2018",50.0,12,24.4,11,101.4,64.6,31,0.509,54,0.444,24,0.63,34,0.6759999999999999,23,0,200,109.9,37.1,13,13,78,1.0,8.5,6,0.46299999999999997,25,0.28,7,53.0,44,0.556,14.8,12,29,0.586,17,1.0,5,"Lahaina Civic Center, Lahaina, Hawaii",AUBURN,Auburn,71.2,Home,DUKE,Duke,Duke,acc,4,True,False,True,Home,True,7,17,54,44,83,11,17,77,1,0,42,101,285,0.5754385964912281,178,309,0.5760517799352751,25,69,258,0.4127906976744186,1.0
5,2018-11-21-17-gonzaga,29.0,9,13.0,6,118.7,66.7,22,0.465,72,0.431,31,0.361,26,0.769,20,1,200,116.0,45.9,17,18,87,1.0,6.7,5,0.18100000000000002,13,0.385,5,55.7,39,0.516,10.7,10,59,0.441,26,0.833,5,"November 21, 2018",47.1,16,16.9,10,116.0,54.1,20,0.6,65,0.523,34,0.292,19,0.579,11,0,200,118.7,33.3,11,20,89,3.0,6.7,5,0.292,19,0.526,10,44.3,31,0.601,10.9,9,46,0.522,24,1.0,6,"Lahaina Civic Center, Lahaina, Hawaii",DUKE,Duke,74.7,Home,GONZAGA,Gonzaga,Duke,acc,5,False,False,False,Away,False,5,26,72,39,70,10,24,65,0,1,49,118,339,0.5648967551622419,222,392,0.5663265306122449,36,86,335,0.417910447761194,1.0
6,2018-11-27-21-duke,52.0,13,11.6,5,109.8,65.6,21,0.43,64,0.391,25,0.391,25,0.56,14,2,200,84.1,33.3,12,20,69,,6.1,5,0.25,16,0.313,5,48.5,33,0.455,21.1,20,48,0.41700000000000004,20,0.7140000000000001,5,"November 27, 2018",48.5,16,20.8,10,84.1,66.7,24,0.579,63,0.524,33,0.46,29,0.586,17,1,200,109.8,34.4,11,24,90,3.0,13.4,11,0.317,20,0.35,7,51.5,35,0.586,15.6,14,43,0.605,26,0.857,6,"Cameron Indoor Stadium, Durham, North Carolina",INDIANA,Indiana,81.8,Home,DUKE,Duke,Duke,acc,6,True,False,True,Home,True,7,26,63,35,68,5,20,64,1,0,54,144,411,0.5474452554744526,261,462,0.564935064935065,46,110,400,0.4475,0.8333333333333334
7,2018-12-01-19-duke,55.0,11,9.1,4,136.1,45.7,16,0.33899999999999997,62,0.32299999999999995,20,0.21,13,0.5379999999999999,7,8,200,59.0,27.3,12,14,49,,7.2,6,0.371,23,0.087,2,35.4,28,0.359,27.7,26,39,0.462,18,0.111,1,"December 1, 2018",64.4,29,12.8,5,59.0,72.7,32,0.654,78,0.5770000000000001,45,0.231,18,0.611,11,1,200,136.1,54.3,19,14,113,3.0,22.9,19,0.436,34,0.353,12,64.6,51,0.653,16.5,17,44,0.75,33,0.875,7,"Cameron Indoor Stadium, Durham, North Carolina",STETSON,Stetson,83.4,Home,DUKE,Duke,Duke,acc,7,True,False,True,Home,True,12,33,78,51,79,2,18,62,1,0,61,170,474,0.5516877637130801,296,530,0.5584905660377358,51,130,464,0.44504310344827586,0.8571428571428571
8,2018-12-05-19-duke,65.0,13,2.3,1,110.5,58.8,20,0.39299999999999996,61,0.32799999999999996,20,0.14800000000000002,9,0.667,6,7,200,71.1,23.7,9,14,54,,11.8,9,0.44299999999999995,27,0.29600000000000004,8,40.3,29,0.414,24.4,21,34,0.353,12,0.3,3,"December 5, 2018",51.4,18,29.4,10,71.1,76.3,29,0.5429999999999999,69,0.507,35,0.188,13,0.6920000000000001,9,1,200,110.5,41.2,14,13,84,3.0,19.7,15,0.377,26,0.192,5,59.7,43,0.5589999999999999,14.8,13,43,0.698,30,0.889,8,"Cameron Indoor Stadium, Durham, North Carolina",HARTFORD,Hartford,75.7,Home,DUKE,Duke,Duke,acc,8,True,False,True,Home,True,5,30,69,43,72,8,12,61,1,0,73,203,552,0.5661231884057971,347,609,0.5697865353037767,53,148,526,0.43250950570342206,0.875
9,2018-12-08-17-duke,60.9,14,4.3,2,108.3,68.3,28,0.377,65,0.354,23,0.16899999999999998,11,0.818,9,3,200,69.0,22.5,9,23,58,,10.7,9,0.354,23,0.13,3,45.7,37,0.413,24.8,23,42,0.47600000000000003,20,0.5710000000000001,4,"December 8, 2018",60.6,20,14.3,6,69.0,77.5,31,0.53,67,0.493,33,0.46299999999999997,31,0.645,20,1,200,108.3,31.7,13,14,91,3.0,19.0,16,0.313,21,0.23800000000000002,5,54.3,44,0.557,15.7,15,46,0.609,28,0.9,9,"Cameron Indoor Stadium, Durham, North Carolina",YALE,Yale,84.0,Home,DUKE,Duke,Duke,acc,9,True,False,True,Home,True,5,28,67,44,81,3,20,65,1,0,78,233,621,0.5636070853462157,390,681,0.5726872246696035,61,160,587,0.4284497444633731,0.8888888888888888
