,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-DAKOTA_homegame,SOUTH-DAKOTA_homegame2,SOUTH-DAKOTA_home,SOUTH-DAKOTA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-20-south-dakota,37.5,9,9.5,4,116.9,64.5,20,0.5,55,0.436,24,0.16399999999999998,9,0.33299999999999996,3,0,200,81.7,24.2,8,21,58,,4.2,3,0.4,22,0.318,7,43.8,28,0.489,24.4,19,33,0.515,17,0.0,0,"November 7, 2018",44.8,13,12.1,4,81.7,75.8,25,0.516,64,0.45299999999999996,29,0.32799999999999996,21,0.81,17,0,200,116.9,35.5,11,10,83,,14.1,10,0.344,22,0.364,8,56.3,36,0.561,9.8,8,42,0.5,21,1.0,1,"Sanford Coyote Sports Center, Vermillon, South Dakota","York (NE)
			","York (NE)
			",70.6,Home,SOUTH-DAKOTA,South Dakota,South Dakota,summit,0,True,False,True,Home,True,8,21,64,36,64,7,17,55,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-20-south-dakota,36.4,8,6.7,2,118.4,81.0,17,0.491,54,0.40700000000000003,22,0.519,28,0.75,21,1,200,97.4,15.2,5,25,74,,5.3,4,0.444,24,0.375,9,40.7,22,0.55,17.4,14,30,0.433,13,0.5,1,"November 12, 2018",60.0,18,3.3,1,97.4,84.8,28,0.636,55,0.545,30,0.491,27,0.741,20,0,200,118.4,19.0,4,18,90,,10.5,8,0.455,25,0.4,10,59.3,32,0.6629999999999999,14.1,11,30,0.667,20,1.0,2,"Sanford Coyote Sports Center, Vermillon, South Dakota",NORTHERN-ARIZONA,Northern Arizona,75.6,Home,SOUTH-DAKOTA,South Dakota,South Dakota,summit,1,True,False,True,Home,True,10,20,55,32,54,9,13,54,1,0,8,21,64,0.515625,36,64,0.5625,7,17,55,0.5,1.0
2,2018-11-16-18-high-point,45.0,9,6.5,2,96.8,66.7,16,0.5,45,0.444,20,0.42200000000000004,19,0.579,11,1,200,90.3,20.0,5,18,56,,4.8,3,0.4,18,0.278,5,42.9,21,0.518,17.1,11,27,0.556,15,0.667,2,"November 16, 2018",40.0,8,14.8,4,90.3,80.0,20,0.478,46,0.435,20,0.457,21,0.762,16,2,200,96.8,33.3,8,24,60,,11.3,7,0.326,15,0.267,4,57.1,28,0.536,21.4,15,31,0.516,16,0.33299999999999996,1,"Gateway Christian Academy, Bimini",SOUTH-DAKOTA,South Dakota,61.5,Home,HIGH-POINT,High Point,South Dakota,summit,2,False,False,False,Away,False,5,15,45,21,49,4,16,46,0,1,18,41,119,0.5714285714285714,68,118,0.576271186440678,16,30,109,0.4954128440366973,1.0
3,2018-11-18-15-south-dakota,33.3,8,14.3,5,89.9,87.5,28,0.667,39,0.615,24,0.5379999999999999,21,0.619,13,2,200,94.2,17.6,3,21,65,,5.8,4,0.256,10,0.4,4,63.3,31,0.664,31.3,22,29,0.69,20,0.5,2,"November 18, 2018",52.4,11,3.4,1,94.2,82.4,14,0.43,57,0.368,21,0.298,17,0.765,13,2,200,89.9,12.5,4,21,62,,15.9,11,0.386,22,0.318,7,36.7,18,0.47600000000000003,11.0,8,35,0.4,14,0.5,2,"Gateway Christian Academy, Bimini",SOUTH-DAKOTA,South Dakota,68.5,Away,AIR-FORCE,Air Force,South Dakota,summit,3,False,True,True,Home,False,7,14,57,18,49,4,20,39,0,1,23,56,164,0.551829268292683,89,167,0.5329341317365269,20,46,155,0.49032258064516127,0.6666666666666666
4,2018-11-19-20-south-dakota,35.3,6,12.0,3,79.5,89.7,26,0.375,52,0.327,17,0.385,20,0.65,13,2,200,71.2,17.6,6,21,52,,12.3,9,0.462,24,0.20800000000000002,5,50.8,32,0.423,22.8,18,28,0.429,12,0.667,4,"November 19, 2018",38.9,7,7.1,2,71.2,82.4,28,0.478,45,0.4,18,0.489,22,0.682,15,2,200,79.5,10.3,3,19,58,,8.2,6,0.444,20,0.35,7,49.2,31,0.523,26.8,20,25,0.44,11,0.6,3,"Gateway Christian Academy, Bimini",MARYLAND-BALTIMORE-COUNTY,UMBC,73.0,Home,SOUTH-DAKOTA,South Dakota,South Dakota,summit,4,True,False,True,Home,True,7,11,45,31,63,5,12,52,1,0,30,70,221,0.5203619909502263,107,216,0.49537037037037035,24,66,194,0.5257731958762887,0.5
5,2018-11-27-20-baylor,40.9,9,11.4,4,100.0,72.5,29,0.389,63,0.349,22,0.175,11,0.727,8,3,200,90.5,31.0,13,19,57,,7.9,5,0.365,23,0.217,5,51.2,42,0.418,10.5,8,40,0.425,17,0.5,3,"November 27, 2018",47.8,11,30.0,12,90.5,69.0,29,0.474,57,0.40399999999999997,23,0.33299999999999996,19,0.474,9,2,200,100.0,27.5,11,14,63,,4.8,3,0.386,22,0.364,8,48.8,40,0.47700000000000004,10.9,8,35,0.429,15,0.7140000000000001,5,"Ferrell Center, Waco, Texas",SOUTH-DAKOTA,South Dakota,63.1,Home,BAYLOR,Baylor,South Dakota,summit,5,False,False,False,Away,False,5,17,63,42,82,8,15,57,0,1,37,81,266,0.5131578947368421,138,279,0.4946236559139785,29,78,246,0.49390243902439024,0.6
6,2018-12-01-16-south-dakota,40.9,9,10.3,3,106.3,80.0,20,0.40700000000000003,59,0.373,22,0.18600000000000003,11,0.727,8,4,200,87.5,39.4,13,26,56,,7.8,5,0.322,19,0.21100000000000002,4,56.9,33,0.436,16.9,13,40,0.45,18,0.429,3,"December 1, 2018",42.1,8,0.0,0,87.5,60.6,20,0.5,42,0.452,19,0.738,31,0.8390000000000001,26,3,200,106.3,20.0,5,15,68,,10.9,7,0.31,13,0.308,4,43.1,25,0.599,18.9,13,29,0.517,15,0.5710000000000001,4,"Sanford Coyote Sports Center, Vermillon, South Dakota",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,64.5,Home,SOUTH-DAKOTA,South Dakota,South Dakota,summit,6,True,False,True,Home,True,4,15,42,25,58,4,18,59,1,0,42,98,329,0.48936170212765956,180,361,0.4986149584487535,37,93,303,0.4900990099009901,0.5
7,2018-12-04-21-colorado,21.1,4,2.6,1,113.9,69.2,18,0.375,56,0.33899999999999997,19,0.48200000000000004,27,0.593,16,4,200,80.6,23.7,9,23,58,,8.3,6,0.41100000000000003,23,0.174,4,42.2,27,0.42100000000000004,13.9,11,33,0.455,15,0.5,4,"December 4, 2018",50.0,13,3.0,1,80.6,76.3,29,0.528,54,0.48100000000000004,26,0.556,30,0.833,25,1,200,113.9,30.8,8,23,82,,11.1,8,0.29600000000000004,16,0.313,5,57.8,37,0.601,15.2,12,38,0.5529999999999999,21,0.857,6,"Coors Events/Conference Center, Boulder, Colorado",SOUTH-DAKOTA,South Dakota,71.5,Home,COLORADO,Colorado,South Dakota,summit,7,False,False,False,Away,False,4,15,56,27,64,5,21,54,0,1,46,113,371,0.49056603773584906,205,419,0.4892601431980907,41,111,362,0.47651933701657456,0.5714285714285714
8,2018-12-08-14-south-dakota,36.0,9,16.7,4,95.5,70.8,17,0.5,55,0.455,25,0.23600000000000002,13,0.769,10,7,200,98.5,35.7,10,22,65,,12.1,8,0.273,15,0.33299999999999996,5,51.9,27,0.531,20.9,16,40,0.5,20,0.3,3,"December 8, 2018",40.0,8,10.0,4,98.5,64.3,18,0.523,44,0.455,20,0.568,25,0.68,17,5,200,95.5,29.2,7,15,63,,10.6,7,0.455,20,0.3,6,48.1,25,0.564,22.5,16,24,0.583,14,0.444,4,"Sanford Coyote Sports Center, Vermillon, South Dakota",SOUTH-DAKOTA,South Dakota,66.0,Away,MISSOURI-KANSAS-CITY,UMKC,South Dakota,summit,8,False,True,True,Home,False,6,14,44,25,52,5,20,55,0,1,50,128,427,0.47540983606557374,232,483,0.4803312629399586,46,132,416,0.4831730769230769,0.5
9,2018-12-12-20-south-dakota,42.9,9,10.3,4,130.0,72.7,16,0.456,57,0.368,21,0.0,0,,0,0,200,86.7,27.3,9,16,52,,1.7,1,0.491,28,0.35700000000000004,10,45.5,25,0.456,18.6,13,29,0.379,11,0.0,0,"December 12, 2018",65.6,21,6.9,2,86.7,72.7,24,0.648,54,0.593,32,0.185,10,0.8,8,5,200,130.0,27.3,6,12,78,,11.7,7,0.278,15,0.4,6,54.5,30,0.664,10.7,7,39,0.667,26,0.5,5,"Sanford Coyote Sports Center, Vermillon, South Dakota","Bellevue
			","Bellevue
			",60.4,Home,SOUTH-DAKOTA,South Dakota,South Dakota,summit,9,True,False,True,Home,True,6,26,54,30,55,10,11,57,1,0,56,142,471,0.47983014861995754,257,535,0.4803738317757009,51,152,471,0.4851380042462845,0.4444444444444444
