,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DUQUESNE_homegame,DUQUESNE_homegame2,DUQUESNE_home,DUQUESNE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-10-17-duquesne,53.8,14,8.6,3,121.7,75.9,22,0.526,57,0.456,26,0.316,18,0.556,10,1,200,101.4,32.4,11,15,70,,4.3,3,0.35100000000000003,20,0.4,8,52.4,33,0.534,19.8,16,37,0.486,18,0.5,1,"November 10, 2018",59.4,19,5.4,2,101.4,67.6,23,0.623,61,0.525,32,0.213,13,0.615,8,0,200,121.7,24.1,7,16,84,,15.9,11,0.426,26,0.462,12,47.6,30,0.625,9.5,7,35,0.5710000000000001,20,1.0,1,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",WILLIAM-MARY,William & Mary,68.9,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,0,True,False,True,Home,True,12,20,61,30,63,8,18,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-20-duquesne,61.3,19,5.3,2,111.3,55.3,21,0.633,60,0.517,31,0.3,18,0.667,12,3,225,110.0,26.7,8,22,88,,3.8,3,0.433,26,0.5379999999999999,14,42.6,29,0.642,22.7,20,34,0.5,17,0.0,0,"November 12, 2018",51.6,16,8.8,3,110.0,73.3,22,0.5,74,0.419,31,0.324,24,0.625,15,0,225,111.3,44.7,17,20,89,,12.5,10,0.486,36,0.33299999999999996,12,57.4,39,0.521,12.4,12,38,0.5,19,1.0,2,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",ILLINOIS-CHICAGO,UIC,71.5,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,1,True,False,True,Home,True,12,19,74,39,68,14,17,60,1,0,12,20,61,0.6229508196721312,30,63,0.47619047619047616,8,18,57,0.5263157894736842,1.0
2,2018-11-17-12-duquesne,73.9,17,16.1,5,97.2,72.7,24,0.47200000000000003,54,0.426,23,0.35200000000000004,19,0.684,13,1,200,90.1,22.6,7,22,64,,11.3,8,0.33299999999999996,18,0.278,5,48.4,31,0.508,18.3,14,36,0.5,18,0.75,3,"November 17, 2018",57.1,12,5.6,2,90.1,77.4,24,0.49,52,0.40399999999999997,21,0.519,27,0.667,18,0,200,97.2,27.3,9,18,69,,9.9,7,0.40399999999999997,21,0.429,9,51.6,33,0.532,20.0,16,31,0.387,12,1.0,3,"St. Vincent-St. Mary High School, Akron, Ohio",RADFORD,Radford,70.9,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,2,True,False,True,Home,True,9,12,52,33,64,5,18,54,1,0,24,39,135,0.5555555555555556,69,131,0.5267175572519084,22,35,117,0.5811965811965812,1.0
3,2018-11-20-19-notre-dame,52.4,11,8.6,3,104.7,51.5,17,0.4,60,0.35,21,0.16699999999999998,10,0.8,8,1,200,87.5,36.4,12,20,56,,4.7,3,0.45,27,0.222,6,43.9,29,0.43200000000000005,18.9,15,33,0.455,15,0.75,3,"November 20, 2018",68.2,15,30.3,10,87.5,63.6,21,0.43200000000000005,59,0.373,22,0.35600000000000004,21,0.762,16,1,200,104.7,48.5,16,12,67,,9.4,6,0.40700000000000003,24,0.292,7,56.1,37,0.486,10.5,8,35,0.429,15,0.8,4,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",DUQUESNE,Duquesne,64.4,Home,NOTRE-DAME,Notre Dame,Duquesne,atlantic-10,3,False,False,False,Away,False,6,15,60,29,66,7,15,59,0,1,33,51,187,0.5374331550802139,102,195,0.5230769230769231,27,53,171,0.5467836257309941,1.0
4,2018-11-25-13-duquesne,60.9,14,8.3,3,105.1,66.7,20,0.491,54,0.426,23,0.5,27,0.667,18,4,200,89.9,27.3,9,19,71,,7.6,6,0.37,20,0.35,7,46.0,29,0.531,26.7,24,34,0.47100000000000003,16,0.5,4,"November 25, 2018",66.7,20,23.5,8,89.9,72.7,24,0.5760000000000001,59,0.508,30,0.40700000000000003,24,0.625,15,1,200,105.1,33.3,10,25,83,,19.0,15,0.39,23,0.348,8,54.0,34,0.589,18.7,16,36,0.611,22,0.8,4,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",MASSACHUSETTS-LOWELL,UMass-Lowell,79.1,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,4,True,False,True,Home,True,8,22,59,34,63,7,16,54,1,0,39,66,247,0.5040485829959515,131,261,0.5019157088122606,34,68,230,0.5173913043478261,0.75
5,2018-11-30-19-pittsburgh,68.4,13,16.7,7,102.8,57.6,19,0.377,57,0.33299999999999996,19,0.228,13,0.769,10,2,200,73.6,28.9,11,22,53,,9.7,7,0.42100000000000004,24,0.20800000000000002,5,42.3,30,0.419,25.1,21,33,0.424,14,0.667,4,"November 30, 2018",48.0,12,12.1,4,73.6,71.1,27,0.465,57,0.439,25,0.474,27,0.778,21,1,200,102.8,42.4,14,17,74,,9.7,7,0.263,15,0.2,3,57.7,41,0.53,17.9,15,42,0.524,22,0.875,7,"CONSOL Energy Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,72.0,Home,PITTSBURGH,Pitt,Duquesne,atlantic-10,5,False,False,False,Away,False,5,14,57,30,71,3,22,57,0,1,47,88,306,0.5179738562091504,165,324,0.5092592592592593,41,84,284,0.5123239436619719,0.8
6,2018-12-05-19-duquesne,53.6,15,5.1,2,117.7,68.0,17,0.5329999999999999,61,0.45899999999999996,28,0.41,25,0.68,17,3,200,103.8,32.4,12,22,82,,10.1,8,0.32799999999999996,20,0.45,9,46.8,29,0.563,19.1,17,41,0.46299999999999997,19,0.625,5,"December 5, 2018",51.5,17,14.6,6,103.8,67.6,25,0.64,57,0.579,33,0.509,29,0.69,20,2,200,117.7,32.0,8,23,93,,15.2,12,0.316,18,0.389,7,53.2,33,0.657,19.6,17,39,0.667,26,0.7140000000000001,5,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",MARSHALL,Marshall,78.8,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,6,True,False,True,Home,True,7,26,57,33,62,9,19,61,1,0,52,102,363,0.49586776859504134,195,395,0.4936708860759494,44,106,341,0.5043988269794721,0.6666666666666666
7,2018-12-09-13-duquesne,57.7,15,12.0,3,111.1,62.9,22,0.593,54,0.48100000000000004,26,0.24100000000000002,13,0.5379999999999999,7,4,200,98.6,26.9,7,21,71,,6.9,5,0.444,24,0.5,12,47.5,29,0.59,25.1,20,30,0.467,14,0.636,7,"December 9, 2018",68.0,17,20.0,6,98.6,73.1,19,0.5,60,0.41700000000000004,25,0.38299999999999995,23,0.87,20,2,200,111.1,37.1,13,16,80,,11.1,8,0.583,35,0.28600000000000003,10,52.5,32,0.564,15.6,13,25,0.6,15,0.75,6,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",LONGWOOD,Longwood,72.1,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,7,True,False,True,Home,True,10,15,60,32,61,12,14,54,1,0,59,128,420,0.5154761904761904,228,457,0.4989059080962801,53,125,402,0.5087064676616916,0.7142857142857143
8,2018-12-13-19-duquesne,52.4,11,8.3,2,109.1,64.1,25,0.43799999999999994,56,0.375,21,0.196,11,0.727,8,9,200,86.4,14.3,5,16,57,,10.6,7,0.304,17,0.41200000000000003,7,40.5,30,0.465,12.9,9,39,0.359,14,0.1,1,"December 13, 2018",66.7,16,7.7,3,86.4,85.7,30,0.5,60,0.4,24,0.317,19,0.632,12,2,200,109.1,35.9,14,12,72,,7.6,5,0.6,36,0.33299999999999996,12,59.5,44,0.522,14.9,12,24,0.5,12,0.778,7,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,66.1,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,8,True,False,True,Home,True,12,12,60,44,74,7,14,56,1,0,69,143,480,0.5135416666666667,260,518,0.5019305019305019,65,139,456,0.518640350877193,0.75
9,2018-12-16-12-duquesne,50.0,9,11.8,4,102.9,69.7,23,0.39,50,0.36,18,0.22,11,0.636,7,10,200,65.7,30.0,9,20,46,,8.6,6,0.3,15,0.2,3,50.8,32,0.41600000000000004,30.4,24,35,0.429,15,0.16699999999999998,2,"December 16, 2018",70.8,17,8.6,3,65.7,70.0,21,0.509,55,0.436,24,0.418,23,0.696,16,2,200,102.9,30.3,10,14,72,,15.7,11,0.382,21,0.381,8,49.2,31,0.546,16.6,13,34,0.47100000000000003,16,0.8,8,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",MAINE,Maine,69.6,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,9,True,False,True,Home,True,8,16,55,31,63,3,15,50,1,0,81,155,540,0.5120370370370371,304,592,0.5135135135135135,72,153,512,0.509765625,0.7777777777777778
