,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-PAN-AMERICAN_homegame,TEXAS-PAN-AMERICAN_homegame2,TEXAS-PAN-AMERICAN_home,TEXAS-PAN-AMERICAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-texas-pan-american,25.0,7,2.0,1,104.6,78.0,32,0.462,66,0.424,28,0.47,31,0.742,23,0,200,96.6,41.9,13,27,84,,3.4,3,0.318,21,0.23800000000000002,5,62.5,45,0.52,21.6,22,45,0.511,23,0.0,0,"November 6, 2018",48.4,15,4.4,2,96.6,58.1,18,0.479,70,0.44299999999999995,31,0.529,37,0.649,24,0,200,104.6,22.0,9,21,91,,11.5,10,0.271,19,0.263,5,37.5,27,0.52,6.5,6,51,0.51,26,1.0,1,"UTRGV Fieldhouse, Edinburg, Texas","Texas A&amp;M-Commerce
			","Texas A&amp;M-Commerce
			",87.2,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,0,True,False,True,Home,True,5,26,70,27,72,5,23,66,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-texas-pan-american,55.2,16,14.0,7,92.7,81.6,31,0.595,58,0.5,29,0.534,31,0.71,22,0,200,111.0,25.8,8,22,91,,9.8,8,0.397,23,0.478,11,56.5,39,0.626,17.3,15,35,0.514,18,1.0,1,"November 9, 2018",55.2,16,8.6,3,111.0,74.2,23,0.486,69,0.42,29,0.24600000000000002,17,0.529,9,1,200,92.7,18.4,7,25,76,,12.2,10,0.275,19,0.474,9,43.5,30,0.493,16.4,15,50,0.4,20,0.5,1,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,82.4,Away,OKLAHOMA,Oklahoma,Texas-Rio Grande Valley,wac,1,False,True,True,Home,False,9,20,69,30,69,11,18,58,0,1,5,26,70,0.4785714285714286,27,72,0.375,5,23,66,0.4621212121212121,1.0
2,2018-11-12-20-texas-am-corpus-christi,50.0,13,7.9,3,104.5,65.6,21,0.46,63,0.413,26,0.349,22,0.818,18,1,200,115.2,33.3,12,18,76,,6.1,4,0.28600000000000003,18,0.33299999999999996,6,48.5,33,0.517,8.8,7,45,0.444,20,0.667,2,"November 12, 2018",47.8,11,17.8,8,115.2,66.7,24,0.491,54,0.426,23,0.37,20,0.8,16,1,200,104.5,34.4,11,23,69,,1.5,1,0.29600000000000004,16,0.43799999999999994,7,51.5,35,0.5429999999999999,16.0,12,38,0.42100000000000004,16,0.667,2,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,66.5,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,2,False,False,False,Away,True,6,20,63,33,68,7,16,54,1,0,14,46,139,0.48201438848920863,57,141,0.40425531914893614,16,41,124,0.5241935483870968,0.5
3,2018-11-14-20-texas-pan-american,36.4,8,4.8,2,87.5,72.2,26,0.32899999999999996,70,0.314,22,0.257,18,0.611,11,2,200,71.3,29.5,13,29,57,,13.8,11,0.243,17,0.11800000000000001,2,48.8,39,0.363,16.1,15,53,0.377,20,0.33299999999999996,1,"November 14, 2018",47.6,10,13.2,7,71.3,70.5,31,0.40700000000000003,54,0.389,21,0.667,36,0.722,26,1,200,87.5,27.8,10,18,70,,7.5,6,0.222,12,0.16699999999999998,2,51.3,41,0.49200000000000005,20.5,18,42,0.452,19,0.75,3,"UTRGV Fieldhouse, Edinburg, Texas",PRAIRIE-VIEW,Prairie View,79.8,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,3,True,False,True,Home,True,2,19,54,41,80,2,20,70,1,0,20,66,202,0.4752475247524752,90,209,0.430622009569378,23,57,178,0.5140449438202247,0.6666666666666666
4,2018-11-19-19-east-carolina,42.1,8,5.9,2,88.5,58.3,14,0.324,68,0.27899999999999997,19,0.456,31,0.645,20,2,200,82.1,28.3,13,24,64,,16.7,13,0.397,27,0.222,6,38.6,27,0.387,12.8,12,41,0.317,13,0.6,3,"November 19, 2018",56.5,13,19.5,8,82.1,71.7,33,0.5429999999999999,46,0.5,23,0.609,28,0.679,19,2,200,88.5,41.7,10,26,69,,10.3,8,0.261,12,0.33299999999999996,4,61.4,43,0.5820000000000001,29.2,24,34,0.5589999999999999,19,0.6,3,"Williams Arena at Minges Coliseum, Greenville, North Carolina",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,77.5,Home,EAST-CAROLINA,East Carolina,Texas-Rio Grande Valley,wac,4,False,False,False,Away,False,6,13,68,27,70,4,19,46,0,1,22,85,256,0.4609375,131,289,0.4532871972318339,25,77,248,0.46169354838709675,0.75
5,2018-11-21-19-georgia-tech,83.3,10,3.3,1,100.0,77.1,27,0.264,53,0.226,12,0.623,33,0.485,16,3,200,61.1,26.2,11,26,44,,6.9,5,0.415,22,0.182,4,49.4,38,0.32,19.2,16,31,0.258,8,0.5,3,"November 21, 2018",72.7,16,19.4,6,61.1,73.8,31,0.49,51,0.431,22,0.6859999999999999,35,0.629,22,1,200,100.0,22.9,8,21,72,,16.7,12,0.41200000000000003,21,0.28600000000000003,6,50.6,39,0.532,14.2,11,30,0.5329999999999999,16,0.75,3,"McCamish Pavilion, Atlanta, Georgia",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,72.2,Home,GEORGIA-TECH,Georgia Tech,Texas-Rio Grande Valley,wac,5,False,False,False,Away,False,4,8,53,38,77,6,16,51,0,1,28,98,324,0.43209876543209874,158,359,0.4401114206128134,29,96,294,0.4744897959183674,0.6
6,2018-11-23-20-texas-pan-american,77.8,21,2.6,1,102.7,74.2,23,0.469,65,0.415,27,0.369,24,0.583,14,3,200,100.0,47.1,16,25,75,,10.7,8,0.32299999999999995,21,0.33299999999999996,7,60.0,39,0.491,17.5,16,44,0.455,20,0.5,3,"November 23, 2018",63.0,17,6.8,3,100.0,52.9,18,0.518,57,0.474,27,0.42100000000000004,24,0.75,18,3,200,102.7,25.8,8,19,77,,13.3,10,0.33299999999999996,19,0.263,5,40.0,26,0.563,17.2,14,38,0.579,22,0.5710000000000001,4,"UTRGV Fieldhouse, Edinburg, Texas",LAMAR,Lamar,75.4,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,6,True,False,True,Home,True,5,22,57,26,65,7,20,65,1,0,32,106,377,0.40848806366047746,196,436,0.44954128440366975,35,112,345,0.47681159420289854,0.5
7,2018-11-26-20-texas-pan-american,56.5,13,2.9,1,100.0,78.6,22,0.48100000000000004,52,0.442,23,0.26899999999999996,14,0.643,9,3,200,86.8,26.7,8,22,59,,5.9,4,0.327,17,0.235,4,51.7,30,0.503,22.6,17,35,0.5429999999999999,19,0.5710000000000001,4,"November 26, 2018",72.7,16,17.1,6,86.8,73.3,22,0.49,51,0.431,22,0.41200000000000003,21,0.857,18,3,200,100.0,21.4,6,18,68,,10.3,7,0.33299999999999996,17,0.353,6,48.3,28,0.5579999999999999,18.9,14,34,0.47100000000000003,16,0.625,5,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,68.3,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,7,True,False,True,Home,True,6,16,51,28,58,4,19,52,1,0,37,128,434,0.4228110599078341,222,501,0.4431137724550898,42,132,410,0.47560975609756095,0.5714285714285714
8,2018-11-28-20-houston,42.9,9,9.7,3,89.2,70.3,26,0.369,61,0.344,21,0.213,13,0.615,8,4,200,81.5,35.0,14,18,53,,16.9,11,0.39299999999999996,24,0.125,3,51.9,40,0.39399999999999996,15.2,12,37,0.486,18,0.556,5,"November 28, 2018",52.4,11,18.9,7,81.5,65.0,26,0.444,54,0.389,21,0.315,17,0.588,10,0,200,89.2,29.7,11,15,58,,7.7,5,0.426,23,0.261,6,48.1,37,0.467,17.5,13,31,0.484,15,1.0,5,"Health & Physical Education Arena, Houston, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,64.6,Home,HOUSTON,Houston,Texas-Rio Grande Valley,wac,8,False,False,False,Away,False,3,18,61,40,77,6,15,54,0,1,43,144,485,0.4298969072164949,250,559,0.4472271914132379,46,151,462,0.47619047619047616,0.625
9,2018-12-01-15-texas-arlington,36.0,9,6.8,3,90.3,50.0,17,0.509,53,0.47200000000000003,25,0.66,35,0.629,22,4,200,105.6,26.5,9,21,76,,15.3,11,0.245,13,0.308,4,38.2,26,0.546,13.9,11,40,0.525,21,0.6,6,"December 1, 2018",40.9,9,7.5,3,105.6,73.5,25,0.402,56,0.39299999999999996,22,0.429,24,0.833,20,5,200,90.3,50.0,17,28,65,,11.1,8,0.214,12,0.083,1,61.8,42,0.48200000000000004,24.0,21,44,0.47700000000000004,21,0.375,3,"College Park Center, Arlington, Texas",TEXAS-ARLINGTON,Texas-Arlington,71.5,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,9,False,False,False,Away,True,4,21,53,26,68,1,21,56,1,0,46,162,546,0.4230769230769231,290,636,0.4559748427672956,52,166,516,0.4728682170542636,0.5555555555555556
10,2018-12-05-20-texas-pan-american,55.6,10,5.1,2,86.4,80.0,28,0.418,49,0.36700000000000005,18,0.36700000000000005,18,0.833,15,5,200,69.1,15.6,5,18,56,,9.9,8,0.327,16,0.313,5,49.3,33,0.48700000000000004,32.2,27,33,0.39399999999999996,13,0.444,4,"December 5, 2018",68.2,15,15.2,5,69.1,84.4,27,0.41,61,0.361,22,0.41,25,0.8,20,4,200,86.4,20.0,7,16,70,,25.9,21,0.361,22,0.273,6,50.7,34,0.48,19.1,17,39,0.41,16,0.636,7,"UTRGV Fieldhouse, Edinburg, Texas",NORTH-DAKOTA,North Dakota,81.2,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,10,True,False,True,Home,True,6,16,61,34,67,5,13,49,1,0,50,183,599,0.4307178631051753,316,704,0.44886363636363635,53,187,572,0.4659090909090909,0.6
11,2018-12-15-20-texas-pan-american,76.9,20,12.5,5,90.7,80.6,25,0.67,44,0.591,26,0.75,33,0.545,18,1,200,102.7,22.7,5,22,77,,8.0,6,0.364,16,0.43799999999999994,7,56.6,30,0.645,21.5,16,28,0.679,19,0.909,10,"December 15, 2018",70.8,17,3.6,1,102.7,77.3,17,0.44299999999999995,61,0.39299999999999996,24,0.311,19,0.737,14,5,200,90.7,19.4,6,24,68,,12.0,9,0.344,21,0.28600000000000003,6,43.4,23,0.486,17.8,15,40,0.45,18,0.583,7,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,74.9,Away,TEXAS-STATE,Texas State,Texas-Rio Grande Valley,wac,11,False,True,True,Home,False,6,18,61,23,53,7,19,44,0,1,56,199,660,0.4287878787878788,350,771,0.45395590142671854,58,200,621,0.46215780998389694,0.6363636363636364
12,2018-12-18-20-texas-pan-american,65.2,15,4.4,2,89.3,71.4,30,0.529,51,0.451,23,0.569,29,0.7240000000000001,21,7,200,100.0,27.6,8,20,75,,8.0,6,0.373,19,0.42100000000000004,8,53.5,38,0.579,21.1,17,32,0.469,15,0.41700000000000004,5,"December 18, 2018",80.8,21,12.5,4,100.0,72.4,21,0.426,68,0.382,26,0.25,17,0.529,9,6,200,89.3,28.6,12,24,67,,10.7,8,0.33799999999999997,23,0.261,6,46.5,33,0.44,13.7,12,45,0.444,20,0.5379999999999999,7,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,74.9,Away,RICE,Rice,Texas-Rio Grande Valley,wac,12,False,True,True,Home,False,6,20,68,33,71,8,15,51,0,1,62,217,721,0.42995839112343964,373,824,0.4526699029126214,65,219,665,0.47593984962406016,0.5833333333333334
13,2018-12-22-20-texas-pan-american,45.5,10,5.1,2,93.2,88.5,23,0.418,55,0.4,22,0.436,24,0.75,18,9,200,87.7,35.3,12,21,64,,5.5,4,0.255,14,0.14300000000000002,2,58.3,35,0.48200000000000004,21.5,18,41,0.488,20,0.25,3,"December 22, 2018",82.6,19,14.6,6,87.7,64.7,22,0.445,55,0.418,23,0.455,25,0.76,19,6,200,93.2,11.5,3,16,68,,12.3,9,0.29100000000000004,16,0.188,3,41.7,25,0.508,12.0,9,39,0.513,20,0.5710000000000001,8,"UTRGV Fieldhouse, Edinburg, Texas",MCNEESE-STATE,McNeese State,72.6,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,13,True,False,True,Home,True,3,20,55,25,60,2,20,55,1,0,68,237,789,0.4296577946768061,406,895,0.45363128491620114,73,234,716,0.4797486033519553,0.5384615384615384
