,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALABAMA_homegame,ALABAMA_homegame2,ALABAMA_home,ALABAMA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-alabama,38.1,8,6.5,2,109.3,54.3,19,0.409,55,0.382,21,0.545,30,0.5670000000000001,17,1,200,82.7,21.2,7,28,62,,9.3,7,0.309,17,0.17600000000000002,3,38.2,26,0.44799999999999995,18.0,15,38,0.474,18,0.0,0,"November 6, 2018",63.0,17,15.8,6,82.7,78.8,26,0.573,55,0.491,27,0.509,28,0.679,19,0,200,109.3,45.7,16,24,82,,4.0,3,0.436,24,0.375,9,61.8,42,0.6,22.9,20,31,0.581,18,1.0,1,"Coleman Coliseum , Tuscaloosa, Alabama",SOUTHERN,Southern,74.8,Home,ALABAMA,Alabama,Alabama,sec,0,True,False,True,Home,True,9,18,55,42,68,3,18,55,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-19-alabama,28.0,7,2.0,1,109.5,56.3,27,0.578,51,0.49,25,0.49,25,0.56,14,1,200,98.6,28.1,9,29,73,,5.4,4,0.294,15,0.6,9,45.0,36,0.581,25.3,21,36,0.444,16,0.5,1,"November 11, 2018",28.0,7,11.1,4,98.6,71.9,23,0.423,65,0.385,25,0.662,43,0.605,26,0,200,109.5,43.8,21,23,81,,12.2,9,0.24600000000000002,16,0.313,5,55.0,44,0.474,9.7,9,49,0.408,20,1.0,2,"Coleman Coliseum , Tuscaloosa, Alabama",APPALACHIAN-STATE,Appalachian State,74.2,Home,ALABAMA,Alabama,Alabama,sec,1,True,False,True,Home,True,5,20,65,44,80,9,16,51,1,0,9,18,55,0.5727272727272728,42,68,0.6176470588235294,3,18,55,0.4090909090909091,1.0
2,2018-11-15-14-northeastern,52.6,10,8.0,2,113.3,94.4,17,0.402,51,0.373,19,0.294,15,0.733,11,1,200,86.7,24.1,7,16,52,,5.0,3,0.373,19,0.158,3,51.1,24,0.447,12.2,8,32,0.5,16,0.667,2,"November 15, 2018",63.6,14,3.1,1,86.7,75.9,22,0.631,42,0.524,22,0.405,17,0.882,15,1,200,113.3,5.6,1,17,68,,11.7,7,0.405,17,0.529,9,48.9,23,0.679,18.2,11,25,0.52,13,0.667,2,"TD Arena, Charleston, South Carolina",ALABAMA,Alabama,59.6,Home,NORTHEASTERN,Northeastern,Alabama,sec,2,False,False,False,Away,False,3,16,51,24,47,9,13,42,0,1,14,38,120,0.49166666666666664,86,148,0.581081081081081,12,34,106,0.49056603773584906,1.0
3,2018-11-16-13-alabama,50.0,11,17.4,8,108.2,76.7,23,0.48,49,0.449,22,0.449,22,0.636,14,3,200,83.6,14.8,4,18,61,,6.8,5,0.245,12,0.25,3,47.4,27,0.513,20.4,15,37,0.514,19,0.25,1,"November 16, 2018",66.7,22,13.5,5,83.6,85.2,23,0.562,65,0.508,33,0.138,9,0.667,6,1,200,108.2,23.3,7,22,79,,5.5,4,0.292,19,0.368,7,52.6,30,0.57,16.9,14,46,0.565,26,0.75,3,"TD Arena, Charleston, South Carolina",BALL-STATE,Ball State,73.4,Home,ALABAMA,Alabama,Alabama,sec,3,True,False,True,Home,True,7,26,65,30,57,3,19,49,1,0,17,54,171,0.4649122807017544,110,195,0.5641025641025641,21,47,148,0.5304054054054054,0.6666666666666666
4,2018-11-18-13-wichita-state,56.0,14,2.6,1,122.9,67.6,23,0.602,49,0.51,25,0.6729999999999999,33,0.9390000000000001,31,1,200,128.6,28.6,6,19,90,,1.4,1,0.38799999999999996,19,0.474,9,52.7,29,0.696,14.8,11,30,0.5329999999999999,16,0.8,4,"November 18, 2018",31.0,9,10.0,3,128.6,71.4,15,0.516,62,0.46799999999999997,29,0.435,27,0.815,22,3,200,122.9,32.4,11,25,86,,8.6,6,0.371,23,0.261,6,47.3,26,0.575,7.5,6,39,0.59,23,0.4,2,"TD Arena, Charleston, South Carolina",WICHITA-STATE,Wichita State,69.8,Away,ALABAMA,Alabama,Alabama,sec,4,False,False,False,Away,True,9,16,49,29,55,6,23,62,1,0,24,80,236,0.4915254237288136,140,252,0.5555555555555556,24,66,197,0.5177664974619289,0.75
5,2018-11-26-20-alabama,34.5,10,13.2,5,100.0,66.7,20,0.49200000000000005,64,0.45299999999999996,29,0.188,12,0.75,9,1,200,92.3,33.3,12,21,72,,9.0,7,0.281,18,0.278,5,48.5,32,0.516,20.6,18,46,0.522,24,0.75,3,"November 26, 2018",48.0,12,21.7,10,92.3,66.7,24,0.491,56,0.446,25,0.536,30,0.767,23,1,200,100.0,33.3,10,16,78,,9.0,7,0.321,18,0.278,5,51.5,34,0.555,23.3,21,38,0.526,20,0.833,5,"Coleman Coliseum , Tuscaloosa, Alabama",MURRAY-STATE,Murray State,78.5,Home,ALABAMA,Alabama,Alabama,sec,5,True,False,True,Home,True,5,20,56,34,66,5,24,64,1,0,33,96,285,0.5105263157894737,169,307,0.5504885993485342,30,89,259,0.5173745173745173,0.8
6,2018-11-29-19-central-florida,56.0,14,16.7,5,101.4,88.5,23,0.41700000000000004,66,0.379,25,0.212,14,0.643,9,2,200,92.8,43.2,16,24,64,,4.3,3,0.364,24,0.20800000000000002,5,61.9,39,0.44,16.2,14,42,0.47600000000000003,20,0.7140000000000001,5,"November 29, 2018",57.1,12,14.3,6,92.8,56.8,21,0.522,45,0.467,21,0.8,36,0.639,23,1,200,101.4,11.5,3,14,70,,7.2,5,0.33299999999999996,15,0.33299999999999996,5,38.1,24,0.564,12.9,9,30,0.5329999999999999,16,0.857,6,"CFE Arena, Orlando, Florida",ALABAMA,Alabama,69.4,Home,CENTRAL-FLORIDA,UCF,Alabama,sec,6,False,False,False,Away,False,5,20,66,39,63,5,16,45,0,1,38,116,341,0.5073313782991202,203,373,0.5442359249329759,35,113,323,0.5123839009287926,0.8333333333333334
7,2018-12-04-20-alabama,33.3,10,3.6,1,103.9,75.8,25,0.515,66,0.455,30,0.303,20,0.75,15,3,200,107.8,11.1,4,23,83,,7.8,6,0.348,23,0.348,8,42.0,29,0.55,10.7,9,43,0.512,22,0.667,6,"December 4, 2018",38.5,10,18.6,8,107.8,88.9,32,0.5539999999999999,56,0.46399999999999997,26,0.5539999999999999,31,0.581,18,3,200,103.9,24.2,8,18,80,,6.5,5,0.5,28,0.35700000000000004,10,58.0,40,0.5660000000000001,12.6,10,28,0.5710000000000001,16,0.625,5,"Coleman Coliseum , Tuscaloosa, Alabama",ALABAMA,Alabama,76.6,Away,GEORGIA-STATE,Georgia State,Alabama,sec,7,False,True,True,Home,False,10,16,56,40,69,8,22,66,0,1,43,136,407,0.4926289926289926,242,436,0.555045871559633,40,129,368,0.5135869565217391,0.7142857142857143
8,2018-12-09-13-alabama,34.5,10,10.8,4,102.7,70.6,24,0.479,70,0.414,29,0.129,9,0.667,6,3,200,98.6,27.5,11,19,73,,8.1,6,0.34299999999999997,24,0.375,9,47.3,35,0.491,12.9,11,46,0.435,20,0.7,7,"December 9, 2018",42.3,11,8.7,4,98.6,72.5,29,0.536,56,0.46399999999999997,26,0.5,28,0.5710000000000001,16,3,200,102.7,29.4,10,14,76,,6.8,5,0.33899999999999997,19,0.42100000000000004,8,52.7,39,0.5479999999999999,18.0,15,37,0.486,18,0.667,6,"Coleman Coliseum , Tuscaloosa, Alabama",ARIZONA,Arizona,74.3,Home,ALABAMA,Alabama,Alabama,sec,8,True,False,True,Home,True,8,18,56,39,74,9,20,70,1,0,53,152,463,0.5,282,505,0.5584158415841585,48,151,434,0.5138248847926268,0.625
9,2018-12-18-20-alabama,44.0,11,9.1,3,113.5,82.1,23,0.535,57,0.439,25,0.298,17,0.8240000000000001,14,3,200,101.4,20.7,6,27,75,,2.7,2,0.40399999999999997,23,0.478,11,50.9,29,0.5760000000000001,18.9,15,34,0.41200000000000003,14,0.75,9,"December 18, 2018",42.3,11,17.6,6,101.4,79.3,23,0.59,50,0.52,26,0.78,39,0.6409999999999999,25,3,200,113.5,17.9,5,17,84,,10.8,8,0.34,17,0.41200000000000003,7,49.1,28,0.613,14.1,11,33,0.5760000000000001,19,0.7,7,"Von Braun Center, Hunstville, Alabama",LIBERTY,Liberty,74.3,Home,ALABAMA,Alabama,Alabama,sec,9,True,False,True,Home,True,7,19,50,28,57,11,14,57,1,0,61,170,519,0.5038535645472062,321,579,0.5544041450777202,57,171,504,0.5089285714285714,0.6666666666666666
