,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MARIST_homegame,MARIST_homegame2,MARIST_home,MARIST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-13-marist,50.0,15,10.8,4,73.6,76.9,30,0.605,57,0.526,30,0.21100000000000002,12,0.75,9,4,200,108.3,19.2,5,21,78,,12.5,9,0.456,26,0.34600000000000003,9,53.8,35,0.622,18.4,14,31,0.677,21,0.667,8,"December 22, 2018",61.1,11,6.5,2,108.3,80.8,21,0.348,56,0.321,18,0.35700000000000004,20,0.7,14,6,200,73.6,23.1,9,15,53,,4.2,3,0.33899999999999997,19,0.158,3,46.2,30,0.405,18.8,15,37,0.405,15,0.455,5,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,71.6,Away,BROWN,Brown,Marist,maac,10,False,True,True,Home,False,3,15,56,30,65,9,21,57,0,1,82,163,530,0.539622641509434,304,614,0.495114006514658,95,139,539,0.5222634508348795,0.5
11,2018-12-29-14-hartford,40.9,9,22.2,6,100.0,75.0,21,0.491,54,0.40700000000000003,22,0.07400000000000001,4,0.75,3,7,200,86.2,17.2,5,14,56,,15.4,10,0.444,24,0.375,9,45.6,26,0.501,21.2,15,30,0.433,13,0.41700000000000004,5,"December 29, 2018",39.1,9,23.3,7,86.2,82.8,24,0.5479999999999999,52,0.442,23,0.231,12,0.667,8,8,200,100.0,25.0,7,7,65,,16.9,11,0.48100000000000004,25,0.44,11,54.4,31,0.563,19.6,14,27,0.444,12,0.429,6,"Chase Family Arena, Hartford, Connecticut",MARIST,Marist,65.3,Home,HARTFORD,Hartford,Marist,maac,11,False,False,False,Away,False,9,13,54,26,57,11,12,52,0,1,85,178,586,0.5213310580204779,334,679,0.49189985272459497,104,160,596,0.5302013422818792,0.45454545454545453
12,2019-01-03-19-marist,72.0,18,8.7,2,105.9,76.9,20,0.49200000000000005,61,0.41,25,0.41,25,0.6,15,8,200,110.3,42.1,16,23,75,,8.8,6,0.525,32,0.313,10,56.3,36,0.515,14.3,12,29,0.517,15,0.33299999999999996,4,"January 3, 2019",39.1,9,6.9,2,110.3,57.9,22,0.57,50,0.46,23,0.44,22,0.682,15,8,200,105.9,23.1,6,22,72,,4.4,3,0.54,27,0.40700000000000003,11,43.8,28,0.596,17.9,13,23,0.522,12,0.385,5,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,68.2,Away,CANISIUS,Canisius,Marist,maac,12,False,True,True,Home,False,11,12,50,28,64,10,15,61,0,1,94,191,640,0.51875,360,736,0.4891304347826087,115,172,648,0.5316358024691358,0.4166666666666667
13,2019-01-08-19-marist,47.4,9,0.0,0,118.2,73.9,17,0.479,48,0.396,19,0.583,28,0.607,17,12,200,95.5,34.4,11,28,63,,9.1,6,0.521,25,0.32,8,50.9,28,0.514,23.0,18,23,0.478,11,0.2,3,"January 8, 2019",47.8,11,4.3,1,95.5,65.6,21,0.659,41,0.561,23,0.7559999999999999,31,0.774,24,8,200,118.2,26.1,6,26,78,,12.1,8,0.366,15,0.5329999999999999,8,49.1,27,0.7,19.2,13,26,0.5770000000000001,15,0.429,6,"McCann Recreation Center, Poughkeepsie, New York",MANHATTAN,Manhattan,65.5,Home,MARIST,Marist,Marist,maac,13,True,False,True,Home,True,8,15,41,27,55,8,11,48,1,0,105,203,690,0.5224637681159421,388,800,0.485,125,187,709,0.5282087447108603,0.38461538461538464
14,2019-01-11-19-marist,65.2,15,2.9,1,103.1,71.0,22,0.583,48,0.479,23,0.354,17,0.882,15,10,200,110.9,8.0,2,16,71,,6.3,4,0.45799999999999996,22,0.455,10,42.9,24,0.633,14.0,9,26,0.5,13,0.375,6,"January 11, 2019",44.0,11,0.0,0,110.9,92.0,23,0.48200000000000004,57,0.439,25,0.298,17,0.647,11,9,200,103.1,29.0,9,17,66,,4.7,3,0.386,22,0.22699999999999998,5,57.1,32,0.507,11.0,8,35,0.5710000000000001,20,0.4,6,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,63.6,Away,SIENA,Siena,Marist,maac,14,False,True,True,Home,False,5,20,57,32,56,10,13,48,0,1,113,218,731,0.5300957592339262,415,855,0.4853801169590643,133,198,757,0.5250990752972259,0.42857142857142855
15,2019-01-13-13-saint-peters,50.0,11,4.3,1,110.8,57.7,15,0.5,49,0.449,22,0.469,23,0.609,14,10,200,96.9,14.8,4,25,63,,15.4,10,0.429,21,0.23800000000000002,5,35.8,19,0.526,11.9,8,28,0.607,17,0.375,6,"January 13, 2019",44.4,8,10.7,3,96.9,85.2,23,0.467,45,0.4,18,0.867,39,0.769,30,11,200,110.8,42.3,11,19,72,,4.6,3,0.489,22,0.273,6,64.2,34,0.5670000000000001,18.4,14,23,0.522,12,0.312,5,"Yanitelli Center, Jersey City, New Jersey",MARIST,Marist,65.2,Home,SAINT-PETERS,St. Peter's,Marist,maac,15,False,False,False,Away,False,5,17,49,19,53,6,12,45,0,1,118,238,788,0.5266497461928934,447,911,0.49066959385290887,143,211,805,0.5285714285714286,0.4
16,2019-01-18-19-iona,60.0,15,8.0,2,128.6,71.4,20,0.552,58,0.431,25,0.276,16,0.813,13,11,200,110.0,25.8,8,24,77,,2.9,2,0.552,32,0.43799999999999994,14,47.5,28,0.5870000000000001,17.7,14,26,0.423,11,0.353,6,"January 18, 2019",51.9,14,11.5,3,110.0,74.2,23,0.589,56,0.48200000000000004,27,0.46399999999999997,26,0.9229999999999999,24,10,200,128.6,28.6,8,18,90,,5.7,4,0.5539999999999999,31,0.387,12,52.5,31,0.6579999999999999,11.8,9,25,0.6,15,0.375,6,"Hynes Athletics Center, New Rochelle, New York",MARIST,Marist,70.5,Home,IONA,Iona,Marist,maac,16,False,False,False,Away,False,14,11,58,28,59,12,15,56,0,1,123,255,837,0.525089605734767,466,964,0.483402489626556,149,223,850,0.5252941176470588,0.375
17,2019-01-21-19-manhattan,55.6,10,15.6,5,75.4,80.0,24,0.5,42,0.429,18,0.667,28,0.7140000000000001,20,11,200,101.6,26.9,7,20,62,,8.2,5,0.405,17,0.353,6,55.4,31,0.561,15.5,10,25,0.48,12,0.389,7,"January 21, 2019",53.3,8,8.0,2,101.6,73.1,19,0.375,44,0.341,15,0.5,22,0.591,13,15,200,75.4,20.0,6,26,46,,8.2,5,0.273,12,0.25,3,44.6,25,0.42200000000000004,21.8,15,32,0.375,12,0.21100000000000002,4,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,60.9,Away,MARIST,Marist,Marist,maac,17,False,False,False,Away,True,6,12,42,31,56,3,12,44,1,0,137,266,895,0.5268156424581005,494,1023,0.48289345063538613,161,238,906,0.5292494481236203,0.35294117647058826
18,2019-01-25-19-marist,56.7,17,0.0,0,116.4,78.6,22,0.682,55,0.545,30,0.473,26,0.654,17,9,200,137.3,23.1,6,17,92,,4.5,3,0.5820000000000001,32,0.469,15,51.9,28,0.6829999999999999,9.5,7,23,0.652,15,0.5,9,"January 25, 2019",33.3,10,4.3,1,137.3,76.9,20,0.634,56,0.536,30,0.25,14,0.5,7,12,200,116.4,21.4,6,24,78,,4.5,3,0.46399999999999997,26,0.423,11,48.1,26,0.623,11.4,8,30,0.633,19,0.368,7,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,66.5,Away,QUINNIPIAC,Quinnipiac,Marist,maac,18,False,True,True,Home,False,11,19,56,26,54,15,15,55,0,1,143,278,937,0.5256136606189968,525,1079,0.4865616311399444,164,250,950,0.5221052631578947,0.3888888888888889
19,2019-01-27-14-rider,51.7,15,12.9,4,117.8,75.8,25,0.629,58,0.5,29,0.276,16,0.75,12,13,200,116.4,20.7,6,24,85,,6.8,5,0.466,27,0.556,15,50.0,31,0.648,17.7,14,31,0.452,14,0.35,7,"January 27, 2019",62.1,18,22.6,7,116.4,79.3,23,0.616,56,0.518,29,0.5539999999999999,31,0.5479999999999999,17,8,200,117.8,24.2,8,17,86,,15.1,11,0.446,25,0.44,11,50.0,31,0.608,11.4,9,31,0.581,18,0.579,11,"Alumni Gymnasium, Lawrenceville, New Jersey",MARIST,Marist,72.7,Home,RIDER,Rider,Marist,maac,19,False,False,False,Away,False,15,14,58,31,62,11,18,56,0,1,154,297,993,0.5317220543806647,551,1133,0.48631950573698146,179,265,1005,0.5308457711442786,0.3684210526315789
20,2019-01-31-19-marist,50.0,12,17.6,6,108.3,68.8,22,0.5,59,0.40700000000000003,24,0.305,18,0.833,15,13,200,102.8,33.3,11,16,74,,6.9,5,0.49200000000000005,29,0.379,11,50.8,33,0.5479999999999999,17.3,14,30,0.433,13,0.35,7,"January 31, 2019",56.0,14,16.7,5,102.8,66.7,22,0.526,58,0.431,25,0.379,22,0.773,17,13,200,108.3,31.3,10,20,78,,8.3,6,0.414,24,0.45799999999999996,11,49.2,32,0.57,18.1,15,34,0.41200000000000003,14,0.381,8,"McCann Recreation Center, Poughkeepsie, New York",IONA,Iona,72.0,Home,MARIST,Marist,Marist,maac,20,True,False,True,Home,True,11,14,58,32,65,11,13,59,1,0,169,311,1051,0.5371075166508088,582,1195,0.4870292887029289,190,283,1061,0.5353440150801131,0.35
21,2019-02-02-19-marist,45.0,9,12.1,4,77.6,86.7,26,0.511,44,0.455,20,0.455,20,0.6,12,16,200,85.1,16.0,4,14,57,,9.0,6,0.409,18,0.278,5,54.5,30,0.5329999999999999,26.5,19,26,0.5770000000000001,15,0.304,7,"February 2, 2019",33.3,7,3.8,1,85.1,84.0,21,0.451,51,0.41200000000000003,21,0.21600000000000003,11,0.545,6,14,200,77.6,13.3,4,21,52,,14.9,10,0.353,18,0.222,4,45.5,25,0.462,20.0,14,33,0.515,17,0.364,8,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,67.4,Away,FAIRFIELD,Fairfield,Marist,maac,21,False,True,True,Home,False,4,17,51,25,55,5,15,44,0,1,180,325,1109,0.5365193868349865,614,1260,0.4873015873015873,201,296,1120,0.5334821428571429,0.38095238095238093
22,2019-02-04-19-canisius,63.0,17,6.1,2,101.4,72.4,21,0.5539999999999999,56,0.48200000000000004,27,0.321,18,0.889,16,14,225,111.4,25.9,7,16,78,,5.7,4,0.429,24,0.33299999999999996,8,50.0,28,0.604,14.7,11,32,0.594,19,0.391,9,"February 4, 2019",56.0,14,3.1,1,111.4,74.1,20,0.475,59,0.424,25,0.271,16,0.938,15,13,225,101.4,27.6,8,17,71,,8.6,6,0.441,26,0.231,6,50.0,28,0.5329999999999999,15.4,12,33,0.5760000000000001,19,0.409,9,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,61.8,Away,MARIST,Marist,Marist,maac,22,False,False,False,Away,True,8,19,56,28,56,6,19,59,1,0,184,342,1160,0.5327586206896552,639,1315,0.4859315589353612,206,311,1164,0.5326460481099656,0.36363636363636365
23,2019-02-08-19-marist,31.8,7,7.1,2,133.9,81.0,17,0.51,50,0.44,22,0.2,10,0.7,7,13,200,98.3,18.5,5,9,58,,3.4,2,0.36,18,0.389,7,45.8,22,0.53,16.8,11,32,0.469,15,0.45799999999999996,11,"February 8, 2019",67.7,21,6.3,2,98.3,81.5,22,0.7040000000000001,54,0.574,31,0.07400000000000001,4,0.75,3,14,200,133.9,19.0,4,10,79,,5.1,3,0.48100000000000004,26,0.5379999999999999,14,54.2,26,0.7070000000000001,9.7,6,28,0.607,17,0.41700000000000004,10,"McCann Recreation Center, Poughkeepsie, New York",NIAGARA,Niagara,59.3,Home,MARIST,Marist,Marist,maac,23,True,False,True,Home,True,14,17,54,26,48,7,15,50,1,0,192,361,1216,0.5337171052631579,667,1371,0.4865061998541211,212,330,1223,0.5298446443172526,0.391304347826087
24,2019-02-15-20-quinnipiac,54.2,13,5.0,1,103.4,65.4,17,0.5,55,0.436,24,0.2,11,0.727,8,14,200,106.8,20.7,6,16,63,,8.5,5,0.473,26,0.26899999999999996,7,41.8,23,0.523,9.1,6,29,0.586,17,0.44,11,"February 15, 2019",75.0,15,10.3,3,106.8,79.3,23,0.48100000000000004,53,0.377,20,0.20800000000000002,11,0.909,10,11,200,103.4,34.6,9,15,61,,3.4,2,0.623,33,0.33299999999999996,11,58.2,32,0.524,13.5,9,20,0.45,9,0.542,13,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,59.2,Away,MARIST,Marist,Marist,maac,24,False,False,False,Away,True,7,17,55,23,55,11,9,53,1,0,206,378,1270,0.5409448818897638,693,1419,0.4883720930232558,219,345,1273,0.5290652003142183,0.4166666666666667
25,2019-02-17-14-monmouth,46.2,12,4.9,2,103.1,65.1,28,0.608,51,0.51,26,0.373,19,0.684,13,14,200,115.4,23.1,6,16,75,,3.1,2,0.451,23,0.435,10,49.3,34,0.625,16.8,12,28,0.5710000000000001,16,0.462,12,"February 17, 2019",64.0,16,7.1,2,115.4,76.9,20,0.426,68,0.368,25,0.221,15,0.6,9,18,200,103.1,34.9,15,19,67,,15.4,10,0.397,27,0.29600000000000004,8,50.7,35,0.446,5.1,4,41,0.415,17,0.35700000000000004,10,"Multipurpose Activity Center, West Long Branch, New Jersey",MONMOUTH,Monmouth,65.1,Away,MARIST,Marist,Marist,maac,25,False,False,False,Away,True,10,16,51,34,69,8,17,68,1,0,213,395,1325,0.5392452830188679,716,1474,0.48575305291723203,230,354,1326,0.5271493212669683,0.44
26,2019-02-22-19-marist,34.8,8,23.3,7,101.7,63.0,17,0.591,44,0.523,23,0.409,18,0.722,13,20,200,112.1,31.6,6,18,65,,6.9,4,0.43200000000000005,19,0.316,6,50.0,23,0.618,18.8,12,25,0.68,17,0.259,7,"February 22, 2019",35.0,7,0.0,0,112.1,68.4,13,0.451,51,0.392,20,0.353,18,0.722,13,15,200,101.7,37.0,10,17,59,,6.9,4,0.41200000000000003,21,0.28600000000000003,6,50.0,23,0.495,12.0,8,30,0.467,14,0.444,12,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,58.1,Away,SAINT-PETERS,St. Peter's,Marist,maac,26,False,True,True,Home,False,6,14,51,23,46,6,17,44,0,1,223,411,1376,0.5417877906976745,750,1543,0.4860661049902787,238,371,1394,0.5222381635581061,0.46153846153846156
27,2019-02-24-14-siena,47.6,10,0.0,0,104.7,90.5,19,0.379,58,0.36200000000000004,21,0.276,16,0.688,11,16,200,85.9,30.3,10,12,55,,12.5,8,0.293,17,0.11800000000000001,2,53.7,29,0.419,12.2,9,41,0.46299999999999997,19,0.429,12,"February 24, 2019",68.0,17,17.1,7,85.9,69.7,23,0.59,50,0.5,25,0.2,10,0.8,8,14,200,104.7,9.5,2,12,67,,3.1,2,0.56,28,0.321,9,46.3,25,0.612,15.5,10,22,0.727,16,0.517,15,"Times Union Center , Albany, New York",MARIST,Marist,63.7,Home,SIENA,Siena,Marist,maac,27,False,False,False,Away,False,2,19,58,29,54,9,16,50,0,1,229,425,1427,0.5385423966362999,773,1589,0.48646947765890497,244,388,1438,0.5243393602225312,0.4444444444444444
