,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VIRGINIA-TECH_homegame,VIRGINIA-TECH_homegame2,VIRGINIA-TECH_home,VIRGINIA-TECH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-virginia-tech,52.4,11,13.2,5,104.8,69.0,20,0.5329999999999999,45,0.467,21,0.467,21,0.524,11,2,200,71.1,9.1,2,19,59,,3.6,3,0.467,21,0.28600000000000003,6,43.1,22,0.537,34.8,29,24,0.625,15,0.0,0,"November 9, 2018",62.5,20,12.5,3,71.1,90.9,20,0.5870000000000001,63,0.508,32,0.302,19,0.684,13,0,200,104.8,31.0,9,25,87,15.0,19.3,16,0.397,25,0.4,10,56.9,29,0.604,21.9,20,38,0.579,22,1.0,1,"Cassell Coliseum, Blacksburg, Virginia",GARDNER-WEBB,Gardner-Webb,82.5,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,0,True,False,True,Home,True,10,22,63,29,51,6,15,45,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-15-11-virginia-tech,50.0,11,16.2,6,114.1,66.7,20,0.51,52,0.423,22,0.26899999999999996,14,0.7859999999999999,11,2,200,100.0,34.5,10,11,64,,6.3,4,0.519,27,0.33299999999999996,9,50.8,30,0.546,19.4,14,25,0.52,13,0.33299999999999996,1,"November 15, 2018",48.3,14,12.0,3,100.0,65.5,19,0.516,63,0.46,29,0.14300000000000002,9,0.889,8,0,200,114.1,33.3,10,17,73,16.0,10.9,7,0.413,26,0.26899999999999996,7,49.2,29,0.5429999999999999,10.7,8,37,0.595,22,1.0,2,"TD Arena, Charleston, South Carolina",BALL-STATE,Ball State,64.0,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,1,True,False,True,Home,True,7,22,63,29,59,9,13,52,1,0,10,22,63,0.5873015873015873,29,51,0.5686274509803921,6,15,45,0.5333333333333333,1.0
2,2018-11-16-11-northeastern,58.3,21,20.0,4,98.4,72.0,18,0.6940000000000001,62,0.581,36,0.065,4,0.5,2,0,200,144.3,34.6,9,13,88,16.0,8.2,5,0.435,27,0.519,14,52.9,27,0.6890000000000001,12.4,9,35,0.629,22,1.0,3,"November 16, 2018",75.0,15,5.7,2,144.3,65.4,17,0.5760000000000001,46,0.435,20,0.174,8,0.875,7,2,200,98.4,28.0,7,11,60,,1.6,1,0.565,26,0.5,13,47.1,24,0.602,24.4,16,20,0.35,7,0.5,2,"TD Arena, Charleston, South Carolina",NORTHEASTERN,Northeastern,61.4,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,2,False,False,False,Away,True,14,22,62,27,51,13,7,46,1,0,17,44,126,0.5515873015873016,58,110,0.5272727272727272,15,28,97,0.520618556701031,1.0
3,2018-11-18-20-purdue,50.0,15,3.6,1,118.6,60.7,17,0.636,55,0.545,30,0.473,26,0.731,19,0,200,127.1,17.4,4,14,89,16.0,8.6,6,0.436,24,0.41700000000000004,10,41.2,21,0.6609999999999999,11.9,9,31,0.645,20,1.0,4,"November 18, 2018",58.1,18,3.2,1,127.1,82.6,19,0.623,61,0.508,31,0.18,11,0.636,7,1,200,118.6,39.3,11,21,83,23.0,10.0,7,0.541,33,0.424,14,58.8,30,0.627,16.5,13,28,0.607,17,0.8,4,"TD Arena, Charleston, South Carolina",PURDUE,Purdue,70.3,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,3,False,False,False,Away,True,10,20,55,21,51,14,17,61,1,0,31,66,188,0.598404255319149,85,161,0.5279503105590062,28,35,143,0.5384615384615384,1.0
4,2018-11-24-13-virginia-tech,40.0,6,7.7,2,110.3,74.1,20,0.293,58,0.259,15,0.052000000000000005,3,1.0,3,4,200,54.4,34.2,13,15,37,,8.8,6,0.379,22,0.182,4,50.8,33,0.311,26.1,21,36,0.306,11,0.2,1,"November 24, 2018",74.1,20,8.3,3,54.4,65.8,25,0.596,57,0.474,27,0.158,9,0.778,7,0,200,110.3,25.9,7,10,75,13.0,10.3,7,0.544,31,0.452,14,49.2,32,0.612,18.7,14,26,0.5,13,1.0,5,"Cassell Coliseum, Blacksburg, Virginia",SAINT-FRANCIS-PA,Saint Francis (PA),67.9,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,4,True,False,True,Home,True,14,13,57,32,65,4,11,58,1,0,41,86,243,0.6069958847736625,106,212,0.5,42,52,204,0.5637254901960784,1.0
5,2018-11-27-19-penn-state,40.9,9,10.7,3,100.0,58.1,18,0.54,50,0.44,22,0.26,13,0.615,8,1,200,98.4,26.7,8,14,62,13.0,17.5,11,0.38,19,0.526,10,42.6,26,0.552,20.1,14,31,0.387,12,0.833,5,"November 27, 2018",56.0,14,16.1,5,98.4,73.3,22,0.518,57,0.439,25,0.12300000000000001,7,0.5710000000000001,4,2,200,100.0,41.9,13,16,63,,12.7,8,0.509,29,0.31,9,57.4,35,0.522,21.0,16,28,0.5710000000000001,16,0.667,4,"Bryce Jordan Center, University Park, Pennsylvania",VIRGINIA-TECH,Virginia Tech,62.8,Home,PENN-STATE,Penn State,Virginia Tech,acc,5,False,False,False,Away,False,10,12,50,26,61,9,16,57,0,1,55,99,300,0.605,138,277,0.4981949458483754,46,63,262,0.5038167938931297,1.0
6,2018-12-01-17-virginia-tech,64.3,9,13.3,4,136.2,70.8,17,0.324,54,0.259,14,0.13,7,0.7140000000000001,5,5,200,58.0,18.8,6,14,40,,5.8,4,0.519,28,0.25,7,41.1,23,0.349,22.9,17,26,0.26899999999999996,7,0.444,4,"December 1, 2018",77.8,28,11.5,3,58.0,81.3,26,0.7140000000000001,63,0.5710000000000001,36,0.159,10,0.4,4,1,200,136.2,29.2,7,14,94,13.0,13.0,9,0.524,33,0.545,18,58.9,33,0.6940000000000001,11.8,9,30,0.6,18,0.857,6,"Cassell Coliseum, Blacksburg, Virginia",CENTRAL-CONNECTICUT-STATE,Central Connecticut,69.0,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,6,True,False,True,Home,True,18,18,63,33,56,7,7,54,1,0,65,111,350,0.5957142857142858,164,338,0.48520710059171596,55,79,319,0.5062695924764891,0.8333333333333334
7,2018-12-05-19-virginia-tech,34.6,9,3.0,1,118.7,73.3,22,0.483,60,0.433,26,0.233,14,0.7140000000000001,10,5,200,90.7,10.3,3,22,68,,6.7,5,0.41700000000000004,25,0.24,6,42.4,25,0.51,17.5,14,35,0.5710000000000001,20,0.5,5,"December 5, 2018",63.3,19,8.6,3,90.7,89.7,26,0.612,58,0.517,30,0.431,25,0.72,18,1,200,118.7,26.7,8,16,89,15.0,5.3,4,0.431,25,0.44,11,57.6,34,0.637,13.8,11,33,0.5760000000000001,19,0.875,7,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-MILITARY-INSTITUTE,VMI,75.3,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,7,True,False,True,Home,True,11,19,58,34,59,6,20,60,1,0,83,129,413,0.6138014527845036,197,394,0.5,62,86,373,0.47989276139410186,0.8571428571428571
8,2018-12-09-13-virginia-tech,33.3,6,8.8,3,120.9,56.7,17,0.349,53,0.34,18,0.226,12,0.583,7,9,200,65.7,28.6,10,18,44,,7.5,5,0.245,13,0.077,1,41.5,27,0.375,24.6,19,40,0.425,17,0.182,2,"December 9, 2018",67.9,19,12.5,5,65.7,71.4,25,0.578,58,0.483,28,0.32799999999999996,19,0.737,14,1,200,120.9,43.3,13,14,81,15.0,19.4,13,0.414,24,0.45799999999999996,11,58.5,38,0.604,16.4,13,34,0.5,17,0.889,8,"Cassell Coliseum, Blacksburg, Virginia",SOUTH-CAROLINA-STATE,South Carolina State,67.4,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,8,True,False,True,Home,True,11,17,58,38,65,1,17,53,1,0,94,148,471,0.613588110403397,231,453,0.5099337748344371,68,106,433,0.48036951501154734,0.875
9,2018-12-15-19-washington,58.3,14,3.3,1,89.7,61.1,22,0.5,56,0.429,24,0.375,21,0.81,17,1,200,107.4,30.8,8,17,73,13.0,10.3,7,0.39299999999999996,22,0.364,8,48.4,30,0.5529999999999999,14.4,11,34,0.47100000000000003,16,0.9,9,"December 15, 2018",68.2,15,11.8,4,107.4,69.2,18,0.45,60,0.36700000000000005,22,0.233,14,0.5,7,4,200,89.7,38.9,14,20,61,,13.2,9,0.5,30,0.33299999999999996,10,51.6,32,0.45799999999999996,18.5,15,30,0.4,12,0.636,7,"Boardwalk Hall, Atlantic City, New Jersey",WASHINGTON,Washington,68.3,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,9,False,False,False,Away,True,8,16,56,30,62,10,12,60,1,0,105,165,529,0.6096408317580341,269,518,0.5193050193050193,69,123,486,0.4660493827160494,0.8888888888888888
