,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-CAROLINA-UPSTATE_homegame,SOUTH-CAROLINA-UPSTATE_homegame2,SOUTH-CAROLINA-UPSTATE_home,SOUTH-CAROLINA-UPSTATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-south-carolina,52.6,10,7.5,3,84.4,58.5,24,0.38799999999999996,58,0.32799999999999996,19,0.172,10,0.7,7,1,200,67.5,16.7,6,28,52,,9.1,7,0.483,28,0.25,7,39.0,30,0.414,24.3,20,30,0.4,12,0.0,0,"November 6, 2018",31.6,6,10.0,3,67.5,83.3,30,0.32799999999999996,58,0.32799999999999996,19,0.638,37,0.73,27,0,200,84.4,41.5,17,13,65,,14.3,11,0.31,18,0.0,0,61.0,47,0.43,20.4,19,40,0.475,19,1.0,1,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,77.2,Home,SOUTH-CAROLINA,South Carolina,South Carolina Upstate,big-south,0,False,False,False,Away,False,7,12,58,30,77,0,19,58,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-16-south-carolina-upstate,43.8,7,2.8,1,124.6,58.3,21,0.419,43,0.37200000000000005,16,0.37200000000000005,16,0.43799999999999994,7,0,200,62.3,13.3,4,20,43,,7.2,5,0.37200000000000005,16,0.25,4,37.9,25,0.425,29.6,21,27,0.444,12,0.0,0,"November 10, 2018",60.0,18,11.1,3,62.3,86.7,26,0.5489999999999999,61,0.49200000000000005,30,0.49200000000000005,30,0.633,19,1,200,124.6,41.7,15,18,86,,17.4,12,0.41,25,0.28,7,62.1,41,0.5710000000000001,11.9,10,36,0.639,23,0.5,1,"G.B. Hodge Center, Spartanburg, South Carolina","Brevard
			","Brevard
			",68.9,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,1,True,False,True,Home,True,7,23,61,41,66,4,12,43,1,0,7,12,58,0.3879310344827586,30,77,0.38961038961038963,0,19,58,0.3275862068965517,0.0
2,2018-11-14-19-virginia-military-institute,43.3,13,3.0,1,104.0,81.5,22,0.508,64,0.469,30,0.21899999999999997,14,0.5,7,2,200,96.0,20.7,6,20,72,,8.0,6,0.32799999999999996,21,0.23800000000000002,5,50.0,28,0.51,13.6,11,43,0.581,25,0.33299999999999996,1,"November 14, 2018",58.3,14,4.7,2,96.0,79.3,23,0.537,54,0.444,24,0.444,24,0.833,20,1,200,104.0,18.5,5,16,78,,6.7,5,0.389,21,0.47600000000000003,10,50.0,28,0.596,16.8,13,33,0.424,14,0.75,3,"Cameron Hall, Lexington, Virginia",SOUTH-CAROLINA-UPSTATE,USC Upstate,74.5,Home,VIRGINIA-MILITARY-INSTITUTE,VMI,South Carolina Upstate,big-south,2,False,False,False,Away,False,5,25,64,28,56,10,14,54,0,1,14,35,119,0.47058823529411764,71,143,0.4965034965034965,4,31,101,0.36633663366336633,0.5
3,2018-11-21-22-portland,55.6,10,2.9,1,97.3,77.8,28,0.34600000000000003,65,0.27699999999999997,18,0.215,14,0.7859999999999999,11,3,200,74.7,14.6,6,18,56,,10.7,8,0.508,33,0.273,9,44.2,34,0.391,13.4,11,32,0.281,9,0.25,1,"November 21, 2018",64.0,16,9.4,3,74.7,85.4,35,0.5,59,0.424,25,0.33899999999999997,20,0.7,14,2,200,97.3,22.2,8,17,73,,8.0,6,0.40700000000000003,24,0.375,9,55.8,43,0.5329999999999999,16.1,13,35,0.457,16,0.667,4,"Chiles Center, Portland, Oregon",SOUTH-CAROLINA-UPSTATE,USC Upstate,75.1,Home,PORTLAND,Portland,South Carolina Upstate,big-south,3,False,False,False,Away,False,9,9,65,34,77,9,16,59,0,1,19,60,183,0.48360655737704916,99,199,0.49748743718592964,14,45,155,0.4258064516129032,0.3333333333333333
4,2018-11-23-19-south-carolina-upstate,51.7,15,6.5,2,72.5,78.1,25,0.579,57,0.509,29,0.386,22,0.727,16,1,200,118.8,33.3,9,17,82,,13.0,9,0.40399999999999997,23,0.348,8,57.6,34,0.608,13.0,10,34,0.618,21,0.8,4,"November 23, 2018",58.8,10,11.8,4,118.8,66.7,18,0.413,52,0.327,17,0.212,11,0.636,7,4,200,72.5,21.9,7,22,50,,4.3,3,0.40399999999999997,21,0.429,9,42.4,25,0.43700000000000006,26.0,20,31,0.258,8,0.2,1,"Chiles Center, Portland, Oregon",SOUTH-CAROLINA-UPSTATE,USC Upstate,69.3,Away,TEXAS-STATE,Texas State,South Carolina Upstate,big-south,4,False,True,True,Home,False,9,8,52,25,59,8,21,57,0,1,28,69,248,0.4475806451612903,133,276,0.48188405797101447,23,61,214,0.4462616822429907,0.25
5,2018-11-24-17-cal-poly,74.1,20,5.0,2,100.0,76.3,29,0.485,68,0.397,27,0.162,11,0.727,8,5,225,98.7,26.3,10,22,74,,9.3,7,0.485,33,0.364,12,51.3,39,0.505,14.1,12,35,0.429,15,0.16699999999999998,1,"November 24, 2018",57.1,16,14.3,5,98.7,73.7,28,0.516,62,0.452,28,0.355,22,0.5,11,4,225,100.0,23.7,9,15,75,,6.7,5,0.355,22,0.364,8,48.7,37,0.518,13.3,11,40,0.5,20,0.33299999999999996,2,"Chiles Center, Portland, Oregon",SOUTH-CAROLINA-UPSTATE,USC Upstate,66.5,Home,CAL-POLY,Cal Poly,South Carolina Upstate,big-south,5,False,False,False,Away,False,12,15,68,39,76,8,20,62,0,1,37,77,300,0.44166666666666665,158,335,0.4716417910447761,31,82,271,0.474169741697417,0.2
6,2018-11-28-19-south-carolina-upstate,42.9,12,10.7,3,95.3,57.9,22,0.526,57,0.491,28,0.281,16,0.875,14,5,200,115.6,29.0,9,16,74,,10.9,7,0.316,18,0.222,4,44.9,31,0.573,12.3,9,39,0.615,24,0.375,3,"November 28, 2018",50.0,10,5.1,2,115.6,71.0,22,0.439,57,0.35100000000000003,20,0.281,16,0.688,11,6,200,95.3,42.1,16,20,61,,4.7,3,0.509,29,0.345,10,55.1,38,0.47200000000000003,19.0,15,28,0.35700000000000004,10,0.14300000000000002,1,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,64.1,Away,GARDNER-WEBB,Gardner-Webb,South Carolina Upstate,big-south,6,False,True,True,Home,False,10,10,57,38,69,4,24,57,0,1,49,92,368,0.44972826086956524,197,411,0.4793187347931874,39,102,333,0.481981981981982,0.16666666666666666
7,2018-12-01-14-western-michigan,55.2,16,10.3,4,94.3,59.0,23,0.524,62,0.46799999999999997,29,0.145,9,0.667,6,6,200,101.4,23.3,7,24,71,,8.6,6,0.29,18,0.389,7,43.5,30,0.536,10.8,8,44,0.5,22,0.25,2,"December 1, 2018",38.1,8,6.8,3,101.4,76.7,23,0.375,60,0.35,21,0.517,31,0.677,21,4,200,94.3,41.0,16,13,66,,4.3,3,0.35,21,0.14300000000000002,3,56.5,39,0.442,15.0,13,39,0.462,18,0.5,4,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,69.5,Away,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south,7,False,False,False,Away,True,7,22,62,30,69,3,18,60,1,0,59,102,425,0.44823529411764707,235,480,0.4895833333333333,43,126,390,0.48846153846153845,0.14285714285714285
8,2018-12-05-19-eastern-kentucky,51.7,15,6.0,3,91.9,63.8,30,0.49200000000000005,66,0.439,29,0.242,16,0.75,12,7,200,89.5,31.3,10,18,77,,9.3,8,0.33299999999999996,22,0.318,7,50.6,40,0.523,25.5,25,44,0.5,22,0.222,2,"December 5, 2018",59.3,16,18.2,8,89.5,68.8,22,0.414,76,0.355,27,0.276,21,0.762,16,4,200,91.9,36.2,17,15,79,,16.3,14,0.342,26,0.34600000000000003,9,49.4,39,0.45899999999999996,14.1,14,50,0.36,18,0.556,5,"McBrayer Arena, Richmond, Kentucky",SOUTH-CAROLINA-UPSTATE,USC Upstate,85.8,Home,EASTERN-KENTUCKY,Eastern Kentucky,South Carolina Upstate,big-south,8,False,False,False,Away,False,7,22,66,40,79,9,18,76,0,1,66,124,487,0.45790554414784396,265,549,0.48269581056466304,46,144,450,0.47333333333333333,0.25
9,2018-12-08-16-south-carolina-upstate,60.7,17,10.5,4,84.5,71.4,25,0.557,61,0.45899999999999996,28,0.213,13,0.462,6,0,200,104.2,30.3,10,16,74,25.0,14.1,10,0.475,29,0.414,12,51.5,35,0.551,17.3,14,32,0.5,16,1.0,10,"December 8, 2018",40.9,9,21.9,7,104.2,69.7,23,0.447,57,0.386,22,0.281,16,0.563,9,8,200,84.5,28.6,10,15,60,,11.3,8,0.33299999999999996,19,0.368,7,48.5,33,0.46399999999999997,21.0,17,38,0.395,15,0.2,2,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,71.4,Away,FURMAN,Furman,South Carolina Upstate,big-south,9,False,True,True,Home,False,7,15,57,33,68,12,16,61,0,1,73,146,553,0.4620253164556962,305,628,0.4856687898089172,55,162,526,0.46482889733840305,0.2222222222222222
