,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CINCINNATI_homegame,CINCINNATI_homegame2,CINCINNATI_home,CINCINNATI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-18-cincinnati,35.0,7,13.9,5,83.6,63.6,21,0.511,47,0.426,20,0.46799999999999997,22,0.727,16,0,200,95.5,24.0,6,22,64,,3.0,2,0.426,20,0.4,8,46.6,27,0.557,18.7,13,27,0.444,12,1.0,1,"November 7, 2018",70.6,12,25.9,7,95.5,76.0,19,0.32299999999999995,62,0.27399999999999997,17,0.33899999999999997,21,0.762,16,1,200,83.6,36.4,12,19,56,,6.0,4,0.419,26,0.231,6,53.4,31,0.389,12.3,10,36,0.306,11,0.0,0,"Fifth Third Arena, Cincinnati, Ohio",CINCINNATI,Cincinnati,67.2,Away,OHIO-STATE,Ohio State,Cincinnati,aac,0,False,True,True,Home,False,6,11,62,31,58,8,12,47,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-cincinnati,70.6,12,2.6,1,119.7,71.4,15,0.447,47,0.36200000000000004,17,0.255,12,0.75,9,2,200,83.6,28.6,8,18,51,,6.6,4,0.36200000000000004,17,0.47100000000000003,8,46.9,23,0.484,21.1,14,30,0.3,9,0.0,0,"November 13, 2018",61.3,19,26.7,8,83.6,71.4,20,0.632,53,0.585,31,0.226,12,0.5,6,1,200,119.7,28.6,6,13,73,,13.1,8,0.264,14,0.35700000000000004,5,53.1,26,0.622,15.9,11,39,0.667,26,0.5,1,"Fifth Third Arena, Cincinnati, Ohio",NORTH-CAROLINA-CENTRAL,North Carolina Central,61.2,Home,CINCINNATI,Cincinnati,Cincinnati,aac,1,True,False,True,Home,True,5,26,53,26,49,8,9,47,1,0,6,11,62,0.3225806451612903,31,58,0.5344827586206896,8,12,47,0.5106382978723404,0.0
2,2018-11-16-19-cincinnati,44.0,11,0.0,0,115.6,60.0,18,0.527,56,0.446,25,0.125,7,0.5710000000000001,4,4,200,98.4,17.2,5,19,63,,3.1,2,0.41100000000000003,23,0.391,9,39.0,23,0.531,15.7,11,33,0.485,16,0.0,0,"November 16, 2018",55.2,16,9.1,3,98.4,82.8,24,0.534,58,0.5,29,0.345,20,0.6,12,1,200,115.6,40.0,12,7,74,,10.9,7,0.32799999999999996,19,0.21100000000000002,4,61.0,36,0.5479999999999999,10.7,8,39,0.6409999999999999,25,0.667,2,"Fifth Third Arena, Cincinnati, Ohio",MILWAUKEE,Milwaukee,64.4,Home,CINCINNATI,Cincinnati,Cincinnati,aac,2,True,False,True,Home,True,4,25,58,36,59,9,16,56,1,0,11,37,115,0.4652173913043478,57,107,0.5327102803738317,16,21,94,0.4787234042553192,0.5
3,2018-11-19-19-cincinnati,53.3,8,3.9,2,109.9,61.3,19,0.4,45,0.33299999999999996,15,0.6890000000000001,31,0.516,16,2,200,73.2,15.2,5,18,52,,5.6,4,0.444,20,0.3,6,37.5,24,0.435,22.5,17,25,0.36,9,0.6,3,"November 19, 2018",63.3,19,16.0,4,73.2,84.8,28,0.508,64,0.469,30,0.266,17,0.765,13,1,200,109.9,38.7,12,21,78,,14.1,10,0.203,13,0.385,5,62.5,40,0.541,13.3,11,51,0.49,25,0.75,3,"Fifth Third Arena, Cincinnati, Ohio",WESTERN-MICHIGAN,Western Michigan,71.4,Home,CINCINNATI,Cincinnati,Cincinnati,aac,3,True,False,True,Home,True,5,25,64,40,64,6,9,45,1,0,15,62,173,0.4884393063583815,93,166,0.5602409638554217,25,37,150,0.49666666666666665,0.6666666666666666
4,2018-11-23-19-cincinnati,54.5,12,6.5,3,101.4,70.6,12,0.51,50,0.44,22,0.22,11,0.364,4,4,200,78.6,11.5,3,19,55,,11.4,8,0.46,23,0.304,7,34.9,15,0.498,22.6,16,27,0.556,15,0.33299999999999996,2,"November 23, 2018",25.9,7,11.1,3,78.6,88.5,23,0.528,53,0.509,27,0.396,21,0.7140000000000001,15,1,200,101.4,29.4,5,14,71,,12.9,9,0.132,7,0.28600000000000003,2,65.1,28,0.564,17.3,13,46,0.5429999999999999,25,0.8,4,"The Arena, Niceville, Florida",GEORGE-MASON,George Mason,69.6,Home,CINCINNATI,Cincinnati,Cincinnati,aac,4,True,False,True,Home,True,2,25,53,28,43,7,15,50,1,0,20,87,237,0.4936708860759494,133,230,0.5782608695652174,31,46,195,0.47435897435897434,0.75
5,2018-11-24-19-mississippi,45.0,9,20.0,6,87.7,78.6,22,0.46,50,0.4,20,0.7,35,0.7140000000000001,25,1,200,109.2,30.8,8,17,71,,6.2,4,0.28,14,0.429,6,55.6,30,0.5329999999999999,9.7,7,36,0.389,14,0.833,5,"November 24, 2018",15.8,3,16.7,6,109.2,69.2,18,0.402,51,0.373,19,0.33299999999999996,17,0.941,16,2,200,87.7,21.4,6,26,57,,4.6,3,0.41200000000000003,21,0.14300000000000002,3,44.4,24,0.48200000000000004,15.8,11,30,0.5329999999999999,16,0.6,3,"The Arena, Niceville, Florida",MISSISSIPPI,Ole Miss,64.9,Away,CINCINNATI,Cincinnati,Cincinnati,aac,5,False,False,False,Away,True,6,14,50,30,54,3,16,51,1,0,22,112,290,0.5,161,273,0.5897435897435898,38,61,245,0.4816326530612245,0.8
6,2018-11-27-19-cincinnati,68.8,11,0.0,0,134.6,66.7,16,0.36,50,0.32,16,0.34,17,0.765,13,5,200,62.8,29.0,9,19,49,,9.0,7,0.42,21,0.19,4,45.5,25,0.42200000000000004,33.5,29,29,0.414,12,0.28600000000000003,2,"November 27, 2018",46.3,19,20.7,6,62.8,71.0,22,0.727,64,0.6409999999999999,41,0.281,18,0.667,12,1,200,134.6,33.3,8,17,105,,16.7,13,0.297,19,0.579,11,54.5,30,0.7240000000000001,16.3,14,45,0.667,30,0.857,6,"Fifth Third Arena, Cincinnati, Ohio",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,78.3,Home,CINCINNATI,Cincinnati,Cincinnati,aac,6,True,False,True,Home,True,11,30,64,30,55,4,12,50,1,0,28,126,340,0.49411764705882355,191,327,0.5840978593272171,41,77,296,0.46790540540540543,0.8333333333333334
7,2018-12-01-18-nevada-las-vegas,58.3,14,14.8,4,95.3,61.1,22,0.551,49,0.49,24,0.327,16,0.688,11,1,200,101.6,28.6,8,23,65,,10.9,7,0.245,12,0.5,6,46.9,30,0.574,22.2,16,37,0.486,18,0.875,7,"December 1, 2018",44.4,8,10.8,4,101.6,71.4,20,0.42200000000000004,51,0.353,18,0.569,29,0.621,18,3,200,95.3,38.9,14,17,61,,9.4,6,0.47100000000000003,24,0.292,7,53.1,34,0.47100000000000003,15.8,12,27,0.40700000000000003,11,0.5710000000000001,4,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,63.7,Away,CINCINNATI,Cincinnati,Cincinnati,aac,7,False,False,False,Away,True,6,18,49,30,64,7,11,51,1,0,39,156,404,0.530940594059406,221,382,0.5785340314136126,45,89,346,0.4523121387283237,0.8571428571428571
8,2018-12-04-19-cincinnati,45.8,11,7.7,3,118.2,51.9,14,0.49200000000000005,60,0.4,24,0.25,15,0.4,6,2,200,98.5,33.3,12,22,65,,7.6,5,0.41700000000000004,25,0.44,11,41.3,26,0.484,16.3,13,35,0.371,13,0.8,8,"December 4, 2018",62.5,15,14.3,5,98.5,66.7,24,0.5,52,0.462,24,0.635,33,0.7879999999999999,26,1,200,118.2,48.1,13,12,78,,9.1,6,0.25,13,0.308,4,58.7,37,0.5760000000000001,13.1,10,39,0.513,20,0.889,8,"Fifth Third Arena, Cincinnati, Ohio",NORTHERN-KENTUCKY,Northern Kentucky,66.4,Home,CINCINNATI,Cincinnati,Cincinnati,aac,8,True,False,True,Home,True,4,20,52,37,63,11,13,60,1,0,45,174,453,0.5331125827814569,251,446,0.5627802690582959,52,100,397,0.44836272040302266,0.875
9,2018-12-08-14-cincinnati,44.4,8,4.9,2,106.9,62.5,20,0.402,51,0.353,18,0.17600000000000002,9,0.667,6,4,200,81.0,25.0,7,14,47,,5.2,3,0.49,25,0.2,5,45.0,27,0.425,15.4,10,26,0.5,13,0.6,6,"December 8, 2018",66.7,16,15.4,4,81.0,75.0,21,0.449,59,0.40700000000000003,24,0.22,13,0.6920000000000001,9,1,200,106.9,37.5,12,14,62,,6.9,4,0.305,18,0.278,5,55.0,33,0.47600000000000003,7.2,5,41,0.46299999999999997,19,0.9,9,"Fifth Third Arena, Cincinnati, Ohio",XAVIER,Xavier,58.2,Home,CINCINNATI,Cincinnati,Cincinnati,aac,9,True,False,True,Home,True,5,19,59,33,60,5,13,51,1,0,49,194,505,0.5297029702970297,288,509,0.5658153241650294,63,113,457,0.4540481400437637,0.8888888888888888
