,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-TEXAS_homegame,NORTH-TEXAS_homegame2,NORTH-TEXAS_home,NORTH-TEXAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-north-texas,35.0,7,3.6,1,130.9,45.2,14,0.41200000000000003,57,0.35100000000000003,20,0.298,17,0.47100000000000003,8,0,195,80.9,30.6,11,19,55,,10.3,7,0.35100000000000003,20,0.35,7,37.3,25,0.423,18.9,15,37,0.35100000000000003,13,0.0,0,"November 6, 2018",60.0,18,18.9,7,80.9,69.4,25,0.617,60,0.5,30,0.317,19,0.789,15,0,195,130.9,54.8,17,17,89,,10.3,7,0.5329999999999999,32,0.43799999999999994,14,62.7,42,0.645,18.0,15,28,0.5710000000000001,16,1.0,1,"UNT Coliseum, Denton, Texas","Angelo State
			","Angelo State
			",69.8,Home,NORTH-TEXAS,North Texas,North Texas,cusa,0,True,False,True,Home,True,14,16,60,42,67,7,13,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-21-north-texas,52.6,10,13.9,5,124.0,66.7,20,0.33299999999999996,57,0.33299999999999996,19,0.281,16,0.625,10,0,200,64.0,31.4,11,19,48,,10.7,8,0.316,18,0.0,0,47.7,31,0.37200000000000005,25.6,22,39,0.48700000000000004,19,0.0,0,"November 9, 2018",55.9,19,0.0,0,64.0,68.6,24,0.648,64,0.531,34,0.266,17,0.588,10,0,200,124.0,33.3,10,16,93,,18.7,14,0.43799999999999994,28,0.536,15,52.3,34,0.645,15.4,13,36,0.528,19,1.0,2,"Stan Sheriff Center, Honolulu, Hawaii","Humboldt State
			","Humboldt State
			",75.3,Home,NORTH-TEXAS,North Texas,North Texas,cusa,1,True,False,True,Home,True,15,19,64,34,65,0,19,57,1,0,14,16,60,0.6166666666666667,42,67,0.6268656716417911,7,13,57,0.41228070175438597,1.0
2,2018-11-10-21-north-texas,24.0,6,9.1,3,121.9,70.0,14,0.5670000000000001,52,0.48100000000000004,25,0.40399999999999997,21,0.667,14,2,200,114.1,23.1,6,14,73,,7.8,5,0.40399999999999997,21,0.429,9,43.5,20,0.589,12.8,9,31,0.516,16,0.33299999999999996,1,"November 10, 2018",60.7,17,9.7,3,114.1,76.9,20,0.604,53,0.528,28,0.34,18,0.778,14,0,200,121.9,30.0,6,18,78,,4.7,3,0.377,20,0.4,8,56.5,26,0.634,11.6,8,33,0.606,20,1.0,3,"Stan Sheriff Center, Honolulu, Hawaii",PORTLAND,Portland,64.3,Home,NORTH-TEXAS,North Texas,North Texas,cusa,2,True,False,True,Home,True,8,20,53,26,46,9,16,52,1,0,29,35,124,0.6330645161290323,76,132,0.5757575757575758,7,32,114,0.37280701754385964,1.0
3,2018-11-11-23-hawaii,48.1,13,10.7,3,78.5,73.5,25,0.536,55,0.491,27,0.255,14,0.643,9,0,200,104.6,30.8,8,18,68,,9.2,6,0.345,19,0.263,5,55.0,33,0.552,15.2,11,36,0.611,22,1.0,4,"November 11, 2018",52.6,10,16.7,6,104.6,69.2,18,0.423,52,0.365,19,0.25,13,0.5379999999999999,7,1,200,78.5,26.5,9,14,51,,6.2,4,0.462,24,0.25,6,45.0,27,0.43799999999999994,22.8,17,28,0.46399999999999997,13,0.667,2,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,65.4,Away,NORTH-TEXAS,North Texas,North Texas,cusa,3,False,False,False,Away,True,5,22,55,33,60,6,13,52,1,0,37,55,177,0.6242937853107344,102,178,0.5730337078651685,16,48,166,0.43373493975903615,1.0
4,2018-11-14-20-north-texas,35.0,7,7.4,2,150.0,69.2,18,0.379,58,0.345,20,0.32799999999999996,19,0.474,9,0,200,77.9,26.2,11,15,53,,5.9,4,0.431,25,0.16,4,42.6,29,0.395,15.3,12,33,0.485,16,0.0,0,"November 14, 2018",50.0,18,3.0,1,77.9,73.8,31,0.746,61,0.59,36,0.311,19,0.579,11,0,200,150.0,30.8,8,20,102,,11.8,8,0.557,34,0.5589999999999999,19,57.4,39,0.728,6.7,5,27,0.63,17,1.0,5,"UNT Coliseum, Denton, Texas","Texas A&amp;M-Commerce
			","Texas A&amp;M-Commerce
			",67.5,Home,NORTH-TEXAS,North Texas,North Texas,cusa,4,True,False,True,Home,True,19,17,61,39,68,4,16,58,1,0,42,77,232,0.603448275862069,135,238,0.5672268907563025,22,61,218,0.43119266055045874,1.0
5,2018-11-17-18-north-texas,33.3,4,0.0,0,104.6,63.3,19,0.255,53,0.226,12,0.18899999999999997,10,0.7,7,4,200,52.3,12.5,5,16,34,,9.2,6,0.415,22,0.136,3,34.3,24,0.294,19.6,14,31,0.29,9,0.0,0,"November 17, 2018",58.3,14,9.7,3,52.3,87.5,35,0.509,54,0.444,24,0.389,21,0.619,13,0,200,104.6,36.7,11,13,68,,15.4,10,0.519,28,0.25,7,65.7,46,0.531,14.8,11,26,0.654,17,1.0,6,"UNT Coliseum, Denton, Texas",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,65.4,Home,NORTH-TEXAS,North Texas,North Texas,cusa,5,True,False,True,Home,True,7,17,54,46,70,3,9,53,1,0,61,94,293,0.6331058020477816,174,306,0.5686274509803921,26,77,276,0.42028985507246375,1.0
6,2018-11-20-20-north-texas,56.0,14,14.3,5,113.8,77.3,17,0.509,56,0.446,25,0.179,10,0.6,6,5,225,96.9,20.7,6,24,63,,10.8,7,0.41100000000000003,23,0.304,7,45.1,23,0.519,14.2,10,33,0.545,18,0.0,0,"November 20, 2018",66.7,16,9.1,3,96.9,79.3,23,0.5870000000000001,46,0.522,24,0.522,24,0.833,20,0,225,113.8,22.7,5,15,74,,6.2,4,0.239,11,0.545,6,54.9,28,0.645,18.7,13,35,0.514,18,1.0,7,"UNT Coliseum, Denton, Texas",MAINE,Maine,57.8,Home,NORTH-TEXAS,North Texas,North Texas,cusa,6,True,False,True,Home,True,6,18,46,28,51,7,18,56,1,0,68,111,347,0.6138328530259366,220,376,0.5851063829787234,29,86,329,0.39361702127659576,1.0
7,2018-11-24-16-north-texas,41.7,10,13.5,5,110.3,62.1,18,0.53,50,0.48,24,0.34,17,0.765,13,4,200,97.1,26.1,6,20,66,,13.2,9,0.38,19,0.263,5,46.2,24,0.568,20.7,15,31,0.613,19,0.2,1,"November 24, 2018",48.0,12,12.9,4,97.1,73.9,17,0.528,53,0.47200000000000003,25,0.509,27,0.7040000000000001,19,0,200,110.3,37.9,11,14,75,,11.8,8,0.302,16,0.375,6,53.8,28,0.57,17.7,14,37,0.514,19,1.0,8,"UNT Coliseum, Denton, Texas",SAINT-PETERS,St. Peter's,68.0,Home,NORTH-TEXAS,North Texas,North Texas,cusa,7,True,False,True,Home,True,6,19,53,28,52,5,19,50,1,0,74,129,393,0.6106870229007634,248,427,0.5807962529274004,36,104,385,0.4103896103896104,1.0
8,2018-11-27-20-oklahoma,42.1,8,2.8,1,91.3,82.8,24,0.319,69,0.275,19,0.24600000000000002,17,0.765,13,1,200,71.3,28.9,13,26,57,,10.0,8,0.377,26,0.231,6,50.0,37,0.37,18.2,17,43,0.302,13,0.889,8,"November 27, 2018",48.0,12,9.3,4,71.3,71.1,32,0.528,53,0.47200000000000003,25,0.623,33,0.515,17,1,200,91.3,17.2,5,15,73,,10.0,8,0.321,17,0.353,6,50.0,37,0.531,19.2,16,36,0.528,19,0.857,6,"Lloyd Noble Center, Norman, Oklahoma",NORTH-TEXAS,North Texas,80.4,Home,OKLAHOMA,Oklahoma,North Texas,cusa,8,False,False,False,Away,False,6,13,69,37,74,6,19,53,0,1,80,148,446,0.600896860986547,276,479,0.5762004175365344,41,123,435,0.4241379310344828,1.0
9,2018-12-05-19-indiana-state,48.3,14,7.1,3,94.5,78.4,29,0.5920000000000001,60,0.483,29,0.16699999999999998,10,0.9,9,1,200,109.6,30.0,9,23,80,,5.5,4,0.5329999999999999,32,0.406,13,56.7,38,0.618,18.9,15,28,0.5710000000000001,16,0.9,9,"December 5, 2018",43.5,10,7.1,2,109.6,70.0,21,0.441,59,0.39,23,0.40700000000000003,24,0.708,17,2,200,94.5,21.6,8,15,69,,8.2,6,0.28800000000000003,17,0.353,6,43.3,29,0.49,14.7,12,42,0.405,17,0.7140000000000001,5,"Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,72.6,Away,NORTH-TEXAS,North Texas,North Texas,cusa,9,False,False,False,Away,True,13,16,60,38,67,6,17,59,1,0,86,161,515,0.5631067961165048,313,553,0.566003616636528,47,142,488,0.4354508196721312,0.8888888888888888
10,2018-12-08-18-north-texas,47.8,11,15.2,5,94.0,72.7,24,0.509,54,0.426,23,0.24100000000000002,13,0.462,6,7,200,91.0,31.0,9,17,61,,7.5,5,0.35200000000000004,19,0.474,9,53.2,33,0.507,21.1,16,35,0.4,14,0.3,3,"December 8, 2018",41.7,10,8.6,3,91.0,69.0,20,0.44799999999999995,58,0.414,24,0.293,17,0.647,11,1,200,94.0,27.3,9,17,63,,6.0,4,0.431,25,0.16,4,46.8,29,0.47700000000000004,12.1,9,33,0.606,20,0.909,10,"UNT Coliseum, Denton, Texas",TEXAS-ARLINGTON,Texas-Arlington,66.6,Home,NORTH-TEXAS,North Texas,North Texas,cusa,10,True,False,True,Home,True,4,20,58,29,62,9,14,54,1,0,99,177,575,0.5660869565217391,351,620,0.5661290322580645,53,159,547,0.4360146252285192,0.9
