,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,UTAH_homegame,UTAH_homegame2,UTAH_home,UTAH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-21-utah,47.8,11,2.8,1,116.9,72.4,21,0.465,57,0.40399999999999997,23,0.316,18,0.5,9,8,200,95.4,26.3,10,20,62,,6.2,4,0.386,22,0.318,7,46.3,31,0.473,13.3,10,35,0.457,16,0.2,2,"December 21, 2018",62.1,18,2.9,1,95.4,73.7,28,0.551,59,0.49200000000000005,29,0.237,14,0.7859999999999999,11,5,200,116.9,27.6,8,18,76,,7.7,5,0.39,23,0.304,7,53.7,36,0.579,9.7,7,36,0.611,22,0.545,6,"Jon M. Huntsman Center, Salt Lake City, Utah",NORTHERN-ARIZONA,Northern Arizona,65.1,Home,UTAH,Utah,Utah,pac-12,10,True,False,True,Home,True,7,22,59,36,67,7,16,57,1,0,90,158,536,0.5466417910447762,314,579,0.542314335060449,81,181,563,0.5373001776198935,0.5
11,2018-12-29-14-utah,48.3,14,14.3,4,104.4,60.0,15,0.574,61,0.475,29,0.377,23,0.696,16,0,200,126.5,38.7,12,17,86,6.0,10.3,7,0.426,26,0.462,12,48.2,27,0.598,7.8,6,35,0.486,17,1.0,13,"December 29, 2018",40.9,9,8.6,3,126.5,61.3,19,0.5,53,0.415,22,0.415,22,0.818,18,6,200,104.4,40.0,10,20,71,,1.5,1,0.47200000000000003,25,0.36,9,51.8,29,0.5589999999999999,20.3,16,28,0.46399999999999997,13,0.5,6,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,67.7,Away,NEVADA,Nevada,Utah,pac-12,11,False,True,True,Home,False,9,13,53,29,56,12,17,61,0,1,97,180,595,0.5470588235294118,350,646,0.541795665634675,88,197,620,0.5306451612903226,0.5454545454545454
12,2019-01-03-20-arizona-state,65.5,19,8.1,3,111.7,78.4,29,0.649,57,0.509,29,0.474,27,0.815,22,6,200,124.7,20.7,6,21,96,,9.1,7,0.526,30,0.5329999999999999,16,53.0,35,0.687,14.8,12,27,0.48100000000000004,13,0.5379999999999999,7,"January 3, 2019",50.0,15,18.5,5,124.7,79.3,23,0.546,65,0.462,30,0.385,25,0.6,15,4,200,111.7,21.6,8,18,86,,7.8,6,0.431,28,0.39299999999999996,11,47.0,31,0.5589999999999999,10.6,9,37,0.514,19,0.6920000000000001,9,"Wells Fargo Arena, Tempe, Arizona",ARIZONA-STATE,Arizona State,76.9,Away,UTAH,Utah,Utah,pac-12,12,False,False,False,Away,True,16,13,57,35,66,11,19,65,1,0,106,193,648,0.5432098765432098,379,702,0.5398860398860399,100,214,681,0.5345080763582967,0.5
13,2019-01-05-14-arizona,46.7,14,2.9,1,115.1,75.0,21,0.67,53,0.5660000000000001,30,0.264,14,0.7140000000000001,10,7,225,111.0,8.7,2,22,81,,8.2,6,0.396,21,0.524,11,45.1,23,0.679,22.3,17,32,0.594,19,0.5,7,"January 5, 2019",55.6,15,9.4,3,111.0,91.3,21,0.575,53,0.509,27,0.5660000000000001,30,0.767,23,4,225,115.1,25.0,7,15,84,,6.8,5,0.34,18,0.389,7,54.9,28,0.625,14.2,11,35,0.5710000000000001,20,0.733,11,"McKale Center, Tucson, Arizona",UTAH,Utah,64.8,Home,ARIZONA,Arizona,Utah,pac-12,13,False,False,False,Away,False,11,19,53,23,51,7,20,53,0,1,122,206,705,0.5517730496453901,414,768,0.5390625,111,233,746,0.5355227882037533,0.5384615384615384
14,2019-01-10-22-utah,59.3,16,30.0,9,82.8,59.0,23,0.485,65,0.415,27,0.12300000000000001,8,0.75,6,4,200,107.8,32.5,13,16,69,,14.1,9,0.33799999999999997,22,0.409,9,45.6,36,0.501,10.5,8,43,0.419,18,0.733,11,"January 10, 2019",80.0,16,7.0,3,107.8,67.5,27,0.38299999999999995,60,0.33299999999999996,20,0.2,12,0.583,7,8,200,82.8,41.0,16,13,53,,6.3,4,0.5,30,0.2,6,54.4,43,0.40299999999999997,18.7,15,30,0.467,14,0.467,7,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,64.3,Away,WASHINGTON,Washington,Utah,pac-12,14,False,True,True,Home,False,6,14,60,43,79,9,18,65,0,1,133,225,758,0.5600263852242744,437,819,0.5335775335775336,118,253,799,0.5381727158948686,0.5
15,2019-01-12-20-utah,47.8,11,11.1,4,114.3,63.6,14,0.39799999999999996,64,0.359,23,0.391,25,0.76,19,9,200,90.9,27.5,11,18,70,,11.7,9,0.375,24,0.20800000000000002,5,40.3,25,0.461,14.8,13,40,0.45,18,0.43799999999999994,7,"January 12, 2019",60.6,20,12.5,5,90.9,72.5,29,0.625,60,0.55,33,0.3,18,0.722,13,8,200,114.3,36.4,8,20,88,,14.3,11,0.4,24,0.375,9,59.7,37,0.642,18.1,15,36,0.667,24,0.5,8,"Jon M. Huntsman Center, Salt Lake City, Utah",WASHINGTON-STATE,Washington State,76.7,Home,UTAH,Utah,Utah,pac-12,15,True,False,True,Home,True,9,24,60,37,62,5,18,64,1,0,139,239,818,0.5470660146699267,480,898,0.534521158129176,127,271,864,0.5341435185185185,0.4666666666666667
16,2019-01-20-18-utah,38.5,10,3.0,1,108.3,74.2,23,0.45299999999999996,64,0.406,26,0.25,16,0.688,11,7,200,95.8,25.0,9,23,69,,5.6,4,0.266,17,0.353,6,47.8,32,0.48200000000000004,12.3,10,47,0.426,20,0.588,10,"January 20, 2019",64.0,16,10.6,5,95.8,75.0,27,0.536,55,0.455,25,0.527,29,0.655,19,8,200,108.3,25.8,8,22,78,,12.5,9,0.4,22,0.409,9,52.2,35,0.5670000000000001,12.9,10,33,0.485,16,0.529,9,"Jon M. Huntsman Center, Salt Lake City, Utah",COLORADO,Colorado,71.7,Home,UTAH,Utah,Utah,pac-12,16,True,False,True,Home,True,9,16,55,35,67,6,20,64,1,0,148,263,878,0.5523917995444191,517,960,0.5385416666666667,132,289,928,0.5247844827586207,0.5
17,2019-01-24-21-stanford,40.0,10,0.0,0,95.7,71.0,22,0.557,53,0.47200000000000003,25,0.302,16,0.688,11,8,200,101.4,19.2,5,15,70,,10.1,7,0.264,14,0.643,9,47.4,27,0.578,16.7,12,39,0.41,16,0.556,10,"January 24, 2019",44.0,11,25.6,10,101.4,80.8,21,0.466,58,0.431,25,0.293,17,0.706,12,10,200,95.7,29.0,9,15,66,,8.7,6,0.293,17,0.235,4,52.6,30,0.499,16.6,13,41,0.512,21,0.474,9,"Maples Pavilion, Stanford, California",STANFORD,Stanford,68.8,Away,UTAH,Utah,Utah,pac-12,17,False,False,False,Away,True,9,16,53,27,57,4,21,58,1,0,157,279,933,0.5514469453376206,552,1027,0.5374878286270691,138,309,992,0.5201612903225806,0.5294117647058824
18,2019-01-26-20-california,39.4,13,2.8,1,94.1,88.6,31,0.669,59,0.5589999999999999,33,0.153,9,0.33299999999999996,3,8,200,120.6,29.6,8,15,82,,4.4,3,0.525,31,0.419,13,62.9,39,0.648,18.2,14,28,0.7140000000000001,20,0.579,11,"January 26, 2019",52.0,13,10.7,3,120.6,70.4,19,0.5,59,0.424,25,0.16899999999999998,10,0.5,5,15,200,94.1,11.4,4,16,64,,7.4,5,0.39,23,0.391,9,37.1,23,0.502,9.9,7,36,0.444,16,0.25,5,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,68.0,Away,UTAH,Utah,Utah,pac-12,18,False,False,False,Away,True,13,20,59,39,62,9,16,59,1,0,166,295,986,0.5517241379310345,579,1084,0.5341328413284133,142,330,1050,0.5171428571428571,0.5555555555555556
19,2019-01-31-21-utah,35.7,10,38.1,8,105.9,65.6,21,0.517,59,0.475,28,0.35600000000000004,21,0.81,17,8,200,114.7,32.3,10,22,78,,16.2,11,0.35600000000000004,21,0.23800000000000002,5,49.2,31,0.565,11.7,9,38,0.605,23,0.619,13,"January 31, 2019",45.8,11,7.9,3,114.7,67.7,21,0.5670000000000001,52,0.462,24,0.442,23,0.565,13,9,200,105.9,34.4,11,20,72,,5.9,4,0.596,31,0.355,11,50.8,32,0.5720000000000001,20.5,16,21,0.619,13,0.55,11,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,68.0,Away,OREGON,Oregon,Utah,pac-12,19,False,True,True,Home,False,11,13,52,32,63,5,23,59,0,1,179,315,1045,0.5583732057416267,618,1146,0.5392670157068062,151,346,1109,0.5162308385933273,0.5789473684210527
