,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,UTAH_homegame,UTAH_homegame2,UTAH_home,UTAH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2019-02-02-17-utah,40.0,10,27.8,10,104.3,61.8,21,0.539,51,0.49,25,0.627,32,0.813,26,7,200,117.4,37.0,10,21,81,,11.6,8,0.314,16,0.313,5,50.8,31,0.612,16.6,13,35,0.5710000000000001,20,0.667,14,"February 2, 2019",40.0,10,2.9,1,117.4,63.0,17,0.483,58,0.431,25,0.431,25,0.64,16,10,200,104.3,38.2,13,23,72,,8.7,6,0.379,22,0.273,6,49.2,30,0.515,13.8,11,36,0.528,19,0.524,11,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,68.5,Away,OREGON-STATE,Oregon State,Utah,pac-12,20,False,True,True,Home,False,6,19,58,30,61,5,20,51,0,1,190,328,1097,0.5587967183226983,650,1209,0.5376344086021505,156,369,1168,0.5162671232876712,0.55
21,2019-02-06-23-southern-california,53.8,14,6.7,3,97.2,71.8,28,0.5529999999999999,57,0.456,26,0.368,21,0.667,14,10,200,106.9,25.0,8,14,77,,5.6,4,0.509,29,0.379,11,50.7,36,0.575,16.4,13,28,0.536,15,0.545,12,"February 6, 2019",44.4,12,7.1,2,106.9,75.0,24,0.444,71,0.38,27,0.155,11,0.636,7,10,200,97.2,28.2,11,17,70,,8.3,6,0.366,26,0.34600000000000003,9,49.3,35,0.45899999999999996,7.3,6,45,0.4,18,0.565,13,"Galen Center, Los Angeles, California",SOUTHERN-CALIFORNIA,USC,71.6,Away,UTAH,Utah,Utah,pac-12,21,False,False,False,Away,True,11,15,57,36,71,9,18,71,1,0,196,347,1155,0.554978354978355,680,1270,0.5354330708661418,161,389,1219,0.5172272354388844,0.5238095238095238
22,2019-02-09-17-ucla,69.7,23,2.9,1,119.5,88.5,23,0.58,69,0.478,33,0.23199999999999998,16,0.813,13,10,200,120.8,33.3,11,21,93,,5.2,4,0.522,36,0.389,14,57.6,34,0.607,14.6,13,33,0.5760000000000001,19,0.565,13,"February 9, 2019",64.5,20,6.1,2,120.8,66.7,22,0.66,53,0.585,31,0.5660000000000001,30,0.733,22,12,200,119.5,11.5,3,15,92,,6.5,5,0.34,18,0.444,8,42.4,25,0.684,15.3,12,35,0.657,23,0.5,12,"Pauley Pavilion, Los Angeles, California",UCLA,UCLA,77.4,Away,UTAH,Utah,Utah,pac-12,22,False,False,False,Away,True,14,19,69,34,59,8,23,53,1,0,207,362,1212,0.5548679867986799,716,1341,0.5339299030574198,170,407,1290,0.5131782945736434,0.5454545454545454
23,2019-02-14-21-utah,32.1,9,3.6,1,118.6,85.2,23,0.516,62,0.452,28,0.29,18,0.667,12,11,200,108.6,21.2,7,25,76,,7.1,5,0.387,24,0.33299999999999996,8,50.0,30,0.539,9.1,7,38,0.526,20,0.56,14,"February 14, 2019",61.5,16,10.5,4,108.6,78.8,26,0.596,52,0.5,26,0.5379999999999999,28,0.75,21,10,200,118.6,14.8,4,16,83,,5.7,4,0.462,24,0.41700000000000004,10,50.0,30,0.636,12.3,9,28,0.5710000000000001,16,0.583,14,"Jon M. Huntsman Center, Salt Lake City, Utah",ARIZONA,Arizona,70.4,Home,UTAH,Utah,Utah,pac-12,23,True,False,True,Home,True,10,16,52,30,60,8,20,62,1,0,221,381,1281,0.5562060889929742,750,1400,0.5357142857142857,178,430,1343,0.5189873417721519,0.5652173913043478
24,2019-02-16-22-utah,38.2,13,10.3,3,113.0,79.3,23,0.619,63,0.54,34,0.381,24,0.833,20,8,200,127.3,28.0,7,26,98,,7.8,6,0.349,22,0.455,10,55.6,30,0.659,12.0,10,41,0.585,24,0.68,17,"February 16, 2019",50.0,14,19.5,8,127.3,72.0,18,0.615,52,0.5379999999999999,28,0.6920000000000001,36,0.639,23,11,200,113.0,20.7,6,21,87,,9.1,7,0.442,23,0.348,8,44.4,24,0.63,16.1,13,29,0.69,20,0.56,14,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,76.8,Away,ARIZONA-STATE,Arizona State,Utah,pac-12,24,False,True,True,Home,False,8,20,52,24,54,10,24,63,0,1,231,397,1333,0.5577644411102776,780,1460,0.5342465753424658,186,450,1405,0.5188612099644128,0.5833333333333334
25,2019-02-20-23-washington,50.0,7,0.0,0,98.4,70.0,21,0.36,50,0.28,14,0.32,16,0.563,9,12,200,71.4,28.9,11,13,45,,7.9,5,0.48,24,0.33299999999999996,8,47.1,32,0.391,21.9,16,26,0.231,6,0.5379999999999999,14,"February 20, 2019",30.4,7,23.1,6,71.4,71.1,27,0.439,57,0.40399999999999997,23,0.24600000000000002,14,0.857,12,5,200,98.4,30.0,9,17,62,,12.7,8,0.35100000000000003,20,0.2,4,52.9,36,0.48700000000000004,12.5,9,37,0.514,19,0.8079999999999999,21,"Alaska Airlines Arena, Seattle, Washington",UTAH,Utah,63.1,Home,WASHINGTON,Washington,Utah,pac-12,25,False,False,False,Away,False,8,6,50,32,68,4,19,57,0,1,239,417,1385,0.559927797833935,804,1514,0.5310435931307794,196,474,1468,0.5231607629427792,0.56
26,2019-02-23-20-washington-state,58.1,18,9.4,3,112.9,72.7,24,0.6609999999999999,59,0.525,31,0.33899999999999997,20,0.7,14,12,200,131.4,15.4,4,18,92,,7.1,5,0.593,35,0.457,16,47.5,28,0.672,6.9,5,24,0.625,15,0.556,15,"February 23, 2019",50.0,13,0.0,0,131.4,84.6,22,0.552,58,0.44799999999999995,26,0.36200000000000004,21,0.7140000000000001,15,16,200,112.9,27.3,9,21,79,,4.3,3,0.44799999999999995,26,0.462,12,52.5,31,0.581,14.1,11,32,0.43799999999999994,14,0.40700000000000003,11,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,69.7,Away,UTAH,Utah,Utah,pac-12,26,False,False,False,Away,True,16,15,59,28,59,12,14,58,1,0,247,423,1435,0.5529616724738676,836,1582,0.5284450063211125,200,493,1525,0.52,0.5384615384615384
27,2019-03-02-18-colorado,45.8,11,13.5,5,106.0,78.6,22,0.434,61,0.39299999999999996,24,0.18,11,0.909,10,13,200,94.0,31.3,10,18,63,,6.0,4,0.426,26,0.192,5,53.3,32,0.47600000000000003,14.3,11,35,0.5429999999999999,19,0.536,15,"March 2, 2019",56.0,14,2.9,1,94.0,68.8,22,0.529,52,0.48100000000000004,25,0.442,23,0.696,16,11,200,106.0,21.4,6,15,71,,10.4,7,0.28800000000000003,15,0.33299999999999996,5,46.7,28,0.564,12.7,9,37,0.541,20,0.607,17,"Coors Events/Conference Center, Boulder, Colorado",UTAH,Utah,66.6,Home,COLORADO,Colorado,Utah,pac-12,27,False,False,False,Away,False,5,19,61,32,60,5,20,52,0,1,263,438,1494,0.5572289156626506,864,1641,0.526508226691042,212,507,1583,0.5211623499684144,0.5555555555555556
28,2019-03-07-22-utah,46.7,14,15.6,5,122.1,73.1,19,0.62,54,0.556,30,0.185,10,0.7,7,15,200,108.8,9.5,2,16,74,,8.8,6,0.315,17,0.41200000000000003,7,44.7,21,0.63,15.9,11,37,0.622,23,0.5,15,"March 7, 2019",58.1,18,8.1,3,108.8,90.5,19,0.619,59,0.525,31,0.22,13,0.769,10,13,200,122.1,26.9,7,13,83,,11.8,8,0.45799999999999996,27,0.40700000000000003,11,55.3,26,0.637,13.4,10,32,0.625,20,0.552,16,"Jon M. Huntsman Center, Salt Lake City, Utah",SOUTHERN-CALIFORNIA,USC,68.0,Home,UTAH,Utah,Utah,pac-12,28,True,False,True,Home,True,11,20,59,26,47,7,23,54,1,0,268,457,1555,0.5524115755627009,896,1701,0.5267489711934157,217,527,1635,0.5214067278287462,0.5357142857142857
29,2019-03-09-19-utah,35.7,10,26.7,8,126.0,76.9,30,0.525,59,0.475,28,0.475,28,0.679,19,15,200,111.0,25.7,9,19,81,,5.5,4,0.33899999999999997,20,0.3,6,52.7,39,0.56,11.2,9,39,0.564,22,0.516,16,"March 9, 2019",51.6,16,0.0,0,111.0,74.3,26,0.581,68,0.456,31,0.27899999999999997,19,0.684,13,13,200,126.0,23.1,9,21,92,,6.8,5,0.5589999999999999,38,0.447,17,47.3,35,0.597,6.1,5,30,0.467,14,0.5670000000000001,17,"Jon M. Huntsman Center, Salt Lake City, Utah",UCLA,UCLA,72.7,Home,UTAH,Utah,Utah,pac-12,29,True,False,True,Home,True,17,14,68,35,74,6,22,59,1,0,279,477,1614,0.5548327137546468,922,1748,0.5274599542334096,224,550,1689,0.5245707519242155,0.5517241379310345
30,2019-03-14-23-utah,36.0,9,20.0,6,83.1,75.0,24,0.474,57,0.439,25,0.263,15,0.8,12,12,200,101.5,26.7,8,18,66,,9.2,6,0.24600000000000002,14,0.28600000000000003,4,51.6,32,0.515,11.2,8,43,0.488,21,0.636,21,"March 14, 2019",38.9,7,9.3,4,101.5,73.3,22,0.358,53,0.34,18,0.377,20,0.8,16,14,200,83.1,25.0,8,16,54,,4.6,3,0.434,23,0.087,2,48.4,30,0.43200000000000005,16.3,12,30,0.5329999999999999,16,0.5479999999999999,17,"T-Mobile Arena, Las Vegas, Nevada",UTAH,Utah,65.3,Away,OREGON,Oregon,Utah,pac-12,30,False,True,True,Home,False,2,16,53,30,62,4,21,57,0,1,296,491,1682,0.5558858501783591,957,1822,0.5252469813391877,230,572,1748,0.5245995423340961,0.5666666666666667
