,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MIAMI-OH_homegame,MIAMI-OH_homegame2,MIAMI-OH_home,MIAMI-OH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-16-19-northern-kentucky,45.0,9,16.2,6,112.5,70.4,19,0.451,51,0.392,20,0.431,22,0.909,20,5,200,103.1,25.0,8,14,66,,4.7,3,0.49,25,0.24,6,45.8,27,0.537,12.9,9,26,0.5379999999999999,14,0.545,6,"December 16, 2018",39.3,11,0.0,0,103.1,75.0,24,0.516,61,0.45899999999999996,28,0.19699999999999998,12,0.75,9,3,200,112.5,29.6,8,17,72,,4.7,3,0.39299999999999996,24,0.292,7,54.2,32,0.54,9.6,7,37,0.568,21,0.75,9,"Bank of Kentucky Center, Highland Heights, Kentucky",MIAMI-OH,Miami (OH),64.1,Home,NORTHERN-KENTUCKY,Northern Kentucky,Miami (OH),mac,10,False,False,False,Away,False,6,14,51,27,59,7,21,61,0,1,98,184,605,0.547107438016529,348,636,0.5471698113207547,81,167,564,0.5115248226950354,0.6
11,2018-12-20-19-miami-oh,62.5,10,3.2,1,114.5,63.2,24,0.43,43,0.37200000000000005,16,0.535,23,0.7829999999999999,18,12,200,79.7,11.1,3,22,55,,1.4,1,0.37200000000000005,16,0.313,5,41.5,27,0.51,23.1,16,27,0.40700000000000003,11,0.14300000000000002,2,"December 20, 2018",48.3,14,7.4,2,79.7,88.9,24,0.522,67,0.433,29,0.299,20,0.45,9,5,200,114.5,36.8,14,22,79,,13.0,9,0.537,36,0.33299999999999996,12,58.5,38,0.516,9.5,8,31,0.5479999999999999,17,0.583,7,"Millett Hall, Oxford, Ohio",SOUTH-CAROLINA-STATE,South Carolina State,68.7,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,11,True,False,True,Home,True,12,17,67,38,65,5,11,43,1,0,104,198,656,0.5396341463414634,375,695,0.539568345323741,88,188,625,0.512,0.5454545454545454
12,2018-12-30-13-miami-oh,34.8,8,12.5,5,97.2,63.9,23,0.51,49,0.469,23,0.51,25,0.68,17,7,200,93.1,10.3,3,18,67,,5.6,4,0.28600000000000003,14,0.28600000000000003,4,40.0,26,0.55,17.8,13,35,0.5429999999999999,19,0.462,6,"December 30, 2018",41.7,10,14.3,5,93.1,89.7,26,0.429,63,0.381,24,0.349,22,0.727,16,5,200,97.2,36.1,13,19,70,,9.7,7,0.365,23,0.261,6,60.0,39,0.47700000000000004,15.2,13,40,0.45,18,0.615,8,"Millett Hall, Oxford, Ohio",EVANSVILLE,Evansville,72.2,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,12,True,False,True,Home,True,6,18,63,39,65,4,19,49,1,0,116,215,723,0.5380359612724758,413,760,0.5434210526315789,93,199,668,0.5067365269461078,0.5833333333333334
13,2019-01-05-14-miami-oh,50.0,15,6.7,2,104.1,78.4,29,0.565,62,0.484,30,0.452,28,0.5,14,2,200,113.5,28.9,11,18,84,,6.8,5,0.387,24,0.41700000000000004,10,53.3,40,0.5579999999999999,11.9,10,38,0.526,20,0.857,12,"January 5, 2019",46.2,12,7.9,3,113.5,71.1,27,0.5,62,0.419,26,0.355,22,0.682,15,6,200,104.1,21.6,8,21,77,,2.7,2,0.516,32,0.313,10,46.7,35,0.531,11.2,9,30,0.5329999999999999,16,0.5710000000000001,8,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),73.9,Away,CENTRAL-MICHIGAN,Central Michigan,Miami (OH),mac,13,False,True,True,Home,False,10,16,62,35,75,10,20,62,0,1,122,233,786,0.5292620865139949,452,825,0.5478787878787879,97,218,717,0.50697350069735,0.6153846153846154
14,2019-01-08-19-miami-oh,30.0,9,0.0,0,109.4,66.7,22,0.6629999999999999,52,0.5770000000000001,30,0.327,17,0.8240000000000001,14,6,200,129.7,38.1,8,20,83,,7.8,5,0.34600000000000003,18,0.5,9,55.6,30,0.691,17.9,13,34,0.618,21,0.6,9,"January 8, 2019",36.4,8,11.8,4,129.7,61.9,13,0.51,51,0.431,22,0.49,25,0.72,18,7,200,109.4,33.3,11,15,70,,9.4,6,0.529,27,0.29600000000000004,8,44.4,24,0.557,16.2,12,24,0.583,14,0.5329999999999999,8,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),64.5,Away,NORTHERN-ILLINOIS,Northern Illinois,Miami (OH),mac,14,False,True,True,Home,False,8,14,51,24,54,9,21,52,0,1,132,249,848,0.527122641509434,487,900,0.5411111111111111,107,238,779,0.5115532734274711,0.5714285714285714
15,2019-01-12-12-buffalo,54.5,12,5.7,2,122.2,73.0,27,0.529,51,0.431,22,0.294,15,0.667,10,8,200,88.9,17.2,5,27,64,,2.8,2,0.49,25,0.4,10,48.5,32,0.551,20.7,15,26,0.462,12,0.5,8,"January 12, 2019",63.0,17,19.2,5,88.9,82.8,24,0.485,65,0.415,27,0.5379999999999999,35,0.7140000000000001,25,1,200,122.2,27.0,10,17,88,19.0,9.7,7,0.462,30,0.3,9,51.5,34,0.539,4.7,4,35,0.514,18,0.938,15,"Alumni Arena, Buffalo, New York",MIAMI-OH,Miami (OH),71.9,Home,BUFFALO,Buffalo,Miami (OH),mac,15,False,False,False,Away,False,10,12,51,32,66,9,18,65,0,1,140,263,899,0.5261401557285873,511,954,0.5356394129979035,116,259,831,0.5210589651022864,0.5333333333333333
16,2019-01-15-19-toledo,20.0,4,2.7,1,106.0,73.5,25,0.441,51,0.392,20,0.431,22,0.636,14,9,200,88.1,13.3,4,13,59,,4.5,3,0.314,16,0.313,5,45.3,29,0.48,15.3,11,35,0.429,15,0.47100000000000003,8,"January 15, 2019",66.7,18,5.7,2,88.1,86.7,26,0.508,63,0.429,27,0.127,8,0.875,7,3,200,106.0,26.5,9,15,71,,6.0,4,0.413,26,0.385,10,54.7,35,0.531,9.5,7,37,0.45899999999999996,17,0.8240000000000001,14,"John F. Savage Hall, Toledo, Ohio",MIAMI-OH,Miami (OH),66.6,Home,TOLEDO,Toledo,Miami (OH),mac,16,False,False,False,Away,False,5,15,51,29,64,10,17,63,0,1,150,275,950,0.5263157894736842,543,1020,0.5323529411764706,125,277,896,0.5184151785714286,0.5
17,2019-01-19-15-miami-oh,20.8,5,6.5,2,104.6,64.7,22,0.44299999999999995,61,0.39299999999999996,24,0.131,8,0.875,7,8,200,93.8,19.4,7,16,61,,9.2,6,0.426,26,0.231,6,41.4,29,0.47100000000000003,11.0,8,35,0.514,18,0.556,10,"January 19, 2019",50.0,12,5.7,2,93.8,80.6,29,0.518,55,0.436,24,0.364,20,0.55,11,9,200,104.6,35.3,12,11,68,,7.7,5,0.436,24,0.375,9,58.6,41,0.527,15.8,12,31,0.484,15,0.5,9,"Millett Hall, Oxford, Ohio",AKRON,Akron,65.2,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,17,True,False,True,Home,True,9,15,55,41,70,6,18,61,1,0,155,290,1001,0.521978021978022,572,1084,0.5276752767527675,135,294,959,0.5177267987486965,0.47058823529411764
18,2019-01-22-19-ball-state,45.8,11,6.3,3,95.6,62.9,22,0.606,47,0.511,24,0.40399999999999997,19,0.737,14,9,200,104.4,20.0,5,21,71,,10.3,7,0.511,24,0.375,9,45.0,27,0.634,23.5,17,23,0.652,15,0.526,10,"January 22, 2019",29.2,7,21.7,5,104.4,80.0,20,0.415,59,0.40700000000000003,24,0.33899999999999997,20,0.8,16,8,200,95.6,37.1,13,18,65,,13.2,9,0.18600000000000003,11,0.091,1,55.0,33,0.474,15.0,12,48,0.479,23,0.579,11,"Worthen Arena, Muncie, Indiana",BALL-STATE,Ball State,67.8,Away,MIAMI-OH,Miami (OH),Miami (OH),mac,18,False,False,False,Away,True,9,15,47,27,60,1,23,59,1,0,164,305,1056,0.521780303030303,613,1154,0.5311958405545927,141,312,1020,0.513235294117647,0.5
19,2019-01-26-15-miami-oh,52.6,10,5.7,2,101.5,76.5,26,0.462,52,0.365,19,0.212,11,0.455,5,6,200,80.3,20.6,7,19,53,,7.6,5,0.423,22,0.455,10,48.5,33,0.46299999999999997,20.9,15,30,0.3,9,0.7,14,"January 26, 2019",36.4,8,6.7,2,80.3,79.4,27,0.46299999999999997,54,0.40700000000000003,22,0.444,24,0.708,17,9,200,101.5,23.5,8,16,67,,10.6,7,0.35200000000000004,19,0.316,6,51.5,35,0.512,13.4,10,35,0.457,16,0.55,11,"Millett Hall, Oxford, Ohio",BOWLING-GREEN-STATE,Bowling Green State,66.3,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,19,True,False,True,Home,True,6,16,54,35,68,10,9,52,1,0,173,320,1103,0.5253853127833182,640,1214,0.5271828665568369,142,335,1079,0.5078776645041705,0.5263157894736842
20,2019-01-29-19-miami-oh,61.5,16,14.3,3,96.9,93.9,31,0.5,60,0.433,26,0.15,9,0.667,6,4,200,101.5,25.0,8,17,66,,6.2,4,0.45,27,0.29600000000000004,8,60.0,39,0.513,12.3,9,33,0.545,18,0.81,17,"January 29, 2019",47.6,10,0.0,0,101.5,75.0,24,0.53,50,0.42,21,0.36,18,0.556,10,10,200,96.9,6.1,2,11,63,,9.2,6,0.58,29,0.379,11,40.0,26,0.5379999999999999,13.4,9,21,0.47600000000000003,10,0.524,11,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),65.4,Away,TOLEDO,Toledo,Miami (OH),mac,20,False,True,True,Home,False,11,10,50,26,65,8,18,60,0,1,179,336,1157,0.5224719101123596,675,1282,0.5265210608424337,152,344,1131,0.5057471264367817,0.55
21,2019-02-02-12-eastern-michigan,50.0,9,13.3,4,77.4,66.7,22,0.361,54,0.33299999999999996,18,0.46299999999999997,25,0.8,20,10,200,95.2,37.8,14,18,59,,12.9,8,0.40700000000000003,22,0.136,3,51.4,36,0.44799999999999995,12.2,9,32,0.469,15,0.545,12,"February 2, 2019",41.2,7,15.6,5,95.2,62.2,23,0.37799999999999995,49,0.34700000000000003,17,0.408,20,0.55,11,13,200,77.4,33.3,11,20,48,,6.5,4,0.38799999999999996,19,0.158,3,48.6,34,0.41,20.6,15,30,0.467,14,0.409,9,"Convocation Center, Ypsilanti, Michigan",EASTERN-MICHIGAN,Eastern Michigan,61.7,Away,MIAMI-OH,Miami (OH),Miami (OH),mac,21,False,False,False,Away,True,3,15,54,36,70,3,14,49,1,0,190,346,1207,0.5227837613918807,701,1347,0.520415738678545,160,362,1191,0.5054575986565911,0.5238095238095238
22,2019-02-05-19-kent-state,59.1,13,5.3,2,104.5,75.9,22,0.5,53,0.415,22,0.302,16,0.875,14,11,200,100.0,17.9,5,18,67,,4.5,3,0.45299999999999996,24,0.375,9,47.4,27,0.5529999999999999,16.7,12,29,0.44799999999999995,13,0.522,12,"February 5, 2019",50.0,11,17.2,5,100.0,82.1,23,0.462,53,0.415,22,0.434,23,0.9129999999999999,21,5,200,104.5,24.1,7,14,70,,10.4,7,0.28300000000000003,15,0.33299999999999996,5,52.6,30,0.5479999999999999,13.7,10,38,0.447,17,0.773,17,"Memorial Athletic & Convocation Center, Kent, Ohio",MIAMI-OH,Miami (OH),67.3,Home,KENT-STATE,Kent State,Miami (OH),mac,22,False,False,False,Away,False,9,13,53,27,57,5,17,53,0,1,193,361,1261,0.5158604282315623,737,1417,0.5201129146083274,163,376,1240,0.5004032258064516,0.5454545454545454
23,2019-02-09-14-miami-oh,52.4,11,6.5,2,109.7,62.5,20,0.40700000000000003,59,0.35600000000000004,21,0.35600000000000004,21,0.524,11,11,200,81.9,20.0,8,22,59,,12.5,9,0.322,19,0.316,6,38.9,28,0.428,15.0,12,40,0.375,15,0.5,11,"February 9, 2019",54.2,13,12.5,5,81.9,80.0,32,0.529,52,0.462,24,0.596,31,0.774,24,11,200,109.7,37.5,12,21,79,,9.7,7,0.40399999999999997,21,0.33299999999999996,7,61.1,44,0.5920000000000001,19.6,16,31,0.5479999999999999,17,0.542,13,"Millett Hall, Oxford, Ohio",OHIO,Ohio,71.9,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,23,True,False,True,Home,True,7,17,52,44,72,6,15,59,1,0,202,374,1314,0.515220700152207,764,1474,0.5183175033921302,168,393,1293,0.4988399071925754,0.5217391304347826
24,2019-02-16-14-western-michigan,44.0,11,2.8,1,105.0,96.9,31,0.47,67,0.373,25,0.299,20,0.8,16,12,223,98.8,23.8,10,23,79,,5.0,4,0.478,32,0.406,13,55.4,41,0.516,14.6,13,35,0.34299999999999997,12,0.52,13,"February 16, 2019",39.3,11,14.3,5,98.8,76.2,32,0.55,60,0.467,28,0.41700000000000004,25,0.72,18,18,223,105.0,3.1,1,21,84,,6.3,5,0.4,24,0.41700000000000004,10,44.6,33,0.584,12.3,10,36,0.5,18,0.308,8,"University Arena, Kalamazoo, Michigan",MIAMI-OH,Miami (OH),71.9,Home,WESTERN-MICHIGAN,Western Michigan,Miami (OH),mac,24,False,False,False,Away,False,13,12,67,41,74,10,18,60,0,1,209,391,1366,0.5157393850658858,808,1546,0.5226390685640362,174,408,1352,0.4948224852071006,0.5416666666666666
25,2019-02-19-19-miami-oh,45.5,10,6.1,2,93.2,78.8,26,0.43799999999999994,56,0.39299999999999996,22,0.46399999999999997,26,0.654,17,12,200,89.2,18.9,7,17,66,,18.9,14,0.41100000000000003,23,0.217,5,47.1,33,0.483,16.2,13,33,0.515,17,0.5379999999999999,14,"February 19, 2019",45.5,10,12.1,4,89.2,81.1,30,0.48100000000000004,53,0.415,22,0.415,22,0.818,18,12,200,93.2,21.2,7,19,69,,8.1,6,0.377,20,0.35,7,52.9,37,0.544,21.3,17,33,0.455,15,0.5379999999999999,14,"Millett Hall, Oxford, Ohio",BALL-STATE,Ball State,73.9,Home,MIAMI-OH,Miami (OH),Miami (OH),mac,25,True,False,True,Home,True,7,15,53,37,70,5,17,56,1,0,222,403,1433,0.5136078157711096,849,1620,0.524074074074074,184,426,1412,0.4971671388101983,0.52
26,2019-02-23-14-akron,40.0,8,15.4,4,101.4,86.7,26,0.361,61,0.32799999999999996,20,0.361,22,0.636,14,13,200,84.1,34.1,15,22,58,,10.1,7,0.361,22,0.182,4,55.4,41,0.406,15.5,13,39,0.41,16,0.519,14,"February 23, 2019",66.7,16,10.3,4,84.1,65.9,29,0.578,51,0.47100000000000003,24,0.353,18,0.611,11,12,200,101.4,13.3,4,19,70,,13.0,9,0.49,25,0.44,11,44.6,33,0.588,18.1,13,26,0.5,13,0.556,15,"James A. Rhodes Arena, Akron, Ohio",MIAMI-OH,Miami (OH),69.0,Home,AKRON,Akron,Miami (OH),mac,26,False,False,False,Away,False,4,16,61,41,74,11,13,51,0,1,229,418,1486,0.5124495289367429,886,1690,0.5242603550295858,189,443,1468,0.4948910081743869,0.5384615384615384
