,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-MISSISSIPPI_homegame,SOUTHERN-MISSISSIPPI_homegame2,SOUTHERN-MISSISSIPPI_home,SOUTHERN-MISSISSIPPI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-southern-mississippi,45.8,11,0.0,0,132.1,53.5,23,0.42100000000000004,70,0.34299999999999997,24,0.2,14,0.5,7,0,200,78.6,13.6,6,23,66,,8.3,7,0.5,35,0.314,11,33.3,29,0.431,14.6,13,35,0.371,13,0.0,0,"November 6, 2018",77.5,31,14.3,5,78.6,86.4,38,0.5770000000000001,78,0.513,40,0.436,34,0.618,21,0,200,132.1,46.5,20,14,111,,9.5,8,0.436,34,0.294,10,66.7,58,0.589,9.7,10,44,0.682,30,1.0,1,"Reed Green Coliseum, Hattiesburg, Mississippi","Southeastern Baptist
			","Southeastern Baptist
			",83.9,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,0,True,False,True,Home,True,10,30,78,58,87,11,13,70,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-15-southern-methodist,70.4,19,21.4,6,101.6,70.6,24,0.609,55,0.491,27,0.16399999999999998,9,0.778,7,0,200,117.5,25.9,7,12,74,,7.9,5,0.436,24,0.542,13,50.8,31,0.624,15.7,11,31,0.452,14,1.0,2,"November 11, 2018",65.2,15,12.9,4,117.5,74.1,20,0.5,58,0.397,23,0.155,9,0.667,6,1,200,101.6,29.4,10,13,64,,9.5,6,0.517,30,0.4,12,49.2,30,0.514,13.9,10,28,0.39299999999999996,11,0.5,1,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,62.8,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,1,False,False,False,Away,True,13,14,55,31,61,12,11,58,1,0,10,30,78,0.5769230769230769,58,87,0.6666666666666666,11,13,70,0.42142857142857143,1.0
2,2018-11-15-19-troy,66.7,22,11.4,4,101.5,65.9,27,0.637,62,0.532,33,0.081,5,0.4,2,0,200,124.6,25.9,7,12,81,,9.2,6,0.46799999999999997,29,0.44799999999999995,13,50.0,34,0.629,11.1,8,33,0.606,20,1.0,3,"November 15, 2018",56.0,14,9.1,3,124.6,74.1,20,0.462,65,0.385,25,0.16899999999999998,11,0.545,6,3,200,101.5,34.1,14,7,66,,6.2,4,0.462,30,0.33299999999999996,10,50.0,34,0.47,11.4,9,35,0.429,15,0.25,1,"Trojan Arena, Troy, Alabama",TROY,Troy,65.3,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,2,False,False,False,Away,True,13,20,62,34,68,10,15,65,1,0,23,44,133,0.5902255639097744,89,148,0.6013513513513513,23,24,128,0.45703125,1.0
3,2018-11-20-15-southern-mississippi,44.0,11,17.8,8,62.3,87.0,40,0.452,62,0.40299999999999997,25,0.161,10,0.8,8,3,200,83.1,27.8,10,15,64,,10.4,8,0.532,33,0.182,6,61.0,50,0.479,21.3,18,29,0.655,19,0.4,2,"November 20, 2018",71.4,15,3.4,1,83.1,72.2,26,0.344,64,0.32799999999999996,21,0.156,10,0.4,4,1,200,62.3,13.0,6,15,48,,15.6,12,0.297,19,0.105,2,39.0,32,0.349,19.0,16,45,0.42200000000000004,19,0.75,3,"Hard Rock Hotel Riviera Maya, Cancun",SOUTHERN-MISSISSIPPI,Southern Miss,76.8,Away,NORTH-FLORIDA,North Florida,Southern Mississippi,cusa,3,False,True,True,Home,False,2,19,64,32,82,6,19,62,0,1,36,64,195,0.6051282051282051,123,216,0.5694444444444444,33,39,193,0.4585492227979275,1.0
4,2018-11-21-12-western-carolina,36.4,8,0.0,0,88.7,75.9,22,0.47100000000000003,51,0.431,22,0.5489999999999999,28,0.7140000000000001,20,1,200,95.8,9.4,3,20,68,,15.5,11,0.275,14,0.28600000000000003,4,41.0,25,0.529,11.2,8,37,0.486,18,0.8,4,"November 21, 2018",42.9,9,0.0,0,95.8,90.6,29,0.5,49,0.429,21,0.469,23,0.609,14,5,200,88.7,24.1,7,25,63,,4.2,3,0.531,26,0.26899999999999996,7,59.0,36,0.526,24.3,19,23,0.609,14,0.16699999999999998,1,"Hard Rock Hotel Riviera Maya, Cancun",WESTERN-CAROLINA,Western Carolina,70.6,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,4,False,False,False,Away,True,4,18,51,25,61,7,14,49,1,0,38,83,259,0.5405405405405406,155,298,0.5201342281879194,39,58,255,0.4568627450980392,0.75
5,2018-11-25-15-southern-mississippi,48.3,14,8.3,3,102.9,65.9,27,0.5920000000000001,60,0.483,29,0.217,13,0.5379999999999999,7,0,200,111.4,11.8,4,19,78,,8.6,6,0.467,28,0.46399999999999997,13,41.3,31,0.589,10.9,8,32,0.5,16,0.0,0,"November 25, 2018",65.2,15,9.4,3,111.4,88.2,30,0.435,62,0.371,23,0.452,28,0.643,18,2,200,102.9,34.1,14,17,72,,10.0,7,0.419,26,0.308,8,58.7,44,0.478,9.7,8,36,0.41700000000000004,15,0.667,4,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTHERN-MISSISSIPPI,Southern Miss,69.7,Away,"William Carey
			","William Carey
			",Southern Mississippi,cusa,5,False,True,True,Home,False,8,15,62,44,75,13,16,60,0,1,42,101,310,0.5290322580645161,180,359,0.5013927576601671,46,72,304,0.46381578947368424,0.8
6,2018-11-28-20-southern-mississippi,68.2,15,16.2,6,109.2,77.4,24,0.58,50,0.44,22,0.22,11,0.818,9,4,200,103.1,14.8,4,24,67,,1.5,1,0.56,28,0.5,14,48.3,28,0.607,22.6,16,22,0.364,8,0.429,3,"November 28, 2018",42.3,11,31.8,7,103.1,85.2,23,0.528,54,0.48100000000000004,26,0.426,23,0.609,14,2,200,109.2,22.6,7,13,71,,12.3,8,0.315,17,0.294,5,51.7,30,0.547,7.2,5,37,0.568,21,0.7140000000000001,5,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTH-ALABAMA,South Alabama,65.1,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,6,True,False,True,Home,True,5,21,54,30,58,14,8,50,1,0,50,116,372,0.5134408602150538,224,434,0.5161290322580645,59,88,364,0.4848901098901099,0.6666666666666666
7,2018-12-02-15-southern-mississippi,38.9,7,4.8,2,135.9,60.0,15,0.34700000000000003,59,0.305,18,0.11900000000000001,7,0.7140000000000001,5,0,200,59.0,5.1,2,14,46,,10.3,8,0.45799999999999996,27,0.185,5,26.6,17,0.369,22.5,18,32,0.406,13,0.0,0,"December 2, 2018",70.5,31,21.9,7,59.0,94.9,37,0.746,67,0.657,44,0.149,10,0.6,6,2,200,135.9,40.0,10,12,106,,14.1,11,0.373,25,0.48,12,73.4,47,0.7390000000000001,17.4,15,42,0.762,32,0.75,6,"Reed Green Coliseum, Hattiesburg, Mississippi","Rust
			","Rust
			",77.5,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,7,True,False,True,Home,True,12,32,67,47,64,5,13,59,1,0,55,137,426,0.5152582159624414,254,492,0.516260162601626,73,96,414,0.4963768115942029,0.7142857142857143
8,2018-12-11-17-southern-mississippi,61.1,11,7.7,4,114.1,63.2,24,0.336,58,0.31,18,0.259,15,0.5329999999999999,8,0,200,66.2,31.7,13,13,47,,5.6,4,0.276,16,0.188,3,46.8,37,0.361,21.8,18,42,0.35700000000000004,15,0.0,0,"December 11, 2018",62.5,20,16.7,7,66.2,68.3,28,0.522,67,0.478,32,0.284,19,0.579,11,2,200,114.1,36.8,14,14,81,,14.1,10,0.22399999999999998,15,0.4,6,53.2,42,0.5329999999999999,10.7,9,52,0.5,26,0.778,7,"Reed Green Coliseum, Hattiesburg, Mississippi","Millsaps
			","Millsaps
			",70.6,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,8,True,False,True,Home,True,6,26,67,42,79,3,15,58,1,0,67,169,493,0.5466531440162272,301,556,0.5413669064748201,78,109,473,0.47780126849894294,0.75
9,2018-12-15-17-wichita-state,52.6,10,7.1,3,87.5,64.9,24,0.442,52,0.365,19,0.5,26,0.5379999999999999,14,3,200,83.3,8.8,3,18,60,,9.7,7,0.385,20,0.4,8,38.0,27,0.466,13.6,10,32,0.344,11,0.7,7,"December 15, 2018",60.9,14,12.5,4,83.3,91.2,31,0.425,60,0.38299999999999995,23,0.38299999999999995,23,0.522,12,4,200,87.5,35.1,13,16,63,,6.9,5,0.3,18,0.278,5,62.0,44,0.444,17.6,15,42,0.429,18,0.6,6,"Intrust Bank Arena, Wichita, Kansas",SOUTHERN-MISSISSIPPI,Southern Miss,72.1,Home,WICHITA-STATE,Wichita State,Southern Mississippi,cusa,9,False,False,False,Away,False,8,11,52,27,71,5,18,60,0,1,73,195,560,0.54375,343,635,0.5401574803149606,81,124,531,0.4623352165725047,0.7777777777777778
