,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEBRASKA_homegame,NEBRASKA_homegame2,NEBRASKA_home,NEBRASKA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
11,2018-12-22-14-nebraska,32.0,8,10.8,4,111.7,82.5,33,0.409,66,0.379,25,0.242,16,0.5,8,9,200,80.5,33.3,13,24,62,,5.2,4,0.28800000000000003,19,0.21100000000000002,4,58.2,46,0.42100000000000004,18.0,16,47,0.447,21,0.25,3,"December 22, 2018",69.2,18,8.5,4,80.5,66.7,26,0.525,59,0.441,26,0.644,38,0.632,24,2,200,111.7,17.5,7,11,86,25.0,7.8,6,0.373,22,0.455,10,41.8,33,0.5579999999999999,8.5,7,37,0.43200000000000005,16,0.833,10,"Pinnacle Bank Arena, Lincoln, Nebraska",CAL-STATE-FULLERTON,Cal State Fullerton,76.8,Home,NEBRASKA,Nebraska,Nebraska,big-ten,11,True,False,True,Home,True,10,16,59,33,79,4,21,66,1,0,95,210,634,0.555993690851735,377,724,0.5207182320441989,50,194,643,0.41835147744945567,0.8181818181818182
12,2018-12-29-14-nebraska,37.5,6,11.9,5,121.5,67.6,23,0.33,53,0.302,16,0.094,5,0.6,3,0,200,58.5,15.8,6,14,38,,6.2,4,0.396,21,0.14300000000000002,3,40.3,29,0.34299999999999997,21.4,15,32,0.406,13,0.0,0,"December 29, 2018",51.7,15,3.1,1,58.5,84.2,32,0.523,66,0.439,29,0.16699999999999998,11,0.909,10,2,200,121.5,32.4,11,10,79,,18.5,12,0.364,24,0.45799999999999996,11,59.7,43,0.555,7.8,6,42,0.429,18,0.846,11,"Pinnacle Bank Arena, Lincoln, Nebraska","Southwest Minnesota State
			","Southwest Minnesota State
			",65.3,Home,NEBRASKA,Nebraska,Nebraska,big-ten,12,True,False,True,Home,True,11,18,66,43,72,3,13,53,1,0,105,226,693,0.5533910533910534,410,803,0.5105853051058531,54,215,709,0.41748942172073344,0.8333333333333334
13,2019-01-02-18-maryland,45.8,11,9.3,4,110.4,63.6,21,0.5589999999999999,51,0.47100000000000003,24,0.451,23,0.652,15,3,200,107.5,20.7,6,17,72,24.0,10.4,7,0.431,22,0.409,9,43.5,27,0.581,14.1,10,29,0.517,15,0.7859999999999999,11,"January 2, 2019",39.3,11,13.8,4,107.5,79.3,23,0.5329999999999999,60,0.467,28,0.233,14,0.7140000000000001,10,3,200,110.4,36.4,12,17,74,,6.0,4,0.28300000000000003,17,0.47100000000000003,8,56.5,35,0.555,16.4,13,43,0.465,20,0.7859999999999999,11,"Xfinity Center, College Park, Maryland",NEBRASKA,Nebraska,66.8,Home,MARYLAND,Maryland,Nebraska,big-ten,13,False,False,False,Away,False,9,15,51,27,62,8,20,60,0,1,116,244,759,0.5507246376811594,453,875,0.5177142857142857,57,228,762,0.41141732283464566,0.8461538461538461
14,2019-01-06-17-iowa,56.7,17,8.1,3,122.4,64.5,20,0.49200000000000005,65,0.462,30,0.4,26,0.769,20,4,200,110.5,22.9,8,25,84,24.0,10.5,8,0.354,23,0.174,4,42.4,28,0.5429999999999999,8.4,7,42,0.619,26,0.733,11,"January 6, 2019",59.3,16,14.3,6,110.5,77.1,27,0.542,59,0.45799999999999996,27,0.542,32,0.9059999999999999,29,3,200,122.4,35.5,11,22,93,25.0,7.9,6,0.373,22,0.455,10,57.6,38,0.627,15.1,13,37,0.45899999999999996,17,0.8,12,"Carver-Hawkeye Arena, Iowa City, Iowa",NEBRASKA,Nebraska,76.3,Home,IOWA,Iowa,Nebraska,big-ten,14,False,False,False,Away,False,4,26,65,28,66,10,17,59,0,1,125,259,810,0.5512345679012346,480,937,0.512273212379936,65,248,822,0.42031630170316303,0.7857142857142857
15,2019-01-10-21-nebraska,44.0,11,12.5,4,111.1,80.0,24,0.413,69,0.36200000000000004,25,0.174,12,0.583,7,9,200,101.6,40.5,17,15,64,,4.8,3,0.348,24,0.292,7,56.9,41,0.428,9.7,8,45,0.4,18,0.43799999999999994,7,"January 10, 2019",48.1,13,17.8,8,101.6,59.5,25,0.573,55,0.491,27,0.2,11,0.636,7,4,200,111.1,20.0,6,13,70,,11.1,7,0.418,23,0.391,9,43.1,31,0.581,10.5,7,32,0.563,18,0.75,12,"Pinnacle Bank Arena, Lincoln, Nebraska",PENN-STATE,Penn State,63.5,Home,NEBRASKA,Nebraska,Nebraska,big-ten,15,True,False,True,Home,True,9,18,55,31,72,7,18,69,1,0,129,285,875,0.5468571428571428,508,1003,0.5064805583250249,75,265,881,0.4284903518728717,0.7333333333333333
16,2019-01-14-18-indiana,48.1,13,7.9,3,76.1,77.1,27,0.517,60,0.45,27,0.1,6,0.667,4,4,200,98.5,25.0,7,18,66,,10.4,7,0.4,24,0.33299999999999996,8,54.0,34,0.525,16.1,12,36,0.528,19,0.765,13,"January 14, 2019",36.8,7,16.7,6,98.5,75.0,21,0.385,52,0.365,19,0.365,19,0.579,11,5,200,76.1,22.9,8,12,51,25.0,13.4,9,0.26899999999999996,14,0.14300000000000002,2,46.0,29,0.418,17.7,13,38,0.447,17,0.706,12,"Assembly Hall, Bloomington, Indiana",INDIANA,Indiana,66.9,Away,NEBRASKA,Nebraska,Nebraska,big-ten,16,False,False,False,Away,True,8,19,60,34,63,2,17,52,1,0,138,303,930,0.5483870967741935,539,1075,0.5013953488372093,82,283,950,0.42736842105263156,0.75
17,2019-01-17-20-nebraska,54.2,13,9.8,4,91.4,72.7,32,0.491,55,0.436,24,0.327,18,0.889,16,2,200,100.0,35.7,10,19,70,6.0,7.1,5,0.364,20,0.3,6,58.3,42,0.551,18.2,14,35,0.514,18,0.889,16,"January 17, 2019",50.0,11,5.7,2,100.0,64.3,18,0.366,67,0.32799999999999996,22,0.284,19,0.789,15,5,200,91.4,27.3,12,19,64,,12.9,9,0.38799999999999996,26,0.192,5,41.7,30,0.42100000000000004,10.7,9,41,0.415,17,0.722,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,70.3,Away,MICHIGAN-STATE,Michigan State,Nebraska,big-ten,17,False,True,True,Home,False,5,17,67,30,72,6,18,55,0,1,146,322,990,0.5464646464646464,573,1138,0.5035149384885764,84,300,1002,0.4251497005988024,0.7647058823529411
18,2019-01-21-20-rutgers,48.0,12,8.3,4,102.7,63.2,24,0.49200000000000005,60,0.41700000000000004,25,0.3,18,0.556,10,6,200,93.2,19.4,7,24,69,,14.9,11,0.36700000000000005,22,0.409,9,41.9,31,0.503,15.0,12,38,0.42100000000000004,16,0.684,13,"January 21, 2019",37.0,10,13.2,5,93.2,80.6,29,0.484,61,0.44299999999999995,27,0.426,26,0.654,17,9,200,102.7,36.8,14,19,76,,10.8,8,0.213,13,0.385,5,58.1,43,0.518,17.2,15,48,0.45799999999999996,22,0.5,9,"Louis Brown Athletic Center, New Brunswick, New Jersey",NEBRASKA,Nebraska,74.0,Home,RUTGERS,Rutgers,Nebraska,big-ten,18,False,False,False,Away,False,9,16,60,31,74,5,22,61,0,1,151,339,1057,0.5350047303689688,603,1210,0.4983471074380165,90,318,1057,0.42857142857142855,0.7222222222222222
19,2019-01-26-12-nebraska,33.3,8,2.8,1,89.6,81.1,30,0.491,58,0.414,24,0.31,18,0.722,13,6,200,104.5,35.3,12,14,70,,11.9,8,0.466,27,0.33299999999999996,9,59.2,42,0.526,15.4,12,31,0.484,15,0.684,13,"January 26, 2019",47.6,10,3.2,1,104.5,64.7,22,0.431,58,0.36200000000000004,21,0.207,12,0.833,10,7,200,89.6,18.9,7,16,60,,7.5,5,0.379,22,0.364,8,40.8,29,0.47100000000000003,14.8,11,36,0.361,13,0.65,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,67.1,Away,OHIO-STATE,Ohio State,Nebraska,big-ten,19,False,True,True,Home,False,8,13,58,29,71,9,15,58,0,1,160,355,1117,0.5326768128916741,634,1284,0.4937694704049844,95,340,1118,0.4315742397137746,0.6842105263157895
20,2019-01-29-20-nebraska,50.0,12,5.0,2,83.6,61.9,26,0.518,55,0.436,24,0.2,11,0.455,5,6,200,101.6,20.6,7,19,62,24.0,6.6,4,0.418,23,0.391,9,43.4,33,0.515,10.5,7,32,0.469,15,0.7140000000000001,15,"January 29, 2019",41.2,7,6.3,2,101.6,79.4,27,0.317,60,0.28300000000000003,17,0.33299999999999996,20,0.65,13,8,200,83.6,38.1,16,16,51,,6.6,4,0.33299999999999996,20,0.2,4,56.6,43,0.36700000000000005,11.6,9,40,0.325,13,0.619,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,61.4,Away,WISCONSIN,Wisconsin,Nebraska,big-ten,20,False,True,True,Home,False,4,13,60,43,76,9,15,55,0,1,168,368,1175,0.5276595744680851,663,1355,0.48929889298892987,104,355,1176,0.43452380952380953,0.65
21,2019-02-02-14-illinois,52.0,13,5.6,2,100.0,82.4,28,0.379,70,0.35700000000000004,25,0.3,21,0.524,11,9,200,90.1,41.9,18,22,64,,4.2,3,0.32899999999999996,23,0.13,3,59.7,46,0.4,10.2,9,47,0.46799999999999997,22,0.591,13,"February 2, 2019",44.4,12,6.4,3,90.1,58.1,25,0.5539999999999999,56,0.48200000000000004,27,0.41100000000000003,23,0.391,9,15,200,100.0,17.6,6,23,71,,5.6,4,0.35700000000000004,20,0.4,8,40.3,31,0.53,13.1,10,36,0.528,19,0.318,7,"State Farm Center, Champaign, Illinois",NEBRASKA,Nebraska,71.0,Home,ILLINOIS,Illinois,Nebraska,big-ten,21,False,False,False,Away,False,3,22,70,46,77,8,19,56,0,1,172,381,1235,0.5174089068825911,706,1431,0.493361285814116,113,370,1231,0.43826157595450854,0.6190476190476191
22,2019-02-06-19-nebraska,45.5,10,12.5,5,70.3,80.4,41,0.44,58,0.379,22,0.31,18,0.5,9,6,200,93.8,30.0,12,19,60,24.0,3.1,2,0.345,20,0.35,7,58.2,53,0.451,13.2,10,38,0.395,15,0.75,18,"February 6, 2019",41.7,5,13.2,5,93.8,70.0,28,0.24600000000000002,57,0.21100000000000002,12,0.456,26,0.654,17,10,200,70.3,19.6,10,16,45,,7.8,5,0.298,17,0.235,4,41.8,38,0.324,5.5,4,40,0.2,8,0.565,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,64.0,Away,MARYLAND,Maryland,Nebraska,big-ten,22,False,True,True,Home,False,4,8,57,38,91,7,15,58,0,1,175,403,1305,0.5099616858237548,752,1508,0.4986737400530504,121,389,1287,0.4432789432789433,0.5909090909090909
23,2019-02-09-20-purdue,61.9,13,12.1,4,132.8,57.1,16,0.473,55,0.382,21,0.23600000000000002,13,0.769,10,11,200,101.6,18.2,6,17,62,,3.3,2,0.436,24,0.41700000000000004,10,36.1,22,0.507,11.6,8,31,0.355,11,0.542,13,"February 9, 2019",44.4,12,22.6,7,101.6,81.8,27,0.585,53,0.509,27,0.396,21,0.905,19,6,200,132.8,42.9,12,17,81,15.0,13.1,8,0.377,20,0.4,8,63.9,39,0.643,11.4,8,33,0.5760000000000001,19,0.7390000000000001,17,"Mackey Arena, West Lafayette, Indiana",NEBRASKA,Nebraska,61.1,Home,PURDUE,Purdue,Nebraska,big-ten,23,False,False,False,Away,False,10,11,55,22,61,8,19,53,0,1,179,411,1362,0.4988986784140969,790,1599,0.49405878674171355,128,404,1345,0.44312267657992566,0.5652173913043478
24,2019-02-13-21-nebraska,48.0,12,11.8,4,101.6,90.0,18,0.519,54,0.46299999999999997,25,0.14800000000000002,8,0.625,5,9,200,100.0,25.9,7,14,61,,6.6,4,0.259,14,0.429,6,53.2,25,0.528,13.5,9,40,0.475,19,0.64,16,"February 13, 2019",45.8,11,10.0,4,100.0,74.1,20,0.552,48,0.5,24,0.271,13,0.6920000000000001,9,11,200,101.6,10.0,2,14,62,,4.9,3,0.292,14,0.35700000000000004,5,46.8,22,0.5720000000000001,17.0,11,34,0.5589999999999999,19,0.56,14,"Pinnacle Bank Arena, Lincoln, Nebraska",MINNESOTA,Minnesota,61.5,Home,NEBRASKA,Nebraska,Nebraska,big-ten,24,True,False,True,Home,True,5,19,48,22,47,6,19,54,1,0,189,422,1417,0.49788285109386027,812,1660,0.4891566265060241,136,423,1398,0.44849785407725323,0.5416666666666666
25,2019-02-16-20-nebraska,40.0,8,11.9,5,88.1,70.7,29,0.38799999999999996,58,0.345,20,0.138,8,0.625,5,13,200,74.6,28.6,10,14,50,,6.0,4,0.431,25,0.2,5,51.3,39,0.405,19.6,15,33,0.455,15,0.48,12,"February 16, 2019",61.9,13,21.2,7,74.6,71.4,25,0.375,64,0.32799999999999996,21,0.21899999999999997,14,0.7859999999999999,11,11,200,88.1,29.3,12,9,59,,11.9,8,0.344,22,0.273,6,48.7,37,0.418,10.2,8,42,0.35700000000000004,15,0.5770000000000001,15,"Pinnacle Bank Arena, Lincoln, Nebraska",NORTHWESTERN,Northwestern,66.7,Home,NEBRASKA,Nebraska,Nebraska,big-ten,25,True,False,True,Home,True,6,15,64,37,76,5,15,58,1,0,194,441,1465,0.49965870307167237,834,1707,0.48857644991212656,142,442,1452,0.4511019283746556,0.56
26,2019-02-19-19-penn-state,35.7,10,4.9,2,143.9,55.2,16,0.525,59,0.475,28,0.305,18,0.5,9,12,200,107.6,32.3,10,17,71,,7.6,5,0.305,18,0.33299999999999996,6,43.3,26,0.526,14.1,11,41,0.537,22,0.556,15,"February 19, 2019",48.6,17,7.3,3,107.6,67.7,21,0.643,63,0.556,35,0.254,16,0.875,14,16,200,143.9,44.8,13,17,95,,12.1,8,0.349,22,0.5,11,56.7,34,0.6729999999999999,7.9,6,41,0.585,24,0.385,10,"Bryce Jordan Center, University Park, Pennsylvania",NEBRASKA,Nebraska,66.1,Home,PENN-STATE,Penn State,Nebraska,big-ten,26,False,False,False,Away,False,6,22,59,26,60,11,24,63,0,1,200,456,1529,0.4944408109875736,871,1783,0.48850252383623105,147,457,1510,0.44867549668874174,0.5769230769230769
