,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-RIVERSIDE_homegame,CALIFORNIA-RIVERSIDE_homegame2,CALIFORNIA-RIVERSIDE_home,CALIFORNIA-RIVERSIDE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-oregon-state,45.5,10,2.3,1,107.5,82.8,24,0.456,57,0.386,22,0.14,8,0.875,7,1,201,88.1,13.8,4,15,59,,7.5,5,0.42100000000000004,24,0.33299999999999996,8,48.3,28,0.485,15.4,11,33,0.424,14,0.0,0,"November 6, 2018",60.0,18,12.1,4,88.1,86.2,25,0.5589999999999999,59,0.508,30,0.18600000000000003,11,0.545,6,0,201,107.5,17.2,5,9,72,,9.0,6,0.254,15,0.4,6,51.7,30,0.561,9.9,7,44,0.545,24,1.0,1,"Gill Coliseum, Corvallis, Oregon",CALIFORNIA-RIVERSIDE,UC-Riverside,66.7,Home,OREGON-STATE,Oregon State,UC Riverside,big-west,0,False,False,False,Away,False,8,14,57,28,58,6,24,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-22-portland-state,71.4,15,7.3,3,93.4,71.9,23,0.5429999999999999,47,0.447,21,0.426,20,0.65,13,2,200,84.2,16.0,4,22,64,,5.3,4,0.489,23,0.391,9,47.4,27,0.5660000000000001,30.1,24,24,0.5,12,0.0,0,"November 10, 2018",55.6,15,20.8,5,84.2,84.0,21,0.483,59,0.45799999999999996,27,0.49200000000000005,29,0.483,14,1,200,93.4,28.1,9,21,71,,14.5,11,0.305,18,0.16699999999999998,3,52.6,30,0.488,13.3,11,41,0.585,24,0.5,1,"Peter W. Stott Center, Portland, Oregon",CALIFORNIA-RIVERSIDE,UC-Riverside,75.6,Home,PORTLAND-STATE,Portland State,UC Riverside,big-west,1,False,False,False,Away,False,9,12,47,27,57,3,24,59,0,1,8,14,57,0.45614035087719296,28,58,0.4827586206896552,6,24,59,0.559322033898305,0.0
2,2018-11-13-22-nevada-las-vegas,42.1,8,9.7,3,107.5,63.0,17,0.49,48,0.396,19,0.146,7,0.5710000000000001,4,3,200,76.1,21.4,6,27,51,,14.9,10,0.5,24,0.375,9,41.8,23,0.49700000000000005,28.1,20,24,0.41700000000000004,10,0.0,0,"November 13, 2018",52.2,12,8.3,2,76.1,78.6,22,0.53,50,0.46,23,0.66,33,0.5760000000000001,19,1,200,107.5,37.0,10,15,72,,13.4,9,0.38,19,0.368,7,58.2,32,0.5479999999999999,16.8,13,31,0.516,16,0.5,1,"Thomas & Mack Center, Las Vegas, Nevada",CALIFORNIA-RIVERSIDE,UC-Riverside,67.0,Home,NEVADA-LAS-VEGAS,UNLV,UC Riverside,big-west,2,False,False,False,Away,False,9,10,48,23,55,7,16,50,0,1,17,26,104,0.4951923076923077,55,115,0.4782608695652174,9,48,118,0.5211864406779662,0.0
3,2018-11-17-19-california-riverside,44.4,8,0.0,0,101.6,60.0,15,0.41700000000000004,48,0.375,18,0.375,18,0.722,13,0,200,85.5,16.7,4,21,53,,8.1,5,0.45799999999999996,22,0.182,4,38.8,19,0.469,16.4,11,26,0.5379999999999999,14,0.0,0,"November 17, 2018",47.6,10,15.4,4,85.5,83.3,20,0.583,42,0.5,21,0.595,25,0.56,14,3,200,101.6,40.0,10,20,63,,6.5,4,0.5,21,0.33299999999999996,7,61.2,30,0.585,24.3,17,21,0.667,14,0.25,1,"UC Riverside Student Recreation Center, Riverside, California","UC-Merced
			","UC-Merced
			",62.2,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,3,True,False,True,Home,True,7,14,42,30,49,4,14,48,1,0,26,36,152,0.4934210526315789,78,170,0.4588235294117647,16,64,168,0.5238095238095238,0.0
4,2018-11-22-15-pacific,47.1,8,8.3,3,110.4,69.2,18,0.423,52,0.327,17,0.34600000000000003,18,0.556,10,4,200,80.6,18.4,7,21,54,,6.0,4,0.596,31,0.32299999999999995,10,39.1,25,0.446,16.7,12,21,0.33299999999999996,7,0.2,1,"November 22, 2018",38.5,10,0.0,0,80.6,81.6,31,0.55,50,0.52,26,0.5,25,0.76,19,2,200,110.4,30.8,8,21,74,,4.5,3,0.28,14,0.214,3,60.9,39,0.598,18.7,14,36,0.639,23,0.667,4,"A.G. Spanos Center, Stockton, California",CALIFORNIA-RIVERSIDE,UC-Riverside,66.7,Home,PACIFIC,Pacific,UC Riverside,big-west,4,False,False,False,Away,False,10,7,52,25,64,3,23,50,0,1,33,50,194,0.5128865979381443,108,219,0.4931506849315068,20,78,216,0.5,0.25
5,2018-11-23-23-california-riverside,36.0,9,0.0,0,116.7,76.9,20,0.474,58,0.431,25,0.22399999999999998,13,0.6920000000000001,9,3,200,97.0,14.7,5,21,64,,7.6,5,0.31,18,0.278,5,41.7,25,0.499,14.7,11,40,0.5,20,0.4,2,"November 23, 2018",50.0,12,0.0,0,97.0,85.3,29,0.617,47,0.511,24,0.532,25,0.76,19,4,200,116.7,23.1,6,18,77,,7.6,5,0.489,23,0.435,10,58.3,35,0.654,12.1,8,24,0.583,14,0.33299999999999996,2,"A.G. Spanos Center, Stockton, California",ELON,Elon,65.5,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,5,True,False,True,Home,True,10,14,47,35,60,5,20,58,1,0,43,57,246,0.49390243902439024,133,283,0.46996466431095407,23,101,266,0.5093984962406015,0.2
6,2018-11-24-20-california-riverside,50.0,11,3.1,1,84.2,66.7,18,0.45299999999999996,53,0.415,22,0.358,19,0.632,12,0,200,105.3,41.2,14,15,60,,10.5,6,0.18899999999999997,10,0.4,4,52.5,32,0.484,8.9,6,43,0.419,18,1.0,6,"November 24, 2018",33.3,6,4.7,2,105.3,58.8,20,0.424,46,0.391,18,0.326,15,0.6,9,5,200,84.2,33.3,9,21,48,,3.5,2,0.304,14,0.214,3,47.5,29,0.452,22.2,15,32,0.469,15,0.28600000000000003,2,"A.G. Spanos Center, Stockton, California",CALIFORNIA-RIVERSIDE,UC-Riverside,56.6,Away,ABILENE-CHRISTIAN,Abilene Christian,UC Riverside,big-west,6,False,True,True,Home,False,3,15,46,29,61,4,18,53,0,1,53,71,293,0.5136518771331058,168,343,0.4897959183673469,28,121,324,0.5030864197530864,0.3333333333333333
7,2018-11-29-22-california-riverside,46.2,12,7.7,3,100.0,89.3,25,0.61,50,0.52,26,0.48,24,0.792,19,4,200,114.3,18.2,4,22,80,,7.1,5,0.44,22,0.409,9,58.0,29,0.6509999999999999,18.8,14,28,0.607,17,0.429,3,"November 29, 2018",47.8,11,7.1,2,114.3,81.8,18,0.47200000000000003,53,0.434,23,0.45299999999999996,24,0.833,20,6,200,100.0,10.7,3,20,70,,5.7,4,0.264,14,0.28600000000000003,4,42.0,21,0.5429999999999999,11.2,8,39,0.48700000000000004,19,0.25,2,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-RIVERSIDE,UC-Riverside,70.4,Away,CALIFORNIA-BAPTIST,California Baptist,UC Riverside,big-west,7,False,True,True,Home,False,4,19,53,21,50,9,17,50,0,1,56,86,339,0.5014749262536873,197,404,0.4876237623762376,32,139,377,0.4960212201591512,0.2857142857142857
8,2018-12-02-14-valparaiso,42.3,11,5.4,2,130.2,66.7,14,0.525,59,0.441,26,0.22,13,0.846,11,7,200,115.9,31.0,9,13,73,,9.5,6,0.39,23,0.435,10,46.0,23,0.56,11.0,8,36,0.444,16,0.222,2,"December 2, 2018",51.5,17,2.8,1,115.9,69.0,20,0.682,55,0.6,33,0.182,10,0.7,7,3,200,130.2,33.3,7,11,82,,3.2,2,0.327,18,0.5,9,54.0,27,0.6859999999999999,14.4,10,37,0.649,24,0.625,5,"Athletics-Recreation Center, Valparaiso, Indiana",CALIFORNIA-RIVERSIDE,UC-Riverside,63.5,Home,VALPARAISO,Valparaiso,UC Riverside,big-west,8,False,False,False,Away,False,10,16,59,23,50,9,24,55,0,1,60,105,392,0.49744897959183676,218,454,0.4801762114537445,41,156,427,0.509367681498829,0.25
9,2018-12-06-22-california-riverside,36.0,9,2.9,1,111.9,69.6,16,0.555,55,0.455,25,0.255,14,0.7140000000000001,10,4,200,106.0,15.4,4,14,71,,6.0,4,0.473,26,0.423,11,40.8,20,0.5760000000000001,15.2,11,29,0.483,14,0.556,5,"December 6, 2018",55.2,16,6.9,2,106.0,84.6,22,0.6,55,0.527,29,0.23600000000000002,13,0.6920000000000001,9,7,200,111.9,30.4,7,19,75,,4.5,3,0.364,20,0.4,8,59.2,29,0.613,16.5,12,35,0.6,21,0.3,3,"UC Riverside Student Recreation Center, Riverside, California",PEPPERDINE,Pepperdine,67.4,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,UC Riverside,big-west,9,True,False,True,Home,True,8,21,55,29,49,11,14,55,1,0,70,121,451,0.5011086474501109,241,504,0.4781746031746032,50,180,482,0.529045643153527,0.2222222222222222
