,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAINT-FRANCIS-PA_homegame,SAINT-FRANCIS-PA_homegame2,SAINT-FRANCIS-PA_home,SAINT-FRANCIS-PA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-16-buffalo,29.2,7,5.6,2,106.5,67.4,29,0.409,66,0.364,24,0.22699999999999998,15,0.867,13,1,200,87.0,37.5,15,24,67,,3.9,3,0.182,12,0.5,6,53.0,44,0.45799999999999996,21.6,20,54,0.33299999999999996,18,0.0,0,"November 6, 2018",73.3,22,20.4,11,87.0,62.5,25,0.479,70,0.429,30,0.28600000000000003,20,0.75,15,0,200,106.5,32.6,14,19,82,,13.0,10,0.486,34,0.20600000000000002,7,47.0,39,0.516,12.2,11,36,0.639,23,1.0,1,"Alumni Arena, Buffalo, New York",SAINT-FRANCIS-PA,Saint Francis (PA),77.3,Home,BUFFALO,Buffalo,Saint Francis (PA),northeast,0,False,False,False,Away,False,6,18,66,44,83,7,23,70,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-saint-francis-pa,45.5,10,5.0,2,109.6,56.4,22,0.402,61,0.361,22,0.27899999999999997,17,0.765,13,2,200,84.9,31.3,10,25,62,,4.1,3,0.295,18,0.278,5,45.1,32,0.449,17.0,14,43,0.395,17,0.0,0,"November 9, 2018",46.2,12,9.3,4,84.9,68.8,22,0.433,67,0.38799999999999996,26,0.493,33,0.667,22,1,200,109.6,43.6,17,17,80,,11.0,8,0.40299999999999997,27,0.222,6,54.9,39,0.484,8.9,8,40,0.5,20,0.5,1,"DeGol Arena, Loretto, Pennsylvania",MORGAN-STATE,Morgan State,73.4,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,1,True,False,True,Home,True,6,20,67,39,71,5,17,61,1,0,6,18,66,0.4090909090909091,44,83,0.5301204819277109,7,23,70,0.4785714285714286,0.0
2,2018-11-16-23-ucla,31.8,7,5.9,3,126.7,61.1,22,0.34700000000000003,72,0.306,22,0.222,16,0.5,8,2,200,77.3,32.6,15,24,58,,5.3,4,0.306,22,0.273,6,45.1,37,0.364,16.0,15,50,0.32,16,0.33299999999999996,1,"November 16, 2018",45.0,18,26.0,13,77.3,67.4,31,0.621,70,0.5710000000000001,40,0.22899999999999998,16,0.5,8,0,200,126.7,38.9,14,15,95,20.0,9.3,7,0.271,19,0.368,7,54.9,45,0.612,7.2,6,51,0.647,33,1.0,3,"Pauley Pavilion, Los Angeles, California",SAINT-FRANCIS-PA,Saint Francis (PA),74.6,Home,UCLA,UCLA,Saint Francis (PA),northeast,2,False,False,False,Away,False,6,16,72,37,82,7,33,70,0,1,12,38,133,0.42105263157894735,83,154,0.538961038961039,12,40,131,0.44274809160305345,0.5
3,2018-11-19-20-north-carolina,34.8,8,10.0,4,117.4,67.6,23,0.418,67,0.34299999999999997,23,0.40299999999999997,27,0.741,20,3,200,88.4,20.5,9,23,76,,15.1,13,0.433,29,0.345,10,41.0,32,0.47600000000000003,17.7,17,38,0.342,13,0.25,1,"November 19, 2018",70.6,24,13.2,5,88.4,79.5,35,0.6,65,0.523,34,0.415,27,0.852,23,0,200,117.4,32.4,11,20,101,7.0,9.3,8,0.385,25,0.4,10,59.0,46,0.649,19.0,18,40,0.6,24,1.0,5,"Dean Smith Center, Chapel Hill, North Carolina",SAINT-FRANCIS-PA,Saint Francis (PA),86.3,Home,NORTH-CAROLINA,UNC,Saint Francis (PA),northeast,3,False,False,False,Away,False,10,13,67,32,78,10,24,65,0,1,18,54,205,0.3951219512195122,120,236,0.5084745762711864,19,73,201,0.5049751243781094,0.3333333333333333
4,2018-11-24-13-virginia-tech,40.0,6,7.7,2,110.3,74.1,20,0.293,58,0.259,15,0.052000000000000005,3,1.0,3,4,200,54.4,34.2,13,15,37,,8.8,6,0.379,22,0.182,4,50.8,33,0.311,26.1,21,36,0.306,11,0.2,1,"November 24, 2018",74.1,20,8.3,3,54.4,65.8,25,0.596,57,0.474,27,0.158,9,0.778,7,0,200,110.3,25.9,7,10,75,13.0,10.3,7,0.544,31,0.452,14,49.2,32,0.612,18.7,14,26,0.5,13,1.0,5,"Cassell Coliseum, Blacksburg, Virginia",SAINT-FRANCIS-PA,Saint Francis (PA),67.9,Home,VIRGINIA-TECH,Virginia Tech,Saint Francis (PA),northeast,4,False,False,False,Away,False,4,11,58,33,65,14,13,57,0,1,28,67,272,0.4007352941176471,152,314,0.4840764331210191,29,97,266,0.5281954887218046,0.25
5,2018-11-27-18-saint-francis-pa,36.8,7,3.8,2,148.7,48.3,14,0.41700000000000004,54,0.35200000000000004,19,0.389,21,0.667,14,0,200,77.6,22.2,8,16,59,,5.3,4,0.315,17,0.41200000000000003,7,33.8,22,0.461,24.0,20,37,0.324,12,0.0,0,"November 27, 2018",55.3,26,5.4,2,77.6,77.8,28,0.6779999999999999,76,0.618,47,0.184,14,0.7140000000000001,10,4,200,148.7,51.7,15,18,113,,14.5,11,0.316,24,0.375,9,66.2,43,0.684,8.9,8,52,0.731,38,0.33299999999999996,2,"DeGol Arena, Loretto, Pennsylvania","Bloomsburg
			","Bloomsburg
			",75.8,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,5,True,False,True,Home,True,9,38,76,43,65,7,12,54,1,0,32,78,330,0.38181818181818183,185,379,0.48812664907651715,43,110,323,0.5402476780185759,0.2
6,2018-11-30-19-saint-francis-pa,40.0,10,6.1,3,100.0,67.4,29,0.46,63,0.397,25,0.317,20,0.85,17,4,200,94.9,22.9,8,20,75,,3.8,3,0.397,25,0.32,8,47.4,37,0.517,16.3,14,38,0.447,17,0.33299999999999996,2,"November 30, 2018",41.9,13,5.3,2,94.9,77.1,27,0.465,72,0.431,31,0.222,16,0.75,12,4,200,100.0,32.6,14,19,79,,7.6,6,0.319,23,0.217,5,52.6,41,0.496,14.1,13,49,0.531,26,0.429,3,"DeGol Arena, Loretto, Pennsylvania",NIAGARA,Niagara,78.6,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,6,True,False,True,Home,True,5,26,72,41,78,8,17,63,1,0,41,116,406,0.437192118226601,228,444,0.5135135135135135,50,122,377,0.5225464190981433,0.3333333333333333
7,2018-12-04-19-american,35.7,10,6.3,2,130.1,88.9,24,0.5,62,0.452,28,0.40299999999999997,25,0.8,20,5,200,112.3,29.4,10,22,82,,5.5,4,0.33899999999999997,21,0.28600000000000003,6,55.7,34,0.555,12.0,10,41,0.537,22,0.375,3,"December 4, 2018",76.5,26,17.1,7,112.3,70.6,24,0.696,56,0.607,34,0.5,28,0.607,17,2,200,130.1,11.1,3,19,95,,9.6,7,0.429,24,0.41700000000000004,10,44.3,27,0.685,6.8,5,32,0.75,24,0.7140000000000001,5,"Bender Arena, Washington, District of Columbia",SAINT-FRANCIS-PA,Saint Francis (PA),72.6,Home,AMERICAN,American,Saint Francis (PA),northeast,7,False,False,False,Away,False,6,22,62,34,61,10,24,56,0,1,46,142,478,0.44142259414225943,269,522,0.5153256704980843,58,139,440,0.5136363636363637,0.42857142857142855
8,2018-12-09-14-delaware,48.3,14,2.6,1,137.5,74.1,20,0.621,58,0.5,29,0.276,16,0.688,11,6,200,129.7,25.8,8,15,83,,4.7,3,0.552,32,0.43799999999999994,14,48.3,28,0.633,7.1,5,26,0.5770000000000001,15,0.33299999999999996,3,"December 9, 2018",38.2,13,7.7,2,129.7,74.2,23,0.644,59,0.5760000000000001,34,0.28800000000000003,17,0.706,12,3,200,137.5,25.9,7,13,88,,3.1,2,0.35600000000000004,21,0.381,8,51.7,30,0.6559999999999999,7.0,5,38,0.684,26,0.727,8,"Bob Carpenter Center, Newark, Delaware",SAINT-FRANCIS-PA,Saint Francis (PA),63.8,Home,DELAWARE,Delaware,Saint Francis (PA),northeast,8,False,False,False,Away,False,14,15,58,28,58,8,26,59,0,1,52,164,540,0.44814814814814813,303,583,0.5197255574614065,68,163,496,0.5342741935483871,0.375
9,2018-12-18-19-saint-francis-pa,47.8,11,2.0,1,117.1,56.1,23,0.418,67,0.34299999999999997,23,0.149,10,0.7,7,0,200,76.8,25.6,11,20,63,,8.5,7,0.418,28,0.35700000000000004,10,40.5,34,0.439,23.6,22,39,0.33299999999999996,13,0.0,0,"December 18, 2018",50.0,19,7.7,3,76.8,74.4,32,0.562,73,0.521,38,0.342,25,0.56,14,6,200,117.1,43.9,18,14,96,,14.6,12,0.301,22,0.273,6,59.5,50,0.5660000000000001,15.2,15,51,0.627,32,0.4,4,"DeGol Arena, Loretto, Pennsylvania","Franciscan
			","Franciscan
			",82.3,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,9,True,False,True,Home,True,6,32,73,50,84,10,13,67,1,0,66,179,598,0.46488294314381273,331,641,0.516380655226209,76,189,555,0.5459459459459459,0.3333333333333333
