,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALABAMA-BIRMINGHAM_homegame,ALABAMA-BIRMINGHAM_homegame2,ALABAMA-BIRMINGHAM_home,ALABAMA-BIRMINGHAM_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-alabama-birmingham,52.4,11,0.0,0,94.9,57.1,16,0.40700000000000003,59,0.35600000000000004,21,0.424,25,0.76,19,1,200,84.8,19.4,7,25,67,,7.6,6,0.441,26,0.231,6,35.9,23,0.473,20.5,18,33,0.455,15,0.0,0,"November 6, 2018",38.1,8,18.2,6,84.8,80.6,29,0.426,54,0.389,21,0.648,35,0.8290000000000001,29,0,200,94.9,42.9,12,25,75,,10.1,8,0.426,23,0.174,4,64.1,41,0.531,20.6,18,31,0.5479999999999999,17,1.0,1,"Bartow Arena, Birmingham, Alabama",MERCER,Mercer,79.3,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,UAB,cusa,0,True,False,True,Home,True,4,17,54,41,64,6,15,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-14-20-alabama-birmingham,53.6,15,4.2,2,115.4,54.3,19,0.564,55,0.509,28,0.2,11,0.545,6,2,200,104.6,38.7,12,18,68,,10.8,7,0.23600000000000002,13,0.462,6,47.0,31,0.565,21.1,16,42,0.524,22,0.5,2,"November 14, 2018",44.8,13,2.4,1,104.6,61.3,19,0.49200000000000005,63,0.46,29,0.317,20,0.65,13,0,200,115.4,45.7,16,17,75,,13.8,9,0.23800000000000002,15,0.267,4,53.0,35,0.517,12.2,10,48,0.521,25,1.0,2,"Bartow Arena, Birmingham, Alabama",NEW-ORLEANS,New Orleans,65.4,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,UAB,cusa,1,True,False,True,Home,True,4,25,63,35,66,6,22,55,1,0,4,17,54,0.42592592592592593,41,64,0.640625,6,15,59,0.4067796610169492,1.0
2,2018-11-18-17-alabama-birmingham,53.8,7,0.0,0,118.5,61.9,13,0.364,44,0.295,13,0.386,17,0.882,15,0,200,72.3,14.8,4,11,47,,12.3,8,0.47700000000000004,21,0.28600000000000003,6,35.4,17,0.451,25.9,18,23,0.304,7,0.0,0,"November 18, 2018",63.3,19,0.0,0,72.3,85.2,23,0.6759999999999999,54,0.556,30,0.16699999999999998,9,0.444,4,0,200,118.5,38.1,8,17,77,,10.8,7,0.444,24,0.542,13,64.6,31,0.6609999999999999,19.5,14,30,0.5670000000000001,17,1.0,3,"Bartow Arena, Birmingham, Alabama","West Alabama
			","West Alabama
			",65.2,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,UAB,cusa,2,True,False,True,Home,True,13,17,54,31,48,6,7,44,1,0,8,42,117,0.46153846153846156,76,130,0.5846153846153846,12,37,114,0.4824561403508772,1.0
3,2018-11-22-21-florida-state,31.6,6,2.9,1,106.6,63.6,14,0.345,58,0.32799999999999996,19,0.483,28,0.821,23,1,200,82.9,23.7,9,21,63,,11.8,9,0.24100000000000002,14,0.14300000000000002,2,38.3,23,0.442,16.6,14,44,0.386,17,0.75,3,"November 22, 2018",46.2,12,11.4,5,82.9,76.3,29,0.547,53,0.491,26,0.491,26,0.885,23,0,200,106.6,36.4,8,22,81,14.0,9.2,7,0.34,18,0.33299999999999996,6,61.7,37,0.62,21.8,18,35,0.5710000000000001,20,1.0,4,"HP Field House, Orlando, Florida",ALABAMA-BIRMINGHAM,Alabama-Birmingham,75.8,Home,FLORIDA-STATE,Florida State,UAB,cusa,3,False,False,False,Away,False,2,17,58,23,60,6,20,53,0,1,21,59,171,0.5292397660818714,107,178,0.601123595505618,18,44,158,0.44936708860759494,1.0
4,2018-11-23-19-alabama-birmingham,31.0,9,9.8,4,78.5,61.1,22,0.615,52,0.5579999999999999,29,0.28800000000000003,15,0.667,10,2,200,113.8,17.4,4,11,74,,10.8,7,0.365,19,0.316,6,44.1,26,0.626,13.3,9,33,0.6970000000000001,23,0.667,4,"November 23, 2018",38.1,8,3.0,1,113.8,82.6,19,0.392,60,0.35,21,0.133,8,0.5,4,2,200,78.5,38.9,14,16,51,,10.8,7,0.317,19,0.263,5,55.9,33,0.4,21.1,17,41,0.39,16,0.6,3,"HP Field House, Orlando, Florida",ALABAMA-BIRMINGHAM,Alabama-Birmingham,65.5,Away,COLLEGE-OF-CHARLESTON,College of Charleston,UAB,cusa,4,False,True,True,Home,False,5,16,60,33,59,6,23,52,0,1,23,76,229,0.48253275109170307,130,238,0.5462184873949579,24,64,211,0.47393364928909953,0.75
5,2018-11-25-10-alabama-birmingham,57.9,11,8.1,3,91.9,59.3,16,0.396,53,0.358,19,0.377,20,0.8,16,5,200,78.4,25.0,7,18,58,,12.2,9,0.377,20,0.2,4,41.8,23,0.46399999999999997,24.4,20,33,0.455,15,0.16699999999999998,1,"November 25, 2018",34.6,9,9.1,3,78.4,75.0,21,0.528,54,0.48100000000000004,26,0.278,15,0.733,11,2,200,91.9,40.7,11,22,68,,12.2,9,0.315,17,0.294,5,58.2,32,0.556,26.6,22,37,0.568,21,0.667,4,"HP Field House, Orlando, Florida",CANISIUS,Canisius,73.8,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,UAB,cusa,5,True,False,True,Home,True,5,21,54,32,55,4,15,53,1,0,28,92,289,0.46366782006920415,163,297,0.5488215488215489,30,87,263,0.5019011406844106,0.6
6,2018-11-29-20-alabama-am,37.9,11,5.6,2,83.8,79.4,27,0.5539999999999999,56,0.518,29,0.23199999999999998,13,0.385,5,2,200,98.5,32.0,8,12,67,,8.8,6,0.321,18,0.222,4,59.3,35,0.539,16.3,12,38,0.6579999999999999,25,0.7140000000000001,5,"November 29, 2018",66.7,14,7.9,3,98.5,68.0,17,0.43,57,0.368,21,0.281,16,0.5,8,7,200,83.8,20.6,7,12,57,,11.8,8,0.368,21,0.33299999999999996,7,40.7,24,0.441,16.9,13,36,0.389,14,0.0,0,"Von Braun Center, Hunstville, Alabama",ALABAMA-AM,Alabama A&M,68.4,Away,ALABAMA-BIRMINGHAM,Alabama-Birmingham,UAB,cusa,6,False,False,False,Away,True,4,25,56,35,59,7,14,57,1,0,33,113,343,0.4737609329446064,195,352,0.5539772727272727,34,102,316,0.48417721518987344,0.6666666666666666
7,2018-12-04-20-alabama-birmingham,54.2,13,0.0,0,110.6,60.0,21,0.5670000000000001,52,0.462,24,0.231,12,0.667,8,7,200,101.5,14.3,4,13,67,,6.1,4,0.596,31,0.355,11,39.7,25,0.581,19.6,14,21,0.619,13,0.222,2,"December 4, 2018",48.4,15,4.8,1,101.5,85.7,24,0.523,66,0.47,31,0.091,6,0.667,4,2,200,110.6,40.0,14,11,73,,9.1,6,0.379,25,0.28,7,60.3,38,0.53,11.6,9,41,0.585,24,0.75,6,"Bartow Arena, Birmingham, Alabama",NORTH-ALABAMA,North Alabama,65.8,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,UAB,cusa,7,True,False,True,Home,True,7,24,66,38,63,11,13,52,1,0,37,138,399,0.4849624060150376,230,411,0.559610705596107,41,116,373,0.47587131367292224,0.7142857142857143
8,2018-12-08-13-memphis,50.0,13,3.1,1,122.1,79.3,23,0.49200000000000005,62,0.419,26,0.419,26,0.5770000000000001,15,3,200,98.7,38.2,13,25,76,,6.5,5,0.355,22,0.409,9,57.1,36,0.511,18.8,17,40,0.425,17,0.667,6,"December 8, 2018",60.0,18,17.5,7,98.7,61.8,21,0.634,56,0.536,30,0.536,30,0.767,23,4,200,122.1,20.7,6,18,94,,9.1,7,0.429,24,0.45799999999999996,11,42.9,27,0.669,13.7,11,32,0.594,19,0.556,5,"FedExForum, Memphis, Tennessee",ALABAMA-BIRMINGHAM,Alabama-Birmingham,76.8,Home,MEMPHIS,Memphis,UAB,cusa,8,False,False,False,Away,False,9,17,62,36,63,11,19,56,0,1,44,162,465,0.49032258064516127,268,474,0.5654008438818565,52,129,425,0.48705882352941177,0.75
9,2018-12-15-19-alabama-birmingham,45.5,10,20.6,7,102.9,69.4,25,0.42100000000000004,57,0.386,22,0.596,34,0.794,27,1,225,108.7,35.1,13,16,75,8.0,2.9,2,0.386,22,0.182,4,52.1,38,0.513,12.2,10,35,0.514,18,0.9,9,"December 15, 2018",39.3,11,8.6,3,108.7,64.9,24,0.516,63,0.444,28,0.175,11,0.545,6,4,225,102.9,30.6,11,25,71,,11.6,8,0.46,29,0.31,9,47.9,35,0.52,14.0,11,34,0.5589999999999999,19,0.6,6,"Legacy Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,61.5,Away,AUBURN,Auburn,UAB,cusa,9,False,True,True,Home,False,9,19,63,35,73,4,18,57,0,1,53,179,527,0.4905123339658444,304,537,0.5661080074487895,63,148,481,0.5041580041580042,0.6666666666666666
