,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARKANSAS_homegame,ARKANSAS_homegame2,ARKANSAS_home,ARKANSAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-texas,32.0,8,13.9,5,90.1,68.9,31,0.475,61,0.41,25,0.39299999999999996,24,0.542,13,1,225,87.7,25.0,10,23,71,,7.4,6,0.361,22,0.364,8,48.2,41,0.49,20.1,18,39,0.436,17,0.0,0,"November 9, 2018",47.6,10,12.8,5,87.7,75.0,30,0.38799999999999996,67,0.313,21,0.44799999999999995,30,0.7,21,0,225,90.1,31.1,14,25,73,,9.9,8,0.46299999999999997,31,0.32299999999999995,10,51.8,44,0.449,14.9,14,36,0.306,11,1.0,2,"Fort Bliss, El Paso, Texas",ARKANSAS,Arkansas,71.8,Home,TEXAS,Texas,Arkansas,sec,0,False,False,False,Away,False,8,17,61,41,85,10,11,67,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-20-arkansas,61.1,11,0.0,0,102.5,82.1,23,0.384,56,0.321,18,0.321,18,0.833,15,3,200,73.4,26.5,9,31,58,,3.8,3,0.518,29,0.24100000000000002,7,51.6,32,0.449,27.3,24,27,0.40700000000000003,11,0.0,0,"November 12, 2018",60.9,14,22.2,6,73.4,73.5,25,0.551,49,0.469,23,0.8370000000000001,41,0.659,27,1,200,102.5,17.9,5,21,81,,12.7,10,0.408,20,0.4,8,48.4,30,0.591,18.3,15,29,0.517,15,0.5,1,"Bud Walton Arena, Fayetteville, Arkansas",CALIFORNIA-DAVIS,UC-Davis,79.0,Home,ARKANSAS,Arkansas,Arkansas,sec,1,True,False,True,Home,True,8,15,49,30,62,7,11,56,1,0,8,17,61,0.47540983606557374,41,85,0.4823529411764706,10,11,67,0.3880597014925373,0.0
2,2018-11-18-15-arkansas,48.1,13,2.4,1,94.8,82.4,28,0.534,58,0.466,27,0.259,15,0.667,10,1,200,93.5,24.1,7,20,72,,5.2,4,0.345,20,0.4,8,55.6,35,0.5529999999999999,20.8,17,38,0.5,19,0.75,3,"November 18, 2018",71.4,20,18.4,7,93.5,75.9,22,0.484,64,0.43799999999999994,28,0.297,19,0.579,11,1,200,94.8,17.6,6,16,73,,10.4,8,0.359,23,0.261,6,44.4,28,0.5,14.2,12,41,0.537,22,0.667,2,"Bud Walton Arena, Fayetteville, Arkansas",INDIANA,Indiana,77.1,Home,ARKANSAS,Arkansas,Arkansas,sec,2,True,False,True,Home,True,6,22,64,28,63,8,19,58,1,0,16,32,110,0.509090909090909,71,147,0.48299319727891155,17,22,123,0.3861788617886179,0.5
3,2018-11-21-20-arkansas,57.1,12,0.0,0,113.9,67.9,19,0.449,59,0.35600000000000004,21,0.40700000000000003,24,0.625,15,5,200,86.1,45.9,17,17,68,,6.3,5,0.5760000000000001,34,0.324,11,55.4,36,0.483,25.7,24,25,0.4,10,0.16699999999999998,1,"November 21, 2018",78.4,29,16.0,4,86.1,54.1,20,0.607,70,0.529,37,0.14300000000000002,10,0.5,5,1,200,113.9,32.1,9,25,90,,16.5,13,0.5,35,0.314,11,44.6,29,0.602,15.8,14,35,0.743,26,0.75,3,"Bud Walton Arena, Fayetteville, Arkansas",MONTANA-STATE,Montana State,78.6,Home,ARKANSAS,Arkansas,Arkansas,sec,3,True,False,True,Home,True,11,26,70,29,65,11,10,59,1,0,22,54,174,0.5,99,210,0.4714285714285714,25,41,181,0.43370165745856354,0.6666666666666666
4,2018-11-23-20-arkansas,38.9,7,5.1,2,96.3,72.2,26,0.382,55,0.327,18,0.491,27,0.667,18,3,200,74.1,17.6,6,33,60,,9.9,8,0.491,27,0.222,6,45.7,32,0.442,20.3,17,28,0.429,12,0.5,3,"November 23, 2018",71.4,15,14.3,4,74.1,82.4,28,0.4,55,0.382,21,0.836,46,0.7390000000000001,34,1,200,96.3,27.8,10,25,78,,8.6,7,0.29100000000000004,16,0.125,2,54.3,38,0.507,17.5,16,39,0.48700000000000004,19,0.8,4,"Bud Walton Arena, Fayetteville, Arkansas",TEXAS-ARLINGTON,Texas-Arlington,80.8,Home,ARKANSAS,Arkansas,Arkansas,sec,4,True,False,True,Home,True,2,19,55,38,70,6,12,55,1,0,33,80,244,0.5307377049180327,128,275,0.46545454545454545,36,51,240,0.4375,0.75
5,2018-12-01-20-arkansas,51.6,16,4.5,2,126.0,73.3,22,0.41,83,0.373,31,0.41,34,0.618,21,2,200,92.7,28.8,15,27,89,,8.3,8,0.446,37,0.162,6,45.1,37,0.449,12.5,14,46,0.5429999999999999,25,0.778,7,"December 1, 2018",64.3,27,23.9,11,92.7,71.2,37,0.703,69,0.609,42,0.565,39,0.615,24,1,200,126.0,26.7,8,28,121,,11.5,11,0.36200000000000004,25,0.52,13,54.9,45,0.691,14.0,14,44,0.659,29,0.833,5,"Bud Walton Arena, Fayetteville, Arkansas",FLORIDA-INTERNATIONAL,Florida International,95.8,Home,ARKANSAS,Arkansas,Arkansas,sec,5,True,False,True,Home,True,13,29,69,45,82,6,25,83,1,0,35,99,299,0.5066889632107023,166,345,0.4811594202898551,42,63,295,0.4271186440677966,0.8
6,2018-12-05-22-colorado-state,73.7,28,29.0,9,102.8,86.1,31,0.616,73,0.521,38,0.192,14,0.5710000000000001,8,1,200,136.1,36.8,14,22,98,,11.1,8,0.384,28,0.5,14,60.8,45,0.615,8.1,7,45,0.5329999999999999,24,0.857,6,"December 5, 2018",76.2,16,2.2,1,136.1,63.2,24,0.491,54,0.389,21,0.556,30,0.7,21,5,200,102.8,13.9,5,15,74,,5.6,4,0.426,23,0.478,11,39.2,29,0.542,11.8,9,31,0.32299999999999995,10,0.444,4,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,72.5,Away,ARKANSAS,Arkansas,Arkansas,sec,6,False,False,False,Away,True,14,24,73,45,74,11,10,54,1,0,48,128,368,0.5434782608695652,211,427,0.49414519906323184,48,88,378,0.42328042328042326,0.8333333333333334
7,2018-12-08-15-arkansas,62.1,18,18.2,8,104.1,79.4,27,0.578,58,0.5,29,0.293,17,0.647,11,4,200,105.4,20.0,6,15,78,,5.4,4,0.379,22,0.409,9,51.6,33,0.59,15.5,12,36,0.556,20,0.556,5,"December 8, 2018",33.3,10,11.1,4,105.4,80.0,24,0.493,69,0.435,30,0.23199999999999998,16,0.563,9,2,200,104.1,20.6,7,13,77,,8.1,6,0.36200000000000004,25,0.32,8,48.4,31,0.503,8.4,7,44,0.5,22,0.75,6,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,74.3,Away,WESTERN-KENTUCKY,Western Kentucky,Arkansas,sec,7,False,True,True,Home,False,8,22,69,31,64,9,20,58,0,1,62,152,441,0.5555555555555556,256,501,0.5109780439121756,59,98,432,0.43171296296296297,0.8571428571428571
8,2018-12-15-20-arkansas,38.1,8,7.7,3,103.9,68.0,17,0.41,61,0.344,21,0.39299999999999996,24,0.708,17,7,200,88.2,27.8,10,29,67,,9.2,7,0.475,29,0.276,8,44.3,27,0.46299999999999997,14.4,12,32,0.406,13,0.3,3,"December 15, 2018",73.9,17,25.0,8,88.2,72.2,26,0.473,55,0.418,23,0.618,34,0.794,27,2,200,103.9,32.0,8,20,79,,9.2,7,0.29100000000000004,16,0.375,6,55.7,34,0.555,17.7,15,39,0.436,17,0.778,7,"Verizon Arena, North Little Rock, Arkansas",TEXAS-SAN-ANTONIO,UTSA,76.3,Home,ARKANSAS,Arkansas,Arkansas,sec,8,True,False,True,Home,True,6,17,55,34,61,8,13,61,1,0,70,174,510,0.5470588235294118,287,565,0.5079646017699115,68,118,490,0.4489795918367347,0.75
9,2018-12-19-21-arkansas,56.0,14,19.4,6,91.5,67.6,25,0.5,55,0.455,25,0.364,20,0.7,14,4,200,97.2,40.0,12,16,69,,11.3,8,0.309,17,0.294,5,55.2,37,0.535,22.0,18,38,0.526,20,0.6,6,"December 19, 2018",66.7,16,15.8,6,97.2,60.0,18,0.46,63,0.381,24,0.14300000000000002,9,0.778,7,3,200,91.5,32.4,12,17,65,,9.9,7,0.508,32,0.313,10,44.8,30,0.483,19.3,16,31,0.452,14,0.7,7,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,70.9,Away,GEORGIA-TECH,Georgia Tech,Arkansas,sec,9,False,True,True,Home,False,10,14,63,30,67,5,20,55,0,1,76,191,565,0.5398230088495575,321,626,0.512779552715655,76,131,551,0.44464609800362975,0.7777777777777778
