,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BALL-STATE_homegame,BALL-STATE_homegame2,BALL-STATE_home,BALL-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-ball-state,42.3,11,10.9,5,122.9,55.9,19,0.433,67,0.38799999999999996,26,0.26899999999999996,18,0.611,11,1,195,98.6,35.9,14,20,69,,8.6,6,0.179,12,0.5,6,45.2,33,0.457,11.8,10,55,0.364,20,0.0,0,"November 6, 2018",43.8,14,9.1,5,98.6,64.1,25,0.546,65,0.49200000000000005,32,0.308,20,0.75,15,0,195,122.9,44.1,15,18,86,,10.0,7,0.292,19,0.368,7,54.8,40,0.5770000000000001,10.9,9,46,0.5429999999999999,25,1.0,1,"Worthen Arena, Muncie, Indiana",INDIANA-STATE,Indiana State,71.8,Home,BALL-STATE,Ball State,Ball State,mac,0,True,False,True,Home,True,7,25,65,40,73,6,20,67,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-20-purdue,36.0,9,5.4,2,115.1,52.6,20,0.5870000000000001,52,0.48100000000000004,25,0.365,19,0.737,14,1,201,102.7,26.9,7,24,75,,5.5,4,0.442,23,0.478,11,42.2,27,0.615,23.0,18,29,0.483,14,0.5,1,"November 10, 2018",56.7,17,17.2,5,102.7,73.1,19,0.486,69,0.435,30,0.348,24,0.708,17,0,201,115.1,47.4,18,22,84,24.0,5.5,4,0.46399999999999997,32,0.21899999999999997,7,57.8,37,0.522,12.1,11,37,0.622,23,1.0,2,"Mackey Arena, West Lafayette, Indiana",BALL-STATE,Ball State,72.4,Home,PURDUE,Purdue,Ball State,mac,1,False,False,False,Away,False,11,14,52,27,64,7,23,69,0,1,7,25,65,0.5461538461538461,40,73,0.547945205479452,6,20,67,0.43283582089552236,1.0
2,2018-11-15-11-virginia-tech,50.0,11,16.2,6,114.1,66.7,20,0.51,52,0.423,22,0.26899999999999996,14,0.7859999999999999,11,2,200,100.0,34.5,10,11,64,,6.3,4,0.519,27,0.33299999999999996,9,50.8,30,0.546,19.4,14,25,0.52,13,0.33299999999999996,1,"November 15, 2018",48.3,14,12.0,3,100.0,65.5,19,0.516,63,0.46,29,0.14300000000000002,9,0.889,8,0,200,114.1,33.3,10,17,73,16.0,10.9,7,0.413,26,0.26899999999999996,7,49.2,29,0.5429999999999999,10.7,8,37,0.595,22,1.0,2,"TD Arena, Charleston, South Carolina",BALL-STATE,Ball State,64.0,Home,VIRGINIA-TECH,Virginia Tech,Ball State,mac,2,False,False,False,Away,False,9,13,52,30,59,7,22,63,0,1,18,39,117,0.5641025641025641,67,137,0.48905109489051096,13,43,136,0.45955882352941174,0.5
3,2018-11-16-13-alabama,50.0,11,17.4,8,108.2,76.7,23,0.48,49,0.449,22,0.449,22,0.636,14,3,200,83.6,14.8,4,18,61,,6.8,5,0.245,12,0.25,3,47.4,27,0.513,20.4,15,37,0.514,19,0.25,1,"November 16, 2018",66.7,22,13.5,5,83.6,85.2,23,0.562,65,0.508,33,0.138,9,0.667,6,1,200,108.2,23.3,7,22,79,,5.5,4,0.292,19,0.368,7,52.6,30,0.57,16.9,14,46,0.565,26,0.75,3,"TD Arena, Charleston, South Carolina",BALL-STATE,Ball State,73.4,Home,ALABAMA,Alabama,Ball State,mac,3,False,False,False,Away,False,3,19,49,27,57,7,26,65,0,1,27,52,169,0.5473372781065089,97,196,0.49489795918367346,20,65,199,0.47738693467336685,0.3333333333333333
4,2018-11-18-11-appalachian-state,57.1,16,11.5,6,95.6,73.2,30,0.517,59,0.475,28,0.7290000000000001,43,0.767,33,3,225,104.4,22.9,8,20,94,,7.8,7,0.305,18,0.278,5,50.0,38,0.5920000000000001,17.0,16,41,0.561,23,0.4,2,"November 18, 2018",36.7,11,4.9,2,104.4,77.1,27,0.465,72,0.41700000000000004,30,0.34700000000000003,25,0.76,19,4,225,95.6,26.8,11,31,86,,5.6,5,0.278,20,0.35,7,50.0,38,0.513,18.6,19,52,0.442,23,0.2,1,"TD Arena, Charleston, South Carolina",APPALACHIAN-STATE,Appalachian State,79.7,Away,BALL-STATE,Ball State,Ball State,mac,4,False,False,False,Away,True,5,23,59,38,76,7,23,72,1,0,30,71,218,0.5321100917431193,124,253,0.4901185770750988,27,91,264,0.4981060606060606,0.25
5,2018-11-24-14-ball-state,46.2,12,7.0,3,117.1,62.9,22,0.5660000000000001,53,0.491,26,0.377,20,0.6,12,3,200,102.9,18.8,6,25,72,,7.1,5,0.321,17,0.47100000000000003,8,41.8,28,0.5760000000000001,15.1,11,36,0.5,18,0.4,2,"November 24, 2018",53.3,16,5.6,2,102.9,81.3,26,0.54,63,0.47600000000000003,30,0.381,24,0.583,14,3,200,117.1,37.1,13,21,82,,10.0,7,0.317,20,0.4,8,58.2,39,0.551,13.0,11,43,0.512,22,0.5,3,"Worthen Arena, Muncie, Indiana",EVANSVILLE,Evansville,70.0,Home,BALL-STATE,Ball State,Ball State,mac,5,True,False,True,Home,True,8,22,63,39,67,8,18,53,1,0,35,94,277,0.5288808664259927,162,329,0.49240121580547114,34,114,336,0.49107142857142855,0.4
6,2018-11-27-19-ball-state,37.5,9,4.3,2,138.5,56.7,17,0.39299999999999996,70,0.34299999999999997,24,0.157,11,0.636,7,0,200,79.5,15.2,7,19,62,,7.7,6,0.414,29,0.24100000000000002,7,31.6,24,0.41200000000000003,11.8,10,41,0.415,17,0.0,0,"November 27, 2018",53.7,22,14.6,6,79.5,84.8,39,0.659,69,0.594,41,0.33299999999999996,23,0.7390000000000001,17,3,200,138.5,43.3,13,9,108,,6.4,5,0.319,22,0.409,9,68.4,52,0.6759999999999999,12.2,11,47,0.6809999999999999,32,0.5710000000000001,4,"Worthen Arena, Muncie, Indiana","Tiffin
			","Tiffin
			",78.1,Home,BALL-STATE,Ball State,Ball State,mac,6,True,False,True,Home,True,9,32,69,52,76,7,17,70,1,0,43,116,340,0.5308823529411765,201,396,0.5075757575757576,42,132,389,0.5012853470437018,0.5
7,2018-12-01-13-iupui,57.1,16,4.4,2,92.6,80.6,29,0.64,50,0.56,28,0.6,30,0.7,21,3,200,104.9,27.3,6,17,85,,8.6,7,0.36,18,0.444,8,60.3,35,0.6609999999999999,25.8,22,32,0.625,20,0.625,5,"December 1, 2018",37.9,11,3.1,1,104.9,72.7,16,0.508,64,0.45299999999999996,29,0.266,17,0.588,10,3,200,92.6,19.4,7,24,75,,14.8,12,0.297,19,0.368,7,39.7,23,0.52,18.3,16,45,0.489,22,0.625,5,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,80.7,Away,BALL-STATE,Ball State,Ball State,mac,7,False,False,False,Away,True,8,20,50,35,58,7,22,64,1,0,52,148,409,0.5525672371638142,253,472,0.5360169491525424,49,149,459,0.48474945533769065,0.5714285714285714
8,2018-12-05-21-loyola-il,53.6,15,12.5,4,97.2,78.8,26,0.653,49,0.5710000000000001,28,0.306,15,0.733,11,3,200,105.6,15.0,3,18,75,,11.3,8,0.34700000000000003,17,0.47100000000000003,8,54.7,29,0.6679999999999999,23.4,17,32,0.625,20,0.667,6,"December 5, 2018",60.9,14,0.0,0,105.6,85.0,17,0.48100000000000004,54,0.426,23,0.426,23,0.7390000000000001,17,4,200,97.2,21.2,7,14,69,,9.9,7,0.40700000000000003,22,0.273,6,45.3,24,0.531,16.9,13,32,0.531,17,0.556,5,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),70.5,Away,BALL-STATE,Ball State,Ball State,mac,8,False,False,False,Away,True,8,20,49,29,53,6,17,54,1,0,60,168,459,0.5620915032679739,288,530,0.5433962264150943,56,171,523,0.4875717017208413,0.625
9,2018-12-09-15-evansville,32.1,9,10.0,4,115.6,68.4,26,0.508,59,0.475,28,0.424,25,0.68,17,4,200,100.0,17.1,6,23,77,,7.8,6,0.35600000000000004,21,0.19,4,43.8,32,0.5429999999999999,13.6,11,38,0.632,24,0.6,6,"December 9, 2018",51.9,14,5.3,2,100.0,82.9,29,0.47700000000000004,65,0.415,27,0.462,30,0.9,27,4,200,115.6,31.6,12,20,89,,5.2,4,0.385,25,0.32,8,56.2,41,0.562,11.3,10,40,0.475,19,0.556,5,"Ford Center, Evansville, Indiana",BALL-STATE,Ball State,76.6,Home,EVANSVILLE,Evansville,Ball State,mac,9,False,False,False,Away,False,4,24,59,32,73,8,19,65,0,1,68,188,508,0.5708661417322834,317,583,0.5437392795883362,62,188,577,0.48700173310225303,0.6666666666666666
