,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BRYANT_homegame,BRYANT_homegame2,BRYANT_home,BRYANT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-rhode-island,39.1,9,6.7,3,121.3,59.0,23,0.382,68,0.33799999999999997,23,0.382,26,0.423,11,1,199,78.8,27.7,13,19,63,,3.8,3,0.5,34,0.17600000000000002,6,41.9,36,0.392,15.9,15,34,0.5,17,0.0,0,"November 6, 2018",60.0,21,23.5,8,78.8,72.3,34,0.5760000000000001,72,0.486,35,0.319,23,0.609,14,0,199,121.3,41.0,16,17,97,,8.8,7,0.375,27,0.48100000000000004,13,58.1,50,0.585,10.9,10,45,0.489,22,1.0,1,"Ryan Center, Kingston, Rhode Island",BRYANT,Bryant,80.0,Home,RHODE-ISLAND,Rhode Island,Bryant,northeast,0,False,False,False,Away,False,6,17,68,36,86,13,22,72,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-22-seattle,41.2,7,9.3,4,112.3,62.9,22,0.382,51,0.33299999999999996,17,0.49,25,0.8,20,2,200,80.8,17.6,6,24,59,,12.3,9,0.51,26,0.192,5,40.6,28,0.469,17.3,13,25,0.48,12,0.0,0,"November 11, 2018",33.3,10,12.0,3,80.8,82.4,28,0.515,65,0.462,30,0.354,23,0.652,15,1,200,112.3,37.1,13,23,82,,11.0,8,0.33799999999999997,22,0.318,7,59.4,41,0.54,14.8,13,43,0.535,23,0.667,2,"ShoWare Center, Kent, Washington",BRYANT,Bryant,72.9,Home,SEATTLE,Seattle,Bryant,northeast,1,False,False,False,Away,False,5,12,51,28,69,7,23,65,0,1,6,17,68,0.38235294117647056,36,86,0.4186046511627907,13,22,72,0.5763888888888888,0.0
2,2018-11-14-19-bryant,65.2,15,12.0,3,107.6,78.6,22,0.53,50,0.46,23,0.34,17,0.588,10,2,200,95.5,17.2,5,17,63,,4.5,3,0.34,17,0.41200000000000003,7,47.4,27,0.542,18.4,13,33,0.485,16,0.33299999999999996,1,"November 14, 2018",84.0,21,0.0,0,95.5,82.8,24,0.5529999999999999,57,0.439,25,0.263,15,0.5329999999999999,8,2,200,107.6,21.4,6,15,71,,6.1,4,0.561,32,0.406,13,52.6,30,0.5539999999999999,11.2,8,25,0.48,12,0.33299999999999996,1,"Chace Athletic Center , Smithfield, Rhode Island",SAINT-PETERS,St. Peter's,66.1,Home,BRYANT,Bryant,Bryant,northeast,2,True,False,True,Home,True,13,12,57,30,57,7,16,50,1,0,11,29,119,0.38235294117647056,64,155,0.4129032258064516,20,45,137,0.5474452554744526,0.0
3,2018-11-18-14-navy,58.3,14,2.4,1,115.3,65.4,17,0.49200000000000005,59,0.40700000000000003,24,0.441,26,0.8079999999999999,21,3,200,109.7,25.7,9,21,79,,6.9,5,0.5760000000000001,34,0.294,10,42.6,26,0.5539999999999999,11.3,9,25,0.56,14,0.25,1,"November 18, 2018",60.0,18,0.0,0,109.7,74.3,26,0.58,56,0.536,30,0.429,24,0.75,18,2,200,115.3,34.6,9,23,83,,4.2,3,0.268,15,0.33299999999999996,5,57.4,35,0.616,18.4,15,41,0.61,25,0.5,2,"Alumni Hall, Annapolis, Maryland",BRYANT,Bryant,72.4,Home,NAVY,Navy,Bryant,northeast,3,False,False,False,Away,False,10,14,59,26,61,5,25,56,0,1,24,41,176,0.4375,94,212,0.44339622641509435,27,61,187,0.5427807486631016,0.3333333333333333
4,2018-11-25-18-brown,23.8,5,16.7,6,112.0,71.4,20,0.326,72,0.292,21,0.23600000000000002,17,0.765,13,4,200,80.0,32.0,16,20,60,,14.7,11,0.33299999999999996,24,0.20800000000000002,5,46.2,36,0.375,11.2,10,48,0.33299999999999996,16,0.2,1,"November 25, 2018",48.4,15,20.8,10,80.0,68.0,34,0.616,56,0.5539999999999999,31,0.375,21,0.7140000000000001,15,2,200,112.0,28.6,8,15,84,,10.7,8,0.35700000000000004,20,0.35,7,53.8,42,0.637,20.7,17,36,0.667,24,0.7140000000000001,5,"Pizzitola Sports Center, Providence, Rhode Island",BRYANT,Bryant,74.5,Home,BROWN,Brown,Bryant,northeast,4,False,False,False,Away,False,5,16,72,36,78,7,24,56,0,1,34,55,235,0.451063829787234,120,273,0.43956043956043955,32,86,243,0.551440329218107,0.25
5,2018-11-28-19-bryant,74.4,29,13.8,4,77.2,79.5,31,0.705,66,0.591,39,0.212,14,0.7140000000000001,10,2,200,130.4,30.8,8,17,103,,6.3,5,0.364,24,0.625,15,60.0,39,0.7090000000000001,17.2,15,42,0.5710000000000001,24,0.5,2,"November 28, 2018",30.0,6,4.8,2,130.4,69.2,18,0.392,60,0.33299999999999996,20,0.28300000000000003,17,0.8240000000000001,14,5,200,77.2,20.5,8,19,61,,10.1,8,0.517,31,0.226,7,40.0,26,0.44799999999999995,22.0,19,29,0.44799999999999995,13,0.16699999999999998,1,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,79.4,Away,YALE,Yale,Bryant,northeast,5,False,True,True,Home,False,7,13,60,26,65,15,24,66,0,1,39,71,307,0.4218241042345277,156,351,0.4444444444444444,39,110,299,0.5635451505016722,0.2
6,2018-12-01-13-bryant,56.5,13,18.5,5,105.6,72.7,24,0.509,56,0.41100000000000003,23,0.214,12,0.667,8,6,200,91.5,24.2,8,19,65,,7.0,5,0.39299999999999996,22,0.5,11,48.5,32,0.527,20.7,16,34,0.353,12,0.25,2,"December 1, 2018",50.0,12,17.6,6,91.5,75.8,25,0.5,58,0.414,24,0.431,25,0.68,17,5,200,105.6,27.3,9,19,75,,12.7,9,0.534,31,0.32299999999999995,10,51.5,34,0.537,14.8,12,27,0.519,14,0.28600000000000003,2,"Chace Athletic Center , Smithfield, Rhode Island",NEW-HAMPSHIRE,New Hampshire,71.3,Home,BRYANT,Bryant,Bryant,northeast,6,True,False,True,Home,True,10,14,58,34,66,11,12,56,1,0,46,84,367,0.41689373297002724,182,416,0.4375,54,134,365,0.589041095890411,0.16666666666666666
7,2018-12-07-19-columbia,52.2,12,5.9,2,125.0,82.6,19,0.49200000000000005,60,0.38299999999999995,23,0.2,12,0.75,9,6,200,94.4,21.6,8,19,68,,8.3,6,0.617,37,0.35100000000000003,13,45.0,27,0.518,18.7,15,23,0.435,10,0.25,2,"December 7, 2018",61.8,21,4.3,1,94.4,78.4,29,0.69,58,0.586,34,0.22399999999999998,13,0.769,10,6,200,125.0,17.4,4,17,90,,15.3,11,0.414,24,0.5,12,55.0,33,0.701,15.8,12,34,0.647,22,0.25,2,"Levien Gym, New York, New York",BRYANT,Bryant,72.4,Home,COLUMBIA,Columbia,Bryant,northeast,7,False,False,False,Away,False,13,10,60,27,60,12,22,58,0,1,56,98,425,0.42823529411764705,216,482,0.44813278008298757,65,146,421,0.5783847980997625,0.2857142857142857
8,2018-12-12-19-bryant,73.3,22,3.3,1,102.8,75.9,22,0.76,48,0.625,30,0.521,25,0.72,18,7,200,126.4,13.6,3,20,91,,8.3,6,0.41700000000000004,20,0.65,13,49.0,25,0.76,19.2,14,28,0.607,17,0.364,4,"December 12, 2018",76.0,19,3.6,1,126.4,86.4,19,0.483,59,0.424,25,0.35600000000000004,21,0.81,17,7,200,102.8,24.1,7,23,74,,2.8,2,0.49200000000000005,29,0.24100000000000002,7,51.0,26,0.536,15.0,12,30,0.6,18,0.222,2,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,72.4,Away,HARTFORD,Hartford,Bryant,northeast,8,False,True,True,Home,False,7,18,59,26,51,13,17,48,0,1,69,108,485,0.43608247422680413,243,542,0.4483394833948339,77,168,479,0.5918580375782881,0.25
9,2018-12-21-11-bryant,65.0,13,5.7,2,101.5,88.9,24,0.5,50,0.4,20,0.4,20,0.85,17,6,200,100.0,25.8,8,20,67,,6.0,4,0.58,29,0.345,10,55.2,32,0.563,21.4,16,21,0.47600000000000003,10,0.5710000000000001,8,"December 21, 2018",50.0,12,23.8,5,100.0,74.2,23,0.53,50,0.48,24,0.44,22,0.682,15,7,200,101.5,11.1,3,19,68,,7.5,5,0.3,15,0.33299999999999996,5,44.8,26,0.562,14.4,10,35,0.5429999999999999,19,0.3,3,"Chace Athletic Center , Smithfield, Rhode Island",DARTMOUTH,Dartmouth,67.5,Home,BRYANT,Bryant,Bryant,northeast,9,True,False,True,Home,True,5,19,50,26,58,10,10,50,1,0,76,126,544,0.4411764705882353,269,593,0.4536256323777403,90,185,527,0.6072106261859582,0.2222222222222222
