,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MONTANA_homegame,MONTANA_homegame2,MONTANA_home,MONTANA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-20-south-dakota-state,46.4,13,11.1,4,105.7,71.9,23,0.568,59,0.475,28,0.424,25,0.72,18,4,200,121.4,31.3,10,24,85,,7.1,5,0.475,28,0.39299999999999996,11,51.6,33,0.6,11.4,9,31,0.5479999999999999,17,0.636,7,"December 22, 2018",44.0,11,9.7,3,121.4,68.8,22,0.509,55,0.455,25,0.491,27,0.667,18,5,200,105.7,28.1,9,18,74,,5.7,4,0.345,19,0.316,6,48.4,31,0.546,15.2,12,36,0.528,19,0.667,10,"Frost Arena, Brookings, South Dakota",SOUTH-DAKOTA-STATE,South Dakota State,70.4,Away,MONTANA,Montana,Montana,big-sky,10,False,False,False,Away,True,11,17,59,33,64,6,19,55,1,0,78,177,530,0.5547169811320755,268,573,0.4677137870855148,63,164,535,0.48317757009345796,0.6
11,2018-12-29-16-northern-arizona,40.6,13,2.8,1,102.8,73.0,27,0.619,59,0.542,32,0.322,19,0.684,13,4,200,121.1,31.0,9,20,86,,8.5,6,0.424,25,0.36,9,54.5,36,0.632,11.8,9,34,0.6759999999999999,23,0.667,8,"December 29, 2018",52.2,12,8.8,3,121.1,69.0,20,0.46,62,0.371,23,0.306,19,0.8420000000000001,16,9,200,102.8,27.0,10,15,73,,4.2,3,0.419,26,0.423,11,45.5,30,0.514,15.6,13,36,0.33299999999999996,12,0.182,2,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,71.0,Away,MONTANA,Montana,Montana,big-sky,11,False,False,False,Away,True,9,23,59,36,66,11,12,62,1,0,89,194,589,0.5560271646859083,301,637,0.4725274725274725,69,183,590,0.48559322033898306,0.6363636363636364
12,2018-12-31-20-southern-utah,47.1,16,3.7,1,98.7,89.3,25,0.594,64,0.531,34,0.281,18,0.722,13,4,200,115.6,18.8,6,26,89,,10.4,8,0.359,23,0.348,8,51.7,31,0.613,13.3,11,41,0.634,26,0.6920000000000001,9,"December 31, 2018",33.3,7,7.3,3,115.6,81.3,26,0.5,48,0.43799999999999994,21,0.688,33,0.848,28,6,200,98.7,10.7,3,20,76,,7.8,6,0.43799999999999994,21,0.28600000000000003,6,48.3,29,0.597,20.4,16,27,0.556,15,0.455,5,"Centrum, Cedar City, Utah",SOUTHERN-UTAH,Southern Utah,77.1,Away,MONTANA,Montana,Montana,big-sky,12,False,False,False,Away,True,8,26,64,31,60,6,15,48,1,0,98,217,648,0.5617283950617284,337,703,0.4793741109530583,80,195,652,0.4831288343558282,0.6666666666666666
13,2019-01-03-21-montana,33.3,7,8.1,3,116.0,65.5,19,0.409,55,0.382,21,0.345,19,0.579,11,5,200,74.7,18.8,6,16,56,,13.3,10,0.255,14,0.214,3,41.0,25,0.43700000000000006,21.2,17,41,0.439,18,0.545,6,"January 3, 2019",61.3,19,2.4,1,74.7,81.3,26,0.6579999999999999,57,0.544,31,0.298,17,0.706,12,4,200,116.0,34.5,10,17,87,,12.0,9,0.35100000000000003,20,0.65,13,59.0,36,0.6679999999999999,22.8,19,37,0.486,18,0.7140000000000001,10,"Adams Center/Dahlberg Arena, Missoula, Montana",SACRAMENTO-STATE,Sacramento State,74.6,Home,MONTANA,Montana,Montana,big-sky,13,True,False,True,Home,True,13,18,57,36,61,3,18,55,1,0,106,243,712,0.5646067415730337,368,763,0.48230668414154654,86,210,700,0.48428571428571426,0.6923076923076923
14,2019-01-05-21-montana,32.0,8,5.7,2,98.7,70.6,24,0.45899999999999996,61,0.41,25,0.44299999999999995,27,0.778,21,8,225,102.7,27.3,9,24,77,,8.0,6,0.377,23,0.261,6,49.3,33,0.522,13.1,11,38,0.5,19,0.429,6,"January 5, 2019",56.5,13,7.9,3,102.7,72.7,24,0.43200000000000005,59,0.39,23,0.5589999999999999,33,0.6970000000000001,23,5,225,98.7,29.4,10,20,74,,2.7,2,0.40700000000000003,24,0.20800000000000002,5,50.7,34,0.495,12.0,10,35,0.514,18,0.667,10,"Adams Center/Dahlberg Arena, Missoula, Montana",MONTANA,Montana,66.9,Away,PORTLAND-STATE,Portland State,Montana,big-sky,14,False,True,True,Home,False,5,18,59,34,67,6,19,61,0,1,119,261,769,0.5715214564369311,404,824,0.49029126213592233,89,228,755,0.47880794701986756,0.7142857142857143
15,2019-01-10-21-eastern-washington,51.9,14,0.0,0,114.7,79.3,23,0.518,56,0.48200000000000004,27,0.33899999999999997,19,0.684,13,6,200,104.4,27.3,9,23,71,,7.4,5,0.33899999999999997,19,0.21100000000000002,4,51.6,32,0.546,16.8,13,37,0.622,23,0.625,10,"January 10, 2019",45.8,11,0.0,0,104.4,72.7,24,0.57,50,0.48,24,0.54,27,0.778,21,12,200,114.7,20.7,6,19,78,,8.8,6,0.34,17,0.529,9,48.4,30,0.621,15.1,11,33,0.455,15,0.25,4,"Reese Court, Cheney, Washington",MONTANA,Montana,68.4,Home,EASTERN-WASHINGTON,Eastern Washington,Montana,big-sky,15,False,False,False,Away,False,4,23,56,32,62,9,15,50,0,1,124,279,828,0.5615942028985508,438,891,0.49158249158249157,95,247,816,0.47732843137254904,0.6666666666666666
16,2019-01-12-16-northern-colorado,40.0,14,10.0,4,87.7,76.5,26,0.621,62,0.565,35,0.258,16,0.688,11,6,200,120.5,32.0,8,18,88,,12.3,9,0.21,13,0.5379999999999999,7,57.6,34,0.632,13.7,11,49,0.5710000000000001,28,0.647,11,"January 12, 2019",50.0,11,12.2,6,120.5,68.0,17,0.418,55,0.4,22,0.545,30,0.6,18,6,200,87.7,23.5,8,19,64,,4.1,3,0.273,15,0.133,2,42.4,25,0.462,16.0,13,40,0.5,20,0.625,10,"Bank of Colorado Arena, Greeley, Colorado",NORTHERN-COLORADO,Northern Colorado,73.4,Away,MONTANA,Montana,Montana,big-sky,16,False,False,False,Away,True,7,28,62,34,59,2,20,55,1,0,128,302,884,0.5588235294117647,470,953,0.4931794333683106,104,262,866,0.48267898383371827,0.625
17,2019-01-19-22-idaho,40.7,11,3.1,1,82.3,78.1,25,0.47700000000000004,64,0.42200000000000004,27,0.21899999999999997,14,0.5710000000000001,8,6,200,111.3,31.4,11,15,69,,4.8,3,0.32799999999999996,21,0.33299999999999996,7,53.7,36,0.488,7.9,6,43,0.465,20,0.667,12,"January 19, 2019",42.1,8,11.6,5,111.3,68.6,24,0.425,53,0.358,19,0.132,7,0.857,6,13,200,82.3,21.9,7,14,51,,4.8,3,0.396,21,0.33299999999999996,7,46.3,31,0.45299999999999996,15.1,10,32,0.375,12,0.235,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,62.5,Away,MONTANA,Montana,Montana,big-sky,17,False,False,False,Away,True,7,20,64,36,67,7,12,53,1,0,135,330,946,0.5628964059196617,504,1012,0.4980237154150198,106,282,921,0.4788273615635179,0.6470588235294118
18,2019-01-24-21-montana,43.5,10,12.2,5,111.1,70.6,24,0.509,53,0.434,23,0.377,20,0.75,15,10,200,95.8,22.6,7,15,69,,12.5,9,0.434,23,0.348,8,47.7,31,0.552,20.6,16,30,0.5,15,0.41200000000000003,7,"January 24, 2019",55.2,16,10.0,3,95.8,77.4,24,0.523,65,0.446,29,0.24600000000000002,16,0.75,12,6,200,111.1,29.4,10,16,80,,13.9,10,0.369,24,0.41700000000000004,10,52.3,34,0.551,11.1,9,41,0.46299999999999997,19,0.684,13,"Adams Center/Dahlberg Arena, Missoula, Montana",IDAHO-STATE,Idaho State,71.6,Home,MONTANA,Montana,Montana,big-sky,18,True,False,True,Home,True,10,19,65,34,65,8,15,53,1,0,142,350,1010,0.5574257425742575,540,1079,0.5004633920296571,113,294,974,0.4758726899383984,0.6666666666666666
19,2019-01-26-21-montana,23.1,6,9.5,4,102.7,88.9,32,0.5379999999999999,53,0.491,26,0.302,16,0.688,11,7,200,93.2,6.5,2,19,68,,0.0,0,0.28300000000000003,15,0.33299999999999996,5,50.7,34,0.561,18.9,14,38,0.5529999999999999,21,0.65,13,"January 26, 2019",48.1,13,10.5,4,93.2,93.5,29,0.5,59,0.45799999999999996,27,0.40700000000000003,24,0.667,16,6,200,102.7,11.1,4,17,75,,9.6,7,0.28800000000000003,17,0.294,5,49.3,33,0.5329999999999999,7.9,6,42,0.524,22,0.7,14,"Adams Center/Dahlberg Arena, Missoula, Montana",WEBER-STATE,Weber State,72.5,Home,MONTANA,Montana,Montana,big-sky,19,True,False,True,Home,True,5,22,59,33,67,5,21,53,1,0,152,369,1075,0.5553488372093023,574,1144,0.5017482517482518,121,309,1027,0.47760467380720545,0.6842105263157895
20,2019-02-02-21-montana-state,56.0,14,5.0,2,109.9,72.7,24,0.58,50,0.5,25,0.64,32,0.7809999999999999,25,6,200,116.9,25.9,7,20,83,,8.5,6,0.42,21,0.381,8,51.7,31,0.637,14.7,11,29,0.586,17,0.7140000000000001,15,"February 2, 2019",58.6,17,3.4,1,116.9,74.1,20,0.532,62,0.46799999999999997,29,0.29,18,0.667,12,12,200,109.9,27.3,9,25,78,,4.2,3,0.355,22,0.364,8,48.3,29,0.5529999999999999,13.6,11,40,0.525,21,0.4,8,"Max Worthington Arena, Bozeman, Montana",MONTANA-STATE,Montana State,70.9,Away,MONTANA,Montana,Montana,big-sky,20,False,False,False,Away,True,8,17,50,31,60,8,21,62,1,0,157,391,1134,0.5524691358024691,607,1211,0.5012386457473162,126,330,1080,0.48055555555555557,0.7
21,2019-02-07-21-montana,52.4,11,2.7,1,144.9,53.6,15,0.521,47,0.447,21,0.213,10,1.0,10,18,200,85.5,13.6,3,20,59,,4.3,3,0.38299999999999995,18,0.389,7,36.0,18,0.57,30.0,22,29,0.483,14,0.182,4,"February 7, 2019",63.9,23,6.9,2,85.5,86.4,19,0.664,64,0.563,36,0.297,19,0.789,15,6,200,144.9,46.4,13,15,100,,15.9,11,0.42200000000000004,27,0.48100000000000004,13,64.0,32,0.685,10.0,8,37,0.622,23,0.727,16,"Adams Center/Dahlberg Arena, Missoula, Montana",IDAHO,Idaho,69.4,Home,MONTANA,Montana,Montana,big-sky,21,True,False,True,Home,True,13,23,64,32,50,7,14,47,1,0,165,408,1184,0.5536317567567568,638,1271,0.5019669551534225,134,351,1142,0.48336252189141854,0.7142857142857143
22,2019-02-09-21-montana,57.7,15,6.7,2,108.7,80.0,24,0.545,56,0.46399999999999997,26,0.321,18,0.722,13,15,200,107.2,16.7,5,20,74,,5.8,4,0.35700000000000004,20,0.45,9,48.3,29,0.573,12.3,9,36,0.47200000000000003,17,0.348,8,"February 9, 2019",60.0,15,11.1,4,107.2,83.3,25,0.5660000000000001,53,0.47200000000000003,25,0.45299999999999996,24,0.625,15,6,200,108.7,20.0,6,18,75,,5.8,4,0.434,23,0.435,10,51.7,31,0.5820000000000001,14.8,11,30,0.5,15,0.7390000000000001,17,"Adams Center/Dahlberg Arena, Missoula, Montana",EASTERN-WASHINGTON,Eastern Washington,69.0,Home,MONTANA,Montana,Montana,big-sky,22,True,False,True,Home,True,10,15,53,31,60,9,17,56,1,0,178,431,1248,0.5592948717948718,670,1321,0.5071915215745647,141,365,1189,0.48486122792262404,0.7272727272727273
23,2019-02-14-21-weber-state,40.0,12,5.1,2,105.3,85.3,29,0.516,63,0.47600000000000003,30,0.349,22,0.818,18,6,200,109.2,33.3,11,20,83,,7.9,6,0.20600000000000002,13,0.385,5,59.7,40,0.565,14.2,12,50,0.5,25,0.75,18,"February 14, 2019",30.8,8,10.0,5,109.2,66.7,22,0.49200000000000005,59,0.441,26,0.424,25,0.88,22,10,200,105.3,14.7,5,15,80,,3.9,3,0.33899999999999997,20,0.3,6,40.3,27,0.564,13.6,11,39,0.513,20,0.6,15,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,75.7,Away,MONTANA,Montana,Montana,big-sky,23,False,False,False,Away,True,5,25,63,40,67,6,20,59,1,0,188,446,1301,0.5595695618754803,701,1381,0.5076031860970311,150,382,1245,0.4875502008032129,0.7391304347826086
24,2019-02-16-21-idaho-state,54.5,18,5.3,2,94.4,86.1,31,0.633,60,0.55,33,0.1,6,0.667,4,6,200,111.1,12.0,3,15,80,,6.9,5,0.36700000000000005,22,0.455,10,55.7,34,0.636,17.2,13,38,0.605,23,0.76,19,"February 16, 2019",43.5,10,5.3,2,111.1,88.0,22,0.466,59,0.39,23,0.33899999999999997,20,0.65,13,15,200,94.4,13.9,5,11,68,,11.1,8,0.35600000000000004,21,0.429,9,44.3,27,0.496,10.6,8,38,0.368,14,0.375,9,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,72.2,Away,MONTANA,Montana,Montana,big-sky,24,False,False,False,Away,True,10,23,60,34,61,9,14,59,1,0,193,471,1364,0.5575513196480938,741,1448,0.5117403314917127,156,402,1304,0.48773006134969327,0.75
25,2019-02-23-21-montana,60.7,17,3.2,1,130.9,59.1,13,0.644,52,0.5379999999999999,28,0.34600000000000003,18,0.889,16,14,200,122.1,27.3,6,14,83,,5.9,4,0.462,24,0.45799999999999996,11,43.2,19,0.685,17.8,13,28,0.607,17,0.462,12,"February 23, 2019",67.6,23,10.7,3,122.1,72.7,16,0.68,61,0.557,34,0.131,8,0.75,6,6,200,130.9,40.9,9,18,89,,10.3,7,0.49200000000000005,30,0.5,15,56.8,25,0.687,16.8,13,31,0.613,19,0.769,20,"Adams Center/Dahlberg Arena, Missoula, Montana",MONTANA-STATE,Montana State,68.2,Home,MONTANA,Montana,Montana,big-sky,25,True,False,True,Home,True,15,19,61,25,44,11,17,52,1,0,203,494,1424,0.5607443820224719,775,1509,0.513585155732273,165,416,1363,0.4867938371239912,0.76
26,2019-02-25-21-montana,39.3,11,12.1,4,107.5,66.7,20,0.594,53,0.528,28,0.302,16,0.688,11,9,200,110.4,25.9,7,15,74,,11.9,8,0.377,20,0.35,7,47.4,27,0.611,17.8,13,33,0.636,21,0.667,18,"February 25, 2019",48.1,13,15.2,5,110.4,74.1,20,0.573,55,0.491,27,0.309,17,0.529,9,7,200,107.5,33.3,10,15,72,,10.4,7,0.4,22,0.409,9,52.6,30,0.5710000000000001,19.4,15,33,0.545,18,0.741,20,"Adams Center/Dahlberg Arena, Missoula, Montana",MONTANA,Montana,67.3,Away,NORTHERN-COLORADO,Northern Colorado,Montana,big-sky,26,False,True,True,Home,False,9,18,55,30,57,7,21,53,0,1,218,513,1485,0.5656565656565656,800,1553,0.51513200257566,176,433,1415,0.4925795053003534,0.7692307692307693
27,2019-03-02-21-montana,50.0,10,8.3,3,102.9,90.5,19,0.45,50,0.4,20,0.28,14,0.643,9,13,200,79.4,6.1,2,19,54,,10.3,7,0.44,22,0.22699999999999998,5,38.9,21,0.47700000000000004,18.8,13,28,0.536,15,0.519,14,"March 2, 2019",50.0,13,14.3,4,79.4,93.9,31,0.5710000000000001,49,0.531,26,0.38799999999999996,19,0.737,14,7,200,102.9,9.5,2,17,70,,8.8,6,0.265,13,0.308,4,61.1,33,0.603,17.3,12,36,0.611,22,0.75,21,"Adams Center/Dahlberg Arena, Missoula, Montana",SOUTHERN-UTAH,Southern Utah,67.8,Home,MONTANA,Montana,Montana,big-sky,27,True,False,True,Home,True,4,22,49,33,54,5,15,50,1,0,227,531,1540,0.5659090909090909,830,1610,0.515527950310559,183,454,1468,0.4962534059945504,0.7407407407407407
