,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TULANE_homegame,TULANE_homegame2,TULANE_home,TULANE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-11-19-tulane,48.3,14,13.8,4,90.8,85.7,24,0.5329999999999999,60,0.483,29,0.4,24,0.667,16,0,200,105.3,35.7,10,21,80,17.0,10.5,8,0.317,19,0.316,6,60.7,34,0.56,16.6,14,41,0.561,23,1.0,2,"November 11, 2018",69.6,16,9.8,4,105.3,64.3,18,0.519,52,0.442,23,0.462,24,0.625,15,1,200,90.8,14.3,4,22,69,,5.3,4,0.442,23,0.348,8,39.3,22,0.544,21.4,17,29,0.517,15,0.0,0,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,75.9,Away,FLORIDA-STATE,Florida State,Tulane,aac,0,False,True,True,Home,False,8,15,52,22,56,6,23,60,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-20-tulane,46.2,12,10.7,3,105.2,74.2,23,0.469,65,0.4,26,0.4,26,0.5770000000000001,15,1,200,98.7,32.5,13,26,76,,11.7,9,0.446,29,0.31,9,50.7,36,0.491,14.5,13,36,0.47200000000000003,17,0.667,2,"November 13, 2018",75.0,18,8.3,3,98.7,67.5,27,0.5660000000000001,53,0.45299999999999996,24,0.604,32,0.6559999999999999,21,1,200,105.2,25.8,8,19,81,,6.5,5,0.47200000000000003,25,0.48,12,49.3,35,0.594,20.2,17,28,0.429,12,0.5,1,"Devlin Fieldhouse, New Orleans, Louisiana",COASTAL-CAROLINA,Coastal Carolina,77.3,Home,TULANE,Tulane,Tulane,aac,1,True,False,True,Home,True,12,12,53,35,71,9,17,65,1,0,8,15,52,0.5192307692307693,22,56,0.39285714285714285,6,23,60,0.5333333333333333,0.0
2,2018-11-19-11-tulane,57.1,16,2.2,1,110.5,82.9,29,0.565,62,0.452,28,0.27399999999999997,17,0.588,10,2,200,105.3,20.6,7,19,80,,2.6,2,0.435,27,0.519,14,52.2,36,0.5710000000000001,11.5,9,35,0.4,14,0.6,3,"November 19, 2018",30.0,9,5.7,2,105.3,79.4,27,0.507,68,0.441,30,0.33799999999999997,23,0.652,15,1,200,110.5,17.1,6,17,84,,6.6,5,0.324,22,0.409,9,47.8,33,0.532,7.1,6,46,0.457,21,0.667,2,"Germain Arena, Estero, Florida",SOUTH-DAKOTA-STATE,South Dakota State,75.5,Home,TULANE,Tulane,Tulane,aac,2,True,False,True,Home,True,9,21,68,33,69,14,14,62,1,0,20,27,105,0.5428571428571428,57,127,0.44881889763779526,15,40,125,0.5,0.5
3,2018-11-20-17-california-irvine,55.0,11,7.7,3,98.5,69.4,25,0.373,59,0.33899999999999997,20,0.271,16,0.688,11,2,200,80.9,23.5,8,22,55,,2.9,2,0.271,16,0.25,4,47.1,33,0.413,13.2,10,43,0.37200000000000005,16,0.5,2,"November 20, 2018",62.5,15,9.3,4,80.9,76.5,26,0.48200000000000004,56,0.429,24,0.46399999999999997,26,0.5,13,0,200,98.5,30.6,11,17,67,,5.9,4,0.304,17,0.353,6,52.9,37,0.49,14.0,11,39,0.462,18,1.0,6,"Germain Arena, Estero, Florida",TULANE,Tulane,68.5,Home,CALIFORNIA-IRVINE,UC-Irvine,Tulane,aac,3,False,False,False,Away,False,4,16,59,33,70,6,18,56,0,1,29,48,173,0.5289017341040463,90,196,0.45918367346938777,29,54,187,0.5213903743315508,0.6666666666666666
4,2018-11-21-17-tulane,40.9,9,9.3,4,84.7,65.7,23,0.38799999999999996,67,0.32799999999999996,22,0.313,21,0.762,16,3,200,94.4,36.6,15,23,68,,8.3,6,0.418,28,0.28600000000000003,8,50.0,38,0.442,10.6,9,39,0.359,14,0.5,3,"November 21, 2018",30.0,6,7.7,3,94.4,63.4,26,0.384,56,0.35700000000000004,20,0.5,28,0.643,18,3,200,84.7,34.3,12,21,61,,6.9,5,0.23199999999999998,13,0.231,3,50.0,38,0.44,18.0,15,43,0.395,17,0.4,2,"Germain Arena, Estero, Florida",TULANE,Tulane,71.6,Away,LOUISIANA-LAFAYETTE,Louisiana,Tulane,aac,4,False,True,True,Home,False,3,17,56,38,76,8,14,67,0,1,33,64,232,0.4892241379310345,123,266,0.462406015037594,35,72,243,0.5123456790123457,0.5
5,2018-11-28-13-tulane,48.1,13,24.2,8,105.6,76.9,20,0.569,58,0.466,27,0.379,22,0.636,14,2,200,111.1,32.1,9,15,80,,11.1,8,0.483,28,0.429,12,53.7,29,0.584,14.0,11,30,0.5,15,0.7140000000000001,5,"November 28, 2018",64.3,18,10.0,3,111.1,67.9,19,0.569,58,0.483,28,0.22399999999999998,13,0.769,10,4,200,105.6,23.1,6,20,76,,5.6,4,0.431,25,0.4,10,46.3,25,0.5920000000000001,19.1,15,33,0.545,18,0.33299999999999996,2,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,71.8,Away,GEORGIA-STATE,Georgia State,Tulane,aac,5,False,True,True,Home,False,10,18,58,25,54,12,15,58,0,1,36,81,288,0.46875,161,342,0.47076023391812866,43,86,310,0.4854838709677419,0.4
6,2018-12-01-16-tulane,44.0,11,3.1,1,87.1,88.9,24,0.467,60,0.41700000000000004,25,0.15,9,0.667,6,4,200,88.6,18.8,6,19,62,,12.9,9,0.317,19,0.316,6,50.8,30,0.48200000000000004,15.8,12,41,0.46299999999999997,19,0.5,4,"December 1, 2018",54.5,12,19.5,8,88.6,81.3,26,0.52,49,0.449,22,0.306,15,0.667,10,5,200,87.1,11.1,3,15,61,,11.4,8,0.34700000000000003,17,0.41200000000000003,7,49.2,29,0.5429999999999999,23.4,17,32,0.469,15,0.28600000000000003,2,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,70.2,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Tulane,aac,6,False,True,True,Home,False,7,15,49,29,59,6,19,60,0,1,46,99,346,0.48554913294797686,186,396,0.4696969696969697,55,101,368,0.4986413043478261,0.3333333333333333
7,2018-12-05-20-tulane,36.7,11,5.6,2,110.1,65.2,15,0.41,78,0.385,30,0.218,17,0.588,10,3,200,93.7,29.8,14,19,74,,13.9,11,0.37200000000000005,29,0.138,4,41.4,29,0.43,8.6,8,49,0.531,26,0.5,3,"December 5, 2018",50.0,16,4.1,2,93.7,70.2,33,0.645,55,0.5820000000000001,32,0.473,26,0.615,16,5,200,110.1,34.8,8,20,87,,5.1,4,0.345,19,0.368,7,58.6,41,0.6459999999999999,21.3,18,36,0.6940000000000001,25,0.375,3,"Devlin Fieldhouse, New Orleans, Louisiana",TENNESSEE-MARTIN,UT-Martin,78.7,Home,TULANE,Tulane,Tulane,aac,7,True,False,True,Home,True,7,25,55,41,70,4,26,78,1,0,53,114,395,0.489873417721519,215,455,0.4725274725274725,61,120,428,0.4941588785046729,0.2857142857142857
8,2018-12-08-16-south-alabama,50.0,11,10.3,3,120.9,67.9,19,0.5,47,0.46799999999999997,22,0.489,23,0.565,13,6,200,89.6,20.7,6,14,60,,9.0,6,0.319,15,0.2,3,43.9,25,0.518,20.8,15,32,0.594,19,0.33299999999999996,3,"December 8, 2018",61.3,19,6.3,2,89.6,79.3,23,0.629,58,0.534,31,0.276,16,0.5,8,5,200,120.9,32.1,9,21,81,,9.0,6,0.5,29,0.379,11,56.1,32,0.617,13.3,10,29,0.69,20,0.5,5,"Mitchell Center, Mobile, Alabama",TULANE,Tulane,66.8,Home,SOUTH-ALABAMA,South Alabama,Tulane,aac,8,False,False,False,Away,False,3,19,47,25,57,11,20,58,0,1,60,139,450,0.5088888888888888,256,525,0.4876190476190476,65,146,506,0.48122529644268774,0.375
9,2018-12-17-20-tulane,41.7,10,3.2,1,97.5,72.4,21,0.409,66,0.364,24,0.39399999999999996,26,0.615,16,7,200,88.6,28.2,11,23,70,,12.7,10,0.485,32,0.188,6,47.1,32,0.447,15.3,14,34,0.529,18,0.364,4,"December 17, 2018",67.9,19,17.6,6,88.6,71.8,28,0.606,52,0.5379999999999999,28,0.5,26,0.5379999999999999,14,6,200,97.5,27.6,8,24,77,,10.1,8,0.40399999999999997,21,0.33299999999999996,7,52.9,36,0.598,24.0,20,31,0.677,21,0.4,4,"Devlin Fieldhouse, New Orleans, Louisiana",TEXAS-SOUTHERN,Texas Southern,78.9,Home,TULANE,Tulane,Tulane,aac,9,True,False,True,Home,True,7,21,52,36,68,6,18,66,1,0,63,158,497,0.5080482897384306,281,582,0.48281786941580757,76,166,564,0.49645390070921985,0.3333333333333333
