,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PITTSBURGH_homegame,PITTSBURGH_homegame2,PITTSBURGH_home,PITTSBURGH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-pittsburgh,61.1,11,13.6,6,92.0,69.7,23,0.32799999999999996,67,0.26899999999999996,18,0.209,14,0.643,9,1,200,70.7,33.3,15,24,53,,12.0,9,0.5670000000000001,38,0.21100000000000002,8,48.7,38,0.36,20.6,19,29,0.345,10,0.0,0,"November 6, 2018",37.0,10,6.9,2,70.7,66.7,30,0.509,55,0.491,27,0.4,22,0.591,13,0,200,92.0,30.3,10,16,69,,9.3,7,0.2,11,0.182,2,51.3,40,0.527,19.8,16,44,0.568,25,1.0,1,"Petersen Events Center, Pittsburgh, Pennsylvania",YOUNGSTOWN-STATE,Youngstown State,74.6,Home,PITTSBURGH,Pitt,Pittsburgh,acc,0,True,False,True,Home,True,2,25,55,40,78,8,10,67,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-pittsburgh,45.0,9,7.4,2,132.4,68.4,13,0.381,59,0.33899999999999997,20,0.254,15,0.667,10,1,200,77.5,15.0,6,15,55,,14.1,10,0.424,25,0.2,5,32.2,19,0.41600000000000004,14.4,11,34,0.441,15,0.5,1,"November 9, 2018",72.7,24,8.8,3,77.5,85.0,34,0.76,52,0.635,33,0.34600000000000003,18,0.833,15,0,200,132.4,31.6,6,16,94,,11.3,8,0.48100000000000004,25,0.52,13,67.8,40,0.7759999999999999,21.1,16,27,0.741,20,1.0,2,"Petersen Events Center, Pittsburgh, Pennsylvania",VIRGINIA-MILITARY-INSTITUTE,VMI,70.8,Home,PITTSBURGH,Pitt,Pittsburgh,acc,1,True,False,True,Home,True,13,20,52,40,59,5,15,59,1,0,2,25,55,0.509090909090909,40,78,0.5128205128205128,8,10,67,0.3283582089552239,1.0
2,2018-11-12-19-pittsburgh,63.6,14,15.2,5,116.7,75.9,22,0.397,63,0.349,22,0.444,28,0.893,25,2,200,104.2,28.6,10,16,75,,5.6,4,0.33299999999999996,21,0.28600000000000003,6,50.0,32,0.491,8.5,7,42,0.381,16,0.33299999999999996,1,"November 12, 2018",66.7,20,4.8,2,104.2,71.4,25,0.583,60,0.5,30,0.28300000000000003,17,0.8240000000000001,14,0,200,116.7,24.1,7,18,84,,1.4,1,0.45,27,0.37,10,50.0,32,0.617,11.8,9,33,0.606,20,1.0,3,"Petersen Events Center, Pittsburgh, Pennsylvania",TROY,Troy,71.7,Home,PITTSBURGH,Pitt,Pittsburgh,acc,2,True,False,True,Home,True,10,20,60,32,64,6,16,63,1,0,15,45,107,0.6308411214953271,80,137,0.583941605839416,13,25,126,0.3531746031746032,1.0
3,2018-11-15-19-pittsburgh,50.0,13,13.0,6,122.8,63.9,23,0.5539999999999999,56,0.46399999999999997,26,0.23199999999999998,13,0.6920000000000001,9,2,200,89.9,17.2,5,27,71,,6.3,5,0.375,21,0.47600000000000003,10,43.1,28,0.5710000000000001,27.1,23,35,0.457,16,0.5,2,"November 15, 2018",40.6,13,14.3,5,89.9,82.8,24,0.546,65,0.49200000000000005,32,0.5379999999999999,35,0.743,26,0,200,122.8,36.1,13,15,97,,8.9,7,0.292,19,0.368,7,56.9,37,0.594,11.1,10,46,0.5429999999999999,25,1.0,4,"Petersen Events Center, Pittsburgh, Pennsylvania",CENTRAL-ARKANSAS,Central Arkansas,79.4,Home,PITTSBURGH,Pitt,Pittsburgh,acc,3,True,False,True,Home,True,7,25,65,37,65,10,16,56,1,0,25,65,167,0.6137724550898204,112,201,0.5572139303482587,19,41,189,0.36772486772486773,1.0
4,2018-11-17-12-pittsburgh,70.8,17,8.1,3,97.3,90.3,28,0.483,60,0.4,24,0.217,13,0.615,8,3,200,90.4,20.0,7,27,66,,2.7,2,0.517,31,0.32299999999999995,10,53.0,35,0.499,16.5,13,29,0.483,14,0.25,1,"November 17, 2018",52.6,10,17.2,5,90.4,80.0,28,0.408,49,0.38799999999999996,19,0.857,42,0.738,31,0,200,97.3,9.7,3,16,71,,4.1,3,0.245,12,0.16699999999999998,2,47.0,31,0.515,10.6,8,37,0.45899999999999996,17,1.0,5,"Petersen Events Center, Pittsburgh, Pennsylvania",NORTH-ALABAMA,North Alabama,73.1,Home,PITTSBURGH,Pitt,Pittsburgh,acc,4,True,False,True,Home,True,2,17,49,31,66,10,14,60,1,0,32,90,232,0.5948275862068966,149,266,0.5601503759398496,29,57,245,0.41020408163265304,1.0
5,2018-11-21-12-pittsburgh,41.4,12,16.3,7,104.2,78.8,26,0.46299999999999997,68,0.426,29,0.235,16,0.625,10,1,200,101.4,39.0,16,23,73,,9.7,7,0.221,15,0.33299999999999996,5,56.8,42,0.483,12.8,11,53,0.45299999999999996,24,0.8,4,"November 21, 2018",41.7,10,9.4,5,101.4,61.0,25,0.473,55,0.436,24,0.618,34,0.6759999999999999,23,0,200,104.2,21.2,7,19,75,,6.9,5,0.218,12,0.33299999999999996,4,43.2,32,0.527,11.4,9,43,0.465,20,1.0,6,"Barclays Center, Brooklyn, New York",SAINT-LOUIS,Saint Louis,71.9,Home,PITTSBURGH,Pitt,Pittsburgh,acc,5,True,False,True,Home,True,4,20,55,32,74,5,24,68,1,0,34,107,281,0.5622775800711743,180,332,0.5421686746987951,39,71,305,0.4245901639344262,1.0
6,2018-11-27-21-iowa,50.0,13,9.5,2,98.6,74.4,29,0.545,55,0.473,26,0.23600000000000002,13,0.615,8,1,200,97.1,20.7,6,23,68,,7.1,5,0.345,19,0.42100000000000004,8,51.5,35,0.556,21.9,17,36,0.5,18,0.857,6,"November 27, 2018",63.2,12,11.1,4,97.1,79.3,23,0.48100000000000004,52,0.365,19,0.5379999999999999,28,0.679,19,0,200,98.6,25.6,10,18,69,14.0,15.7,11,0.596,31,0.387,12,48.5,33,0.528,16.8,13,21,0.33299999999999996,7,1.0,6,"Carver-Hawkeye Arena, Iowa City, Iowa",PITTSBURGH,Pitt,70.2,Home,IOWA,Iowa,Pittsburgh,acc,6,False,False,False,Away,False,8,18,55,35,68,12,7,52,0,1,38,127,336,0.5476190476190477,212,406,0.5221674876847291,44,95,373,0.4316353887399464,1.0
7,2018-11-30-19-pittsburgh,68.4,13,16.7,7,102.8,57.6,19,0.377,57,0.33299999999999996,19,0.228,13,0.769,10,2,200,73.6,28.9,11,22,53,,9.7,7,0.42100000000000004,24,0.20800000000000002,5,42.3,30,0.419,25.1,21,33,0.424,14,0.667,4,"November 30, 2018",48.0,12,12.1,4,73.6,71.1,27,0.465,57,0.439,25,0.474,27,0.778,21,1,200,102.8,42.4,14,17,74,,9.7,7,0.263,15,0.2,3,57.7,41,0.53,17.9,15,42,0.524,22,0.875,7,"CONSOL Energy Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,72.0,Home,PITTSBURGH,Pitt,Pittsburgh,acc,7,True,False,True,Home,True,3,22,57,41,71,5,14,57,1,0,46,145,391,0.5473145780051151,247,474,0.5210970464135021,56,102,425,0.4376470588235294,0.8571428571428571
8,2018-12-03-19-pittsburgh,59.3,16,18.8,6,87.5,87.9,29,0.5539999999999999,56,0.48200000000000004,27,0.268,15,0.6,9,4,200,88.8,24.1,7,21,71,,7.5,6,0.33899999999999997,19,0.42100000000000004,8,58.1,36,0.562,27.7,24,37,0.514,19,0.429,3,"December 3, 2018",70.8,17,5.4,2,88.8,75.9,22,0.509,57,0.42100000000000004,24,0.316,18,0.667,12,2,200,87.5,12.1,4,18,70,,11.3,9,0.439,25,0.4,10,41.9,26,0.534,21.7,18,32,0.43799999999999994,14,0.778,7,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,79.8,Away,NIAGARA,Niagara,Pittsburgh,acc,8,False,True,True,Home,False,10,14,57,26,62,8,19,56,0,1,49,167,448,0.5368303571428571,288,545,0.5284403669724771,61,116,482,0.43049792531120334,0.875
9,2018-12-08-12-west-virginia,41.2,7,14.7,5,89.6,54.5,18,0.37,54,0.315,17,0.426,23,0.826,19,3,200,76.6,34.2,13,25,59,,18.2,14,0.426,23,0.261,6,43.7,31,0.45399999999999996,27.2,24,31,0.355,11,0.7,7,"December 8, 2018",50.0,11,38.7,12,76.6,65.8,25,0.445,55,0.4,22,0.436,24,0.833,20,3,200,89.6,45.5,15,23,69,,7.8,6,0.382,21,0.23800000000000002,5,56.3,40,0.52,28.4,26,34,0.5,17,0.667,6,"WVU Coliseum, Morgantown, West Virginia",PITTSBURGH,Pitt,76.7,Home,WEST-VIRGINIA,West Virginia,Pittsburgh,acc,9,False,False,False,Away,False,6,11,54,31,71,5,17,55,0,1,59,181,505,0.5336633663366337,314,607,0.5172981878088962,69,135,538,0.4433085501858736,0.7777777777777778
