,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BRADLEY_homegame,BRADLEY_homegame2,BRADLEY_home,BRADLEY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-20-bradley,56.5,13,6.0,3,104.2,51.5,17,0.5,54,0.426,23,0.16699999999999998,9,0.444,4,0,200,81.7,16.1,5,13,58,,11.3,8,0.519,28,0.28600000000000003,8,34.4,22,0.498,23.7,18,26,0.5770000000000001,15,0.0,0,"November 7, 2018",43.3,13,15.4,4,81.7,83.9,26,0.5,63,0.47600000000000003,30,0.23800000000000002,15,0.733,11,0,200,104.2,48.5,16,15,74,,18.3,13,0.20600000000000002,13,0.231,3,65.6,42,0.528,19.6,17,50,0.54,27,1.0,1,"Carver Arena, Peoria, Illinois","Wisconsin-Parkside
			","Wisconsin-Parkside
			",71.2,Home,BRADLEY,Bradley,Bradley,mvc,0,True,False,True,Home,True,3,27,63,42,64,8,15,54,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-14-bradley,50.0,9,7.7,2,95.8,76.5,26,0.35100000000000003,57,0.316,18,0.439,25,0.68,17,2,200,80.3,30.6,11,28,57,,4.2,3,0.40399999999999997,23,0.174,4,52.9,37,0.414,18.1,15,34,0.41200000000000003,14,0.0,0,"November 10, 2018",73.7,14,17.6,6,80.3,69.4,25,0.469,49,0.38799999999999996,19,0.653,32,0.688,22,0,200,95.8,23.5,8,23,68,,12.7,9,0.469,23,0.348,8,47.1,33,0.53,16.0,12,26,0.423,11,1.0,2,"Carver Arena, Peoria, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,70.5,Home,BRADLEY,Bradley,Bradley,mvc,1,True,False,True,Home,True,8,11,49,33,70,4,14,57,1,0,3,27,63,0.5,42,64,0.65625,8,15,54,0.5,1.0
2,2018-11-14-20-bradley,84.6,22,5.9,2,108.8,81.0,17,0.526,57,0.456,26,0.158,9,0.556,5,3,200,95.6,22.6,7,23,65,,10.3,7,0.33299999999999996,19,0.42100000000000004,8,46.2,24,0.53,18.7,14,38,0.474,18,0.0,0,"November 14, 2018",69.2,18,10.5,4,95.6,77.4,24,0.596,47,0.5529999999999999,26,0.511,24,0.75,18,0,200,108.8,19.0,4,16,74,,11.8,8,0.27699999999999997,13,0.308,4,53.8,28,0.634,19.6,14,34,0.647,22,1.0,3,"Carver Arena, Peoria, Illinois",JACKSONVILLE-STATE,Jacksonville State,68.3,Home,BRADLEY,Bradley,Bradley,mvc,2,True,False,True,Home,True,4,22,47,28,52,8,18,57,1,0,11,38,112,0.48660714285714285,75,134,0.5597014925373134,12,29,111,0.42342342342342343,1.0
3,2018-11-17-20-illinois-chicago,54.2,13,3.6,1,101.4,74.1,20,0.491,56,0.429,24,0.39299999999999996,22,0.682,15,1,200,100.0,23.3,7,21,70,,8.6,6,0.33899999999999997,19,0.368,7,47.4,27,0.527,14.3,11,37,0.45899999999999996,17,0.75,3,"November 17, 2018",75.0,18,24.3,9,100.0,76.7,23,0.5479999999999999,52,0.462,24,0.423,22,0.636,14,3,200,101.4,25.9,7,24,71,,4.3,3,0.462,24,0.375,9,52.6,30,0.568,19.6,15,28,0.536,15,0.4,2,"UIC Pavilion, Chicago, Illinois",BRADLEY,Bradley,70.5,Home,ILLINOIS-CHICAGO,UIC,Bradley,mvc,3,False,False,False,Away,False,7,17,56,27,57,9,15,52,0,1,15,60,159,0.5188679245283019,103,186,0.553763440860215,20,47,168,0.4583333333333333,1.0
4,2018-11-20-18-southern-methodist,34.6,9,17.9,5,93.9,67.7,21,0.5589999999999999,51,0.51,26,0.51,26,0.6920000000000001,18,1,200,113.6,34.6,9,15,75,,7.6,5,0.353,18,0.278,5,52.6,30,0.5920000000000001,16.1,12,33,0.636,21,0.8,4,"November 20, 2018",31.6,6,3.0,1,113.6,65.4,17,0.433,52,0.365,19,0.423,22,0.773,17,3,200,93.9,32.3,10,23,62,,6.1,4,0.462,24,0.292,7,47.4,27,0.496,18.5,14,28,0.429,12,0.4,2,"Hard Rock Hotel Riviera Maya, Cancun",SOUTHERN-METHODIST,SMU,66.4,Away,BRADLEY,Bradley,Bradley,mvc,4,False,False,False,Away,True,5,21,51,30,57,7,12,52,1,0,22,77,215,0.5116279069767442,130,243,0.5349794238683128,29,62,220,0.47954545454545455,0.75
5,2018-11-21-20-bradley,35.3,6,12.0,3,93.7,82.8,24,0.322,59,0.28800000000000003,17,0.373,22,0.818,18,2,200,88.9,48.7,19,19,56,,11.1,7,0.45799999999999996,27,0.14800000000000002,4,63.2,43,0.40299999999999997,14.9,12,32,0.406,13,0.6,3,"November 21, 2018",61.9,13,9.4,3,88.9,51.3,20,0.51,49,0.429,21,0.34700000000000003,17,0.529,9,1,200,93.7,17.2,5,18,59,,7.9,5,0.49,24,0.33299999999999996,8,36.8,25,0.517,17.5,12,25,0.52,13,0.833,5,"Hard Rock Hotel Riviera Maya, Cancun",PENN-STATE,Penn State,63.3,Home,BRADLEY,Bradley,Bradley,mvc,5,True,False,True,Home,True,8,13,49,25,68,4,13,59,1,0,27,98,266,0.5206766917293233,160,300,0.5333333333333333,36,74,272,0.47058823529411764,0.8
6,2018-11-24-14-bradley,78.9,15,8.1,3,128.4,65.5,19,0.469,48,0.396,19,0.625,30,0.833,25,8,200,104.5,22.2,6,19,70,,9.0,6,0.25,12,0.583,7,44.6,25,0.562,16.4,12,36,0.33299999999999996,12,0.0,0,"November 24, 2018",73.3,22,11.1,4,104.5,77.8,21,0.585,59,0.508,30,0.305,18,0.9440000000000001,17,1,200,128.4,34.5,10,23,86,,13.4,9,0.373,22,0.409,9,55.4,31,0.637,11.9,9,37,0.568,21,0.857,6,"Carver Arena, Peoria, Illinois",CHICAGO-STATE,Chicago State,67.4,Home,BRADLEY,Bradley,Bradley,mvc,6,True,False,True,Home,True,9,21,59,31,56,7,12,48,1,0,35,111,315,0.5190476190476191,185,368,0.5027173913043478,40,87,331,0.44410876132930516,0.8333333333333334
7,2018-11-28-19-iupui,46.2,12,3.1,1,118.1,76.9,20,0.517,58,0.44799999999999995,26,0.32799999999999996,19,0.684,13,2,200,101.4,20.0,6,28,73,,8.3,6,0.397,23,0.348,8,46.4,26,0.545,13.1,10,35,0.514,18,0.75,6,"November 28, 2018",60.0,15,11.4,4,101.4,80.0,24,0.5710000000000001,49,0.51,25,0.7959999999999999,39,0.7440000000000001,29,2,200,118.1,23.1,6,21,85,,5.6,4,0.34700000000000003,17,0.353,6,53.6,30,0.629,14.3,11,32,0.594,19,0.7140000000000001,5,"Indiana Farmers Coliseum, Indianapolis, Indiana",BRADLEY,Bradley,71.8,Home,IUPUI,IUPUI,Bradley,mvc,7,False,False,False,Away,False,8,18,58,26,56,6,19,49,0,1,44,132,374,0.5294117647058824,216,424,0.5094339622641509,47,99,379,0.4472295514511873,0.8571428571428571
8,2018-12-01-20-bradley,57.7,15,0.0,0,98.7,73.0,27,0.5329999999999999,60,0.433,26,0.4,24,0.875,21,1,200,111.8,33.3,11,24,85,,10.5,8,0.5329999999999999,32,0.375,12,54.3,38,0.595,19.4,17,28,0.5,14,0.8,4,"December 1, 2018",44.0,11,10.7,3,111.8,66.7,22,0.491,58,0.431,25,0.5,29,0.621,18,3,200,98.7,27.0,10,21,75,,7.9,6,0.345,20,0.35,7,45.7,32,0.522,15.5,13,38,0.474,18,0.667,6,"Carver Arena, Peoria, Illinois",BRADLEY,Bradley,76.1,Away,NEW-MEXICO,New Mexico,Bradley,mvc,8,False,True,True,Home,False,7,18,58,32,70,12,14,60,0,1,52,150,432,0.5277777777777778,242,480,0.5041666666666667,53,118,428,0.4614485981308411,0.75
9,2018-12-04-19-arkansas-little-rock,59.1,13,15.2,5,91.2,62.5,15,0.48200000000000004,55,0.4,22,0.436,24,0.625,15,3,200,100.0,35.1,13,20,68,,7.4,5,0.455,25,0.36,9,45.9,28,0.512,18.6,15,30,0.433,13,0.7,7,"December 4, 2018",58.3,14,10.0,3,100.0,64.9,24,0.5529999999999999,47,0.511,24,0.46799999999999997,22,0.455,10,5,200,91.2,37.5,9,24,62,,8.8,6,0.298,14,0.28600000000000003,4,54.1,33,0.54,26.1,20,33,0.606,20,0.444,4,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,68.4,Away,BRADLEY,Bradley,Bradley,mvc,9,False,False,False,Away,True,9,13,55,28,61,4,20,47,1,0,59,168,490,0.523469387755102,274,550,0.49818181818181817,65,132,488,0.4702868852459016,0.6666666666666666
10,2018-12-15-20-bradley,62.5,15,2.6,1,101.5,60.6,20,0.535,57,0.42100000000000004,24,0.263,15,0.8,12,5,200,112.3,20.0,7,20,73,,7.7,5,0.42100000000000004,24,0.542,13,39.7,27,0.569,11.2,8,33,0.33299999999999996,11,0.545,6,"December 15, 2018",54.2,13,12.1,4,112.3,80.0,28,0.48200000000000004,55,0.436,24,0.364,20,0.65,13,4,200,101.5,39.4,13,15,66,,6.2,4,0.309,17,0.294,5,60.3,41,0.512,16.9,13,38,0.5,19,0.636,7,"Carver Arena, Peoria, Illinois",BRADLEY,Bradley,64.8,Away,EASTERN-ILLINOIS,Eastern Illinois,Bradley,mvc,10,False,True,True,Home,False,5,19,55,41,68,13,11,57,0,1,68,181,545,0.5192660550458715,302,611,0.49427168576104746,69,152,535,0.47757009345794393,0.7
11,2018-12-18-19-georgia-southern,40.7,11,7.5,3,86.8,73.7,28,0.517,59,0.45799999999999996,27,0.33899999999999997,20,0.65,13,5,225,81.3,21.2,7,31,74,,7.7,7,0.322,19,0.368,7,49.3,35,0.54,29.2,28,40,0.5,20,0.583,7,"December 18, 2018",33.3,8,7.5,3,81.3,78.8,26,0.457,58,0.414,24,0.672,39,0.667,26,3,225,86.8,26.3,10,21,79,,14.3,13,0.31,18,0.278,5,50.7,36,0.516,25.0,25,40,0.475,19,0.727,8,"Hanner Fieldhouse, Statesboro, Georgia",BRADLEY,Bradley,80.5,Home,GEORGIA-SOUTHERN,Georgia Southern,Bradley,mvc,11,False,False,False,Away,False,7,20,59,35,71,5,19,58,0,1,73,200,600,0.5158333333333334,343,679,0.5051546391752577,82,163,592,0.4831081081081081,0.6363636363636364
12,2018-12-22-14-bradley,75.0,15,6.3,2,101.6,67.6,23,0.5429999999999999,47,0.426,20,0.298,14,0.643,9,8,200,96.8,37.0,10,30,60,,1.6,1,0.489,23,0.478,11,54.1,33,0.5589999999999999,23.1,16,24,0.375,9,0.33299999999999996,4,"December 22, 2018",50.0,8,25.0,6,96.8,63.0,17,0.39399999999999996,47,0.34,16,0.83,39,0.667,26,5,200,101.6,32.4,11,18,63,,6.5,4,0.319,15,0.33299999999999996,5,45.9,28,0.48100000000000004,12.3,9,32,0.344,11,0.615,8,"Carver Arena, Peoria, Illinois",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,61.6,Home,BRADLEY,Bradley,Bradley,mvc,12,True,False,True,Home,True,5,11,47,28,61,11,9,47,1,0,80,220,659,0.5159332321699545,378,750,0.504,87,182,650,0.4807692307692308,0.5833333333333334
13,2019-01-02-20-bradley,68.0,17,6.5,2,81.0,82.1,23,0.536,56,0.446,25,0.125,7,0.7140000000000001,5,8,200,112.1,29.0,9,12,65,,12.1,7,0.39299999999999996,22,0.455,10,54.2,32,0.5479999999999999,10.6,7,34,0.441,15,0.429,6,"January 2, 2019",66.7,12,8.8,3,112.1,71.0,22,0.42700000000000005,48,0.375,18,0.16699999999999998,8,0.75,6,6,200,81.0,17.9,5,10,47,,6.9,4,0.354,17,0.294,5,45.8,27,0.45399999999999996,18.9,12,31,0.419,13,0.5710000000000001,8,"Carver Arena, Peoria, Illinois",BRADLEY,Bradley,58.1,Away,NORTHERN-IOWA,Northern Iowa,Bradley,mvc,13,False,True,True,Home,False,5,13,48,27,59,10,15,56,0,1,85,231,706,0.5077903682719547,406,811,0.5006165228113441,98,191,697,0.48493543758967,0.6153846153846154
14,2019-01-05-14-indiana-state,25.0,5,14.7,5,85.5,79.1,34,0.358,60,0.33299999999999996,20,0.38299999999999995,23,0.7390000000000001,17,7,200,78.9,26.2,11,29,60,,7.9,6,0.33299999999999996,20,0.15,3,52.9,45,0.423,18.6,16,40,0.425,17,0.5329999999999999,8,"January 5, 2019",31.3,5,5.0,2,78.9,73.8,31,0.34299999999999997,51,0.314,16,0.922,47,0.638,30,5,200,85.5,20.9,9,21,65,,2.6,2,0.33299999999999996,17,0.17600000000000002,3,47.1,40,0.44299999999999995,14.3,12,34,0.382,13,0.643,9,"Hulman Center, Terre Haute, Indiana",BRADLEY,Bradley,76.1,Home,INDIANA-STATE,Indiana State,Bradley,mvc,14,False,False,False,Away,False,3,17,60,45,85,3,13,51,0,1,90,244,754,0.5026525198938993,433,870,0.49770114942528737,108,206,753,0.48871181938911024,0.5714285714285714
15,2019-01-08-20-valparaiso,41.2,7,11.1,3,92.4,83.3,20,0.355,55,0.309,17,0.255,14,0.7859999999999999,11,8,200,75.8,17.6,6,16,50,,13.6,9,0.327,18,0.278,5,44.8,26,0.406,17.5,13,37,0.324,12,0.5,8,"January 8, 2019",75.0,18,8.1,3,75.8,82.4,28,0.5710000000000001,49,0.49,24,0.184,9,0.556,5,6,200,92.4,16.7,4,18,61,,12.1,8,0.449,22,0.364,8,55.2,32,0.573,20.9,14,27,0.593,16,0.625,10,"Athletics-Recreation Center, Valparaiso, Indiana",BRADLEY,Bradley,66.0,Home,VALPARAISO,Valparaiso,Bradley,mvc,15,False,False,False,Away,False,5,12,55,26,58,8,16,49,0,1,93,261,814,0.492014742014742,478,955,0.5005235602094241,111,219,804,0.47947761194029853,0.5333333333333333
16,2019-01-12-20-bradley,33.3,9,4.3,1,103.2,53.8,14,0.5489999999999999,51,0.529,27,0.373,19,0.684,13,9,200,111.3,28.0,7,20,69,,19.4,12,0.255,13,0.154,2,41.2,21,0.575,14.4,10,38,0.6579999999999999,25,0.47100000000000003,8,"January 12, 2019",50.0,9,18.4,7,111.3,72.0,18,0.5479999999999999,42,0.429,18,0.595,25,0.72,18,9,200,103.2,46.2,12,18,64,,6.5,4,0.452,19,0.526,10,58.8,30,0.594,27.4,20,23,0.348,8,0.47100000000000003,8,"Carver Arena, Peoria, Illinois",BRADLEY,Bradley,62.5,Away,MISSOURI-STATE,Missouri State,Bradley,mvc,16,False,True,True,Home,False,10,8,42,30,51,2,25,51,0,1,98,273,869,0.48331415420023016,504,1013,0.49753208292201384,119,235,853,0.4847596717467761,0.5
17,2019-01-16-20-bradley,61.5,16,4.3,2,77.6,70.5,31,0.61,50,0.52,26,0.24,12,0.667,8,5,200,103.0,31.8,7,17,69,,10.4,7,0.44,22,0.409,9,57.6,38,0.619,24.6,18,28,0.607,17,0.722,13,"January 16, 2019",42.1,8,14.3,4,103.0,68.2,15,0.336,61,0.311,19,0.27899999999999997,17,0.647,11,10,200,77.6,29.5,13,14,52,,20.9,14,0.24600000000000002,15,0.2,3,42.4,28,0.376,13.8,11,46,0.348,16,0.444,8,"Carver Arena, Peoria, Illinois",BRADLEY,Bradley,66.9,Away,DRAKE,Drake,Bradley,mvc,17,False,True,True,Home,False,3,16,61,28,66,9,17,50,0,1,108,281,911,0.4862788144895719,534,1064,0.5018796992481203,121,260,904,0.4883849557522124,0.47058823529411764
