,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EASTERN-KENTUCKY_homegame,EASTERN-KENTUCKY_homegame2,EASTERN-KENTUCKY_home,EASTERN-KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-20-xavier,63.3,19,3.0,1,110.5,84.2,16,0.5,72,0.41700000000000004,30,0.20800000000000002,15,0.33299999999999996,5,5,200,89.5,31.8,14,23,77,,17.4,15,0.528,38,0.316,12,47.6,30,0.48700000000000004,21.9,22,34,0.529,18,0.545,6,"December 15, 2018",65.7,23,11.8,4,89.5,68.2,30,0.7859999999999999,49,0.7140000000000001,35,0.51,25,0.72,18,4,200,110.5,15.8,3,20,95,,14.0,12,0.327,16,0.43799999999999994,7,52.4,33,0.78,30.2,26,33,0.848,28,0.636,7,"Cintas Center, Cincinnati, Ohio",EASTERN-KENTUCKY,Eastern Kentucky,85.5,Home,XAVIER,Xavier,Eastern Kentucky,ovc,10,False,False,False,Away,False,12,18,72,30,63,7,28,49,0,1,85,194,700,0.4592857142857143,354,740,0.4783783783783784,65,217,618,0.5088996763754046,0.6
11,2018-12-22-14-duquesne,71.9,23,15.4,6,90.4,78.0,32,0.467,75,0.42700000000000005,32,0.24,18,0.778,14,6,225,89.4,17.9,7,23,84,,11.7,11,0.36,27,0.222,6,48.8,39,0.503,19.4,20,48,0.542,26,0.5,6,"December 22, 2018",50.0,14,12.5,6,89.4,82.1,32,0.485,65,0.431,28,0.49200000000000005,32,0.688,22,3,225,90.4,22.0,9,19,85,,12.8,12,0.4,26,0.26899999999999996,7,51.3,41,0.53,21.0,21,39,0.5379999999999999,21,0.75,9,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",EASTERN-KENTUCKY,Eastern Kentucky,83.9,Home,DUQUESNE,Duquesne,Eastern Kentucky,ovc,11,False,False,False,Away,False,6,26,75,39,80,7,21,65,0,1,97,212,772,0.4630829015544041,384,803,0.47820672478206727,72,245,667,0.5292353823088456,0.5454545454545454
12,2018-12-29-18-eastern-kentucky,71.4,15,7.0,4,136.8,65.9,27,0.433,60,0.35,21,0.55,33,0.606,20,0,200,67.9,22.5,9,22,72,,1.9,2,0.41700000000000004,25,0.4,10,44.4,36,0.47600000000000003,34.4,39,35,0.314,11,0.0,0,"December 29, 2018",54.5,30,11.4,4,67.9,77.5,31,0.643,98,0.561,55,0.255,25,0.76,19,6,200,136.8,34.1,14,27,145,,26.4,28,0.418,41,0.39,16,55.6,45,0.66,8.4,10,57,0.684,39,0.5379999999999999,7,"McBrayer Arena, Richmond, Kentucky","Brescia
			","Brescia
			",105.8,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,12,True,False,True,Home,True,16,39,98,45,81,10,11,60,1,0,103,238,847,0.46340023612750886,423,883,0.47904869762174407,79,266,732,0.5252732240437158,0.5
13,2019-01-03-21-austin-peay,43.3,13,9.1,4,117.7,70.0,21,0.515,66,0.455,30,0.182,12,0.583,7,7,200,94.9,35.3,12,15,75,,7.6,6,0.424,28,0.28600000000000003,8,51.6,33,0.523,24.4,23,38,0.579,22,0.5,7,"January 3, 2019",59.5,22,5.3,2,94.9,64.7,22,0.654,65,0.569,37,0.154,10,0.8,8,5,200,117.7,30.0,9,11,93,,11.4,9,0.32299999999999995,21,0.524,11,48.4,31,0.667,16.8,14,44,0.591,26,0.643,9,"Winfield Dunn Center, Clarksville, Tennessee",EASTERN-KENTUCKY,Eastern Kentucky,78.7,Home,AUSTIN-PEAY,Austin Peay,Eastern Kentucky,ovc,13,False,False,False,Away,False,8,22,66,33,64,11,26,65,0,1,119,277,945,0.482010582010582,468,964,0.4854771784232365,89,277,792,0.5183080808080808,0.5384615384615384
14,2019-01-05-20-murray-state,33.3,10,4.2,2,112.8,61.8,21,0.493,67,0.44799999999999995,30,0.34299999999999997,23,0.826,19,8,200,98.8,25.7,9,22,85,,14.0,12,0.373,25,0.24,6,43.5,30,0.545,18.9,18,42,0.5710000000000001,24,0.467,7,"January 5, 2019",54.1,20,16.7,7,98.8,74.3,26,0.5870000000000001,69,0.536,37,0.348,24,0.667,16,2,200,112.8,38.2,13,18,97,,16.3,14,0.304,21,0.33299999999999996,7,56.5,39,0.603,18.5,18,48,0.625,30,0.846,11,"CFSB Center, Murray, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,86.2,Home,MURRAY-STATE,Murray State,Eastern Kentucky,ovc,14,False,False,False,Away,False,6,24,67,30,69,7,30,69,0,1,127,299,1011,0.48417408506429277,501,1028,0.48735408560311283,100,303,857,0.5285880980163361,0.5
15,2019-01-10-20-tennessee-state,39.3,11,11.4,5,110.8,75.9,22,0.5820000000000001,55,0.509,28,0.6,33,0.515,17,9,200,109.5,35.5,11,22,81,,8.1,6,0.4,22,0.364,8,55.0,33,0.573,17.7,15,33,0.606,20,0.43799999999999994,7,"January 10, 2019",35.5,11,9.1,3,109.5,64.5,20,0.54,62,0.5,31,0.27399999999999997,17,0.882,15,11,200,110.8,24.1,7,24,82,,10.8,8,0.29,18,0.278,5,45.0,27,0.585,12.6,10,44,0.591,26,0.267,4,"Gentry Center Complex, Nashville, Tennessee",EASTERN-KENTUCKY,Eastern Kentucky,73.9,Home,TENNESSEE-STATE,Tennessee State,Eastern Kentucky,ovc,15,False,False,False,Away,False,8,20,55,33,60,5,26,62,0,1,133,323,1078,0.4846938775510204,531,1097,0.4840474020054695,107,333,926,0.5329373650107991,0.4666666666666667
16,2019-01-12-18-belmont,57.6,19,5.6,2,123.9,75.0,21,0.5479999999999999,73,0.452,33,0.28800000000000003,21,0.619,13,10,200,105.7,13.3,6,27,93,,11.4,10,0.479,35,0.4,14,37.0,27,0.56,11.8,11,38,0.5,19,0.41200000000000003,7,"January 12, 2019",60.6,20,5.3,2,105.7,86.7,39,0.653,59,0.5589999999999999,33,0.6779999999999999,40,0.8,32,3,200,123.9,25.0,7,18,109,,6.8,6,0.39,23,0.478,11,63.0,46,0.6990000000000001,19.0,18,36,0.611,22,0.8,12,"Curb Event Center, Nashville, Tennessee",EASTERN-KENTUCKY,Eastern Kentucky,88.5,Home,BELMONT,Belmont,Eastern Kentucky,ovc,16,False,False,False,Away,False,14,19,73,27,73,11,22,59,0,1,141,343,1133,0.4894086496028244,564,1157,0.4874675885911841,112,359,988,0.5334008097165992,0.4375
17,2019-01-17-19-eastern-kentucky,38.5,10,6.8,3,122.8,63.2,24,0.47600000000000003,62,0.419,26,0.32299999999999995,20,0.7,14,11,200,92.4,43.2,16,12,73,,10.1,8,0.306,19,0.368,7,53.3,40,0.51,24.5,23,43,0.442,19,0.312,5,"January 17, 2019",65.8,25,7.0,3,92.4,56.8,21,0.583,78,0.48700000000000004,38,0.10300000000000001,8,0.75,6,10,200,122.8,36.8,14,17,97,,22.8,18,0.436,34,0.441,15,46.7,35,0.593,12.8,12,44,0.523,23,0.444,8,"McBrayer Arena, Richmond, Kentucky",TENNESSEE-MARTIN,UT-Martin,79.2,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,17,True,False,True,Home,True,15,23,78,35,75,7,19,62,1,0,155,362,1206,0.4929519071310116,591,1230,0.48048780487804876,123,381,1047,0.5401146131805158,0.4117647058823529
18,2019-01-19-19-eastern-kentucky,46.2,12,3.1,1,109.0,76.7,23,0.526,57,0.456,26,0.509,29,0.7929999999999999,23,13,200,106.4,12.1,4,24,83,,11.5,9,0.35100000000000003,20,0.4,8,42.9,27,0.586,13.6,11,37,0.486,18,0.316,6,"January 19, 2019",70.4,19,2.7,1,106.4,87.9,29,0.583,54,0.5,27,0.611,33,0.667,22,10,200,109.0,23.3,7,21,85,,7.7,6,0.40700000000000003,22,0.409,9,57.1,36,0.61,18.0,15,32,0.563,18,0.474,9,"McBrayer Arena, Richmond, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,77.7,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,18,True,False,True,Home,True,9,18,54,36,63,8,18,57,1,0,170,385,1284,0.4984423676012461,626,1305,0.4796934865900383,130,400,1109,0.5365193868349865,0.4444444444444444
19,2019-01-24-19-eastern-kentucky,35.7,10,7.0,3,107.3,74.3,26,0.429,70,0.4,28,0.18600000000000003,13,0.769,10,6,200,85.4,31.0,13,19,70,,13.4,11,0.34299999999999997,24,0.16699999999999998,4,50.6,39,0.45899999999999996,20.1,19,46,0.522,24,0.7,14,"January 24, 2019",40.6,13,6.5,3,85.4,69.0,29,0.562,65,0.49200000000000005,32,0.33799999999999997,22,0.682,15,10,200,107.3,25.7,9,18,88,,13.4,11,0.33799999999999997,22,0.409,9,49.4,38,0.583,16.7,15,43,0.535,23,0.5,10,"McBrayer Arena, Richmond, Kentucky",JACKSONVILLE-STATE,Jacksonville State,81.8,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,19,True,False,True,Home,True,9,23,65,38,77,4,24,70,1,0,179,403,1338,0.5018684603886397,662,1368,0.48391812865497075,138,418,1166,0.5360205831903945,0.47368421052631576
